GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E33001,E33002,E33003,E33004,E33005,E33006,E33007
"G360","1990","NY",,,,,,,,,,,,,,,"2",,,,,,"1","New York","36",,,,,"0122309743","0018770519","New York","A","+42911775","-075668201","01",1200827,1776777,3485686,1851182,770268,1561719,1172110
"G370","1990","NC",,,,,,,,,,,,,,,"5",,,,,,"3","North Carolina","37",,,,,"0126179811","0013217417","North Carolina","A","+35476112","-079172288","01",539974,737773,1232868,713713,290117,510003,229046
"G380","1990","ND",,,,,,,,,,,,,,,"4",,,,,,"2","North Dakota","38",,,,,"0178695204","0004427792","North Dakota","A","+47581277","-100340990","01",59354,33073,111215,81467,39802,53637,18002
"G390","1990","OH",,,,,,,,,,,,,,,"3",,,,,,"2","Ohio","39",,,,,"0106067224","0010036128","Ohio","A","+40525913","-082797934","01",546954,1137934,2515987,1179409,369144,767845,407491
"G400","1990","OK",,,,,,,,,,,,,,,"7",,,,,,"3","Oklahoma","40",,,,,"0177877409","0003170994","Oklahoma","A","+35548500","-097414951","01",195015,311946,607903,425225,100366,236112,118857
"G410","1990","OR",,,,,,,,,,,,,,,"9",,,,,,"4","Oregon","41",,,,,"0248646415","0006172329","Oregon","A","+44131686","-120358943","01",114724,228885,536687,464420,128482,252626,129545
"G420","1990","PA",,,,,,,,,,,,,,,"2",,,,,,"1","Pennsylvania","42",,,,,"0116082670","0003207985","Pennsylvania","A","+40914266","-077818493","01",741167,1253111,3035080,1017897,412931,890660,522086
"G440","1990","RI",,,,,,,,,,,,,,,"1",,,,,,"1","Rhode Island","44",,,,,"0002706520","0001295293","Rhode Island","A","+41676150","-071576875","01",72842,111502,194064,99092,41296,88634,51526
"G450","1990","SC",,,,,,,,,,,,,,,"5",,,,,,"3","South Carolina","45",,,,,"0077987813","0004914071","South Carolina","A","+34030983","-080906595","01",295167,392093,639358,342965,137174,243161,117672
"G460","1990","SD",,,,,,,,,,,,,,,"4",,,,,,"2","South Dakota","46",,,,,"0196570627","0003173691","South Dakota","A","+44393092","-099986777","01",57707,41013,144990,80944,31955,52773,21118
"G470","1990","TN",,,,,,,,,,,,,,,"6",,,,,,"3","Tennessee","47",,,,,"0106758491","0002399608","Tennessee","A","+35843234","-086416543","01",500929,532985,942865,531012,130284,330742,170249
"G480","1990","TX",,,,,,,,,,,,,,,"7",,,,,,"3","Texas","48",,,,,"0678358058","0017318298","Texas","A","+31196882","-099346716","01",1387528,1485031,2640162,2171439,531540,1428031,666874
"G490","1990","UT",,,,,,,,,,,,,,,"8",,,,,,"4","Utah","49",,,,,"0212815498","0007086314","Utah","A","+39373352","-111575157","01",30379,102936,244132,250406,69715,138534,61219
"G500","1990","VT",,,,,,,,,,,,,,,"1",,,,,,"1","Vermont","50",,,,,"0023955760","0000947039","Vermont","A","+44269630","-072621309","01",30945,37692,123430,52594,25730,55120,31734
"G510","1990","VA",,,,,,,,,,,,,,,"5",,,,,,"3","Virginia","51",,,,,"0102558208","0008233555","Virginia","A","+37568550","-078525376","01",443668,543535,1059199,736007,219511,612679,360215
"G530","1990","WA",,,,,,,,,,,,,,,"9",,,,,,"4","Washington","53",,,,,"0172445421","0012226420","Washington","A","+47124405","-120675562","01",171311,334472,873150,782010,248478,496866,220103
"G540","1990","WV",,,,,,,,,,,,,,,"5",,,,,,"3","West Virginia","54",,,,,"0062384197","0000375198","West Virginia","A","+38703282","-080731279","01",196319,202208,429123,155089,44509,88136,56382
"G550","1990","WI",,,,,,,,,,,,,,,"3",,,,,,"2","Wisconsin","55",,,,,"0140672415","0028970544","Wisconsin","A","+44475670","-089498457","01",294862,367210,1147697,515310,220177,375603,173367
"G560","1990","WY",,,,,,,,,,,,,,,"8",,,,,,"4","Wyoming","56",,,,,"0251500801","0001848149","Wyoming","A","+42965153","-106804612","01",15919,31194,92081,67231,19149,36354,15841
