GEOID,HcvTmDr,HcvTmDr2,HcvCntDr,HcvMinDis
501,,,,
601,0,0,0,12.57320906
602,0,0,0,3.542659535
603,0,0,0,1.430138711
604,0,0,0,3.91626888
605,0,0,0,1.335867427
606,0,0,0,4.097933981
610,0,0,0,5.579156548
611,0,0,0,7.195070766
612,0,0,0,5.1623552
613,0,0,0,6.270077101
614,0,0,0,5.247547195
616,0,0,0,2.772153867
617,0,0,0,2.788279285
622,0,0,0,2.076642184
623,0,0,0,3.496307997
624,0,0,0,8.512269496
627,0,0,0,6.894501302
631,,,,
637,0,0,0,1.447290982
638,0,0,0,7.174923144
641,0,0,0,10.45180753
646,0,0,0,4.672159429
647,0,0,0,2.484460785
650,0,0,0,7.207571957
652,0,0,0,1.696367561
653,0,0,0,0.448562231
656,0,0,0,8.585465967
659,0,0,0,5.315229295
660,0,0,0,4.526195116
662,0,0,0,2.112863196
664,0,0,0,13.84891232
667,0,0,0,3.068716821
669,0,0,0,4.270905798
670,0,0,0,1.335999726
674,0,0,0,8.357162168
676,0,0,0,3.636089297
677,0,0,0,8.631553603
678,0,0,0,6.845694025
680,0,0,0,1.590130223
681,0,0,0,0.263419475
682,0,0,0,4.980358188
683,0,0,0,1.105409314
685,0,0,0,4.311912565
687,0,0,0,7.999569924
688,0,0,0,7.034297878
690,0,0,0,4.806869141
692,0,0,0,6.418728976
693,0,0,0,10.9283872
694,0,0,0,10.66989255
698,0,0,0,5.188500078
703,0,0,0,4.996061154
704,0,0,0,8.394276245
705,0,0,0,0.882970039
707,0,0,0,14.74955226
714,0,0,0,3.901396309
715,0,0,0,4.656118365
716,0,0,0,1.840887917
717,0,0,0,0.726793351
718,0,0,0,10.00188883
719,0,0,0,5.596811844
720,0,0,0,0.641390795
721,0,0,0,11.73070477
723,0,0,0,8.277494393
725,0,0,0,1.938993428
726,0,0,0,0.625420201
727,0,0,0,1.71863124
728,0,0,0,2.975153214
729,0,0,0,9.752876774
730,0,0,0,1.909352274
731,0,0,0,6.629201811
732,0,0,0,1.148628662
733,0,0,0,0.633244085
735,0,0,0,4.359999434
736,0,0,0,4.588943099
737,0,0,0,4.527608744
738,0,0,0,1.157956156
739,0,0,0,1.552350028
740,0,0,0,1.094094314
741,0,0,0,12.97362621
744,0,0,0,11.20252483
745,0,0,0,11.66607613
751,0,0,0,9.630325035
754,0,0,0,4.204640702
757,0,0,0,13.32070867
765,0,0,0,21.81927039
766,0,0,0,9.456290535
767,0,0,0,15.37379396
769,0,0,0,8.022324256
771,0,0,0,7.968200432
772,0,0,0,13.55454251
773,0,0,0,5.554633743
775,,,,
777,0,0,0,3.828627197
778,0,0,0,1.263075587
780,0,0,0,4.287040122
782,0,0,0,5.521289007
783,0,0,0,5.843317457
784,0,0,0,1.671140849
785,0,0,0,1.05927343
786,,,,
791,0,0,0,13.40882533
792,0,0,0,12.24086872
794,0,0,0,4.046656752
795,0,0,0,7.754918125
801,0,0,0,41.07373587
802,0,0,0,41.15513959
803,0,0,0,41.07373587
804,0,0,0,41.07373587
820,0,0,0,2.737267801
830,0,0,0,39.69576196
831,0,0,0,38.67932777
840,0,0,0,6.989921446
850,0,0,0,2.912223298
901,0,0,0,1.498716482
902,0,0,0,1.228774706
907,0,0,0,1.58742651
908,0,0,0,1.155857259
909,0,0,0,2.161062509
910,0,0,0,2.107977125
911,0,0,0,2.710781731
912,0,0,0,2.600677386
913,0,0,0,3.829473077
914,0,0,0,2.911722743
915,0,0,0,3.445042811
916,0,0,0,3.151959951
917,0,0,0,2.887714782
918,0,0,0,1.991126822
919,0,0,0,2.32618136
920,0,0,0,1.546301203
921,0,0,0,0.92422452
922,0,0,0,2.033757303
923,0,0,0,3.251221842
924,0,0,0,4.528415626
925,0,0,0,2.013129664
926,0,0,0,2.79597603
927,0,0,0,1.021899851
928,0,0,0,2.237512539
929,0,0,0,4.720556788
931,0,0,0,2.237512539
934,0,0,0,0.533862423
935,,,,
936,0,0,0,2.094646428
937,0,0,0,6.426240934
940,0,0,0,2.107977125
949,0,0,0,2.995693771
950,0,0,0,2.429859008
951,0,0,0,2.429859008
952,0,0,0,2.69553644
953,0,0,0,2.053749269
954,0,0,0,0.096571568
956,0,0,0,3.738106081
957,0,0,0,3.86381802
958,0,0,0,3.024352637
959,0,0,0,2.496956514
960,0,0,0,1.837048307
961,0,0,0,1.582452918
962,0,0,0,1.57434609
963,0,0,0,1.455964415
965,0,0,0,1.504206797
966,0,0,0,2.234518507
968,0,0,0,1.783784188
969,0,0,0,2.566045982
970,0,0,0,3.040769232
971,0,0,0,2.830313951
975,,,,
976,0,0,0,4.876613993
977,0,0,0,1.455964415
979,0,0,0,5.312270495
981,0,0,0,6.426240934
982,0,0,0,6.094317193
