HEROP_ID,MhMinDis
140US01089011021,7.554165539
140US01095031200,13.2041328
140US01073012401,5.092352369
140US01073003400,1.409922887
140US01073010402,0.926057659
140US01073005101,0.762604977
140US01073000500,2.563471244
140US01073010705,2.282048831
140US01103001000,1.627059387
140US01125011701,1.531126344
140US01125012304,2.858716943
140US01065040300,9.133117263
140US01099075800,22.43756944
140US01127021300,12.39438173
140US01129044000,4.870479305
140US01079979300,9.4183125
140US01015000300,1.56374501
140US01023956800,1.412447269
140US01039961600,9.288519606
140US01043964600,6.256446304
140US01085781000,20.54467201
140US01047956600,2.149788422
140US01055000600,1.725426766
140US01077010600,2.013437816
140US01003010100,31.78764696
140US01111000300,24.12696121
140US01113030200,1.876070608
140US01037961200,14.66130258
140US01085780800,15.5481896
140US01087232200,12.99448263
140US01069041500,2.458027895
140US01081041600,2.696409941
140US01101002202,1.463514066
140US01101002201,1.755401807
140US01101003100,0.573633003
140US01101001400,2.110086225
140US01001021100,16.2632371
140US01005950300,23.24019368
140US01097000500,0.972775231
140US01097002700,3.097580441
140US01097004800,4.354179658
140US01097003205,3.330777528
140US01069040301,0.109875134
140US01069041000,0.628983815
140US01121011100,10.36580175
140US01081040603,6.35126586
140US01073012914,2.917562777
140US01101000900,5.997036935
140US01101005407,3.498390996
140US01097007500,3.725749045
140US01103005108,3.110401844
140US01087231700,0.768329172
140US01131035200,26.15754912
140US01069040203,3.463854011
140US01001020501,2.028342417
140US01125012307,1.5770459
140US01125012407,2.041475516
140US01131034802,33.13505979
140US01119011302,8.046875075
140US01015002104,10.43026649
140US01077010901,2.484405858
140US01133965602,9.9032982
140US01101003304,0.160987383
140US01071950902,3.355473096
140US01081040802,4.489913412
140US01081040201,3.706147813
140US01097006804,3.236158794
140US01049960301,5.278612061
140US01089002923,3.59201012
140US01089002804,3.040444205
140US01089010404,15.42383465
140US01073004501,0.393292529
140US01073012921,3.971830298
140US01073003700,0.565705836
140US01073001500,2.532728311
140US01073013300,4.596226994
140US01073005200,1.217968959
140US01073002000,0.917565801
140US01073005903,0.611822806
140US01073002305,1.448059216
140US01073002100,1.62814617
140US01073012302,10.87459055
140US01103000700,0.842723979
140US01103000300,0.91288042
140US01125011703,2.775249604
140US01125010407,1.217153424
140US01091973300,15.85988703
140US01065040100,10.94419496
140US01099076200,31.42958314
140US01099075700,32.0030843
140US01083020500,2.656176513
140US01105686800,18.2934438
140US01063060200,10.9606606
140US01071950400,17.17025462
140US01089000901,4.952535626
140US01089010623,4.535798888
140US01089000902,3.818200959
140US01089002300,1.977754343
140US01025957800,33.39347118
140US01025957700,19.70716085
140US01033020200,4.981217223
140US01033020400,7.005470767
140US01039962800,7.9297535
140US01047957000,18.92849325
140US01047956202,8.442729451
140US01047956800,2.961059324
140US01015000200,1.374922545
140US01019955702,10.72890482
140US01117030319,2.594823432
140US01081040300,3.5959631
140US01081041300,0.93802742
140US01101003000,4.94456824
140US01101001100,3.859926228
140US01101005410,1.291788418
140US01101005302,2.255932467
140US01101002500,3.180382296
140US01101003301,1.357529608
140US01037961100,12.18660063
140US01085781100,19.04038241
140US01121010600,14.23208504
140US01113031200,15.53946857
140US01097005900,19.62116929
140US01097001901,5.724589125
140US01097005000,5.284161872
140US01097005200,5.039869004
140US01097000902,0.941526743
140US01097001400,1.86475947
140US01097002600,3.078681479
140US01097003301,4.543675284
140US01097003602,5.358305521
140US01069040600,0.796516037
140US01069040400,1.248440845
140US01093964500,15.0717717
140US01093964300,6.191422694
140US01125011402,0.556461611
