GEOID,HEROP_ID,HivCntDr,HivTmDr,HivTmDr2
1073013300,140US01073013300,11,5.8,11.6
1073005200,140US01073005200,12,5.3,10.6
1073002000,140US01073002000,12,2.64,5.28
1073005903,140US01073005903,12,0,0
1073002305,140US01073002305,12,3.46,6.92
1073002100,140US01073002100,12,3.25,6.5
1073012302,140US01073012302,7,22.66,45.32
1103000700,140US01103000700,1,22.84,45.68
1103000300,140US01103000300,1,23.19,46.38
1125011703,140US01125011703,5,4.19,8.38
1125010407,140US01125010407,4,5.53,11.06
1091973300,140US01091973300,0,48.6,97.2
1065040100,140US01065040100,1,25.67,51.34
1099076200,140US01099076200,0,78.33,156.66
1099075700,140US01099075700,0,,
1083020500,140US01083020500,1,20.76,41.52
1105686800,140US01105686800,0,57.76,115.52
1063060200,140US01063060200,1,23.9,47.8
1071950400,140US01071950400,0,,
1089000901,140US01089000901,1,18.21,36.42
1089010623,140US01089010623,1,11.15,22.3
1089000902,140US01089000902,1,17.93,35.86
1089002300,140US01089002300,1,14.6,29.2
1025957800,140US01025957800,0,37.7,75.4
1025957700,140US01025957700,0,44.25,88.5
1033020200,140US01033020200,0,60.01,120.02
1033020400,140US01033020400,0,64.09,128.18
1039962800,140US01039962800,1,27.02,54.04
1047957000,140US01047957000,0,87.91,175.82
1047956202,140US01047956202,0,61.52,123.04
1047956800,140US01047956800,0,55.37,110.74
1015000200,140US01015000200,3,2.74,5.48
1019955702,140US01019955702,0,36.91,73.82
1117030319,140US01117030319,10,15.08,30.16
1081040300,140US01081040300,2,9.32,18.64
1081041300,140US01081041300,1,0,0
1101003000,140US01101003000,2,14.18,28.36
1101001100,140US01101001100,2,12.27,24.54
1101005410,140US01101005410,3,10.6,21.2
1101005302,140US01101005302,2,14.28,28.56
1101002500,140US01101002500,2,15.74,31.48
1101003301,140US01101003301,2,8.62,17.24
1037961100,140US01037961100,0,45.66,91.32
1085781100,140US01085781100,0,57.87,115.74
1121010600,140US01121010600,3,27.88,55.76
1113031200,140US01113031200,3,27.88,55.76
1097005900,140US01097005900,0,36.8,73.6
1097001901,140US01097001901,3,12.15,24.3
1097005000,140US01097005000,3,8.89,17.78
1097005200,140US01097005200,3,10.18,20.36
1097000902,140US01097000902,3,7.42,14.84
1097001400,140US01097001400,3,6.2,12.4
1097002600,140US01097002600,3,5.98,11.96
1097003301,140US01097003301,3,2.02,4.04
1097003602,140US01097003602,3,8.76,17.52
1069040600,140US01069040600,3,1.85,3.7
1069040400,140US01069040400,3,4.07,8.14
1093964500,140US01093964500,0,39.99,79.98
1093964300,140US01093964300,0,56.78,113.56
1125011402,140US01125011402,5,3.05,6.1
1125012101,140US01125012101,5,5.08,10.16
1125010105,140US01125010105,0,61.62,123.24
1125012102,140US01125012102,5,4.41,8.82
1097990000,140US01097990000,3,16.7,33.4
1047956400,140US01047956400,0,51.85,103.7
1069040205,140US01069040205,3,3.91,7.82
1001020502,140US01001020502,2,6.13,12.26
1051031001,140US01051031001,2,8.59,17.18
1115040104,140US01115040104,11,14.19,28.38
1073011002,140US01073011002,9,20.04,40.08
1073012913,140US01073012913,14,11.86,23.72
1117030330,140US01117030330,13,13.05,26.1
1097007600,140US01097007600,3,10.36,20.72
1031011100,140US01031011100,1,23.08,46.16
1001020600,140US01001020600,2,7.9,15.8
1121011200,140US01121011200,0,41.34,82.68
1089000403,140US01089000403,1,21.79,43.58
1089011201,140US01089011201,1,13.44,26.88
1089011026,140US01089011026,1,0,0
1089010503,140US01089010503,1,16.5,33
1089011023,140US01089011023,1,6.36,12.72
1073004502,140US01073004502,14,0,0
1073012918,140US01073012918,14,8.99,17.98
1073012805,140US01073012805,14,9.23,18.46
1073011003,140US01073011003,11,13.17,26.34
1073012919,140US01073012919,14,10.11,20.22
1117030352,140US01117030352,11,16.92,33.84
1097007203,140US01097007203,0,33.46,66.92
1097006410,140US01097006410,3,10.91,21.82
1097000802,140US01097000802,3,8.68,17.36
1009050302,140US01009050302,0,42.51,85.02
1049960302,140US01049960302,0,43.93,87.86
1031011205,140US01031011205,1,23.98,47.96
