"GEOID","NoVehHHld","CommTransit","CommWalking","HEROP_ID"
"01452",1.56,0.64,0.68,"860US01452"
"01453",11.24,1.32,2.22,"860US01453"
"01460",3.96,3.71,1.29,"860US01460"
"01462",2.24,1.19,0.29,"860US01462"
"01463",3.92,1.23,0.84,"860US01463"
"01464",1.68,5.16,1.67,"860US01464"
"01467",0,0,8.14,"860US01467"
"01468",1.83,0,0,"860US01468"
"01469",3.11,1.37,1.25,"860US01469"
"01473",1.34,3.49,0.49,"860US01473"
"01474",4.18,0,0,"860US01474"
"01475",11.57,0.58,3.91,"860US01475"
"01501",6.21,0.61,0.8,"860US01501"
"01503",2.49,1.34,1.22,"860US01503"
"01504",5.51,0.6,0.64,"860US01504"
"01505",2.82,0.67,3.33,"860US01505"
"01506",1.7,0.11,0.84,"860US01506"
"01507",3.36,0.23,0.2,"860US01507"
"01510",7.05,0.43,2.75,"860US01510"
"01515",2.31,0.42,1.01,"860US01515"
"01516",3.4,0.52,0.79,"860US01516"
"01518",5.18,0,0.05,"860US01518"
"01519",3.31,3.32,0.44,"860US01519"
"01520",4.44,0.49,0.59,"860US01520"
"01521",0.52,0,0,"860US01521"
"01522",0.87,0,0.51,"860US01522"
"01523",2.52,1.66,1.89,"860US01523"
"01524",3.1,0.23,1.92,"860US01524"
"01525",0,0,0,"860US01525"
"01527",3.48,0.7,2.18,"860US01527"
"01529",4.98,2.79,0,"860US01529"
"01531",3.04,0.47,2.05,"860US01531"
"01532",2.04,1.1,1.43,"860US01532"
"01534",10.06,1.34,0.08,"860US01534"
"01535",1.98,1.6,3.63,"860US01535"
"01536",3.53,3.67,1.19,"860US01536"
"01537",1.68,0.08,0,"860US01537"
"01540",3.68,0.84,0.85,"860US01540"
"01541",4.35,0.52,0.42,"860US01541"
"01542",4.19,2.55,0,"860US01542"
"01543",1.66,0,0,"860US01543"
"01545",4.8,3.24,0.97,"860US01545"
"01550",14.84,0.29,7.13,"860US01550"
"01560",2.71,4.53,0.04,"860US01560"
"01561",0,0,0,"860US01561"
"01562",10.79,0.52,3.14,"860US01562"
"01564",2.61,0.7,0,"860US01564"
"01566",0.89,0.88,0.95,"860US01566"
"01568",1.88,1.3,0.02,"860US01568"
"01569",4.37,0.15,0.16,"860US01569"
"01570",10.39,0.42,3.76,"860US01570"
"01571",4.8,0.54,4.04,"860US01571"
"01581",6.64,3.34,1.19,"860US01581"
"01583",5.16,0.57,2.03,"860US01583"
"01585",5.07,1.47,5.4,"860US01585"
"01588",6.82,0,0.77,"860US01588"
"01590",3.25,0.43,2.72,"860US01590"
"01602",11.13,2.06,2.99,"860US01602"
"01603",20.3,3.14,4.42,"860US01603"
"01604",14.45,1.86,3.68,"860US01604"
"01605",24.39,3.84,7.65,"860US01605"
"01606",6.48,1.82,1.96,"860US01606"
"01607",14.67,2.45,1.3,"860US01607"
"01608",44.32,9.54,16.5,"860US01608"
"01609",25.8,3.13,15.41,"860US01609"
"01610",30.78,6.31,15.17,"860US01610"
"01611",1.26,0,0,"860US01611"
"01612",4.33,1.3,3.39,"860US01612"
"01701",5.88,3.41,1.56,"860US01701"
"01702",11.33,4.79,4.6,"860US01702"
"01718",0,16.4,4.6,"860US01718"
"01719",1.94,6.63,2.38,"860US01719"
"01720",4.06,6.84,1.07,"860US01720"
"01721",2.53,7.66,0.55,"860US01721"
"01730",4.26,2.31,0.83,"860US01730"
"01731",0,2.39,10.77,"860US01731"
"01740",1.55,3.5,0.44,"860US01740"
"01741",2.41,3,0.89,"860US01741"
"01742",4.08,7.66,2.4,"860US01742"
"01745",0,4.45,12.67,"860US01745"
"01746",3.16,4.53,0.7,"860US01746"
"01747",7.64,3.84,1.56,"860US01747"
"01748",2.1,6.71,1.84,"860US01748"
"01749",3.29,1.35,1.25,"860US01749"
"01752",5.81,1.85,1.4,"860US01752"
"01754",5.25,2.6,0.53,"860US01754"
"01756",2.32,5.65,0.75,"860US01756"
"01757",6.42,1.62,0.74,"860US01757"
"01760",4.48,9.14,1.65,"860US01760"
"01770",0.64,10.19,1.4,"860US01770"
"01772",2.01,4.84,1.62,"860US01772"
"01773",10.65,12.37,2.31,"860US01773"
"01775",2.49,2.19,0.4,"860US01775"
"01776",3.19,4.24,0.5,"860US01776"
"01778",4.32,4.84,1.34,"860US01778"
"01801",7.02,4.37,2.13,"860US01801"
"01803",4.99,3.67,1.28,"860US01803"
"01810",3.49,5.07,3.34,"860US01810"
"01821",3.41,3.29,0.4,"860US01821"
"01824",3.97,2.46,0.92,"860US01824"
"01826",4.15,1.97,0.82,"860US01826"
"01827",1.67,0.55,0.66,"860US01827"
"01830",13.83,5.4,3.3,"860US01830"
"01832",9.81,4.46,1.79,"860US01832"
"01833",3.01,1.19,0.19,"860US01833"
"01834",2.49,1.88,1.05,"860US01834"
"01835",4.15,1.67,0.99,"860US01835"
"01840",43.9,7.68,10.96,"860US01840"
"01841",24.97,4.18,5.19,"860US01841"
"01843",17.86,3.67,4.07,"860US01843"
"01844",5.82,1.52,1.01,"860US01844"
"01845",7.09,3.7,1.66,"860US01845"
"01850",17.21,3.12,5.31,"860US01850"
"01851",12.75,3.67,2.63,"860US01851"
"01852",20.01,3.9,3.38,"860US01852"
"01854",20.73,3.67,11.46,"860US01854"
