"HEROP_ID","GEOID","TotTracts","HospCtTmDr","HospCtTmDr2","HospTmDrP","HospTmDrP2","HospAvTmDr","HospAvTmDr2"
"040US01","01",1436,1313,873,91.43,60.79,13.67,27.34
"040US02","02",177,120,96,67.8,54.24,14.82,29.64
"040US04","04",1765,1618,1481,91.67,83.91,10.4,20.8
"040US05","05",823,709,479,86.15,58.2,14.96,29.91
"040US06","06",9109,8884,8321,97.53,91.35,7.18,14.35
"040US08","08",1447,1333,1203,92.12,83.14,10.25,20.5
"040US09","09",879,0,0,0,0,NA,NA
"040US10","10",259,258,205,99.61,79.15,9.7,19.4
"040US11","11",206,206,206,100,100,3.66,7.33
"040US12","12",5122,4983,4391,97.29,85.73,9.09,18.18
"040US13","13",2791,2699,2114,96.7,75.74,11.16,22.32
"040US15","15",436,383,297,87.84,68.12,12.17,24.35
"040US16","16",456,387,314,84.87,68.86,14.55,29.1
"040US17","17",3263,3189,2799,97.73,85.78,7.86,15.73
"040US18","18",1693,1658,1354,97.93,79.98,9.38,18.75
"040US19","19",896,878,649,97.99,72.43,10.08,20.17
"040US20","20",829,799,687,96.38,82.87,8.64,17.28
"040US21","21",1306,1202,771,92.04,59.04,13.93,27.86
"040US22","22",1379,1323,1088,95.94,78.9,9.55,19.11
"040US23","23",401,340,180,84.79,44.89,17.44,34.89
"040US24","24",1465,1452,1263,99.11,86.21,8.69,17.38
"040US25","25",1613,1606,1432,99.57,88.78,7.55,15.11
"040US26","26",2972,2839,2314,95.52,77.86,10.34,20.68
"040US27","27",1502,1417,1138,94.34,75.77,10.9,21.79
"040US28","28",875,821,544,93.83,62.17,13.16,26.32
"040US29","29",1654,1520,1191,91.9,72.01,11.99,23.98
"040US30","30",319,238,188,74.61,58.93,18.54,37.09
"040US31","31",553,531,471,96.02,85.17,7.94,15.87
"040US32","32",779,731,697,93.84,89.47,7.93,15.86
"040US33","33",349,340,237,97.42,67.91,12.29,24.58
"040US34","34",2175,2170,1987,99.77,91.36,6.95,13.9
"040US35","35",612,491,397,80.23,64.87,16.15,32.3
"040US36","36",5394,5233,4578,97.02,84.87,7.73,15.47
"040US37","37",2661,2546,1861,95.68,69.94,12.46,24.91
"040US38","38",228,188,144,82.46,63.16,14.1,28.2
"040US39","39",3162,3123,2689,98.77,85.04,8.79,17.57
"040US40","40",1205,1155,933,95.85,77.43,9.72,19.45
"040US41","41",994,882,753,88.73,75.75,12.86,25.72
"040US42","42",3445,3332,2744,96.72,79.65,9.47,18.93
"040US44","44",247,246,228,99.6,92.31,6.56,13.12
"040US45","45",1317,1200,827,91.12,62.79,14.26,28.51
"040US46","46",242,204,168,84.3,69.42,13.85,27.71
"040US47","47",1701,1615,1190,94.94,69.96,12.16,24.32
"040US48","48",6884,6610,5640,96.02,81.93,9.45,18.91
"040US49","49",716,672,604,93.85,84.36,9.61,19.23
"040US50","50",193,158,85,81.87,44.04,18.08,36.15
"040US51","51",2186,2040,1632,93.32,74.66,11.95,23.89
"040US53","53",1772,1648,1407,93,79.4,11,22
"040US54","54",546,438,296,80.22,54.21,17.6,35.19
"040US55","55",1528,1453,1155,95.09,75.59,10.52,21.05
"040US56","56",160,118,103,73.75,64.38,16.12,32.24
"040US60","60",18,0,0,0,0,NA,NA
"040US66","66",56,0,0,0,0,NA,NA
"040US69","69",23,0,0,0,0,NA,NA
"040US72","72",939,0,0,0,0,NA,NA
"040US78","78",29,0,0,0,0,NA,NA
