GEOID,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
1020,7.599123511,15.19824702,7,3.004485842
1021,5.27,10.54,7,2.013762364
1022,11.02856013,22.05712025,7,4.054940623
1026,26.94206239,53.88412478,1.953206239,14.46414034
1027,8.680887682,17.36177536,6.536634461,4.435732069
1028,10.56266514,21.12533027,5.002566527,5.915672927
1029,26.59,53.18,1,13.83476153
1030,9.528012913,19.05602583,4.977044477,4.735300526
1031,24.24072512,48.48145024,1.998313659,14.47669402
1032,17.48,34.96,2,7.055426701
1033,14.99527573,29.99055146,7,7.593238748
1034,17.54624016,35.09248032,1.621062992,8.252472498
1035,11.75,23.5,6,4.591263991
1036,17.9,35.8,4,6.023391136
1037,24.26,48.52,2,14.48741682
1038,8.24,16.48,7,4.230810768
1039,16.9681042,33.9362084,2.42691751,7.235490328
1040,4.088743955,8.17748791,6.997900752,1.358460516
1041,4.387839244,8.775678487,7,1.370556078
1050,17.82147646,35.64295292,3.605746209,9.700092423
1053,0,0,7,1.267033546
1054,20.92103614,41.84207229,1.119277109,12.35757244
1056,13.11282748,26.22565496,5.558982188,6.243952069
1057,15.18773989,30.37547979,3.538355787,5.531987532
1059,,,,
1060,4.459594542,8.919189083,7,1.307658318
1061,4.4,8.8,7,1.378275947
1062,2.887472933,5.774945866,6.99963296,1.171297542
1063,,,,
1066,8.24,16.48,7,4.230810768
1068,25.62273316,51.24546631,3.023316063,13.71128803
1069,2.176160076,4.352320153,5.79761905,2.830891516
1070,27.18546926,54.37093851,1.987055016,14.65204724
1071,14.78,29.56,2,6.09601537
1072,21.14,42.28,1,12.58310829
1073,11.64435367,23.28870734,6,6.053888522
1074,,,,
1075,8.740813236,17.48162647,7,3.961064695
1077,11.90236078,23.80472156,4,4.622916492
1079,,,,
1080,8.623675527,17.24735105,5.997250229,1.524690243
1081,21.38,42.76,2,8.299510286
1082,16.09527713,32.19055427,1.08118657,8.682310772
1083,11.11,22.22,2,7.513152266
1084,17.48,34.96,2,7.055426701
1085,5.0178919,10.0357838,5.826264691,2.1148077
1086,6.42,12.84,4,1.928849802
1088,8.205060977,16.41012195,7,4.205215915
1089,6.499391679,12.99878336,7,2.192552563
1090,4.94,9.88,7,1.109820367
1092,,,,
1093,,,,
1094,,,,
1095,14.69461076,29.38922152,5.006011422,5.367698586
1096,17.67471483,35.34942967,2.114068441,7.165334348
1097,,,,
1098,27.06803986,54.13607973,2,14.56887324
1101,1.66,3.32,7,0.858997596
1103,1.877412854,3.754825707,7,0.94874261
1104,2.63267291,5.265345821,7,1.328403757
1105,2.838481098,5.676962196,6.998474318,1.379319455
1106,9.449034237,18.89806847,5.208656331,4.942789944
1107,1.701124602,3.402249204,7,0.455472444
1108,5.390037684,10.78007537,6.16930147,2.934206888
1109,4.634787346,9.269574693,6.509214956,2.316405184
1111,,,,
1115,,,,
1116,11.38,22.76,4,5.213544393
1118,7.76631126,15.53262252,5.755629139,3.777617107
1119,8.146207155,16.29241431,5.662483611,4.212984747
1128,10.72984712,21.45969424,5,5.431913275
1129,10.46151985,20.92303969,5.125847047,5.403019404
1138,4.05,8.1,7,2.25922465
1139,3.9,7.8,7,2.039270827
1144,,,,
1151,9.320929932,18.64185986,6.077638408,5.297680121
1152,,,,
1199,,,,
1201,4.254817185,8.509634371,1.457989101,1.706934799
1202,1.72,3.44,2,0.534391922
1220,9.465000001,18.93,2,5.604516282
1222,14.81,29.62,1,6.283644562
1223,24.12616896,48.25233792,1.995415848,11.71577853
1224,12.39,24.78,2,5.08521551
1225,16.2405618,32.4811236,2,8.764952144
1226,9.050828523,18.10165705,1.000679117,5.064718551
1227,9.05,18.1,1,5.064923303
1229,,,,
