GEOID,HEROP_ID,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
13089,050US13089,324.62,3706.05,,1668,19043,
6029,050US06029,274.83,4101.75,,1633,24372,
6001,050US06001,144.55,2361.93,,1605,26226,
4019,050US04019,240.87,2624,,1599,17419,
12071,050US12071,334.88,3540.55,,1567,16567,
48215,050US48215,268.03,3033.58,,1502,17000,
12033,050US12033,711.93,5646.94,,1498,11882,
12101,050US12101,399.02,3243.41,,1494,12144,
22033,050US22033,502.35,2316.25,,1493,6884,
1097,050US01097,568.09,6855.77,,1483,17897,
12111,050US12111,695.58,3635.5,,1483,7751,
35001,050US35001,336.46,3755.07,,1482,16540,
8041,050US08041,295.21,3289.48,,1464,16313,
37183,050US37183,181.75,2678.95,,1462,21549,
45045,050US45045,413,4964.21,,1458,17525,
1073,050US01073,340.04,8409.63,,1454,35959,
12009,050US12009,376.5,3945.16,,1444,15131,
22017,050US22017,1019.52,10716.64,,1441,15147,
22083,050US22083,11490.23,19324.1,,1411,2373,
6099,050US06099,393.82,4487.02,,1400,15951,
48303,050US48303,637.82,5565.87,,1367,11929,
48309,050US48309,779.22,9729.34,,1356,16931,
13245,050US13245,989.28,4794.36,,1347,6528,
47093,050US47093,408.6,6076.69,,1345,20003,
12127,050US12127,378.78,6097.71,,1324,21314,
40143,050US40143,300.27,4063.83,,1305,17662,
6077,050US06077,252.12,2377.65,,1303,12288,
40109,050US40109,249.08,5713.68,,1291,29615,
37119,050US37119,161.7,1930.86,,1283,15320,
5119,050US05119,496.55,5727.32,,1267,14614,
51075,050US51075,505.9,3746.75,,1265.03,9369,
51087,050US51087,505.9,3746.75,,1265.03,9369,
51127,050US51127,505.9,3746.75,,1265.03,9369,
6107,050US06107,413.71,2130.41,,1264,6509,
6111,050US06111,231.53,4137.85,,1253,22393,
26163,050US26163,110.77,895.86,,1245,10069,
25025,050US25025,216.76,1460.05,,1215,8184,
48061,050US48061,455.67,2677.27,,1212,7121,
22071,050US22071,490.47,3165.67,,1206,7784,
29189,050US29189,191.9,2737.35,,1195,17046,
13165,050US13165,20355.36,32137.31,,1180,1863,
13051,050US13051,593.02,3775.89,,1179,7507,
21111,050US21111,236.92,2922.58,,1179,14544,
