GEOID,HEROP_ID,TtlJlPpr,TtlJlPrtr,TtlJlPp,TtlJlPrt
02,040US02,,,,
01,040US01,490.7011068,399.8864205,15925.92033,12978.48973
05,040US05,519.2718874,350.2174419,10026.75069,6762.436139
04,040US04,264.3255586,136.1745632,12371.22119,6373.373996
06,040US06,232.1542207,157.5525348,60154.72911,40824.28493
08,040US08,269.4139802,201.4672384,10592.69764,7921.198219
09,040US09,,,,
11,040US11,280.9637118,235.4303844,1339,1122
10,040US10,,,,
99,040US99,,,,
12,040US12,400.3358228,299.4151647,55750.76269,41696.55284
13,040US13,609.0553642,387.0236417,43971.02,27941.34211
15,040US15,,,,
19,040US19,234.3941506,187.8921102,4735.26579,3795.824595
16,040US16,347.8365178,252.646911,4280.347488,3108.979407
17,040US17,186.1163525,169.644704,15262.79533,13912.00913
18,040US18,442.2638238,329.9151909,19409,14478.51621
20,040US20,378.8549927,287.6342002,7068.070287,5366.218693
21,040US21,749.1925349,385.5036843,21672.94133,11152.00478
22,040US22,1086.211054,563.5868402,31868.4656,16535.1363
25,040US25,141.6434877,94.96531467,6559,4397.501847
24,040US24,421.239756,169.951005,16900,6818.378236
23,040US23,183.0706266,175.6297277,1596.190962,1531.313839
26,040US26,207.7135339,140.8429963,13353.65384,9054.62722
27,040US27,138.9661142,102.2178092,5080.715086,3737.166921
29,040US29,280.0995412,243.2030485,11043.70869,9588.961155
28,040US28,668.956184,278.4479115,12576.59701,5234.912625
30,040US30,442.7122052,226.9883036,3125.605721,1602.566932
37,040US37,264.6587618,223.0000761,18411,15513.01145
38,040US38,294.230283,245.4140548,1460.117779,1217.867247
31,040US31,308.8108598,241.6388947,3833.976379,3000.016953
33,040US33,136.9534769,87.5096012,1244.83315,795.4150198
34,040US34,180.8210634,137.6442095,10875.98916,8278.996382
35,040US35,428.3263317,320.5677964,5725.018317,4284.715579
32,040US32,276.850742,183.2513953,5743.182819,3801.493387
36,040US36,126.4325355,105.8595888,16209,13571.49146
39,040US39,223.8588429,162.0849683,16769.10474,12141.66827
40,040US40,415.6381415,270.8832261,10694.37354,6969.828117
41,040US41,170.703648,123.8090075,4677,3392.163759
42,040US42,340.384232,225.6435255,28183.41276,18683.01765
44,040US44,,,,
45,040US45,347.9681873,292.153072,11685.29368,9810.938388
46,040US46,489.4804526,372.7223564,2761.775979,2102.996443
47,040US47,571.8882849,330.0213963,26110,15067.38097
48,040US48,372.3619901,308.8491268,73964.92821,61348.91341
98,040US98,311.1389145,210.3941462,670749.3639,453565.0578
49,040US49,291.4096054,178.6773037,6450.054377,3954.839866
51,040US51,363.2043342,220.964427,20637.98941,12555.63625
50,040US50,,,,
53,040US53,174.6122745,128.5177882,8932.903789,6574.778551
55,040US55,286.7064078,174.1841061,10822,6574.741074
54,040US54,402.2271382,234.6250003,4471,2608
56,040US56,363.1715702,253.8648596,1334.194293,932.6309508
