HEROP_ID,HivMinDis
140US01089011021,2.827039641
140US01095031200,13.1840843
140US01073012401,3.296553594
140US01073003400,4.172339147
140US01073010402,2.470654058
140US01073005101,1.421678296
140US01073000500,1.476775603
140US01073010705,0.961206771
140US01103001000,16.25382575
140US01125011701,0.789765107
140US01125012304,2.858716943
140US01065040300,11.32794674
140US01099075800,37.37711829
140US01127021300,14.08856838
140US01129044000,19.8950507
140US01079979300,37.44932031
140US01015000300,0.329770071
140US01023956800,35.37716394
140US01039961600,9.288519606
140US01043964600,23.64727184
140US01085781000,20.54467201
140US01047956600,33.65498036
140US01055000600,1.308896638
140US01077010600,35.50228957
140US01003010100,29.67143037
140US01111000300,18.02625757
140US01113030200,1.876070608
140US01037961200,16.62653338
140US01085780800,15.5481896
140US01087232200,12.99448263
140US01069041500,3.808704284
140US01081041600,2.696409941
140US01101002202,1.463514066
140US01101002201,1.755401807
140US01101003100,0.573633003
140US01101001400,2.110086225
140US01001021100,16.29505674
140US01005950300,22.74801637
140US01097000500,5.201510875
140US01097002700,2.413968695
140US01097004800,6.390355957
140US01097003205,0.801855383
140US01069040301,2.634327544
140US01069041000,1.188589847
140US01121011100,20.61283344
140US01081040603,7.075012048
140US01073012914,2.118649254
140US01101000900,5.997036935
140US01101005407,7.267570017
140US01097007500,6.170145251
140US01103005108,17.44200831
140US01087231700,0.768329172
140US01131035200,51.19502492
140US01069040203,1.172440842
140US01001020501,2.028342417
140US01125012307,1.5770459
140US01125012407,2.065319719
140US01131034802,49.93666123
140US01119011302,13.04010924
140US01015002104,9.31238847
140US01077010901,33.37509058
140US01133965602,27.58149182
140US01101003304,3.714676337
140US01071950902,37.91226353
140US01081040802,5.186049312
140US01081040201,4.443988509
140US01097006804,4.832290305
140US01049960301,36.58494331
140US01089002923,14.74130053
140US01089002804,13.51723276
140US01089010404,17.82763913
140US01073004501,0.393292529
140US01073012921,2.975099396
140US01073003700,4.024796808
140US01073001500,1.167274588
140US01073013300,2.495633322
140US01073005200,1.631878707
140US01073002000,0.917565801
140US01073005903,0.611822806
140US01073002305,1.426135757
140US01073002100,1.62814617
140US01073012302,11.65202568
140US01103000700,15.5006864
140US01103000300,14.89720613
140US01125011703,2.078201335
140US01125010407,1.606139849
140US01091973300,30.00467921
140US01065040100,11.0559613
140US01099076200,22.12297666
140US01099075700,30.99342006
140US01083020500,12.89456248
140US01105686800,33.50902996
140US01063060200,11.12684403
140US01071950400,33.38138547
140US01089000901,13.62236401
140US01089010623,5.443210828
140US01089000902,13.04121427
140US01089002300,9.415567548
140US01025957800,13.49388624
140US01025957700,23.06532682
140US01033020200,38.98976735
140US01033020400,41.2005914
140US01039962800,13.05633094
140US01047957000,43.10722102
140US01047956202,31.14446857
140US01047956800,35.28775957
140US01015000200,0.651558023
140US01019955702,22.38107083
140US01117030319,2.800980471
140US01081040300,4.430575808
140US01081041300,0.93802742
140US01101003000,4.94456824
140US01101001100,3.859926228
140US01101005410,4.554893346
140US01101005302,6.517456295
140US01101002500,6.51571604
140US01101003301,2.599480004
140US01037961100,19.65296051
140US01085781100,31.99850939
140US01121010600,19.83415088
140US01113031200,19.84359037
140US01097005900,24.58154989
140US01097001901,3.025572811
140US01097005000,6.613954509
140US01097005200,7.45869825
140US01097000902,3.807135469
140US01097001400,2.754879638
140US01097002600,3.158819451
140US01097003301,0.75198653
140US01097003602,3.751925535
140US01069040600,0.796516037
140US01069040400,2.117666348
140US01093964500,31.68366008
140US01093964300,34.04994178
140US01125011402,0.596759944
140US01125012101,1.319973693
140US01125010105,16.43527484
140US01125012102,1.460633336
140US01097990000,9.102147291
140US01047956400,32.81650911
140US01069040205,1.738423199
140US01001020502,1.925031719
140US01051031001,4.268236079
140US01115040104,6.128781322
140US01073011002,4.183162336
140US01073012913,7.334498005
140US01117030330,5.178407196
140US01097007600,6.42898763
140US01031011100,19.33301242
140US01001020600,2.142373726
140US01121011200,20.56370475
140US01089000403,10.85237018
140US01089011201,7.08110979
140US01089011026,1.173101367
140US01089010503,8.424036854
140US01089011023,1.995760715
140US01073004502,0.623533002
140US01073012918,6.493111016
140US01073012805,5.769163093
140US01073011003,5.828404174
140US01073012919,6.764096081
140US01117030352,8.389701053
140US01097007203,24.90432885
140US01097006410,4.178417509
140US01097000802,4.120256569
140US01009050302,18.03416976
140US01049960302,32.15007531
140US01031011205,17.22696295
140US01059973702,44.26669416
140US01077010902,33.83883579
140US01101003303,2.82582122
140US01047957301,31.94073297
140US01091973002,14.15515275
140US01081040202,3.316989338
140US01081042009,6.40333605
140US01081042007,7.675982774
140US01053969802,29.36434043
140US01065040402,18.79927501
140US01113030601,3.986568025
140US01083020103,17.79454722
140US01115040208,18.92269948
140US01063060000,12.16027297
140US01089011013,3.402125241
140US01089000701,10.65345721
140US01039961700,10.97650282
140US01055000500,2.574970188
140US01011952500,21.11722712
140US01073000400,2.179779386
140US01073013902,3.467782547
140US01073000300,1.327623516
140US01073005000,0.775954161
140US01103005500,25.50514439
140US01125011200,1.472849754
140US01083020900,10.2770879
140US01111000100,19.91910934
140US01023956900,36.10677898
140US01063060101,3.738967872
140US01099075901,24.148949
140US01125012408,2.884122284
140US01101005614,2.764260579
140US01031011206,16.74168042
140US01099075600,48.64079523
140US01089001302,9.26062445
140US01097006803,4.681411381
140US01003010706,13.04670861
140US01073004902,0.238095275
140US01097003703,3.254589029
140US01097005400,9.660683049
140US01097003405,3.665041813
140US01097004000,5.45035116
140US01069040900,3.466050519
140US01067030300,30.62907656
140US01101005604,12.24326501
140US01101001600,3.553987857
140US01001020200,1.448012092
140US01097000200,4.911590956
140US01097001100,4.122091066
140US01013952800,23.51480706
140US01131034700,35.06980564
140US01073014408,7.327426066
140US01101002100,1.010840878
140US01125012505,5.275957267
140US01073000700,2.377071162
140US01073013200,4.28295825
140US01033020100,38.16478374
140US01103000900,16.18079555
140US01125010601,12.98467421
140US01125012404,3.717440366
140US01083021000,12.03142439
140US01089000602,9.493336555
140US01089002701,13.18130419
140US01077010200,37.17467474
140US01097000903,3.422095726
140US01097003607,3.313484114
140US01101005613,3.81888678
140US01097006408,5.239771336
140US01073002702,1.199551095
140US01117980100,6.166051732
140US01001020503,1.733566227
140US01125012002,1.497832973
140US01089003000,11.18945198
140US01083021201,1.200989713
140US01089000702,10.4037087
140US01089010628,4.537872836
140US01063060102,5.109698506
140US01081040904,3.672502669
140US01081040402,4.759740453
140US01097003410,5.825104586
140US01089002501,10.65143947
140US01073010302,0.624488017
140US01129044100,12.18347566
140US01033020600,41.12015562
140US01039962300,5.154562003
140US01089002803,14.66778253
140US01073002701,0.823992528
140US01097000402,5.614011378
140US01101005411,7.972234202
140US01025958003,10.02093873
140US01081042008,6.025209666
140US01069040302,2.393182664
140US01073014105,4.576005336
140US01073004800,1.038599417
140US01125011800,1.293730192
140US01119011500,21.95365064
140US01101000500,4.039179627
140US01047956900,38.32636654
140US01089001700,12.20501587
140US01053969801,30.04096108
140US01089010626,7.176565575
140US01089000301,11.66119344
140US01069040204,0.890424872
140US01081041102,2.788358158
140US01073010301,0.841790264
140US01125010102,18.77224341
140US01101000700,3.18493835
140US01089000503,9.14862749
140US01073003300,3.26916269
140US01073011804,3.897811668
140US01097002100,1.600873888
140US01023956700,28.37104305
140US01077010700,34.95612358
140US01097003710,0.907116871
140US01015001102,1.351638692
140US01089002200,8.686100065
140US01097003207,0.64568879
140US01087232300,11.10946741
140US01097001501,1.900206425
140US01097002302,1.576724608
140US01097003404,4.390072486
