GEOID,HEROP_ID,SmokeP
6089,050US06089,0.137
6091,050US06091,0.151
6093,050US06093,0.159
6095,050US06095,0.132
6097,050US06097,0.105
6099,050US06099,0.128
6101,050US06101,0.164
6103,050US06103,0.167
6105,050US06105,0.171
6107,050US06107,0.154
6109,050US06109,0.134
6111,050US06111,0.107
6113,050US06113,0.128
6115,050US06115,0.156
8001,050US08001,0.148
8003,050US08003,0.166
8005,050US08005,0.126
8007,050US08007,0.111
8009,050US08009,0.205
8011,050US08011,0.192
8013,050US08013,0.103
8014,050US08014,0.089
8015,050US08015,0.146
8017,050US08017,0.136
8019,050US08019,0.118
8021,050US08021,0.144
8023,050US08023,0.163
8025,050US08025,0.19
8027,050US08027,0.136
8029,050US08029,0.178
8031,050US08031,0.143
8033,050US08033,0.159
8035,050US08035,0.081
8037,050US08037,0.116
8039,050US08039,0.132
8041,050US08041,0.134
8043,050US08043,0.158
8045,050US08045,0.128
8047,050US08047,0.12
8049,050US08049,0.117
8051,050US08051,0.093
8053,050US08053,0.121
8055,050US08055,0.155
8057,050US08057,0.165
8059,050US08059,0.106
8061,050US08061,0.2
8063,050US08063,0.131
8065,050US08065,0.091
8067,050US08067,0.115
8069,050US08069,0.091
8071,050US08071,0.168
8073,050US08073,0.162
8075,050US08075,0.18
8077,050US08077,0.158
8079,050US08079,0.133
8081,050US08081,0.185
8083,050US08083,0.166
8085,050US08085,0.157
8087,050US08087,0.143
8089,050US08089,0.203
8091,050US08091,0.125
8093,050US08093,0.138
8095,050US08095,0.177
8097,050US08097,0.091
8099,050US08099,0.176
8101,050US08101,0.146
8103,050US08103,0.169
8105,050US08105,0.123
8107,050US08107,0.116
8109,050US08109,0.174
8111,050US08111,0.144
8113,050US08113,0.115
8115,050US08115,0.16
8117,050US08117,0.119
8119,050US08119,0.121
8121,050US08121,0.143
8123,050US08123,0.125
8125,050US08125,0.153
9001,050US09001,
9003,050US09003,
9005,050US09005,
9007,050US09007,
9009,050US09009,
9011,050US09011,
9013,050US09013,
9015,050US09015,
9110,050US09110,0.124
9120,050US09120,0.127
9130,050US09130,0.116
9140,050US09140,0.135
9150,050US09150,0.148
9160,050US09160,0.134
9170,050US09170,0.13
9180,050US09180,0.138
9190,050US09190,0.104
10001,050US10001,0.152
10003,050US10003,0.142
10005,050US10005,0.155
11001,050US11001,0.114
12001,050US12001,0.156
12003,050US12003,0.192
12005,050US12005,0.163
12007,050US12007,0.214
12009,050US12009,0.136
12011,050US12011,0.134
12013,050US12013,0.198
12015,050US12015,0.161
12017,050US12017,0.152
12019,050US12019,0.137
12021,050US12021,0.137
12023,050US12023,0.202
12027,050US12027,0.204
12029,050US12029,0.24
12031,050US12031,0.152
12033,050US12033,0.162
12035,050US12035,0.135
12037,050US12037,0.197
12039,050US12039,0.183
12041,050US12041,0.188
12043,050US12043,0.212
12045,050US12045,0.175
12047,050US12047,0.225
12049,050US12049,0.21
12051,050US12051,0.188
12053,050US12053,0.163
12055,050US12055,0.176
12057,050US12057,0.127
12059,050US12059,0.224
12061,050US12061,0.156
12063,050US12063,0.227
12065,050US12065,0.185
12067,050US12067,0.225
12069,050US12069,0.158
12071,050US12071,0.127
12073,050US12073,0.141
12075,050US12075,0.181
12077,050US12077,0.21
12079,050US12079,0.232
12081,050US12081,0.159
12083,050US12083,0.173
12085,050US12085,0.149
12086,050US12086,0.13
12087,050US12087,0.138
12089,050US12089,0.131
12091,050US12091,0.151
12093,050US12093,0.212
12095,050US12095,0.125
12097,050US12097,0.132
12099,050US12099,0.129
12101,050US12101,0.144
12103,050US12103,0.158
12105,050US12105,0.173
12107,050US12107,0.224
12109,050US12109,0.093
12111,050US12111,0.154
12113,050US12113,0.145
12115,050US12115,0.131
12117,050US12117,0.124
12119,050US12119,0.139
12121,050US12121,0.198
12123,050US12123,0.197
12125,050US12125,0.214
12127,050US12127,0.152
12129,050US12129,0.172
12131,050US12131,0.161
12133,050US12133,0.216
13001,050US13001,0.187
13003,050US13003,0.203
13005,050US13005,0.218
13007,050US13007,0.171
13009,050US13009,0.18
13011,050US13011,0.222
13013,050US13013,0.143
13015,050US13015,0.154
13017,050US13017,0.234
13019,050US13019,0.203
13021,050US13021,0.181
13023,050US13023,0.165
13025,050US13025,0.209
13027,050US13027,0.211
13029,050US13029,0.135
13031,050US13031,0.162
13033,050US13033,0.191
13035,050US13035,0.189
13037,050US13037,0.24
13039,050US13039,0.18
13043,050US13043,0.217
13045,050US13045,0.149
13047,050US13047,0.144
13049,050US13049,0.214
13051,050US13051,0.136
13053,050US13053,0.18
13055,050US13055,0.21
13057,050US13057,0.13
13059,050US13059,0.15
13061,050US13061,0.166
13063,050US13063,0.179
13065,050US13065,0.23
13067,050US13067,0.097
13069,050US13069,0.206
13071,050US13071,0.219
13073,050US13073,0.15
13075,050US13075,0.198
13077,050US13077,0.138
13079,050US13079,0.193
13081,050US13081,0.19
13083,050US13083,0.161
13085,050US13085,0.122
13087,050US13087,0.184
13089,050US13089,0.13
13091,050US13091,0.177
13093,050US13093,0.191
13095,050US13095,0.188
13097,050US13097,0.148
13099,050US13099,0.21
13101,050US13101,0.178
13103,050US13103,0.149
13105,050US13105,0.201
13107,050US13107,0.22
13109,050US13109,0.222
13111,050US13111,0.199
13113,050US13113,0.107
13115,050US13115,0.186
13117,050US13117,0.098
13119,050US13119,0.191
13121,050US13121,0.107
13123,050US13123,0.148
13125,050US13125,0.175
13127,050US13127,0.139
13129,050US13129,0.201
13131,050US13131,0.194
13133,050US13133,0.145
13135,050US13135,0.118
13137,050US13137,0.18
13139,050US13139,0.171
13141,050US13141,0.222
13143,050US13143,0.191
13145,050US13145,0.153
13147,050US13147,0.166
13149,050US13149,0.199
13151,050US13151,0.13
13153,050US13153,0.142
13155,050US13155,0.194
13157,050US13157,0.17
13159,050US13159,0.188
13161,050US13161,0.225
13163,050US13163,0.233
13165,050US13165,0.232
13167,050US13167,0.234
13169,050US13169,0.177
13171,050US13171,0.181
13173,050US13173,0.212
13175,050US13175,0.195
13177,050US13177,0.153
13179,050US13179,0.171
13181,050US13181,0.169
13183,050US13183,0.182
13185,050US13185,0.181
13187,050US13187,0.157
13189,050US13189,0.167
13191,050US13191,0.181
13193,050US13193,0.262
13195,050US13195,0.188
13197,050US13197,0.202
13199,050US13199,0.195
13201,050US13201,0.218
13205,050US13205,0.216
13207,050US13207,0.168
13209,050US13209,0.22
13211,050US13211,0.136
13213,050US13213,0.184
13215,050US13215,0.17
13217,050US13217,0.169
13219,050US13219,0.117
13221,050US13221,0.172
13223,050US13223,0.152
13225,050US13225,0.175
13227,050US13227,0.14
13229,050US13229,0.166
13231,050US13231,0.144
13233,050US13233,0.188
13235,050US13235,0.202
13237,050US13237,0.168
13239,050US13239,0.195
13241,050US13241,0.159
13243,050US13243,0.263
13245,050US13245,0.185
13247,050US13247,0.154
13249,050US13249,0.178
13251,050US13251,0.207
13253,050US13253,0.193
13255,050US13255,0.191
13257,050US13257,0.178
13259,050US13259,0.212
13261,050US13261,0.19
13263,050US13263,0.209
13265,050US13265,0.196
13267,050US13267,0.203
13269,050US13269,0.237
13271,050US13271,0.218
13273,050US13273,0.22
13275,050US13275,0.168
13277,050US13277,0.176
13279,050US13279,0.169
13281,050US13281,0.142
13283,050US13283,0.219
13285,050US13285,0.164
13287,050US13287,0.22
13289,050US13289,0.185
13291,050US13291,0.181
13293,050US13293,0.198
13295,050US13295,0.203
13297,050US13297,0.178
13299,050US13299,0.212
13301,050US13301,0.201
13303,050US13303,0.198
13305,050US13305,0.209
13307,050US13307,0.207
13309,050US13309,0.251
13311,050US13311,0.146
13313,050US13313,0.184
13315,050US13315,0.203
13317,050US13317,0.201
13319,050US13319,0.214
13321,050US13321,0.189
15001,050US15001,0.138
15003,050US15003,0.119
15005,050US15005,0.156
15007,050US15007,0.136
15009,050US15009,0.134
16001,050US16001,0.115
16003,050US16003,0.154
16005,050US16005,0.139
16007,050US16007,0.135
16009,050US16009,0.172
16011,050US16011,0.147
16013,050US16013,0.096
16015,050US16015,0.136
16017,050US16017,0.145
16019,050US16019,0.128
16021,050US16021,0.151
16023,050US16023,0.168
16025,050US16025,0.134
16027,050US16027,0.152
16029,050US16029,0.131
16031,050US16031,0.139
16033,050US16033,0.146
16035,050US16035,0.152
16037,050US16037,0.135
16039,050US16039,0.161
16041,050US16041,0.175
16043,050US16043,0.139
16045,050US16045,0.136
16047,050US16047,0.17
16049,050US16049,0.177
16051,050US16051,0.155
16053,050US16053,0.158
16055,050US16055,0.133
16057,050US16057,0.112
16059,050US16059,0.152
16061,050US16061,0.18
16063,050US16063,0.159
16065,050US16065,0.162
16067,050US16067,0.163
16069,050US16069,0.137
16071,050US16071,0.132
16073,050US16073,0.158
16075,050US16075,0.164
16077,050US16077,0.153
16079,050US16079,0.202
16081,050US16081,0.109
16083,050US16083,0.134
16085,050US16085,0.146
16087,050US16087,0.152
17001,050US17001,0.178
17003,050US17003,0.229
17005,050US17005,0.216
17007,050US17007,0.174
17009,050US17009,0.196
17011,050US17011,0.187
17013,050US17013,0.15
17015,050US17015,0.154
17017,050US17017,0.175
17019,050US17019,0.16
17021,050US17021,0.174
17023,050US17023,0.148
17025,050US17025,0.193
17027,050US17027,0.157
17029,050US17029,0.173
