HEROP_ID,ZIP,MhTmDr,MhTmDr2,MhCntDr,MhMinDis
860US00501,00501,,,,
860US00601,00601,0.0,0.0,0.0,11.684674286719506
860US00602,00602,0.0,0.0,0.0,6.027285007579116
860US00603,00603,0.0,0.0,0.0,1.7920691577229375
860US00604,00604,0.0,0.0,0.0,2.251454515
860US00605,00605,0.0,0.0,0.0,2.307756124
860US00606,00606,0.0,0.0,0.0,11.10701066106998
860US00610,00610,0.0,0.0,0.0,3.4011142074376957
860US00611,00611,0.0,0.0,0.0,13.01427939
860US00612,00612,0.0,0.0,0.0,2.3130016479048927
860US00613,00613,0.0,0.0,0.0,0.5076035815120197
860US00614,00614,0.0,0.0,0.0,1.468638966
860US00616,00616,0.0,0.0,0.0,6.488180625527385
860US00617,00617,0.0,0.0,0.0,11.181379183061384
860US00622,00622,0.0,0.0,0.0,4.297677751313896
860US00623,00623,0.0,0.0,0.0,1.8274034295058033
860US00624,00624,0.0,0.0,0.0,7.3982530573687315
860US00627,00627,0.0,0.0,0.0,9.207298220081487
860US00631,00631,,,,
860US00637,00637,0.0,0.0,0.0,7.59304742847272
860US00638,00638,0.0,0.0,0.0,7.307157083454514
860US00641,00641,0.0,0.0,0.0,13.673256027420287
860US00646,00646,0.0,0.0,0.0,9.238438625481539
860US00647,00647,0.0,0.0,0.0,7.682810084128727
860US00650,00650,0.0,0.0,0.0,13.228499929875577
860US00652,00652,0.0,0.0,0.0,6.985932948058192
860US00653,00653,0.0,0.0,0.0,5.645967026437933
860US00656,00656,0.0,0.0,0.0,4.1836852561921365
860US00659,00659,0.0,0.0,0.0,6.492550921228778
860US00660,00660,0.0,0.0,0.0,2.090590428838163
860US00662,00662,0.0,0.0,0.0,8.798310592587487
860US00664,00664,0.0,0.0,0.0,12.378440596753833
860US00667,00667,0.0,0.0,0.0,6.6828218000716975
860US00669,00669,0.0,0.0,0.0,16.13748633375978
860US00670,00670,0.0,0.0,0.0,11.190399628344093
860US00674,00674,0.0,0.0,0.0,14.577298233020809
860US00676,00676,0.0,0.0,0.0,5.926913192467871
860US00677,00677,0.0,0.0,0.0,8.807840043219487
860US00678,00678,0.0,0.0,0.0,14.168828270516372
860US00680,00680,0.0,0.0,0.0,1.1853223962439157
860US00681,00681,0.0,0.0,0.0,0.2634194751508153
860US00682,00682,0.0,0.0,0.0,4.154894092059843
860US00683,00683,0.0,0.0,0.0,6.9748728657393935
860US00685,00685,0.0,0.0,0.0,12.676743749322341
860US00687,00687,0.0,0.0,0.0,8.044912998119612
860US00688,00688,0.0,0.0,0.0,10.26231785
860US00690,00690,0.0,0.0,0.0,3.8158421707334167
860US00692,00692,0.0,0.0,0.0,10.882591914217624
860US00693,00693,0.0,0.0,0.0,14.453742039042757
860US00694,00694,0.0,0.0,0.0,13.81509537
860US00698,00698,0.0,0.0,0.0,1.023646034154198
860US00703,00703,0.0,0.0,0.0,4.556949128913851
860US00704,00704,0.0,0.0,0.0,8.183881645618296
860US00705,00705,0.0,0.0,0.0,0.8731720251120244
860US00707,00707,0.0,0.0,0.0,12.762492505157097
860US00714,00714,0.0,0.0,0.0,3.397899684770183
860US00715,00715,0.0,0.0,0.0,3.4816744627911236
860US00716,00716,0.0,0.0,0.0,1.315036685065237
860US00717,00717,0.0,0.0,0.0,0.5924510343267582
860US00718,00718,0.0,0.0,0.0,6.296830312899028
860US00719,00719,0.0,0.0,0.0,2.790829078627785
860US00720,00720,0.0,0.0,0.0,0.6555429937763604
860US00721,00721,0.0,0.0,0.0,9.307135063
860US00723,00723,0.0,0.0,0.0,7.742485714830663
860US00725,00725,0.0,0.0,0.0,1.3874739216262673
860US00726,00726,0.0,0.0,0.0,0.5858111737920944
860US00727,00727,0.0,0.0,0.0,1.3184415951093216
860US00728,00728,0.0,0.0,0.0,2.2414050651966284
860US00729,00729,0.0,0.0,0.0,5.872099613061966
860US00730,00730,0.0,0.0,0.0,1.356056119638768
860US00731,00731,0.0,0.0,0.0,6.145442215416561
860US00732,00732,0.0,0.0,0.0,0.383820861
860US00733,00733,0.0,0.0,0.0,0.375952708
860US00735,00735,0.0,0.0,0.0,4.359999433521313
860US00736,00736,0.0,0.0,0.0,2.333127002725144
860US00737,00737,0.0,0.0,0.0,2.410566397
860US00738,00738,0.0,0.0,0.0,0.995600577892376
860US00739,00739,0.0,0.0,0.0,0.9890387375485366
860US00740,00740,0.0,0.0,0.0,0.846502656
860US00741,00741,0.0,0.0,0.0,4.754923513
860US00744,00744,0.0,0.0,0.0,4.63482137
860US00745,00745,0.0,0.0,0.0,9.792806422078018
860US00751,00751,0.0,0.0,0.0,9.492997684738492
860US00754,00754,0.0,0.0,0.0,4.194359388058638
860US00757,00757,0.0,0.0,0.0,10.774263614732408
860US00765,00765,0.0,0.0,0.0,21.81927039425821
860US00766,00766,0.0,0.0,0.0,7.005847650564316
860US00767,00767,0.0,0.0,0.0,8.63836606505033
860US00769,00769,0.0,0.0,0.0,8.001599961343187
860US00771,00771,0.0,0.0,0.0,3.7458157719770733
860US00772,00772,0.0,0.0,0.0,7.856482767948472
860US00773,00773,0.0,0.0,0.0,5.532548872070778
860US00775,00775,,,,
860US00777,00777,0.0,0.0,0.0,3.597368763286855
860US00778,00778,0.0,0.0,0.0,1.2622741765135794
860US00780,00780,0.0,0.0,0.0,1.0085409504819127
860US00782,00782,0.0,0.0,0.0,4.58943429399392
860US00783,00783,0.0,0.0,0.0,5.329748313067792
860US00784,00784,0.0,0.0,0.0,1.3714999476142218
860US00785,00785,0.0,0.0,0.0,0.816031019
860US00786,00786,,,,
860US00791,00791,0.0,0.0,0.0,3.7964205705151977
860US00792,00792,0.0,0.0,0.0,2.036988312
860US00794,00794,0.0,0.0,0.0,4.038753002475347
860US00795,00795,0.0,0.0,0.0,3.352765253903445
860US00801,00801,0.0,0.0,0.0,0.488675229
860US00802,00802,0.0,0.0,0.0,1.2018577496983358
860US00803,00803,0.0,0.0,0.0,0.488675229
860US00804,00804,0.0,0.0,0.0,0.488675229
860US00820,00820,0.0,0.0,0.0,1.7366337888236512
860US00830,00830,0.0,0.0,0.0,12.8168703
860US00831,00831,0.0,0.0,0.0,9.78709899
860US00840,00840,0.0,0.0,0.0,6.989921446244062
860US00850,00850,0.0,0.0,0.0,2.9122232983677785
860US00901,00901,0.0,0.0,0.0,2.0988685986306703
860US00902,00902,0.0,0.0,0.0,1.908806166
860US00907,00907,0.0,0.0,0.0,0.42497578409784104
860US00908,00908,0.0,0.0,0.0,0.346809586
860US00909,00909,0.0,0.0,0.0,0.3796871096622747
860US00910,00910,0.0,0.0,0.0,0.31487679
860US00911,00911,0.0,0.0,0.0,0.7876432750849538
860US00912,00912,0.0,0.0,0.0,0.6492169628154927
860US00913,00913,0.0,0.0,0.0,1.7527866282693898
860US00914,00914,0.0,0.0,0.0,0.990777659
860US00915,00915,0.0,0.0,0.0,1.0062898484761447
860US00916,00916,0.0,0.0,0.0,1.029753534
860US00917,00917,0.0,0.0,0.0,0.43088172872414693
860US00918,00918,0.0,0.0,0.0,0.45728399813907583
860US00919,00919,0.0,0.0,0.0,0.406565274
860US00920,00920,0.0,0.0,0.0,0.600685805493937
860US00921,00921,0.0,0.0,0.0,0.7060195187181948
860US00922,00922,0.0,0.0,0.0,0.733373992
860US00923,00923,0.0,0.0,0.0,1.4379482759557098
860US00924,00924,0.0,0.0,0.0,1.8633710124396305
860US00925,00925,0.0,0.0,0.0,0.8682307706955451
860US00926,00926,0.0,0.0,0.0,2.1896587354437873
860US00927,00927,0.0,0.0,0.0,0.5485023772121037
860US00928,00928,0.0,0.0,0.0,1.649029421
860US00929,00929,0.0,0.0,0.0,2.168692948
860US00931,00931,0.0,0.0,0.0,1.649029421
860US00934,00934,0.0,0.0,0.0,0.5718891991571924
860US00935,00935,,,,
860US00936,00936,0.0,0.0,0.0,0.583045658
860US00937,00937,0.0,0.0,0.0,2.673177038
860US00940,00940,0.0,0.0,0.0,0.31487679
860US00949,00949,0.0,0.0,0.0,3.9079994344298985
860US00950,00950,0.0,0.0,0.0,4.384376608
860US00951,00951,0.0,0.0,0.0,4.384376608
860US00952,00952,0.0,0.0,0.0,2.7149781561273336
860US00953,00953,0.0,0.0,0.0,3.465136623535481
860US00954,00954,0.0,0.0,0.0,5.031221932
860US00956,00956,0.0,0.0,0.0,1.2590232596815567
860US00957,00957,0.0,0.0,0.0,1.5694465071432853
860US00958,00958,0.0,0.0,0.0,0.514503917
860US00959,00959,0.0,0.0,0.0,1.412644896038753
860US00960,00960,0.0,0.0,0.0,0.871685833
860US00961,00961,0.0,0.0,0.0,1.6252803741236639
860US00962,00962,0.0,0.0,0.0,1.619495899069521
860US00963,00963,0.0,0.0,0.0,2.306418582
860US00965,00965,0.0,0.0,0.0,2.1209512535183617
860US00966,00966,0.0,0.0,0.0,0.9114372719932434
860US00968,00968,0.0,0.0,0.0,0.5381377203705452
860US00969,00969,0.0,0.0,0.0,1.5275293386225983
860US00970,00970,0.0,0.0,0.0,1.786221543
860US00971,00971,0.0,0.0,0.0,2.0528264313550473
860US00975,00975,,,,
860US00976,00976,0.0,0.0,0.0,0.8168149276155207
860US00977,00977,0.0,0.0,0.0,2.306418582
860US00979,00979,0.0,0.0,0.0,2.39143024228412
860US00981,00981,0.0,0.0,0.0,2.673177038
860US00982,00982,0.0,0.0,0.0,1.0367308965197242
860US00983,00983,0.0,0.0,0.0,1.0257536647623384
860US00984,00984,0.0,0.0,0.0,0.468996035
860US00985,00985,0.0,0.0,0.0,1.6670877413585723
860US00986,00986,0.0,0.0,0.0,2.099667784
