"HEROP_ID","GEOID","TotTracts","RxCtTmDr","RxCtTmDr2","RxTmDrP","RxTmDrP2","RxAvTmDr","RxAvTmDr2"
"050US01001","01001",17,17,12,100,70.59,9.91,19.81
"050US01003","01003",43,42,40,97.67,93.02,5.12,10.24
"050US01005","01005",9,8,4,88.89,44.44,14.71,29.42
"050US01007","01007",8,8,4,100,50,12.36,24.71
"050US01009","01009",16,16,13,100,81.25,6.96,13.91
"050US01011","01011",4,4,2,100,50,16.19,32.38
"050US01013","01013",9,8,6,88.89,66.67,10.01,20.01
"050US01015","01015",38,38,35,100,92.11,5.48,10.96
"050US01017","01017",9,9,7,100,77.78,8.04,16.08
"050US01019","01019",8,8,3,100,37.5,12.04,24.08
"050US01021","01021",12,12,9,100,75,9.43,18.86
"050US01023","01023",4,4,2,100,50,11.82,23.65
"050US01025","01025",9,6,5,66.67,55.56,17.14,34.28
"050US01027","01027",4,4,1,100,25,17.04,34.08
"050US01029","01029",4,4,2,100,50,14,28.01
"050US01031","01031",16,16,13,100,81.25,7.95,15.9
"050US01033","01033",15,15,13,100,86.67,3.39,6.77
"050US01035","01035",5,5,1,100,20,16.51,33.02
"050US01037","01037",3,2,1,66.67,33.33,17.61,35.23
"050US01039","01039",14,14,12,100,85.71,6.02,12.03
"050US01041","01041",6,4,1,66.67,16.67,20.36,40.72
"050US01043","01043",22,22,17,100,77.27,7.22,14.44
"050US01045","01045",14,14,12,100,85.71,7.97,15.94
"050US01047","01047",17,16,11,94.12,64.71,10.11,20.22
"050US01049","01049",21,21,19,100,90.48,5.53,11.05
"050US01051","01051",20,20,16,100,80,7,13.99
"050US01053","01053",10,8,6,80,60,13.68,27.37
"050US01055","01055",33,33,29,100,87.88,4.99,9.99
"050US01057","01057",5,5,2,100,40,11.02,22.03
"050US01059","01059",11,11,5,100,45.45,11.62,23.24
"050US01061","01061",6,6,6,100,100,2.27,4.53
"050US01063","01063",4,4,3,100,75,12.63,25.26
"050US01065","01065",7,7,4,100,57.14,10.57,21.14
"050US01067","01067",6,6,5,100,83.33,8.92,17.85
"050US01069","01069",26,26,25,100,96.15,2.67,5.34
"050US01071","01071",16,16,11,100,68.75,8.7,17.39
"050US01073","01073",189,189,184,100,97.35,3.41,6.82
"050US01075","01075",4,4,2,100,50,12.64,25.28
"050US01077","01077",26,25,24,96.15,92.31,4.82,9.64
"050US01079","01079",11,11,9,100,81.82,8.53,17.06
"050US01081","01081",48,48,46,100,95.83,5.22,10.43
"050US01083","01083",23,23,22,100,95.65,4.27,8.54
"050US01085","01085",4,3,1,75,25,20.4,40.8
"050US01087","01087",12,12,8,100,66.67,9.58,19.16
"050US01089","01089",95,93,91,97.89,95.79,4.09,8.17
"050US01091","01091",8,7,2,87.5,25,19.79,39.58
"050US01093","01093",11,11,8,100,72.73,7.7,15.41
"050US01095","01095",26,26,19,100,73.08,8.64,17.27
"050US01097","01097",135,135,132,100,97.78,3.86,7.71
"050US01099","01099",9,6,3,66.67,33.33,20.24,40.48
"050US01101","01101",71,69,66,97.18,92.96,4.7,9.41
"050US01103","01103",31,31,28,100,90.32,4.62,9.24
"050US01105","01105",4,4,1,100,25,17.61,35.23
"050US01107","01107",6,6,4,100,66.67,10.7,21.4
"050US01109","01109",11,11,6,100,54.55,11.05,22.11
"050US01111","01111",6,6,3,100,50,13.41,26.81
"050US01113","01113",18,18,14,100,77.78,9.82,19.65
"050US01115","01115",24,24,21,100,87.5,6.4,12.8
"050US01117","01117",55,55,53,100,96.36,4.12,8.24
"050US01119","01119",5,5,1,100,20,20.05,40.1
"050US01121","01121",24,24,21,100,87.5,6.13,12.26
"050US01123","01123",12,12,8,100,66.67,8.35,16.7
"050US01125","01125",59,59,50,100,84.75,5.46,10.92
"050US01127","01127",20,20,16,100,80,7.76,15.53
