HEROP_ID,ZIP,HcvTmDr,HcvTmDr2,HcvCntDr,HcvMinDis
860US00501,00501,,,,
860US00601,00601,0.0,0.0,0.0,12.57320906356203
860US00602,00602,0.0,0.0,0.0,3.542659535182114
860US00603,00603,0.0,0.0,0.0,1.4301387112271189
860US00604,00604,0.0,0.0,0.0,3.91626888
860US00605,00605,0.0,0.0,0.0,1.335867427
860US00606,00606,0.0,0.0,0.0,4.097933980932665
860US00610,00610,0.0,0.0,0.0,5.5791565483673065
860US00611,00611,0.0,0.0,0.0,7.195070766
860US00612,00612,0.0,0.0,0.0,5.162355199777837
860US00613,00613,0.0,0.0,0.0,6.270077100536023
860US00614,00614,0.0,0.0,0.0,5.247547195
860US00616,00616,0.0,0.0,0.0,2.7721538674971424
860US00617,00617,0.0,0.0,0.0,2.7882792849747005
860US00622,00622,0.0,0.0,0.0,2.07664218388347
860US00623,00623,0.0,0.0,0.0,3.496307996614005
860US00624,00624,0.0,0.0,0.0,8.512269496447763
860US00627,00627,0.0,0.0,0.0,6.894501302179626
860US00631,00631,,,,
860US00637,00637,0.0,0.0,0.0,1.447290981644099
860US00638,00638,0.0,0.0,0.0,7.174923143590355
860US00641,00641,0.0,0.0,0.0,10.451807530788944
860US00646,00646,0.0,0.0,0.0,4.67215942862074
860US00647,00647,0.0,0.0,0.0,2.484460784756192
860US00650,00650,0.0,0.0,0.0,7.207571956835687
860US00652,00652,0.0,0.0,0.0,1.6963675607895565
860US00653,00653,0.0,0.0,0.0,0.44856223123940825
860US00656,00656,0.0,0.0,0.0,8.585465966829881
860US00659,00659,0.0,0.0,0.0,5.315229295387482
860US00660,00660,0.0,0.0,0.0,4.526195115608497
860US00662,00662,0.0,0.0,0.0,2.1128631956206587
860US00664,00664,0.0,0.0,0.0,13.848912318467134
860US00667,00667,0.0,0.0,0.0,3.0687168211286773
860US00669,00669,0.0,0.0,0.0,4.270905798176052
860US00670,00670,0.0,0.0,0.0,1.3359997258519034
860US00674,00674,0.0,0.0,0.0,8.357162168372088
860US00676,00676,0.0,0.0,0.0,3.6360892969245597
860US00677,00677,0.0,0.0,0.0,8.6315536028706
860US00678,00678,0.0,0.0,0.0,6.845694024713247
860US00680,00680,0.0,0.0,0.0,1.5901302231095267
860US00681,00681,0.0,0.0,0.0,0.2634194751508153
860US00682,00682,0.0,0.0,0.0,4.980358187612269
860US00683,00683,0.0,0.0,0.0,1.1054093138024779
860US00685,00685,0.0,0.0,0.0,4.311912565345579
860US00687,00687,0.0,0.0,0.0,7.999569923843935
860US00688,00688,0.0,0.0,0.0,7.034297878
860US00690,00690,0.0,0.0,0.0,4.806869140779016
860US00692,00692,0.0,0.0,0.0,6.418728975588348
860US00693,00693,0.0,0.0,0.0,10.928387198704257
860US00694,00694,0.0,0.0,0.0,10.66989255
860US00698,00698,0.0,0.0,0.0,5.188500077730524
860US00703,00703,0.0,0.0,0.0,4.996061153556565
860US00704,00704,0.0,0.0,0.0,8.39427624504342
860US00705,00705,0.0,0.0,0.0,0.8829700386778755
860US00707,00707,0.0,0.0,0.0,14.749552260683704
860US00714,00714,0.0,0.0,0.0,3.901396308524853
860US00715,00715,0.0,0.0,0.0,4.656118364896829
860US00716,00716,0.0,0.0,0.0,1.8408879169624548
860US00717,00717,0.0,0.0,0.0,0.7267933510898579
860US00718,00718,0.0,0.0,0.0,10.001888833450153
860US00719,00719,0.0,0.0,0.0,5.596811844089388
860US00720,00720,0.0,0.0,0.0,0.6413907945823342
860US00721,00721,0.0,0.0,0.0,11.73070477
860US00723,00723,0.0,0.0,0.0,8.277494393166581
860US00725,00725,0.0,0.0,0.0,1.9389934277788303
860US00726,00726,0.0,0.0,0.0,0.6254202008947651
860US00727,00727,0.0,0.0,0.0,1.7186312397099779
860US00728,00728,0.0,0.0,0.0,2.975153213533827
860US00729,00729,0.0,0.0,0.0,9.752876773583068
860US00730,00730,0.0,0.0,0.0,1.909352273860362
860US00731,00731,0.0,0.0,0.0,6.6292018111119635
860US00732,00732,0.0,0.0,0.0,1.148628662
860US00733,00733,0.0,0.0,0.0,0.633244085
860US00735,00735,0.0,0.0,0.0,4.359999433521313
860US00736,00736,0.0,0.0,0.0,4.588943099427956
860US00737,00737,0.0,0.0,0.0,4.527608744
860US00738,00738,0.0,0.0,0.0,1.157956156038674
860US00739,00739,0.0,0.0,0.0,1.5523500276419346
860US00740,00740,0.0,0.0,0.0,1.094094314
860US00741,00741,0.0,0.0,0.0,12.97362621
860US00744,00744,0.0,0.0,0.0,11.20252483
860US00745,00745,0.0,0.0,0.0,11.666076125260053
860US00751,00751,0.0,0.0,0.0,9.630325034543462
860US00754,00754,0.0,0.0,0.0,4.204640702319227
860US00757,00757,0.0,0.0,0.0,13.320708670002327
860US00765,00765,0.0,0.0,0.0,21.81927039425821
860US00766,00766,0.0,0.0,0.0,9.456290534804152
860US00767,00767,0.0,0.0,0.0,15.37379395524566
860US00769,00769,0.0,0.0,0.0,8.02232425580564
860US00771,00771,0.0,0.0,0.0,7.968200432219542
860US00772,00772,0.0,0.0,0.0,13.554542513008915
860US00773,00773,0.0,0.0,0.0,5.5546337430417125
860US00775,00775,,,,
860US00777,00777,0.0,0.0,0.0,3.8286271965769245
860US00778,00778,0.0,0.0,0.0,1.2630755872892436
860US00780,00780,0.0,0.0,0.0,4.287040121591267
860US00782,00782,0.0,0.0,0.0,5.52128900655839
860US00783,00783,0.0,0.0,0.0,5.843317456988427
860US00784,00784,0.0,0.0,0.0,1.6711408490984716
860US00785,00785,0.0,0.0,0.0,1.05927343
860US00786,00786,,,,
860US00791,00791,0.0,0.0,0.0,13.408825325905319
860US00792,00792,0.0,0.0,0.0,12.24086872
860US00794,00794,0.0,0.0,0.0,4.04665675167937
860US00795,00795,0.0,0.0,0.0,7.754918124654799
860US00801,00801,0.0,0.0,0.0,41.07373587
860US00802,00802,0.0,0.0,0.0,41.15513959238922
860US00803,00803,0.0,0.0,0.0,41.07373587
860US00804,00804,0.0,0.0,0.0,41.07373587
860US00820,00820,0.0,0.0,0.0,2.7372678009028277
860US00830,00830,0.0,0.0,0.0,39.69576196
860US00831,00831,0.0,0.0,0.0,38.67932777
860US00840,00840,0.0,0.0,0.0,6.989921446244062
860US00850,00850,0.0,0.0,0.0,2.9122232983677785
860US00901,00901,0.0,0.0,0.0,1.4987164823935628
860US00902,00902,0.0,0.0,0.0,1.228774706
860US00907,00907,0.0,0.0,0.0,1.5874265098207625
860US00908,00908,0.0,0.0,0.0,1.155857259
860US00909,00909,0.0,0.0,0.0,2.161062509263344
860US00910,00910,0.0,0.0,0.0,2.107977125
860US00911,00911,0.0,0.0,0.0,2.7107817313361995
860US00912,00912,0.0,0.0,0.0,2.6006773856993455
860US00913,00913,0.0,0.0,0.0,3.8294730767832603
860US00914,00914,0.0,0.0,0.0,2.911722743
860US00915,00915,0.0,0.0,0.0,3.445042810705132
860US00916,00916,0.0,0.0,0.0,3.151959951
860US00917,00917,0.0,0.0,0.0,2.8877147824466887
860US00918,00918,0.0,0.0,0.0,1.9911268223585468
860US00919,00919,0.0,0.0,0.0,2.32618136
860US00920,00920,0.0,0.0,0.0,1.5463012025690936
860US00921,00921,0.0,0.0,0.0,0.9242245201878103
860US00922,00922,0.0,0.0,0.0,2.033757303
860US00923,00923,0.0,0.0,0.0,3.251221841753868
860US00924,00924,0.0,0.0,0.0,4.528415625834868
860US00925,00925,0.0,0.0,0.0,2.013129664066144
860US00926,00926,0.0,0.0,0.0,2.7959760303396264
860US00927,00927,0.0,0.0,0.0,1.021899851406498
860US00928,00928,0.0,0.0,0.0,2.237512539
860US00929,00929,0.0,0.0,0.0,4.720556788
860US00931,00931,0.0,0.0,0.0,2.237512539
860US00934,00934,0.0,0.0,0.0,0.5338624226800934
860US00935,00935,,,,
860US00936,00936,0.0,0.0,0.0,2.094646428
860US00937,00937,0.0,0.0,0.0,6.426240934
860US00940,00940,0.0,0.0,0.0,2.107977125
860US00949,00949,0.0,0.0,0.0,2.9956937712888627
860US00950,00950,0.0,0.0,0.0,2.429859008
860US00951,00951,0.0,0.0,0.0,2.429859008
860US00952,00952,0.0,0.0,0.0,2.6955364401819577
860US00953,00953,0.0,0.0,0.0,2.0537492690290375
860US00954,00954,0.0,0.0,0.0,0.096571568
860US00956,00956,0.0,0.0,0.0,3.7381060805327904
860US00957,00957,0.0,0.0,0.0,3.8638180197289587
860US00958,00958,0.0,0.0,0.0,3.024352637
860US00959,00959,0.0,0.0,0.0,2.4969565138183514
860US00960,00960,0.0,0.0,0.0,1.837048307
860US00961,00961,0.0,0.0,0.0,1.582452918468361
860US00962,00962,0.0,0.0,0.0,1.5743460901035573
860US00963,00963,0.0,0.0,0.0,1.455964415
860US00965,00965,0.0,0.0,0.0,1.5042067965007562
860US00966,00966,0.0,0.0,0.0,2.2345185070152414
860US00968,00968,0.0,0.0,0.0,1.7837841880318543
860US00969,00969,0.0,0.0,0.0,2.566045982019313
860US00970,00970,0.0,0.0,0.0,3.040769232
860US00971,00971,0.0,0.0,0.0,2.8303139514619335
860US00975,00975,,,,
860US00976,00976,0.0,0.0,0.0,4.8766139931065595
860US00977,00977,0.0,0.0,0.0,1.455964415
860US00979,00979,0.0,0.0,0.0,5.312270494648068
860US00981,00981,0.0,0.0,0.0,6.426240934
860US00982,00982,0.0,0.0,0.0,6.094317193126196
860US00983,00983,0.0,0.0,0.0,7.131832007890796
860US00984,00984,0.0,0.0,0.0,6.931937956
860US00985,00985,0.0,0.0,0.0,8.286057197855149
860US00986,00986,0.0,0.0,0.0,8.352815143
860US00987,00987,0.0,0.0,0.0,7.025093036348484
860US00988,00988,0.0,0.0,0.0,7.080372457
860US01001,01001,4.668308045361692,9.336616090723384,19.280587667719413,2.0979042774391794
860US01002,01002,15.720925861080001,31.441851722160003,13.318275865000002,7.277938973726383
860US01003,01003,15.59377483486,31.18754966972,15.503311258,6.948116140349797
860US01004,01004,14.88,29.76,17.0,6.744188086
860US01005,01005,15.114587881895412,30.229175763790824,7.994041708005957,7.7505866156112555
860US01007,01007,6.97607926196,13.95215852392,15.068219632000002,2.7207565606894626
860US01008,01008,32.60325938785,65.2065187757,0.32935153500000003,15.78119514974868
860US01009,01009,14.48,28.96,18.0,6.527927537
860US01010,01010,22.4421787989,44.8843575978,8.769271952,14.117864627870768
860US01011,01011,30.016138752869995,60.03227750573999,0.33031674299999997,15.544639059068475
860US01012,01012,17.48,34.96,4.0,6.900939844
860US01013,01013,4.28888082770888,8.57776165541776,21.0,1.365398369143081
860US01014,01014,4.2,8.4,21.0,1.790373233
860US01020,01020,5.471771293821772,10.943542587643543,20.999999999999996,2.3746788887784747
860US01021,01021,5.84,11.68,21.0,2.539550541
860US01022,01022,7.17798259502,14.35596519004,21.0,3.018758918936232
860US01026,01026,0.64211439094,1.28422878188,3.1923743509999998,5.341531621999453
860US01027,01027,6.5643065615143055,13.128613123028611,21.05807165805807,3.897814744317434
860US01028,01028,7.3038052146200005,14.607610429240001,18.52897474,4.334354819785891
860US01029,01029,26.59,53.18,1.0,9.992397407
860US01030,01030,5.778043400428044,11.556086800856088,18.57908895257909,3.2624645673207366
860US01031,01031,16.768718382970004,33.53743676594001,1.003372682,12.046815536746594
860US01032,01032,17.48,34.96,4.0,6.900939844
860US01033,01033,8.156566230406566,16.313132460813133,20.999999999999996,4.180379938693867
860US01034,01034,29.9104625992,59.8209251984,6.210629920000001,14.323505261973864
860US01035,01035,11.56,23.12,22.0,4.111068979
860US01036,01036,14.92,29.84,18.0,7.324019798
860US01037,01037,16.76,33.52,1.0,12.05097415
860US01038,01038,8.24,16.48,22.0,4.213625773
860US01039,01039,16.890969610440003,33.781939220880005,5.312590446,7.105212039220977
860US01040,01040,3.01618462068,6.03236924136,21.280482827,1.3892894082908855
860US01041,01041,1.520813239,3.041626478,21.0,0.669696789157604
860US01050,01050,19.510103751229998,39.020207502459996,7.383080605,10.458008954450511
860US01053,01053,0.0,0.0,23.0,1.18604848
860US01054,01054,20.55187951691,41.10375903382,3.0951807220000003,10.705400705458942
860US01056,01056,3.02396539498,6.04793078996,19.558982187999998,1.6384376322531036
860US01057,01057,20.17649986604,40.35299973208,11.530657130000002,9.336102376102126
860US01059,01059,,,,
860US01060,01060,2.18798016045202,4.37596032090404,23.13725976486274,1.032335660590577
860US01061,01061,3.08,6.16,24.0,0.887682089
860US01062,01062,1.0157184826442816,2.031436965288563,22.61956322238044,1.1518480428148747
860US01063,01063,,,,
860US01066,01066,8.24,16.48,22.0,4.213625773
860US01068,01068,22.568730562381266,45.13746112476253,13.025906732974091,11.58023480596264
860US01069,01069,14.077649436209999,28.155298872419998,17.905775086,8.044500229437968
860US01070,01070,0.20559870838,0.41119741676,3.0355987059999996,5.252464596405913
860US01071,01071,27.58,55.16,10.0,12.79756135
860US01072,01072,20.79,41.58,3.0,10.9146108
860US01073,01073,12.569582427889582,25.139164855779164,20.0,6.967757198968867
860US01074,01074,,,,
860US01075,01075,7.34039995197,14.68079990394,21.0,2.836803807830874
860US01077,01077,15.43056164108,30.86112328216,16.616373155,8.318337620053486
860US01079,01079,,,,
860US01080,01080,11.956956920629999,23.913913841259998,18.0,5.718497563238935
860US01081,01081,34.33,68.66,0.0,15.69445202
860US01082,01082,21.52112607529112,43.04225215058224,2.3177205243177204,8.159965685762147
860US01083,01083,25.29,50.58,2.0,12.19656568
860US01084,01084,17.48,34.96,4.0,6.900939844
860US01085,01085,13.46245613771,26.92491227542,19.283483792,6.532380372596676
860US01086,01086,13.88,27.76,18.0,5.728793084
860US01088,01088,8.205060977379999,16.410121954759997,22.009146341,4.187937676350311
860US01089,01089,4.048367299556734,8.096734599113468,20.806429285612857,1.4225352564905036
860US01090,01090,3.02,6.04,21.0,1.073297089
860US01092,01092,,,,
860US01093,01093,,,,
860US01094,01094,,,,
860US01095,01095,7.098815753071184,14.197631506142368,18.000601141999397,3.0973571820668817
860US01096,01096,17.67471483399,35.34942966798,4.2167300359999995,6.827672103355871
860US01097,01097,,,,
860US01098,01098,0.29036545408000003,0.5807309081600001,3.0166112959999998,5.229058355904359
860US01101,01101,0.0,0.0,21.0,0.292071847
860US01103,01103,0.12532679700000002,0.25065359400000004,21.000000000000004,0.3119959181543079
860US01104,01104,3.333046522133046,6.666093044266092,21.0,1.7719907850657683
860US01105,01105,0.8127360564699999,1.6254721129399998,20.998474318,0.42989123749749364
860US01106,01106,6.58794735074,13.17589470148,18.488856589,2.986337088516442
860US01107,01107,1.7612539809099999,3.5225079618199997,21.0,0.633287058062114
860US01108,01108,2.32528768496,4.65057536992,20.168382352,1.2957507099796284
860US01109,01109,3.9690536932100002,7.9381073864200005,20.509214956,1.9159899484914833
860US01111,01111,,,,
860US01115,01115,,,,
860US01116,01116,8.23,16.46,18.0,3.187942021
860US01118,01118,4.85842549811,9.71685099622,19.755629139,2.7241282900166666
860US01119,01119,5.270108634249891,10.540217268499783,19.662483611337514,2.4805710097857676
860US01128,01128,7.80367805721,15.60735611442,19.0,3.842614630903411
860US01129,01129,6.518712488918712,13.037424977837423,19.12584704712585,2.5657404763253684
860US01138,01138,0.79,1.58,21.0,0.730474514
860US01139,01139,4.08,8.16,21.0,2.168013908
860US01144,01144,,,,
860US01151,01151,2.83152032807152,5.66304065614304,20.07763840807764,1.2023716996719738
860US01152,01152,,,,
860US01199,01199,,,,
860US01201,01201,3.1631169743868828,6.3262339487737655,8.350281242649718,1.1740433893932138
860US01202,01202,0.0,0.0,9.0,0.051508987
860US01220,01220,4.945000000595,9.89000000119,11.0,2.911681294861756
860US01222,01222,14.81,29.62,2.0,6.598130751
860US01223,01223,23.29532417026,46.59064834052,7.986247542,10.666701540710232
860US01224,01224,12.37,24.74,11.0,5.038005989
860US01225,01225,13.276014540879999,26.552029081759997,11.984798414,7.48113207607051
860US01226,01226,9.05082852274,18.10165704548,8.0,3.28128208210502
860US01227,01227,9.05,18.1,8.0,3.280801679
860US01229,01229,,,,
860US01230,01230,4.629714334960287,9.259428669920574,4.964121748035879,3.730786310760828
860US01235,01235,13.195121945380002,26.390243890760004,6.837398372,6.05587912844082
860US01236,01236,5.41396984785397,10.82793969570794,7.389447236389447,2.512185104737507
860US01237,01237,12.84533806592,25.69067613184,10.75345536,5.0120794264020905
860US01238,01238,16.95742932907,33.91485865814,7.749916859000001,7.395813016815393
860US01240,01240,11.873242198503242,23.746484397006483,8.0,5.485363004092616
860US01242,01242,,,,
860US01243,01243,,,,
860US01244,01244,,,,
860US01245,01245,20.0172571416,40.0345142832,1.7028571430000001,6.257104369595229
860US01247,01247,3.06861651149,6.13723302298,6.846244384,1.3173495422303416
860US01253,01253,26.59,53.18,1.0,9.992397407
860US01254,01254,21.7785267046,43.5570534092,6.047882136000001,4.530949289235416
860US01255,01255,26.57344523392,53.14689046784,1.001766784,9.982898601733815
860US01256,01256,18.65,37.3,6.0,5.210216227
860US01257,01257,14.81866699028,29.63733398056,2.0,6.597900609578206
860US01258,01258,13.07,26.14,3.0,7.571337114
860US01259,01259,17.79,35.58,2.0,6.519000463
860US01260,01260,,,,
860US01262,01262,,,,
860US01263,01263,,,,
860US01264,01264,,,,
860US01266,01266,12.4660943529,24.9321887058,7.54369683,5.297850177753352
860US01267,01267,12.658188396538186,25.316376793076373,8.721929162721928,5.705730011525492
860US01270,01270,11.118035710801962,22.236071421603924,7.205357141794642,6.94881286038445
860US01301,01301,1.4037225691762771,2.8074451383525543,7.981466745018532,1.132325307070818
860US01302,01302,0.0,0.0,8.0,0.100564473
860US01330,01330,24.00081046203,48.00162092406,3.975163399,6.751231930195461
860US01331,01331,6.224386326984386,12.448772653968772,7.728083215728083,1.9758663183833152
860US01337,01337,9.184013905199999,18.368027810399997,7.001737619,6.305640126803587
860US01338,01338,15.03,30.06,3.0,6.471689403
860US01339,01339,26.874000000000002,53.748000000000005,2.1,12.0818787573
860US01340,01340,27.94936000376,55.89872000752,2.018285714,12.591248332201584
860US01341,01341,24.361966661060002,48.723933322120004,4.010000002,6.754988353184594
860US01342,01342,7.57,15.14,10.0,4.178070015
860US01343,01343,21.11193548264,42.22387096528,4.967741936,7.144414136484514
860US01344,01344,21.2,42.4,5.0,7.227406805
860US01346,01346,28.19,56.38,2.0,12.70523313
860US01347,01347,,,,
860US01349,01349,13.0793349188,26.1586698376,5.966745843,3.9085849994465542
860US01350,01350,28.19,56.38,2.0,12.70523313
860US01351,01351,12.80738446986,25.61476893972,5.997227358,3.801004628275116
860US01354,01354,9.2,18.4,7.0,6.312466021
860US01355,01355,20.797557603799998,41.595115207599996,3.03686636,10.846643905063445
860US01360,01360,16.912970915090003,33.82594183018001,5.000000000000001,9.587969080177041
860US01364,01364,13.20348818075,26.4069763615,4.955961332999999,3.075668286276308
860US01366,01366,0.0249411799,0.0498823598,3.0134453800000003,4.347038685044922
860US01367,01367,27.54581993336,55.09163986672,2.270096464,12.199138739219869
860US01368,01368,7.853009707659999,15.706019415319998,5.019417475999999,6.799407189265936
860US01370,01370,17.135671784045673,34.271343568091346,2.9625719749625725,7.196333327406197
860US01373,01373,8.91516598814,17.83033197628,10.0,4.9068504700180995
860US01375,01375,14.90238659883,29.80477319766,9.985567012,8.138982703695072
860US01376,01376,7.52718257964,15.05436515928,6.818760469,2.0126913004623668
860US01378,01378,21.2,42.4,5.0,7.227406805
860US01379,01379,21.2,42.4,5.0,7.227406805
860US01380,01380,21.2,42.4,5.0,7.227406805
860US01420,01420,2.621623804668376,5.243247609336752,16.46225200253775,1.166078408008804
860US01430,01430,14.15902825116,28.31805650232,13.00134499,3.879229922322547
860US01431,01431,0.0,0.0,12.001623377,1.4607193146301487
860US01432,01432,15.957769860107772,31.915539720215545,17.032167530032165,8.999922940389684
860US01434,01434,14.37291021647,28.74582043294,15.656346748,7.862359353009781
860US01436,01436,9.9,19.8,13.0,1.806131788
860US01438,01438,8.22,16.44,15.0,3.955757088
860US01440,01440,3.3818298546800003,6.763659709360001,14.9845135,1.4098866478179968
860US01450,01450,21.14928029631928,42.29856059263856,17.51367261251367,9.313361059311651
860US01451,01451,15.308289341871712,30.616578683743423,26.279652530720348,8.451060762987398
860US01452,01452,13.3333476111,26.6666952222,14.181039107,6.172085644841537
860US01453,01453,2.70857093012,5.41714186024,29.661727904000003,1.3642154902135937
860US01460,01460,15.522085644212085,31.04417128842417,25.873996299873994,9.343187686970518
860US01462,01462,7.64378771716,15.28757543432,11.389858227999998,3.324709749850254
860US01463,01463,17.816024922369998,35.632049844739996,17.57625451,8.718591499062693
860US01464,01464,13.39897512092,26.79795024184,13.000371332999999,5.817573866664713
860US01467,01467,,,,
860US01468,01468,8.68311560245,17.3662312049,14.468515037,3.394219247689249
860US01469,01469,11.10940282304,22.21880564608,14.977922548,6.531611283123219
860US01472,01472,,,,
860US01473,01473,0.004314231244314231,0.008628462488628462,14.994598403994598,1.3089535640417282
860US01474,01474,10.98686346744,21.97372693488,14.79704797,6.375272090021829
860US01475,01475,2.4937815304999997,4.9875630609999995,11.890546174,4.286092916360556
860US01501,01501,5.726426528909999,11.452853057819999,26.175517983,2.852925183960636
860US01503,01503,13.995484730495484,27.990969460990968,32.00044267300044,7.1404244353861674
860US01504,01504,5.921517348329999,11.843034696659998,22.003107198,2.7746119544015766
860US01505,01505,10.0734594607,20.1469189214,28.995230525,4.383398879988643
860US01506,01506,28.919771635910003,57.839543271820006,2.064903842,14.367164801951793
860US01507,01507,16.31659894758,32.63319789516,19.963365858999996,9.890780918810144
860US01508,01508,18.06,36.12,20.0,11.30789915
860US01509,01509,18.06,36.12,20.0,11.30789915
860US01510,01510,15.484568682390865,30.96913736478173,32.1626498106747,7.941329674725871
860US01515,01515,24.34,48.68,16.0,11.35131961
860US01516,01516,12.79861971272,25.59723942544,24.914958568000003,6.540728765386132
860US01518,01518,23.412433067599995,46.82486613519999,19.936589947999998,14.390272565943953
860US01519,01519,7.42932626187,14.85865252374,23.350592639,3.82216928727291
860US01520,01520,9.25036569347,18.50073138694,28.777353502,5.079716233824706
860US01521,01521,34.33,68.66,0.0,15.69445202
860US01522,01522,9.028947015238947,18.057894030477893,29.75653923575654,6.035430245015981
860US01523,01523,8.68465865165534,17.36931730331068,30.03112840596887,4.619666963894608
860US01524,01524,8.50680127295,17.0136025459,21.00708466,4.6707331317099845
860US01525,01525,13.05,26.1,25.0,6.951812214
860US01526,01526,,,,
860US01527,01527,1.1934348877368697,2.3868697754737394,27.562987103125973,0.9036130899432504
860US01529,01529,9.906572891000001,19.813145782000003,34.922421148000005,4.132235468064531
860US01531,01531,16.821941026320005,33.64388205264001,1.056511058,12.052067319115272
860US01532,01532,7.902811291502811,15.805622583005622,27.241438602241438,3.3219001714895073
860US01534,01534,12.27039325853,24.54078651706,25.032229449,6.76222311764416
860US01535,01535,24.85939820698,49.71879641396,9.941527946999999,12.490781653400168
860US01536,01536,6.47651642939,12.95303285878,23.227391683,2.9861481666961813
860US01537,01537,9.04,18.08,21.0,6.112114515
860US01538,01538,15.0,30.0,35.0,8.446336239
860US01540,01540,7.98507440982,15.97014881964,21.002939552,6.111957268199043
860US01541,01541,0.0,0.0,30.0,0.816618101
860US01542,01542,6.321376,12.642752,21.0,3.5662727356
860US01543,01543,15.59176125455824,31.18352250911648,22.194554974805445,7.903908415021415
860US01545,01545,3.83246290622,7.66492581244,27.019532962,1.4786306715618982
860US01546,01546,,,,
860US01550,01550,21.880379903199618,43.760759806399236,14.334157581665842,10.036319457372677
860US01560,01560,7.1933735533,14.3867471066,24.996621622000003,4.145199328120257
860US01561,01561,,,,
860US01562,01562,15.203329398826671,30.406658797653343,19.972845333027156,8.199634564206894
860US01564,01564,10.418245758450002,20.836491516900004,30.987570621000003,5.775458277334183
860US01566,01566,22.9516727388,45.9033454776,19.806711753,12.996378295817879
860US01568,01568,12.20876222162,24.41752444324,23.970426899,5.690787031807891
860US01569,01569,13.335379278689999,26.670758557379997,36.84987719,7.772263123560927
860US01570,01570,2.9206833241900005,5.841366648380001,20.002368546,1.962121212766176
860US01571,01571,8.96186912087813,17.92373824175626,18.484214927515783,3.9027524113239846
860US01581,01581,3.7652529985400003,7.530505997080001,26.803088801999998,2.1555782051469037
860US01583,01583,8.39871315262,16.79742630524,30.0,4.353223192369519
860US01585,01585,29.220866664289133,58.441733328578266,0.40102564559897436,13.140201205284265
860US01586,01586,0.0,0.0,29.0,0.358335054
860US01588,01588,11.558436312780003,23.116872625560006,26.160829799000002,6.943126193034668
860US01590,01590,7.83849617413,15.67699234826,24.564153004,3.625212386201122
860US01602,01602,2.312888571602888,4.625777143205776,26.280173659280173,0.9478378941650826
860US01603,01603,1.91541256439,3.83082512878,26.676174307,0.6922374834422653
860US01604,01604,1.78998757347,3.57997514694,28.781479289,0.9451795742908004
860US01605,01605,1.576467028396467,3.152934056792934,28.81460903581461,0.7202074142381333
860US01606,01606,3.96408849576,7.92817699152,29.968766266,1.7893623909436234
860US01607,01607,3.659592886889593,7.319185773779186,29.005356759005355,1.5597325380711293
860US01608,01608,1.4122137134300001,2.8244274268600003,29.858862144,0.6800237947006129
860US01609,01609,1.9045876473045877,3.8091752946091755,28.629172967629174,0.8722815261421141
860US01610,01610,1.1621856822443712,2.3243713644887425,29.512080536024165,0.43649403178816715
860US01611,01611,5.4065141627765145,10.813028325553029,21.17864923417865,2.9834666171652127
860US01612,01612,10.91562898495563,21.83125796991126,25.01739130401739,6.054850477651535
860US01613,01613,1.42,2.84,30.0,0.782325247
860US01653,01653,,,,
860US01655,01655,,,,
860US01701,01701,6.595905976874093,13.191811953748186,46.26072212073928,3.130300649092708
860US01702,01702,3.5251064426951064,7.050212885390213,52.060095342060094,1.2297366564444299
860US01703,01703,5.16,10.32,58.0,1.80821675
860US01704,01704,0.0,0.0,57.0,0.81304204
860US01718,01718,17.74,35.48,19.0,7.842632486
860US01719,01719,19.51,39.02,32.0,12.0519021
860US01720,01720,19.65926688105073,39.31853376210146,19.915402126084594,10.701649918682417
860US01721,01721,7.0467579139132415,14.093515827826483,26.211922125788075,2.9700947845804686
860US01730,01730,14.726784819716787,29.453569639433574,51.59488707259488,7.25179314797753
860US01731,01731,9.8612990528,19.7225981056,49.02435724,5.166949891438386
860US01740,01740,14.933333333080002,29.866666666160004,36.97855750400001,9.47926025598232
860US01741,01741,13.6275430176,27.2550860352,25.00360144,6.473337333826502
860US01742,01742,16.20396177892604,32.40792355785208,40.72564191627436,9.117080977809115
860US01745,01745,8.48,16.96,50.0,3.521870417
860US01746,01746,9.69239592792,19.38479185584,12.007748404,3.983261725776295
860US01747,01747,5.851975508011976,11.703951016023952,15.976326531976328,2.6164026111001206
860US01748,01748,10.554382040255618,21.108764080511236,25.856448301143548,4.125425512082327
860US01749,01749,14.947664476280002,29.895328952560003,30.730375795000004,7.819442156146561
860US01752,01752,11.919887061060113,23.839774122120225,29.222066052777933,5.118127619075919
