"HEROP_ID","GEOID","OtpCtTmDr","OtpCtTmDr2","OtpTmDrP","OtpTmDrP2","OtpAvTmDr","OtpAvTmDr2"
"050US02066","02066",0,0,0,0,NA,NA
"050US02068","02068",0,0,0,0,NA,NA
"050US02070","02070",0,0,0,0,NA,NA
"050US02090","02090",18,15,81.82,68.18,13.23,26.47
"050US02100","02100",0,0,0,0,NA,NA
"050US02105","02105",0,0,0,0,NA,NA
"050US02110","02110",4,3,66.67,50,19.37,38.73
"050US02122","02122",0,0,0,0,79.81,159.62
"050US02130","02130",4,4,80,80,21.06,42.13
"050US02150","02150",0,0,0,0,NA,NA
"050US02158","02158",0,0,0,0,NA,NA
"050US02164","02164",0,0,0,0,NA,NA
"050US02170","02170",18,12,75,50,22.09,44.18
"050US02180","02180",0,0,0,0,NA,NA
"050US02185","02185",0,0,0,0,NA,NA
"050US02188","02188",0,0,0,0,NA,NA
"050US02195","02195",0,0,0,0,NA,NA
"050US02198","02198",1,1,25,25,32.16,64.31
"050US02220","02220",2,2,100,100,5.43,10.86
"050US02230","02230",0,0,0,0,NA,NA
"050US02240","02240",0,0,0,0,NA,NA
"050US02275","02275",0,0,0,0,NA,NA
"050US02282","02282",0,0,0,0,NA,NA
"050US02290","02290",0,0,0,0,NA,NA
"050US04001","04001",0,0,0,0,72.77,145.54
"050US04003","04003",19,13,50,34.21,32.5,65
"050US04005","04005",21,19,53.85,48.72,22.87,45.74
"050US04007","04007",2,1,12.5,6.25,57.83,115.65
"050US04009","04009",6,4,66.67,44.44,21.74,43.48
"050US04011","04011",0,0,0,0,53.84,107.69
"050US04012","04012",0,0,0,0,69.62,139.23
"050US04013","04013",988,921,97.92,91.28,7.52,15.05
"050US04015","04015",56,43,84.85,65.15,16.8,33.6
"050US04017","04017",14,9,37.84,24.32,34.88,69.77
"050US04019","04019",257,220,95.19,81.48,10.07,20.14
"050US04021","04021",74,47,77.89,49.47,19.36,38.72
"050US04023","04023",0,0,0,0,58.32,116.64
"050US04025","04025",43,22,59.72,30.56,32.44,64.89
"050US04027","04027",60,44,89.55,65.67,14.05,28.11
"050US05001","05001",0,0,0,0,75.04,150.08
"050US05003","05003",0,0,0,0,NA,NA
"050US05005","05005",0,0,0,0,66.46,132.93
"050US05007","05007",42,7,73.68,12.28,24.12,48.23
"050US05009","05009",0,0,0,0,74.87,149.74
"050US05011","05011",0,0,0,0,NA,NA
"050US05013","05013",0,0,0,0,NA,NA
"050US05015","05015",0,0,0,0,58.54,117.08
"050US05017","05017",0,0,0,0,NA,NA
"050US05019","05019",0,0,0,0,56.16,112.31
"050US05021","05021",0,0,0,0,49.25,98.49
"050US05023","05023",0,0,0,0,NA,NA
"050US05025","05025",0,0,0,0,74.42,148.84
"050US05027","05027",0,0,0,0,66.38,132.76
"050US05029","05029",0,0,0,0,NA,NA
"050US05031","05031",22,17,100,77.27,10.23,20.46
"050US05033","05033",9,1,60,6.67,33.55,67.09
"050US05035","05035",15,6,75,30,21.61,43.22
"050US05037","05037",0,0,0,0,59.68,119.36
"050US05039","05039",0,0,0,0,75.25,150.51
"050US05041","05041",0,0,0,0,NA,NA
"050US05043","05043",0,0,0,0,NA,NA
"050US05045","05045",0,0,0,0,44.8,89.61
"050US05047","05047",0,0,0,0,68.38,136.75
"050US05049","05049",0,0,0,0,43.16,86.31
"050US05051","05051",0,0,0,0,43.68,87.36
"050US05053","05053",0,0,0,0,41.76,83.52
"050US05055","05055",3,0,25,0,34.69,69.39
"050US05057","05057",0,0,0,0,40.54,81.07
"050US05059","05059",4,0,44.44,0,36.82,73.63
"050US05061","05061",0,0,0,0,62.25,124.5
"050US05063","05063",0,0,0,0,77.37,154.74
"050US05065","05065",0,0,0,0,68.5,137
"050US05067","05067",0,0,0,0,51.32,102.64
"050US05069","05069",0,0,0,0,47.24,94.48
"050US05071","05071",0,0,0,0,87.4,174.8
"050US05073","05073",0,0,0,0,44.22,88.44
"050US05075","05075",1,0,16.67,0,40.26,80.52
"050US05077","05077",0,0,0,0,71.45,142.9
"050US05079","05079",0,0,0,0,75.27,150.54
"050US05081","05081",1,0,16.67,0,36.96,73.93
"050US05083","05083",0,0,0,0,59.58,119.15
"050US05085","05085",8,0,44.44,0,30.89,61.78
"050US05087","05087",1,0,25,0,40.27,80.55
"050US05089","05089",0,0,0,0,79.49,158.98
"050US05091","05091",14,11,100,78.57,8.84,17.67
"050US05093","05093",0,0,0,0,48.4,96.79
"050US05095","05095",0,0,0,0,71.06,142.11
"050US05097","05097",0,0,0,0,88.29,176.58
"050US05099","05099",0,0,0,0,55.14,110.27
"050US05101","05101",0,0,0,0,NA,NA
"050US05103","05103",0,0,0,0,81.89,163.78
"050US05105","05105",0,0,0,0,72.7,145.4
"050US05107","05107",0,0,0,0,NA,NA
"050US05109","05109",0,0,0,0,84.43,168.86
"050US05111","05111",5,0,62.5,0,27.61,55.22
"050US05113","05113",0,0,0,0,82.38,164.76
"050US05115","05115",0,0,0,0,NA,NA
"050US05117","05117",0,0,0,0,55.26,110.51
"050US05119","05119",81,48,75.7,44.86,12.79,25.59
"050US05121","05121",0,0,0,0,56.62,113.25
"050US05123","05123",0,0,0,0,49.77,99.53
"050US05125","05125",27,18,90,60,15,30.01
"050US05127","05127",0,0,0,0,65.34,130.67
"050US05129","05129",0,0,0,0,NA,NA
"050US05131","05131",26,16,83.87,51.61,18.08,36.16
"050US05133","05133",0,0,0,0,60.33,120.66
"050US05135","05135",0,0,0,0,68.01,136.03
"050US05137","05137",0,0,0,0,NA,NA
"050US05139","05139",0,0,0,0,NA,NA
"050US05141","05141",0,0,0,0,NA,NA
"050US05143","05143",50,32,92.59,59.26,14.64,29.29
"050US05145","05145",0,0,0,0,50.48,100.95
"050US05147","05147",0,0,0,0,81.93,163.85
"050US05149","05149",0,0,0,0,84.88,169.75
"050US06001","06001",377,357,99.74,94.44,6.33,12.65
"050US06003","06003",0,0,0,0,62.55,125.1
"050US06005","06005",0,0,0,0,52.8,105.59
"050US06007","06007",42,24,77.78,44.44,18.85,37.7
"050US06009","06009",0,0,0,0,61.88,123.77
"050US06011","06011",0,0,0,0,50.24,100.49
"050US06013","06013",240,222,99.59,92.12,8.53,17.07
"050US06015","06015",0,0,0,0,84.3,168.59
"050US06017","06017",18,0,32.73,0,38.23,76.46
"050US06019","06019",201,173,89.33,76.89,12.7,25.39
"050US06021","06021",4,0,50,0,34.33,68.66
