HEROP_ID,RxMinDis
140US01089011021,1.844801187
140US01095031200,1.053443976
140US01073012401,0.471512044
140US01073003400,0.606539375
140US01073010402,0.717765387
140US01073005101,0.621160609
140US01073000500,1.870222845
140US01073010705,0.54474917
140US01103001000,0.672731527
140US01125011701,0.591915471
140US01125012304,2.321436271
140US01065040300,8.525321402
140US01099075800,6.691880302
140US01127021300,7.425993239
140US01129044000,4.571065074
140US01079979300,7.936644311
140US01015000300,0.644457212
140US01023956800,1.692337929
140US01039961600,8.464756077
140US01043964600,6.217784175
140US01085781000,10.12712563
140US01047956600,0.463099807
140US01055000600,1.662604001
140US01077010600,0.388796841
140US01003010100,13.43376016
140US01111000300,2.913095466
140US01113030200,1.229746328
140US01037961200,15.15597898
140US01085780800,4.936665026
140US01087232200,11.05110071
140US01069041500,3.157008947
140US01081041600,0.861988971
140US01101002202,1.502540275
140US01101002201,1.101623629
140US01101003100,0.735233206
140US01101001400,1.059373988
140US01001021100,16.13310025
140US01005950300,9.008620347
140US01097000500,1.254849419
140US01097002700,0.438111008
140US01097004800,0.87332511
140US01097003205,1.132854244
140US01069040301,0.977905116
140US01069041000,0.753700153
140US01121011100,8.831340751
140US01081040603,1.190770575
140US01073012914,0.808825052
140US01101000900,2.521485635
140US01101005407,0.186631795
140US01097007500,1.057062311
140US01103005108,0.629688405
140US01087231700,1.288790438
140US01131035200,9.287245691
140US01069040203,1.671800406
140US01001020501,0.79791269
140US01125012307,1.730820459
140US01125012407,1.976031665
140US01131034802,3.114925979
140US01119011302,7.9856767
140US01015002104,0.908419061
140US01077010901,0.624663865
140US01133965602,3.549009284
140US01101003304,1.190853967
140US01071950902,2.127491547
140US01081040802,0.238577924
140US01081040201,0.404286688
140US01097006804,1.085025539
140US01049960301,1.686640393
140US01089002923,0.911390508
140US01089002804,0.608541622
140US01089010404,7.673462854
140US01073004501,0.224992509
140US01073012921,0.428873469
140US01073003700,0.683998842
140US01073001500,1.022733692
140US01073013300,2.170611075
140US01073005200,1.368237248
140US01073002000,0.974769215
140US01073005903,1.284910149
140US01073002305,0.297572265
140US01073002100,1.851407487
140US01073012302,4.053060893
140US01103000700,1.580904001
140US01103000300,0.180874286
140US01125011703,1.911406031
140US01125010407,0.610356945
140US01091973300,15.98156627
140US01065040100,10.82805323
140US01099076200,14.41554222
140US01099075700,14.53428893
140US01083020500,0.600345848
140US01105686800,11.02188129
140US01063060200,10.98771517
140US01071950400,14.76299283
140US01089000901,2.221564989
140US01089010623,0.8999834
140US01089000902,1.305946518
140US01089002300,2.061547372
140US01025957800,6.770170297
140US01025957700,15.61330149
140US01033020200,0.379811633
140US01033020400,1.654770354
140US01039962800,7.204815907
140US01047957000,15.13283077
140US01047956202,9.209722513
