GEOID,HEROP_ID,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp
4001,050US04001,,,,
4003,050US04003,,,,
4005,050US04005,,,,
4007,050US04007,,,,
4009,050US04009,,,,
4011,050US04011,,,,
4012,050US04012,,,,
4013,050US04013,,,,
4015,050US04015,,,,
4017,050US04017,,,,
4019,050US04019,,,,
4021,050US04021,,,,
4023,050US04023,,,,
4025,050US04025,,,,
4027,050US04027,,,,
6001,050US06001,291.07,50.06,3384,582
6003,050US06003,,,,
6005,050US06005,577.41,235.09,140,57
6007,050US06007,656.4,235.54,928,333
6009,050US06009,319.12,129.17,84,34
6011,050US06011,445.58,241.05,61,33
6013,050US06013,238.38,51.2,1825,392
6015,050US06015,798.74,331.87,142,59
6017,050US06017,328.94,116.34,393,139
6019,050US06019,623.49,223.57,4013,1439
6021,050US06021,478.76,200.41,86,36
6023,050US06023,496.78,180.75,448,163
6025,050US06025,313.78,118.99,356,135
6027,050US06027,371.68,150.44,42,17
6029,050US06029,654.84,245.29,3847,1441
6031,050US06031,1005.02,360.55,1023,367
6033,050US06033,781.99,300.38,315,121
6035,050US06035,397.33,173.3,94,41
6037,050US06037,584.87,138.16,40296,9519
6039,050US06039,677.72,272.52,664,267
6041,050US06041,156.84,30.87,254,50
6043,050US06043,529.64,193.52,52,19
6045,050US06045,651.59,195.29,357,107
6047,050US06047,537.51,163.03,966,293
6049,050US06049,750.2,506.89,37,25
6051,050US06051,152.84,87.34,14,8
6053,050US06053,540.36,143.81,1533,408
6055,050US06055,368.75,150.65,328,134
6057,050US06057,195.49,62.35,116,37
6059,050US06059,297.53,90.25,6376,1934
6061,050US06061,279.7,111.88,700,280
6063,050US06063,377.29,215.59,42,24
6065,050US06065,585.42,163.13,9151,2550
6067,050US06067,616.37,146.59,6446,1533
6069,050US06069,289.67,90.97,121,38
6071,050US06071,513.53,190.77,7435,2762
6073,050US06073,387.51,115.78,8672,2591
6075,050US06075,124.04,23.53,796,151
6077,050US06077,547.12,159.54,2747,801
6079,050US06079,352.73,129.35,649,238
6081,050US06081,225.81,72.42,1163,373
6083,050US06083,416.55,119.69,1232,354
6085,050US06085,294.83,59.33,3931,791
6087,050US06087,305.75,78.06,564,144
6089,050US06089,1112.64,368.79,1243,412
6091,050US06091,,,,
6093,050US06093,912.95,228.24,232,58
6095,050US06095,313.05,79.27,932,236
6097,050US06097,258.46,75.03,813,236
6099,050US06099,476.59,180.02,1697,641
6101,050US06101,553.85,224.7,350,142
6103,050US06103,1042.75,357.52,420,144
6105,050US06105,803.7,253.22,73,23
6107,050US06107,745.85,168.4,2219,501
6109,050US06109,804.27,222.39,264,73
6111,050US06111,316.22,95.14,1755,528
6113,050US06113,417.08,107.23,634,163
6115,050US06115,734.85,265.63,379,137
8001,050US08001,488.6,225.62,1713,791
8003,050US08003,1387.33,928.01,148,99
8005,050US08005,401.45,154.14,1771,680
8007,050US08007,,,,
8009,050US08009,345.68,345.68,7,7
8011,050US08011,603.47,402.31,24,16
8013,050US08013,242.66,76.59,564,178
8014,050US08014,128.03,65.03,63,32
8015,050US08015,298.36,140.89,36,17
8017,050US08017,,,,
8019,050US08019,570.25,300.97,36,19
8021,050US08021,647.47,334.9,29,15
8023,050US08023,740.74,345.68,15,7
8025,050US08025,230.03,125.47,11,6
8027,050US08027,235.94,157.29,6,4
8029,050US08029,249.32,105.27,45,19
8031,050US08031,710.7,295.51,3634,1511
8033,050US08033,,,,
8035,050US08035,149.29,60.73,354,144
8037,050US08037,183.15,101.75,72,40
8041,050US08041,714.68,341.14,3486,1664
8039,050US08039,135.13,52.88,23,9
8043,050US08043,549.33,238.57,175,76
8045,050US08045,260.47,136.44,105,55
8047,050US08047,725.69,628.93,30,26
8049,050US08049,250.74,232.17,27,25
8051,050US08051,153.66,72.79,19,9
8053,050US08053,,,,
8055,050US08055,579.1,394.84,22,15
8057,050US08057,,,,
8059,050US08059,512.2,260.81,2013,1025
8061,050US08061,,,,
8063,050US08063,545.15,308.13,23,13
8067,050US08067,426.78,264.71,158,98
8065,050US08065,325.92,153.37,17,8
8069,050US08069,374.66,199.82,915,488
8071,050US08071,488.41,181.74,43,16
8073,050US08073,1589.44,808.19,59,30
8075,050US08075,663.87,467.42,98,69
8077,050US08077,1032.77,480.45,1006,468
8079,050US08079,,,,
8081,050US08081,761.36,344.99,64,29
8083,050US08083,545.28,454.4,84,70
8085,050US08085,331.02,213.95,82,53
8087,050US08087,686.7,466.96,125,85
8089,050US08089,611.81,487.68,69,55
8091,050US08091,,,,
8093,050US08093,206.79,86.16,24,10
8095,050US08095,343.64,152.73,9,4
8097,050US08097,110.46,84.97,13,10
8099,050US08099,767.23,561.72,56,41
8101,050US08101,882.27,504.7,930,532
8103,050US08103,266.73,121.24,11,5
8105,050US08105,570.37,356.48,40,25
8107,050US08107,201.88,126.9,35,22
8109,050US08109,399.36,159.74,15,6
8111,050US08111,,,,
8113,050US08113,173.79,121.65,10,7
8115,050US08115,,,,
8117,050US08117,297.95,175.26,68,40
8119,050US08119,471.31,350.3,74,55
8121,050US08121,550.96,241.05,16,7
8123,050US08123,495.62,267.52,1056,570
8125,050US08125,423.87,237.37,25,14
9001,050US09001,367.09,,8751,
9003,050US09003,367.09,,8751,
9005,050US09005,367.09,,8751,
9007,050US09007,367.09,,8751,
9009,050US09009,367.09,,8751,
9011,050US09011,367.09,,8751,
9013,050US09013,367.09,,8751,
9015,050US09015,367.09,,8751,
11001,050US11001,,,,
10001,050US10001,598.4,,3735,
10003,050US10003,598.4,,3735,
10005,050US10005,598.4,,3735,
12001,050US12001,921.39,328.81,1799,642
12003,050US12003,1996.39,1061.91,376,200
12005,050US12005,1682.52,984.46,1921,1124
12007,050US12007,1417.03,377.16,263,70
12009,050US12009,766.88,261.4,2831,965
12011,050US12011,466.75,111.99,5956,1429
12013,050US12013,1071.07,546.69,96,49
12015,050US12015,735.09,248.28,678,229
12017,050US12017,1426.53,434.6,1116,340
12019,050US12019,494.71,134.66,698,190
12021,050US12021,490.06,118.63,979,237
12023,050US12023,1588.55,729.25,684,314
12027,050US12027,1708.23,790.23,361,167
12029,050US12029,1438.15,923.14,148,95
12031,050US12031,1059.66,219.11,6969,1441
12033,050US12033,1423.44,445.22,2967,928
12035,050US12035,456.12,157.83,289,100
12037,050US12037,1126.98,471.76,86,36
12039,050US12039,1069.52,299.9,296,83
12041,050US12041,807.61,385.86,90,43
12043,050US12043,1148.04,413.83,86,31
12045,050US12045,769.41,413.41,67,36
12047,050US12047,1181.7,672.16,109,62
12049,050US12049,1384.87,472.11,220,75
12051,050US12051,1089.83,326.95,280,84
12053,050US12053,903.33,387.14,1001,429
12055,050US12055,1176.93,417.12,601,213
12057,050US12057,612.13,185.24,5958,1803
12059,050US12059,1607.1,783.56,201,98
12061,050US12061,807.68,267.26,686,227
12063,050US12063,1209.01,579.66,365,175
12065,050US12065,1042.02,351.12,92,31
12067,050US12067,825.11,251.12,46,14
12069,050US12069,489.29,144.67,1062,314
12071,050US12071,618.56,201.51,2643,861
12073,050US12073,1120.68,342.51,2310,706
12075,050US12075,1079.22,451.67,270,113
12077,050US12077,1148,671.14,65,38
12079,050US12079,1755.63,851.21,198,96
12081,050US12081,713.19,200.68,1617,455
12083,050US12083,1115.04,343.57,2301,709
12085,050US12085,1061.06,284.62,932,250
12086,050US12086,374.36,79.71,6768,1441
12087,050US12087,775.82,384.09,406,201
12089,050US12089,561.07,184.56,304,100
12091,050US12091,842.54,337.74,1155,463
12093,050US12093,1891.28,645.21,469,160
12095,050US12095,518.69,103.7,5137,1027
12097,050US12097,580.88,175.28,1478,446
12099,050US12099,462.43,132.42,4145,1187
