"HEROP_ID","GEOID","TotTracts","HospCtTmDr","HospCtTmDr2","HospTmDrP","HospTmDrP2","HospAvTmDr","HospAvTmDr2"
"050US51095","51095",17,17,15,100,88.24,11.67,23.33
"050US51097","51097",2,2,1,100,50,18.83,37.66
"050US51099","51099",6,5,0,83.33,0,24.92,49.84
"050US51101","51101",4,3,1,75,25,22.57,45.15
"050US51103","51103",4,4,3,100,75,10.72,21.44
"050US51105","51105",7,5,2,71.43,28.57,21.9,43.8
"050US51107","51107",75,74,66,98.67,88,9.07,18.13
"050US51109","51109",9,3,0,33.33,0,32.46,64.91
"050US51111","51111",3,0,0,0,0,54.09,108.18
"050US51113","51113",4,2,0,50,0,28.77,57.55
"050US51115","51115",4,4,0,100,0,22.18,44.35
"050US51117","51117",12,8,3,66.67,25,22.95,45.91
"050US51119","51119",4,3,0,75,0,26.69,53.38
"050US51121","51121",23,23,20,100,86.96,10.17,20.33
"050US51125","51125",5,1,0,20,0,40.14,80.28
"050US51127","51127",4,4,3,100,75,12,23.99
"050US51131","51131",4,0,0,0,0,43.89,87.79
"050US51133","51133",4,1,0,25,0,28.33,56.66
"050US51135","51135",5,1,0,20,0,37.9,75.79
"050US51137","51137",8,8,0,100,0,24.66,49.31
"050US51139","51139",6,6,2,100,33.33,16.68,33.36
"050US51141","51141",6,4,0,66.67,0,26.96,53.92
"050US51143","51143",19,12,3,63.16,15.79,26.09,52.18
"050US51145","51145",6,6,0,100,0,21.84,43.68
"050US51147","51147",6,6,4,100,66.67,12.76,25.52
"050US51149","51149",7,7,6,100,85.71,10.78,21.57
"050US51153","51153",93,93,84,100,90.32,9.77,19.54
"050US51155","51155",12,12,9,100,75,11.38,22.76
"050US51157","51157",2,0,0,0,0,34.14,68.27
"050US51159","51159",2,1,0,50,0,24.47,48.93
"050US51161","51161",22,22,19,100,86.36,10.43,20.85
"050US51163","51163",6,6,2,100,33.33,17.24,34.48
"050US51165","51165",22,19,6,86.36,27.27,21.87,43.73
"050US51167","51167",9,8,3,88.89,33.33,17.49,34.98
"050US51169","51169",6,3,1,50,16.67,28.02,56.04
"050US51171","51171",11,10,4,90.91,36.36,15.35,30.7
"050US51173","51173",9,8,4,88.89,44.44,14.19,28.38
"050US51175","51175",6,6,1,100,16.67,19.64,39.27
"050US51177","51177",34,33,24,97.06,70.59,13.43,26.85
"050US51179","51179",32,31,16,96.88,50,14.14,28.27
"050US51181","51181",2,0,0,0,0,41.48,82.96
"050US51183","51183",5,3,1,60,20,27.72,55.45
"050US51185","51185",13,10,3,76.92,23.08,22.09,44.17
"050US51187","51187",9,9,7,100,77.78,11.78,23.56
"050US51191","51191",15,14,4,93.33,26.67,19.69,39.37
"050US51193","51193",6,0,0,0,0,37.43,74.87
"050US51195","51195",11,9,2,81.82,18.18,21.84,43.69
"050US51197","51197",8,8,4,100,50,15.93,31.87
"050US51199","51199",15,15,15,100,100,7.95,15.9
"050US51510","51510",48,48,48,100,100,5.64,11.28
"050US51520","51520",5,5,5,100,100,8.91,17.81
"050US51530","51530",2,2,2,100,100,10.56,21.12
"050US51540","51540",12,12,12,100,100,3.38,6.77
"050US51550","51550",61,61,57,100,93.44,8.67,17.33
"050US51570","51570",5,5,5,100,100,12.05,24.1
"050US51580","51580",2,0,0,0,0,32.08,64.17
"050US51590","51590",16,16,16,100,100,4.96,9.91
"050US51595","51595",2,2,2,100,100,1.27,2.54
"050US51600","51600",5,5,5,100,100,8.14,16.28
"050US51610","51610",3,3,3,100,100,4.93,9.86
"050US51620","51620",2,2,2,100,100,2.12,4.23
"050US51630","51630",7,7,7,100,100,3.18,6.37
