"HEROP_ID","GEOID","TotTracts","NaltCtTmDr","NaltCtTmDr2","NaltTmDrP","NaltTmDrP2","NaltAvTmDr","NaltAvTmDr2"
"050US04003","04003",38,31,22,81.58,57.89,13.77,27.54
"050US04005","04005",39,25,23,64.1,58.97,23.27,46.53
"050US04007","04007",16,9,6,56.25,37.5,30.66,61.32
"050US04009","04009",9,6,5,66.67,55.56,17.84,35.68
"050US04011","04011",3,2,2,66.67,66.67,13.51,27.01
"050US04012","04012",12,4,2,33.33,16.67,39.28,78.56
"050US04013","04013",1009,997,955,98.81,94.65,5.3,10.6
"050US04015","04015",66,59,49,89.39,74.24,13,26
"050US04017","04017",37,20,15,54.05,40.54,26.52,53.03
"050US04019","04019",270,261,241,96.67,89.26,7.56,15.11
"050US04021","04021",95,86,63,90.53,66.32,13.42,26.84
"050US04023","04023",14,12,9,85.71,64.29,16.41,32.81
"050US04025","04025",72,59,49,81.94,68.06,14.16,28.31
"050US04027","04027",67,62,46,92.54,68.66,12.52,25.03
"050US05001","05001",8,0,0,0,0,70.63,141.25
"050US05003","05003",7,0,0,0,0,45.97,91.95
"050US05005","05005",10,9,6,90,60,14.12,28.24
"050US05007","05007",57,57,39,100,68.42,11.23,22.47
"050US05009","05009",7,7,4,100,57.14,13.96,27.92
"050US05011","05011",5,0,0,0,0,66.4,132.81
"050US05013","05013",2,1,0,50,0,33.65,67.3
"050US05015","05015",8,7,4,87.5,50,15.15,30.3
"050US05017","05017",4,1,0,25,0,35.65,71.29
"050US05019","05019",6,3,0,50,0,32.18,64.35
"050US05021","05021",6,4,0,66.67,0,27.02,54.03
"050US05023","05023",9,6,3,66.67,33.33,20.32,40.64
"050US05025","05025",2,0,0,0,0,67.2,134.4
"050US05027","05027",7,7,4,100,57.14,12.04,24.08
"050US05029","05029",6,5,2,83.33,33.33,17.68,35.37
"050US05031","05031",22,22,17,100,77.27,9.28,18.56
"050US05033","05033",15,12,9,80,60,16.53,33.07
"050US05035","05035",20,19,13,95,65,11.09,22.19
"050US05037","05037",6,3,0,50,0,29.03,58.05
"050US05039","05039",3,0,0,0,0,46.1,92.19
"050US05041","05041",5,0,0,0,0,50.51,101.03
"050US05043","05043",5,5,4,100,80,11.81,23.62
"050US05045","05045",28,25,19,89.29,67.86,12.27,24.55
"050US05047","05047",5,5,2,100,40,13.87,27.74
"050US05049","05049",4,4,2,100,50,13.29,26.59
"050US05051","05051",30,25,1,83.33,3.33,25.27,50.54
"050US05053","05053",5,0,0,0,0,41.01,82.02
"050US05055","05055",12,12,8,100,66.67,12.38,24.75
"050US05057","05057",7,5,3,71.43,42.86,16.37,32.75
"050US05059","05059",9,7,1,77.78,11.11,23.63,47.26
"050US05061","05061",3,0,0,0,0,38.59,77.19
"050US05063","05063",10,5,2,50,20,28.05,56.09
"050US05065","05065",4,4,1,100,25,14.2,28.4
"050US05067","05067",6,6,2,100,33.33,18.18,36.37
"050US05069","05069",24,0,0,0,0,49.02,98.03
"050US05071","05071",6,6,4,100,66.67,11.27,22.55
"050US05073","05073",3,2,0,66.67,0,30.71,61.41
"050US05075","05075",6,5,3,83.33,50,15.13,30.26
"050US05077","05077",4,3,1,75,25,18.92,37.84
"050US05079","05079",4,0,0,0,0,42.07,84.13
"050US05081","05081",6,5,0,83.33,0,28.43,56.87
"050US05083","05083",6,6,5,100,83.33,6.83,13.66
"050US05085","05085",18,10,0,55.56,0,29.54,59.08
"050US05087","05087",4,4,1,100,25,16.35,32.7
"050US05089","05089",5,4,1,80,20,19.48,38.97
"050US05091","05091",14,13,11,92.86,78.57,9.05,18.1
"050US05093","05093",14,12,7,85.71,50,17.52,35.04
"050US05095","05095",3,1,1,33.33,33.33,30.61,61.21
"050US05097","05097",3,0,0,0,0,47.29,94.58
"050US05099","05099",3,3,0,100,0,25.22,50.44
"050US05101","05101",2,1,1,50,50,23.66,47.33
"050US05103","05103",8,8,4,100,50,12.39,24.78
"050US05105","05105",3,1,0,33.33,0,38.71,77.41
"050US05107","05107",7,6,4,85.71,57.14,16.48,32.97
"050US05109","05109",3,0,0,0,0,51.05,102.11
"050US05111","05111",8,6,1,75,12.5,25.43,50.85
"050US05113","05113",7,6,2,85.71,28.57,16.63,33.27
"050US05115","05115",17,16,13,94.12,76.47,10.73,21.46
"050US05117","05117",3,0,0,0,0,52.25,104.51
"050US05119","05119",107,107,93,100,86.92,9.61,19.21
"050US05121","05121",5,2,1,40,20,29.02,58.04
"050US05123","05123",7,7,5,100,71.43,11.14,22.28
"050US05125","05125",30,28,19,93.33,63.33,13.36,26.72
"050US05127","05127",3,3,2,100,66.67,8.84,17.67
"050US05129","05129",3,2,1,66.67,33.33,17.51,35.03
"050US05131","05131",31,30,24,96.77,77.42,8.98,17.95
"050US05133","05133",4,4,3,100,75,12.66,25.32
"050US05135","05135",6,3,2,50,33.33,27.24,54.47
"050US05137","05137",4,3,1,75,25,19.13,38.26
"050US05139","05139",12,11,5,91.67,41.67,15.74,31.47
"050US05141","05141",6,1,1,16.67,16.67,31.97,63.94
"050US05143","05143",54,50,40,92.59,74.07,10.74,21.49
"050US05145","05145",19,18,9,94.74,47.37,15.53,31.05
"050US05147","05147",2,0,0,0,0,38.96,77.92
"050US05149","05149",6,3,1,50,16.67,36.2,72.39
"050US06001","06001",378,376,315,99.47,83.33,8.47,16.94
"050US06003","06003",1,0,0,0,0,64.28,128.56
"050US06005","06005",10,0,0,0,0,51.56,103.13
"050US06007","06007",54,39,24,72.22,44.44,19.6,39.2
"050US06009","06009",14,0,0,0,0,62.05,124.1
"050US06011","06011",6,2,0,33.33,0,37.21,74.42
"050US06013","06013",241,234,156,97.1,64.73,13.7,27.41
"050US06015","06015",8,0,0,0,0,NA,NA
"050US06017","06017",55,19,0,34.55,0,37.88,75.76
"050US06019","06019",225,200,165,88.89,73.33,13.08,26.17
"050US06021","06021",8,8,2,100,25,16.08,32.15
"050US06023","06023",35,0,0,0,0,NA,NA
"050US06025","06025",40,34,26,85,65,12.68,25.35
"050US06027","06027",6,4,3,66.67,50,8.77,17.54
"050US06029","06029",236,7,4,2.97,1.69,59.96,119.92
"050US06031","06031",31,0,0,0,0,43.05,86.09
"050US06033","06033",21,0,0,0,0,56.62,113.23
"050US06035","06035",9,7,4,77.78,44.44,25.25,50.5
"050US06037","06037",2495,2489,2464,99.76,98.76,4.56,9.11
"050US06039","06039",34,23,0,67.65,0,28.87,57.73
"050US06041","06041",62,60,56,96.77,90.32,8.7,17.4
"050US06043","06043",6,0,0,0,0,54.8,109.59
"050US06045","06045",23,12,6,52.17,26.09,37.14,74.28
"050US06047","06047",63,49,33,77.78,52.38,17.64,35.27
"050US06049","06049",4,0,0,0,0,89.34,178.68
