HeropID,RcaRuralP,RcaSuburbP,RcaUrbanP
050US17035,100.00,0.00,0.00
050US17037,4.35,21.74,73.91
050US17039,60.00,40.00,0.00
050US17041,80.00,20.00,0.00
050US17043,0.00,0.00,100.00
050US17045,100.00,0.00,0.00
050US17047,100.00,0.00,0.00
050US17049,62.50,37.50,0.00
050US17051,100.00,0.00,0.00
050US17053,100.00,0.00,0.00
050US17055,100.00,0.00,0.00
050US17057,50.00,50.00,0.00
050US17059,100.00,0.00,0.00
050US17061,100.00,0.00,0.00
050US17063,0.00,80.00,20.00
050US17065,100.00,0.00,0.00
050US17067,85.71,14.29,0.00
050US17069,100.00,0.00,0.00
050US17071,100.00,0.00,0.00
050US17073,50.00,42.86,7.14
050US17075,88.89,11.11,0.00
050US17077,35.29,64.71,0.00
050US17079,100.00,0.00,0.00
050US17081,45.45,54.55,0.00
050US17083,66.67,33.33,0.00
050US17085,85.71,0.00,14.29
050US17087,100.00,0.00,0.00
050US17089,0.96,4.81,94.23
050US17091,0.00,40.00,60.00
050US17093,0.00,4.76,95.24
050US17095,25.00,75.00,0.00
050US17097,0.63,26.25,73.13
050US17099,28.57,71.43,0.00
050US17101,100.00,0.00,0.00
050US17103,66.67,33.33,0.00
050US17105,60.00,40.00,0.00
050US17107,37.50,62.50,0.00
050US17109,45.45,54.55,0.00
050US17111,6.25,40.63,53.13
050US17113,2.13,21.28,76.60
050US17115,0.00,13.51,86.49
050US17117,53.85,46.15,0.00
050US17119,0.00,19.05,80.95
050US17121,66.67,33.33,0.00
050US17123,60.00,40.00,0.00
050US17125,83.33,16.67,0.00
050US17127,50.00,50.00,0.00
050US17129,0.00,100.00,0.00
050US17131,50.00,50.00,0.00
050US17133,0.00,57.14,42.86
050US17135,100.00,0.00,0.00
050US17137,30.00,70.00,0.00
050US17139,75.00,25.00,0.00
050US17141,46.15,53.85,0.00
050US17143,0.00,12.24,87.76
050US17145,100.00,0.00,0.00
050US17147,25.00,75.00,0.00
050US17149,100.00,0.00,0.00
050US17151,100.00,0.00,0.00
050US17153,100.00,0.00,0.00
050US17155,100.00,0.00,0.00
050US17157,100.00,0.00,0.00
050US17159,100.00,0.00,0.00
050US17161,0.00,13.95,86.05
050US17163,0.00,11.76,88.24
050US17165,100.00,0.00,0.00
050US17167,0.00,12.96,87.04
050US17169,100.00,0.00,0.00
050US17171,100.00,0.00,0.00
050US17173,83.33,16.67,0.00
050US17175,50.00,50.00,0.00
050US17177,46.15,53.85,0.00
050US17179,0.00,16.67,83.33
050US17181,100.00,0.00,0.00
050US17183,41.67,58.33,0.00
050US17185,100.00,0.00,0.00
050US17187,100.00,0.00,0.00
050US17189,75.00,25.00,0.00
050US17191,100.00,0.00,0.00
050US17193,100.00,0.00,0.00
050US17195,42.11,57.89,0.00
050US17197,0.00,8.14,91.86
050US17199,33.33,66.67,0.00
050US17201,0.00,6.25,93.75
050US17203,55.56,33.33,11.11
050US18001,71.43,28.57,0.00
050US18003,0.00,12.50,87.50
050US18005,0.00,31.25,68.75
050US18007,33.33,66.67,0.00
050US18009,100.00,0.00,0.00
050US18011,9.09,45.45,45.45
050US18013,20.00,80.00,0.00
050US18015,28.57,71.43,0.00
050US18017,45.45,54.55,0.00
050US18019,0.00,25.93,74.07
050US18021,33.33,66.67,0.00
050US18023,25.00,75.00,0.00
050US18025,66.67,33.33,0.00
050US18027,62.50,37.50,0.00
050US18029,23.08,76.92,0.00
050US18031,66.67,33.33,0.00
050US18033,55.56,44.44,0.00
050US18035,2.94,20.59,76.47
050US18037,66.67,33.33,0.00
050US18039,8.89,13.33,77.78
050US18041,42.86,57.14,0.00
050US18043,0.00,30.00,70.00
050US18045,80.00,20.00,0.00
050US18047,80.00,20.00,0.00
050US18049,100.00,0.00,0.00
050US18051,75.00,25.00,0.00
050US18053,37.50,62.50,0.00
050US18055,77.78,22.22,0.00
050US18057,0.00,5.26,94.74
050US18059,0.00,20.00,80.00
050US18061,0.00,100.00,0.00
050US18063,0.00,12.90,87.10
050US18065,46.15,53.85,0.00
050US18067,0.00,23.81,76.19
050US18069,33.33,66.67,0.00
050US18071,45.45,54.55,0.00
050US18073,50.00,50.00,0.00
050US18075,100.00,0.00,0.00
050US18077,42.86,57.14,0.00
050US18079,83.33,16.67,0.00
050US18081,0.00,7.14,92.86
050US18083,45.45,54.55,0.00
050US18085,66.67,33.33,0.00
050US18087,100.00,0.00,0.00
050US18089,0.76,5.30,93.94
050US18091,9.68,25.81,64.52
050US18093,46.15,53.85,0.00
050US18095,17.95,12.82,69.23
050US18097,0.00,0.40,99.60
050US18099,75.00,25.00,0.00
050US18101,100.00,0.00,0.00
050US18103,50.00,50.00,0.00
050US18105,0.00,24.24,75.76
050US18107,55.56,44.44,0.00
050US18109,0.00,76.47,23.53
050US18111,75.00,25.00,0.00
050US18113,70.00,30.00,0.00
050US18115,0.00,100.00,0.00
050US18117,100.00,0.00,0.00
050US18119,66.67,33.33,0.00
050US18121,80.00,20.00,0.00
050US18123,100.00,0.00,0.00
050US18125,100.00,0.00,0.00
050US18127,2.33,20.93,76.74
050US18129,28.57,71.43,0.00
050US18131,100.00,0.00,0.00
050US18133,44.44,55.56,0.00
050US18135,87.50,12.50,0.00
050US18137,100.00,0.00,0.00
050US18139,80.00,20.00,0.00
050US18141,0.00,7.32,92.68
050US18143,100.00,0.00,0.00
050US18145,20.00,80.00,0.00
050US18147,66.67,33.33,0.00
050US18149,100.00,0.00,0.00
050US18151,66.67,33.33,0.00
050US18153,75.00,25.00,0.00
050US18155,100.00,0.00,0.00
050US18157,0.00,11.63,88.37
050US18159,60.00,40.00,0.00
050US18161,100.00,0.00,0.00
050US18163,1.69,6.78,91.53
050US18165,40.00,60.00,0.00
050US18167,0.00,21.88,78.13
050US18169,62.50,37.50,0.00
050US18171,66.67,33.33,0.00
050US18173,0.00,37.50,62.50
050US18175,57.14,42.86,0.00
050US18177,38.89,61.11,0.00
050US18179,42.86,57.14,0.00
050US18181,44.44,55.56,0.00
050US18183,37.50,62.50,0.00
050US19001,100.00,0.00,0.00
050US19003,100.00,0.00,0.00
050US19005,100.00,0.00,0.00
050US19007,100.00,0.00,0.00
050US19009,100.00,0.00,0.00
050US19011,42.86,57.14,0.00
050US19013,0.00,10.26,89.74
050US19015,42.86,57.14,0.00
050US19017,75.00,25.00,0.00
050US19019,83.33,16.67,0.00
050US19021,66.67,33.33,0.00
050US19023,60.00,40.00,0.00
050US19025,100.00,0.00,0.00
050US19027,66.67,33.33,0.00
050US19029,100.00,0.00,0.00
050US19031,80.00,20.00,0.00
050US19033,41.67,58.33,0.00
050US19035,100.00,0.00,0.00
050US19037,100.00,0.00,0.00
050US19039,100.00,0.00,0.00
050US19041,40.00,60.00,0.00
050US19043,100.00,0.00,0.00
050US19045,33.33,66.67,0.00
050US19047,100.00,0.00,0.00
050US19049,10.53,31.58,57.89
050US19051,100.00,0.00,0.00
050US19053,100.00,0.00,0.00
050US19055,100.00,0.00,0.00
