HEROP_ID,HospMinDis
140US01089011021,7.574671951
140US01095031200,1.492646951
140US01073012401,5.068600789
140US01073003400,3.211829947
140US01073010402,0.909775384
140US01073005101,0.719275236
140US01073000500,2.560945506
140US01073010705,1.132886034
140US01103001000,2.385979171
140US01125011701,2.830365726
140US01125012304,2.922785843
140US01065040300,9.189492285
140US01099075800,8.114164547
140US01127021300,13.95950976
140US01129044000,4.803707799
140US01079979300,9.487374566
140US01015000300,1.417258898
140US01023956800,1.839967234
140US01039961600,11.14798514
140US01043964600,7.08576013
140US01085781000,20.60508661
140US01047956600,1.876248308
140US01055000600,3.340979673
140US01077010600,1.331615205
140US01003010100,14.4354266
140US01111000300,1.936635345
140US01113030200,1.524281219
140US01037961200,15.27124529
140US01085780800,15.88169741
140US01087232200,12.93786631
140US01069041500,4.434987109
140US01081041600,2.645460077
140US01101002202,1.758774784
140US01101002201,1.857343587
140US01101003100,0.909126322
140US01101001400,1.043539426
140US01001021100,16.34801867
140US01005950300,21.90252096
140US01097000500,0.948357178
140US01097002700,1.077999844
140US01097004800,3.103265499
140US01097003205,1.79930321
140US01069040301,2.854850107
140US01069041000,0.988933782
140US01121011100,10.33519848
140US01081040603,7.125313424
140US01073012914,0.943320571
140US01101000900,4.300894422
140US01101005407,0.424377779
140US01097007500,2.764454831
140US01103005108,3.370508768
140US01087231700,13.55483354
140US01131035200,10.41543619
140US01069040203,2.020877403
140US01001020501,2.002904814
140US01125012307,1.650738397
140US01125012407,2.176262353
140US01131034802,4.405561471
140US01119011302,13.07096115
140US01015002104,10.27318165
140US01077010901,2.036118874
140US01133965602,9.854826038
140US01101003304,1.830294248
140US01071950902,3.306816658
140US01081040802,5.236609334
140US01081040201,4.493284481
140US01097006804,3.199122926
140US01049960301,10.31747447
140US01089002923,5.07224762
140US01089002804,4.631341594
140US01089010404,14.81649715
140US01073004501,0.377410931
140US01073012921,1.105773742
140US01073003700,2.572244928
140US01073001500,1.93989176
140US01073013300,5.680417527
140US01073005200,1.313831748
140US01073002000,0.910709593
140US01073005903,0.631281475
140US01073002305,1.477941208
140US01073002100,1.600915033
140US01073012302,12.27208673
140US01103000700,2.121164058
140US01103000300,1.272953495
140US01125011703,3.906440358
140US01125010407,1.569133012
140US01091973300,15.40622368
140US01065040100,10.99044774
140US01099076200,20.44595558
140US01099075700,16.20322412
140US01083020500,0.778532577
140US01105686800,18.31141697
140US01063060200,11.15211323
140US01071950400,17.24424794
140US01089000901,3.3588215
140US01089010623,4.530306109
140US01089000902,2.273209882
140US01089002300,2.348911116
140US01025957800,6.141645557
140US01025957700,19.2299014
140US01033020200,1.437068909
140US01033020400,1.638354923
140US01039962800,7.916116525
140US01047957000,16.30984235
140US01047956202,9.363323509
140US01047956800,0.399091299
140US01015000200,1.219315259
140US01019955702,12.09637217
140US01117030319,0.341295177
140US01081040300,4.47668211
140US01081041300,0.899904912
140US01101003000,4.476096685
140US01101001100,2.586306314
