HEROP_ID,ZIP,OtpTmDr,OtpTmDr2,OtpCntDr,OtpMinDis
860US00501,00501,,,,
860US00601,00601,0.0,0.0,0,12.695585057453505
860US00602,00602,0.0,0.0,0,46.50917604891926
860US00603,00603,0.0,0.0,0,46.90396634139685
860US00604,00604,0.0,0.0,0,47.9121448345213
860US00605,00605,0.0,0.0,0,45.7881218702246
860US00606,00606,0.0,0.0,0,28.12763698305259
860US00610,00610,0.0,0.0,0,41.04914808496439
860US00611,00611,0.0,0.0,0,22.0143499242365
860US00612,00612,0.0,0.0,0,30.728681903012433
860US00613,00613,0.0,0.0,0,31.210339586031317
860US00614,00614,0.0,0.0,0,30.7832965694214
860US00616,00616,0.0,0.0,0,28.811371902095605
860US00617,00617,0.0,0.0,0,27.57129800365684
860US00622,00622,0.0,0.0,0,38.67186717954983
860US00623,00623,0.0,0.0,0,37.56234666129325
860US00624,00624,0.0,0.0,0,8.611685806952105
860US00627,00627,0.0,0.0,0,34.79185728551107
860US00631,00631,,,,
860US00637,00637,0.0,0.0,0,23.8328335230624
860US00638,00638,0.0,0.0,0,19.04023561914373
860US00641,00641,0.0,0.0,0,17.912456099664283
860US00646,00646,0.0,0.0,0,9.540736824994982
860US00647,00647,0.0,0.0,0,22.899519597039315
860US00650,00650,0.0,0.0,0,23.09420179784895
860US00652,00652,0.0,0.0,0,29.855741980242133
860US00653,00653,0.0,0.0,0,20.67640628671841
860US00656,00656,0.0,0.0,0,12.402018828095013
860US00659,00659,0.0,0.0,0,33.48209515654298
860US00660,00660,0.0,0.0,0,35.96232728060467
860US00662,00662,0.0,0.0,0,42.18540926941162
860US00664,00664,0.0,0.0,0,14.00188757835816
860US00667,00667,0.0,0.0,0,30.79761666170264
860US00669,00669,0.0,0.0,0,26.404138968366446
860US00670,00670,0.0,0.0,0,30.90329064292933
860US00674,00674,0.0,0.0,0,21.966040303556806
860US00676,00676,0.0,0.0,0,42.73732659458438
860US00677,00677,0.0,0.0,0,48.25924193470179
860US00678,00678,0.0,0.0,0,37.39789619129887
860US00680,00680,0.0,0.0,0,37.842629354169986
860US00681,00681,0.0,0.0,0,38.73423438271736
860US00682,00682,0.0,0.0,0,42.28388769693329
860US00683,00683,0.0,0.0,0,30.02070444300454
860US00685,00685,0.0,0.0,0,33.71736655079221
860US00687,00687,0.0,0.0,0,18.509012523391597
860US00688,00688,0.0,0.0,0,22.9106079906787
860US00690,00690,0.0,0.0,0,46.404939327197205
860US00692,00692,0.0,0.0,0,12.322319231572001
860US00693,00693,0.0,0.0,0,17.25733926205948
860US00694,00694,0.0,0.0,0,16.8030498604789
860US00698,00698,0.0,0.0,0,16.668046209623867
860US00703,00703,0.0,0.0,0,6.345390534106219
860US00704,00704,0.0,0.0,0,10.37223931926314
860US00705,00705,0.0,0.0,0,6.424065784041467
860US00707,00707,0.0,0.0,0,19.018207048231332
860US00714,00714,0.0,0.0,0,12.335888432863136
860US00715,00715,0.0,0.0,0,4.558664459349007
860US00716,00716,0.0,0.0,0,1.8115208926532682
860US00717,00717,0.0,0.0,0,0.7226680592396407
860US00718,00718,0.0,0.0,0,10.356030739383147
860US00719,00719,0.0,0.0,0,8.571400990452501
860US00720,00720,0.0,0.0,0,16.107212835764244
860US00721,00721,0.0,0.0,0,13.3324526121432
860US00723,00723,0.0,0.0,0,14.109373902437813
860US00725,00725,0.0,0.0,0,2.842403528937239
860US00726,00726,0.0,0.0,0,2.6728485600773935
860US00727,00727,0.0,0.0,0,3.0172513914601993
860US00728,00728,0.0,0.0,0,3.066282464015573
860US00729,00729,0.0,0.0,0,9.834963215854351
860US00730,00730,0.0,0.0,0,1.9557234375427321
860US00731,00731,0.0,0.0,0,6.65328751902792
860US00732,00732,0.0,0.0,0,1.23820686911854
860US00733,00733,0.0,0.0,0,0.673830214795664
860US00735,00735,0.0,0.0,0,4.691845112831643
860US00736,00736,0.0,0.0,0,2.312220048590771
860US00737,00737,0.0,0.0,0,0.997077181414558
860US00738,00738,0.0,0.0,0,1.1312351102237808
860US00739,00739,0.0,0.0,0,4.1980074869333786
860US00740,00740,0.0,0.0,0,0.846056086687082
860US00741,00741,0.0,0.0,0,13.3376264170247
860US00744,00744,0.0,0.0,0,11.5081345536869
860US00745,00745,0.0,0.0,0,12.22270858992275
860US00751,00751,0.0,0.0,0,10.76174474700898
860US00754,00754,0.0,0.0,0,5.978481009898883
860US00757,00757,0.0,0.0,0,14.380978132684975
860US00765,00765,0.0,0.0,0,21.887948767885817
860US00766,00766,0.0,0.0,0,11.284332294304818
860US00767,00767,0.0,0.0,0,17.601981483124554
860US00769,00769,0.0,0.0,0,13.401546263412195
860US00771,00771,0.0,0.0,0,11.060615347910254
860US00772,00772,0.0,0.0,0,12.164225375189904
860US00773,00773,0.0,0.0,0,5.53697769171544
860US00775,00775,,,,
860US00777,00777,0.0,0.0,0,7.10398848809391
860US00778,00778,0.0,0.0,0,3.5625071224955467
860US00780,00780,0.0,0.0,0,4.221864842196386
860US00782,00782,0.0,0.0,0,7.584864228813131
860US00783,00783,0.0,0.0,0,11.682225560904103
860US00784,00784,0.0,0.0,0,10.080945322646254
860US00785,00785,0.0,0.0,0,9.74143541483153
860US00786,00786,,,,
860US00791,00791,0.0,0.0,0,16.172807293324453
860US00792,00792,0.0,0.0,0,15.3160536503048
860US00794,00794,0.0,0.0,0,10.478942041001773
860US00795,00795,0.0,0.0,0,7.668821165304564
860US00801,00801,0.0,0.0,0,40.8610894366245
860US00802,00802,0.0,0.0,0,40.940900354928615
860US00803,00803,0.0,0.0,0,40.8610894366245
860US00804,00804,0.0,0.0,0,40.8610894366245
860US00820,00820,0.0,0.0,0,2.1839389685070056
860US00830,00830,0.0,0.0,0,38.8826710243113
860US00831,00831,0.0,0.0,0,38.0187116248104
860US00840,00840,0.0,0.0,0,8.95507586527935
860US00850,00850,0.0,0.0,0,4.909782458669609
860US00901,00901,0.0,0.0,0,5.47999727217763
860US00902,00902,0.0,0.0,0,5.4393253356448
860US00907,00907,0.0,0.0,0,4.917036732850276
860US00908,00908,0.0,0.0,0,5.2143047196
860US00909,00909,0.0,0.0,0,4.041498711883845
860US00910,00910,0.0,0.0,0,3.98555076320319
860US00911,00911,0.0,0.0,0,4.272423229477619
860US00912,00912,0.0,0.0,0,3.970074473075041
860US00913,00913,0.0,0.0,0,3.955993238378939
860US00914,00914,0.0,0.0,0,4.32353695896372
860US00915,00915,0.0,0.0,0,3.2312495351367154
860US00916,00916,0.0,0.0,0,3.40471292448558
860US00917,00917,0.0,0.0,0,2.2476145227305606
860US00918,00918,0.0,0.0,0,2.6397704686607546
860US00919,00919,0.0,0.0,0,3.27312092310043
860US00920,00920,0.0,0.0,0,3.5294097395534187
860US00921,00921,0.0,0.0,0,3.1842384408556863
860US00922,00922,0.0,0.0,0,3.33588944467525
860US00923,00923,0.0,0.0,0,1.4530171344716603
860US00924,00924,0.0,0.0,0,2.0508749946880624
860US00925,00925,0.0,0.0,0,1.2958851499361377
860US00926,00926,0.0,0.0,0,2.2090245107166147
860US00927,00927,0.0,0.0,0,2.1623826379843063
860US00928,00928,0.0,0.0,0,0.426968077584325
860US00929,00929,0.0,0.0,0,2.17638266137593
860US00931,00931,0.0,0.0,0,0.426968077584325
860US00934,00934,0.0,0.0,0,1.3310506479622684
860US00935,00935,,,,
860US00936,00936,0.0,0.0,0,3.22650253399021
860US00937,00937,0.0,0.0,0,4.43100610520636
860US00940,00940,0.0,0.0,0,3.98555076320319
860US00949,00949,0.0,0.0,0,4.466090307261494
860US00950,00950,0.0,0.0,0,4.56658844986222
860US00951,00951,0.0,0.0,0,4.56658844986222
860US00952,00952,0.0,0.0,0,3.024138195547838
860US00953,00953,0.0,0.0,0,5.121333999659874
860US00954,00954,0.0,0.0,0,6.45062552744704
860US00956,00956,0.0,0.0,0,2.4019651708652496
860US00957,00957,0.0,0.0,0,2.7649685767845806
860US00958,00958,0.0,0.0,0,1.54255836864001
860US00959,00959,0.0,0.0,0,1.6679037813675341
860US00960,00960,0.0,0.0,0,0.303719613717952
860US00961,00961,0.0,0.0,0,1.477952009721695
860US00962,00962,0.0,0.0,0,3.012595859876427
860US00963,00963,0.0,0.0,0,3.62895117923659
860US00965,00965,0.0,0.0,0,3.410650549398061
860US00966,00966,0.0,0.0,0,2.551016354827738
860US00968,00968,0.0,0.0,0,3.500506126575635
860US00969,00969,0.0,0.0,0,3.3674232903959034
860US00970,00970,0.0,0.0,0,3.54142659753145
860US00971,00971,0.0,0.0,0,4.0212120451564255
860US00975,00975,,,,
860US00976,00976,0.0,0.0,0,2.743101457337233
860US00977,00977,0.0,0.0,0,3.62895117923659
860US00979,00979,0.0,0.0,0,3.7220507851049605
860US00981,00981,0.0,0.0,0,4.43100610520636
860US00982,00982,0.0,0.0,0,3.610765712500423
860US00983,00983,0.0,0.0,0,4.663567834296884
860US00984,00984,0.0,0.0,0,4.41234169345905
860US00985,00985,0.0,0.0,0,5.698294380472339
860US00986,00986,0.0,0.0,0,5.72143594375132
860US00987,00987,0.0,0.0,0,5.243746796462995
860US00988,00988,0.0,0.0,0,4.4640364213131
860US01001,01001,5.714801974195197,11.429603948390394,13,2.5179062761305016
860US01002,01002,17.67447001509447,35.34894003018894,10,7.619963936599439
860US01003,01003,15.59377483486,31.18754966972,13,6.942443291217733
860US01004,01004,14.88,29.76,13,6.73847771876285
860US01005,01005,27.732393464002396,55.46478692800479,2,13.617176491698869
860US01007,01007,18.4417795569,36.8835591138,10,8.058044202337808
860US01008,01008,27.28862010007,54.57724020014,1,12.021446909978952
860US01009,01009,15.52,31.04,10,8.15874699601774
860US01010,01010,15.94868589732,31.89737179464,8,9.765962587433503
860US01011,01011,24.52650457032,49.05300914064,1,11.669844349340874
860US01012,01012,18.72,37.44,4,7.02808128445524
860US01013,01013,3.2989739529000004,6.597947905800001,13,1.129384081338638
860US01014,01014,1.41,2.82,13,0.863617683284294
860US01020,01020,5.59329856915,11.1865971383,13,2.195731112865868
860US01021,01021,3.64,7.28,13,1.61943779755023
860US01022,01022,7.05072784808,14.10145569616,13,1.9972655745687806
860US01026,01026,0.64856153162,1.29712306324,2,5.332025540475541
860US01027,01027,6.86593181093,13.73186362186,15,3.042880210644119
860US01028,01028,7.766632886233366,15.533265772466732,12,2.691763374724053
860US01029,01029,26.59,53.18,1,9.99151879690685
860US01030,01030,8.44469786689,16.88939573378,12,4.073144089093226
860US01031,01031,37.191792293460004,74.38358458692001,0,17.265017353242985
860US01032,01032,18.72,37.44,4,7.02808128445524
860US01033,01033,12.321638737180002,24.643277474360005,13,3.915165765230792
860US01034,01034,23.762585035599997,47.525170071199994,2,9.50897847737803
860US01035,01035,11.56,23.12,13,4.10547009216775
860US01036,01036,15.56,31.12,9,5.29668333928364
860US01037,01037,37.21,74.42,0,17.2700190866195
860US01038,01038,8.24,16.48,13,5.15115214920993
860US01039,01039,17.88780664087,35.77561328174,5,7.4564039359658665
860US01040,01040,2.8276610296176607,5.6553220592353215,13,1.3599126947509332
860US01041,01041,0.0,0.0,13,0.40662137632961615
860US01050,01050,19.828753997868755,39.65750799573751,6,10.083263228733104
860US01053,01053,4.0,8.0,15,2.63788801336267
860US01054,01054,20.58760240879,41.17520481758,1,10.543079169709152
860US01056,01056,1.1859144049940857,2.3718288099881715,13,1.5493984934360743
860US01057,01057,19.927848521947848,39.855697043895695,7,9.184057580103378
860US01059,01059,,,,
860US01060,01060,2.18798016045202,4.37596032090404,16,1.1637002849035492
860US01061,01061,3.08,6.16,17,0.885172462141608
860US01062,01062,1.7061723186861724,3.4123446373723447,16,0.9204497060571544
860US01063,01063,,,,
860US01066,01066,8.24,16.48,13,5.15115214920993
860US01068,01068,26.109235750410765,52.21847150082153,4,12.866094958392718
860US01069,01069,14.261542168358458,28.523084336716916,10,9.298781661985313
860US01070,01070,0.20559870838,0.41119741676,2,5.24160516018501
860US01071,01071,21.38,42.76,2,7.64392080157539
860US01072,01072,20.8,41.6,1,10.706854391304
860US01073,01073,10.95721431234,21.91442862468,13,5.943353934558267
860US01074,01074,,,,
860US01075,01075,6.06706074325,12.1341214865,13,2.6220329096695707
860US01077,01077,16.49486679497,32.98973358994,8,6.7018208166526865
860US01079,01079,,,,
860US01080,01080,11.959825689579999,23.919651379159998,10,5.724267419489018
860US01081,01081,22.86,45.72,1,8.82099770349928
860US01082,01082,28.673818251639997,57.34763650327999,2,13.445050785393914
860US01083,01083,24.22,48.44,4,12.2975784612799
860US01084,01084,18.72,37.44,4,7.02808128445524
860US01085,01085,7.473862325066138,14.947724650132276,13,2.4584169827598794
860US01086,01086,11.04,22.08,12,3.19884824189637
860US01088,01088,8.205167173380001,16.410334346760003,13,5.125202179749388
860US01089,01089,6.12619117238,12.25238234476,13,1.8238892753388578
860US01090,01090,5.0,10.0,13,1.18889051425872
860US01092,01092,,,,
860US01093,01093,,,,
860US01094,01094,,,,
860US01095,01095,7.096988439536988,14.193976879073976,10,3.1007185223785365
860US01096,01096,18.90978322,37.81956644,4,6.9640926462574235
860US01097,01097,,,,
860US01098,01098,0.31044776255999995,0.6208955251199999,2,5.221372097438253
860US01101,01101,1.66,3.32,13,0.762364340810673
860US01103,01103,1.5893355120000001,3.1786710240000002,13,0.7395290583587574
860US01104,01104,2.808524084808524,5.617048169617048,13,1.304350435187863
860US01105,01105,1.3558642939641357,2.7117285879282713,13,0.5859439785298273
860US01106,01106,6.399770671460001,12.799541342920001,12,2.908137673871286
860US01107,01107,2.88576723778,5.77153447556,13,0.7225637593434859
860US01108,01108,2.79085538477,5.58171076954,13,1.3482877434801057
860US01109,01109,4.4209963727599995,8.841992745519999,13,1.91377836777953
860US01111,01111,,,,
860US01115,01115,,,,
860US01116,01116,8.22,16.44,12,3.05040428627128
860US01118,01118,5.61145150593,11.22290301186,13,2.8428995060965567
860US01119,01119,5.488684604798685,10.97736920959737,13,2.5207681077988173
860US01128,01128,8.41681940663,16.83363881326,12,3.877522439007042
860US01129,01129,6.673743143953742,13.347486287907484,12,2.5716594668023087
860US01138,01138,1.68,3.36,13,0.75996556405004
860US01139,01139,3.9,7.8,13,1.76539094235537
860US01144,01144,,,,
