HEROP_ID,ZIP,SutTmDr,SutTmDr2,SutCntDr,SutMinDis
860US57256,57256,0.0,0.0,0.0,173.59611915924404
860US57257,57257,0.0,0.0,0.0,179.79341982122182
860US57258,57258,0.0,0.0,0.0,175.9573465173126
860US57259,57259,0.0,0.0,0.0,162.5534238336006
860US57260,57260,0.0,0.0,0.0,178.845642924378
860US57261,57261,0.0,0.0,0.0,206.90901280628756
860US57262,57262,0.0,0.0,0.0,181.5852089717809
860US57263,57263,0.0,0.0,0.0,172.73935008218612
860US57264,57264,0.0,0.0,0.0,164.61238593053923
860US57265,57265,0.0,0.0,0.0,164.46900505080248
860US57266,57266,0.0,0.0,0.0,174.18894737670735
860US57268,57268,0.0,0.0,0.0,153.91466597535927
860US57269,57269,0.0,0.0,0.0,163.4343718478213
860US57270,57270,0.0,0.0,0.0,207.55133723589148
860US57271,57271,0.0,0.0,0.0,171.73316192631964
860US57272,57272,0.0,0.0,0.0,177.77504559077985
860US57273,57273,0.0,0.0,0.0,194.14880621731703
860US57274,57274,0.0,0.0,0.0,201.08890857667845
860US57276,57276,0.0,0.0,0.0,129.949721746201
860US57278,57278,0.0,0.0,0.0,175.50767854071
860US57279,57279,0.0,0.0,0.0,166.7538550905284
860US57301,57301,0.0,0.0,0.0,115.90228064567376
860US57311,57311,0.0,0.0,0.0,105.67991524904411
860US57312,57312,0.0,0.0,0.0,156.24154901813858
860US57313,57313,0.0,0.0,0.0,113.64644981794798
860US57314,57314,0.0,0.0,0.0,134.07481158682532
860US57315,57315,0.0,0.0,0.0,84.71289304465928
860US57317,57317,0.0,0.0,0.0,140.103577517419
860US57319,57319,7.4000750755599265,14.800150151119853,0.0,86.1541229873307
860US57321,57321,0.0,0.0,0.0,116.58324770102682
860US57322,57322,0.0,0.0,0.0,168.72273201458557
860US57323,57323,0.0,0.0,0.0,122.0350037987156
860US57324,57324,0.0,0.0,0.0,154.395028926935
860US57325,57325,0.0,0.0,0.0,167.9437958357056
860US57328,57328,0.0,0.0,0.0,114.71965948990626
860US57329,57329,0.0,0.0,0.0,97.6416166342323
860US57330,57330,0.0,0.0,0.0,111.55824767215019
860US57331,57331,0.0,0.0,0.0,104.45531553288467
860US57332,57332,0.0,0.0,0.0,101.6282966904339
860US57334,57334,0.0,0.0,0.0,115.24875509765093
860US57335,57335,0.0,0.0,0.0,140.103577517419
860US57337,57337,0.0,0.0,0.0,121.03722297994128
860US57339,57339,0.0,0.0,0.0,176.24528340078
860US57340,57340,0.0,0.0,0.0,106.1568516962439
860US57341,57341,0.0,0.0,0.0,175.9857114800675
860US57342,57342,0.0,0.0,0.0,133.0268097598411
860US57344,57344,0.0,0.0,0.0,114.557656074014
860US57345,57345,0.0,0.0,0.0,207.91360175019838
860US57346,57346,0.0,0.0,0.0,207.853877619833
860US57348,57348,0.0,0.0,0.0,176.36759285385918
860US57349,57349,0.0,0.0,0.0,120.604533998821
860US57350,57350,0.0,0.0,0.0,156.1600792124983
860US57353,57353,0.0,0.0,0.0,147.7639125432351
860US57354,57354,0.0,0.0,0.0,89.8395151810358
860US57355,57355,0.0,0.0,0.0,156.46074532820393
860US57356,57356,0.0,0.0,0.0,113.380213890116
860US57358,57358,0.0,0.0,0.0,134.017892212349
860US57359,57359,0.0,0.0,0.0,132.70761878982677
860US57361,57361,,,,
860US57362,57362,0.0,0.0,0.0,188.2958572812613
860US57363,57363,0.0,0.0,0.0,119.094079209236
860US57364,57364,0.0,0.0,0.0,114.557656074014
860US57365,57365,0.0,0.0,0.0,182.161892871966
860US57366,57366,0.0,0.0,0.0,98.81231066019369
860US57367,57367,0.0,0.0,0.0,113.380213890116
860US57368,57368,0.0,0.0,0.0,135.73850194282
860US57369,57369,0.0,0.0,0.0,138.0721375715696
860US57370,57370,0.0,0.0,0.0,159.78133479774428
860US57371,57371,0.0,0.0,0.0,191.57789881633315
860US57373,57373,0.0,0.0,0.0,189.25441047055045
860US57374,57374,0.0,0.0,0.0,100.08273963115118
860US57375,57375,0.0,0.0,0.0,135.55641894495488
860US57376,57376,0.0,0.0,0.0,89.5601134900331
860US57379,57379,0.0,0.0,0.0,168.222382522826
860US57380,57380,0.0,0.0,0.0,99.1767748973509
860US57381,57381,0.0,0.0,0.0,178.14537500679933
860US57382,57382,0.0,0.0,0.0,153.90606865735379
860US57383,57383,0.0,0.0,0.0,136.2066976778232
