HEROP_ID,GEOID,HospCntDr,HospTmDr,HospTmDr2,HospTmDrP,HospTmDrP2,HospAvTmDr,HospAvTmDr2
050US05003,5003,7,6,3,85.71,42.86,6,3
050US05005,5005,10,10,6,100,60,10,6
050US05007,5007,57,57,40,100,70.18,57,40
050US05009,5009,7,7,4,100,57.14,7,4
050US05011,5011,5,4,1,80,20,4,1
050US05013,5013,2,1,0,50,0,1,0
050US05015,5015,8,7,2,87.5,25,7,2
050US05017,5017,4,4,3,100,75,4,3
050US05019,5019,6,5,3,83.33,50,5,3
050US05021,5021,6,4,2,66.67,33.33,4,2
050US05023,5023,9,6,3,66.67,33.33,6,3
050US05025,5025,2,1,0,50,0,1,0
050US05027,5027,7,7,4,100,57.14,7,4
050US05029,5029,6,5,2,83.33,33.33,5,2
050US05031,5031,22,22,17,100,77.27,22,17
050US05033,5033,15,12,9,80,60,12,9
050US05035,5035,20,20,14,100,70,20,14
050US05037,5037,6,6,3,100,50,6,3
050US05039,5039,3,1,1,33.33,33.33,1,1
050US05041,5041,5,4,4,80,80,4,4
050US05043,5043,5,5,4,100,80,5,4
050US05045,5045,28,25,19,89.29,67.86,25,19
050US05047,5047,5,5,2,100,40,5,2
050US05049,5049,4,3,1,75,25,3,1
050US05051,5051,30,29,22,96.67,73.33,29,22
050US05053,5053,5,1,0,20,0,1,0
050US05055,5055,12,12,8,100,66.67,12,8
050US05057,5057,7,7,3,100,42.86,7,3
050US05059,5059,9,9,3,100,33.33,9,3
050US05061,5061,3,2,2,66.67,66.67,2,2
050US05063,5063,10,5,2,50,20,5,2
050US05065,5065,4,3,1,75,25,3,1
050US05067,5067,6,6,2,100,33.33,6,2
050US05069,5069,24,22,17,91.67,70.83,22,17
050US05071,5071,6,6,4,100,66.67,6,4
050US05073,5073,3,3,0,100,0,3,0
050US05075,5075,6,5,3,83.33,50,5,3
050US05077,5077,4,2,0,50,0,2,0
050US05079,5079,4,3,0,75,0,3,0
050US05081,5081,6,5,2,83.33,33.33,5,2
050US05083,5083,6,6,5,100,83.33,6,5
050US05085,5085,18,13,1,72.22,5.56,13,1
050US05087,5087,4,0,0,0,0,0,0
050US05089,5089,5,1,0,20,0,1,0
050US05091,5091,14,13,11,92.86,78.57,13,11
050US05093,5093,14,12,7,85.71,50,12,7
050US05095,5095,3,1,0,33.33,0,1,0
050US05097,5097,3,0,0,0,0,0,0
050US05099,5099,3,3,0,100,0,3,0
050US05101,5101,2,0,0,0,0,0,0
050US05103,5103,8,8,4,100,50,8,4
050US05105,5105,3,1,0,33.33,0,1,0
050US05107,5107,7,0,0,0,0,0,0
050US05109,5109,3,0,0,0,0,0,0
050US05111,5111,8,4,0,50,0,4,0
050US05113,5113,7,5,1,71.43,14.29,5,1
050US05115,5115,17,16,13,94.12,76.47,16,13
050US05117,5117,3,0,0,0,0,0,0
050US05119,5119,107,107,99,100,92.52,107,99
050US05121,5121,5,2,1,40,20,2,1
050US05123,5123,7,7,5,100,71.43,7,5
050US05125,5125,30,29,21,96.67,70,29,21
050US05127,5127,3,3,2,100,66.67,3,2
050US05129,5129,3,0,0,0,0,0,0
050US05131,5131,31,30,24,96.77,77.42,30,24
050US05133,5133,4,4,2,100,50,4,2
050US05135,5135,6,0,0,0,0,0,0
050US05137,5137,4,4,1,100,25,4,1
050US05139,5139,12,11,7,91.67,58.33,11,7
050US05141,5141,6,1,1,16.67,16.67,1,1
050US05143,5143,54,53,44,98.15,81.48,53,44
050US05145,5145,19,18,9,94.74,47.37,18,9
050US05147,5147,2,0,0,0,0,0,0
050US05149,5149,6,5,2,83.33,33.33,5,2
050US06001,6001,378,377,374,99.74,98.94,377,374
050US06003,6003,1,0,0,0,0,0,0
050US06005,6005,10,7,3,70,30,7,3
050US06007,6007,54,48,37,88.89,68.52,48,37
050US06009,6009,14,4,1,28.57,7.14,4,1
050US06011,6011,6,5,2,83.33,33.33,5,2
050US06013,6013,241,240,223,99.59,92.53,240,223
050US06015,6015,8,7,6,87.5,75,7,6
050US06017,6017,55,50,33,90.91,60,50,33
050US06019,6019,225,211,186,93.78,82.67,211,186
050US06021,6021,8,8,2,100,25,8,2
050US06023,6023,35,28,23,80,65.71,28,23
050US06025,6025,40,37,31,92.5,77.5,37,31
050US06027,6027,6,5,5,83.33,83.33,5,5
050US06029,6029,236,209,180,88.56,76.27,209,180
050US06031,6031,31,28,20,90.32,64.52,28,20
050US06033,6033,21,16,9,76.19,42.86,16,9
050US06035,6035,9,6,3,66.67,33.33,6,3
050US06037,6037,2495,2491,2464,99.84,98.76,2491,2464
050US06039,6039,34,25,3,73.53,8.82,25,3
050US06041,6041,62,60,57,96.77,91.94,60,57
050US06043,6043,6,3,2,50,33.33,3,2
050US06045,6045,23,18,13,78.26,56.52,18,13
050US06047,6047,63,63,38,100,60.32,63,38
050US06049,6049,4,3,2,75,50,3,2
050US06051,6051,4,2,2,50,50,2,2
