HEROP_ID,ZIP,HivTmDr,HivTmDr2,HivCntDr,HivMinDis
860US12979,12979,37.839184951520004,75.67836990304001,0.0,17.637541191154124
860US12980,12980,39.24991539095,78.4998307819,0.016920474,20.221147523594592
860US12981,12981,61.13111110770001,122.26222221540002,0.0,23.67841277443578
860US12983,12983,17.02901207294099,34.05802414588198,2.4618293525381705,7.13979400891437
860US12985,12985,66.70699739044,133.41399478088,0.0,21.998428594895316
860US12986,12986,24.16085132323915,48.3217026464783,2.875077111124923,17.500148138338922
860US12987,12987,56.23593023407,112.47186046814,0.0,20.397155585438387
860US12989,12989,39.113958325750005,78.22791665150001,0.0,11.625606238200353
860US12992,12992,55.79338254711,111.58676509422,0.0,20.144432861597664
860US12993,12993,47.30642950795,94.6128590159,0.07373868,16.309393397014723
860US12995,12995,,,,
860US12996,12996,65.29386952556,130.58773905112,0.0,10.337055152336523
860US12997,12997,61.37096214591,122.74192429182,0.0,10.929454087487887
860US12998,12998,30.43593301392,60.87186602784,0.086124402,15.230745303286374
860US13020,13020,10.77,21.54,16.0,6.498560451
860US13021,13021,3.9053107286746886,7.810621457349377,2.082446153917554,1.9901092562000144
860US13022,13022,,,,
860US13024,13024,,,,
860US13026,13026,25.71566318776,51.43132637552,1.8614008940000002,11.63070091233321
860US13027,13027,14.455835595744162,28.911671191488324,13.108308778891692,7.3375979862800245
860US13028,13028,30.900421610419997,61.800843220839994,0.0,13.84228829435799
860US13029,13029,13.94197032015,27.8839406403,13.0,7.6312078961634855
860US13030,13030,17.17203027062,34.34406054124,12.0,8.668073432439844
860US13031,13031,11.846970389613029,23.693940779226057,15.431872892568126,6.675662712920022
860US13032,13032,22.59162634845,45.1832526969,10.062836019,16.497635960650065
860US13033,13033,21.33814026538814,42.67628053077628,1.654978079654978,11.855510158322385
860US13034,13034,11.356461231739999,22.712922463479998,2.0,5.82727131428471
860US13035,13035,24.891017262631017,49.782034525262034,11.132802128132802,15.450915487105087
860US13036,13036,20.062721855138168,40.125443710276336,11.521230919563692,11.63229381837828
860US13037,13037,19.67112082875,39.3422416575,11.386852687000001,11.340358541741951
860US13039,13039,11.93514549421029,23.87029098842058,12.7651999055304,5.74584518758833
860US13040,13040,26.50148920473,53.00297840946,2.810871185,13.751677392525163
860US13041,13041,11.86035136137,23.72070272274,13.0,5.098115960436914
860US13042,13042,34.25755319024,68.51510638048,0.0,16.51973150542633
860US13043,13043,,,,
860US13044,13044,30.179288607839997,60.35857721567999,0.029102664,13.238425215733157
860US13045,13045,7.77873937342,15.55747874684,4.647969188,2.439229038127707
860US13051,13051,,,,
860US13052,13052,30.41218844504219,60.82437689008438,1.5987841925987842,17.697575775739182
860US13053,13053,19.891184276990003,39.78236855398001,1.9765186319999999,10.715321151499964
860US13054,13054,30.0156923048,60.0313846096,0.984615385,18.67967145830676
860US13057,13057,5.15144190285,10.3028838057,15.323827290999999,2.543626237015051
860US13060,13060,15.629823611299999,31.259647222599998,13.918588876000001,9.821511040414899
860US13061,13061,31.88022727423,63.76045454846,0.19886363,19.176981230558425
860US13062,13062,28.61,57.22,2.0,15.41958334
860US13063,13063,13.1776305206,26.3552610412,16.441767068,7.722539212251391
860US13064,13064,21.56,43.12,1.0,12.91689054
860US13065,13065,7.26,14.52,1.75,9.8890503435
860US13066,13066,10.485157647564842,20.970315295129684,14.999999999999998,5.081036740272643
860US13068,13068,21.95829249924,43.91658499848,1.848221342,11.753164141133192
860US13069,13069,5.447885800905772,10.895771601811544,6.880456746760914,2.806273016613047
860US13071,13071,29.95,59.9,1.0,16.25998408
860US13072,13072,34.10205655686,68.20411311372,0.0,20.05304464766995
860US13073,13073,23.053281948200002,46.106563896400004,1.422747516,10.553377182183562
860US13074,13074,14.361615152938384,28.72323030587677,1.1201395778798602,7.596646468470605
860US13076,13076,23.770674970439998,47.541349940879996,12.988577357999999,12.310404913286188
860US13077,13077,7.20405930784406,14.40811861568812,7.07079081807079,3.74078115922431
860US13078,13078,9.833595867789999,19.667191735579998,15.706692489999998,4.986419934277933
860US13080,13080,16.81940658148,33.63881316296,11.653936546,10.378732018497104
860US13081,13081,29.31213425096213,58.62426850192426,1.173838210173838,15.352174243532607
860US13082,13082,14.572012954737984,29.144025909475967,13.048125868951875,8.753823616658236
860US13083,13083,39.31863058162,78.63726116324,0.0,27.376692916419053
860US13084,13084,9.76497064083994,19.52994128167988,16.924657534849313,7.195359013146135
860US13087,13087,7.591176470800001,15.182352941600001,7.35294118,4.3785637671096005
860US13088,13088,2.79348828977,5.58697657954,15.998708677,1.1853854076117483
860US13089,13089,6.59,13.18,13.0,2.794862284
860US13090,13090,8.001902415891902,16.003804831783803,13.851728143851727,3.5717762132626807
860US13092,13092,24.92242424234,49.84484848468,1.632154882,11.74923205669397
860US13093,13093,22.01,44.02,1.0,11.45821332
860US13101,13101,13.17697189981303,26.35394379962606,4.872166817127834,6.281105802989954
860US13102,13102,18.74,37.48,2.0,10.14517282
860US13103,13103,26.722513660780002,53.445027321560005,9.087431695,15.356804836392664
860US13104,13104,12.577251138477253,25.154502276954506,15.047073106047073,7.25633461862728
860US13108,13108,16.25316409037684,32.50632818075368,16.618101545381897,9.913717906170172
860US13110,13110,13.735240000000001,27.470480000000002,15.630400000000002,8.318152294652
860US13111,13111,20.877104912520004,41.75420982504001,1.0,12.049325197176094
860US13112,13112,17.57475091166475,35.1495018233295,13.929526123929527,9.461593578548772
860US13113,13113,21.21,42.42,3.0,12.89309497
860US13114,13114,24.691114448840004,49.38222889768001,0.9789789790000001,12.827774700887044
860US13115,13115,10.13,20.26,1.0,6.562138294
860US13116,13116,9.22,18.44,15.0,4.196537173
860US13117,13117,13.316574072489999,26.633148144979998,2.0,6.084781874191412
860US13118,13118,24.834988358799997,49.669976717599994,1.933281614,12.158359435476163
860US13119,13119,10.96,21.92,13.0,7.941620637
860US13120,13120,11.66073758568,23.32147517136,16.812056738,6.0518043084145985
860US13121,13121,,,,
860US13122,13122,23.586305611183693,47.17261122236739,11.357833649642167,14.55584929823966
860US13123,13123,37.42,74.84,0.0,19.07590048
860US13124,13124,40.455625,80.91125,0.0,21.02545237875
860US13126,13126,15.35333517754,30.70667035508,1.004070306,9.634718813899259
860US13131,13131,29.424107462640002,58.848214925280004,1.100895523,17.08727271918983
