HEROP_ID,SspTmDr,SspTmDr2
140US01089011021,,
140US01095031200,89.83,179.66
140US01073012401,,
140US01073003400,,
140US01073010402,,
140US01073005101,,
140US01073000500,,
140US01073010705,,
140US01103001000,,
140US01125011701,,
140US01125012304,,
140US01065040300,,
140US01099075800,,
140US01127021300,,
140US01129044000,79.42,158.84
140US01079979300,,
140US01015000300,,
140US01023956800,,
140US01039961600,,
140US01043964600,,
140US01085781000,,
140US01047956600,,
140US01055000600,,
140US01077010600,,
140US01003010100,53.88,107.76
140US01111000300,,
140US01113030200,,
140US01037961200,,
140US01085780800,,
140US01087232200,,
140US01069041500,,
140US01081041600,,
140US01101002202,,
140US01101002201,,
140US01101003100,,
140US01101001400,,
140US01001021100,,
140US01005950300,,
140US01097000500,1.6,3.2
140US01097002700,6.91,13.82
140US01097004800,6.98,13.96
140US01097003205,12.23,24.46
140US01069040301,,
140US01069041000,,
140US01121011100,,
140US01081040603,,
140US01073012914,,
140US01101000900,,
140US01101005407,,
140US01097007500,6.43,12.86
140US01103005108,,
140US01087231700,,
140US01131035200,,
140US01069040203,,
140US01001020501,,
140US01125012307,,
140US01125012407,,
140US01131034802,,
140US01119011302,,
140US01015002104,,
140US01077010901,,
140US01133965602,,
140US01101003304,,
140US01071950902,75.92,151.84
140US01081040802,,
140US01081040201,,
140US01097006804,22.3,44.6
140US01049960301,56.49,112.98
140US01089002923,,
140US01089002804,,
140US01089010404,87.93,175.86
140US01073004501,,
140US01073012921,,
140US01073003700,,
140US01073001500,,
140US01073013300,,
140US01073005200,,
140US01073002000,,
140US01073005903,,
140US01073002305,,
140US01073002100,,
140US01073012302,,
140US01103000700,,
140US01103000300,,
140US01125011703,,
140US01125010407,,
140US01091973300,,
140US01065040100,,
140US01099076200,78.24,156.48
140US01099075700,,
140US01083020500,88.66,177.32
140US01105686800,,
140US01063060200,,
140US01071950400,,
140US01089000901,,
140US01089010623,,
140US01089000902,,
140US01089002300,,
140US01025957800,,
140US01025957700,,
140US01033020200,,
140US01033020400,,
140US01039962800,,
140US01047957000,,
140US01047956202,,
140US01047956800,,
