HEROP_ID,ZIP,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
860US00501,00501,,,,
860US00601,00601,0.0,0.0,0.0,0.5070903471443714
860US00602,00602,0.0,0.0,0.0,0.6405858580471829
860US00603,00603,0.0,0.0,0.0,0.3284902636076081
860US00604,00604,0.0,0.0,0.0,0.387728835
860US00605,00605,0.0,0.0,0.0,0.369789215
860US00606,00606,0.0,0.0,0.0,4.024474228124939
860US00610,00610,0.0,0.0,0.0,0.39047950036547857
860US00611,00611,0.0,0.0,0.0,1.065198972
860US00612,00612,0.0,0.0,0.0,0.6921029787594813
860US00613,00613,0.0,0.0,0.0,0.2871925656442094
860US00614,00614,0.0,0.0,0.0,0.882144501
860US00616,00616,0.0,0.0,0.0,1.0274161482867328
860US00617,00617,0.0,0.0,0.0,1.0302192379483874
860US00622,00622,0.0,0.0,0.0,1.6595150232024292
860US00623,00623,0.0,0.0,0.0,1.2217830152911688
860US00624,00624,0.0,0.0,0.0,1.6399872015370889
860US00627,00627,0.0,0.0,0.0,0.19517951601932892
860US00631,00631,,,,
860US00637,00637,0.0,0.0,0.0,0.7575272250441263
860US00638,00638,0.0,0.0,0.0,3.452557616592437
860US00641,00641,0.0,0.0,0.0,0.643299720803323
860US00646,00646,0.0,0.0,0.0,0.8035354102124778
860US00647,00647,0.0,0.0,0.0,2.4124681385058295
860US00650,00650,0.0,0.0,0.0,1.2838332189827437
860US00652,00652,0.0,0.0,0.0,1.2351326628241686
860US00653,00653,0.0,0.0,0.0,0.36809385704514075
860US00656,00656,0.0,0.0,0.0,0.41799687186897727
860US00659,00659,0.0,0.0,0.0,0.8498703045827419
860US00660,00660,0.0,0.0,0.0,0.8155606932906142
860US00662,00662,0.0,0.0,0.0,1.044339626983292
860US00664,00664,0.0,0.0,0.0,0.7288378913877496
860US00667,00667,0.0,0.0,0.0,0.6463974435895872
860US00669,00669,0.0,0.0,0.0,0.25669129737941826
860US00670,00670,0.0,0.0,0.0,0.8575634191551724
860US00674,00674,0.0,0.0,0.0,1.176912793683656
860US00676,00676,0.0,0.0,0.0,0.24833961979572916
860US00677,00677,0.0,0.0,0.0,0.5150669997366745
860US00678,00678,0.0,0.0,0.0,0.6550499051120273
