HEROP_ID,ZIP,HospTmDr,HospTmDr2,HospCntDr,HospMinDis
860US00501,00501,,,,
860US00601,00601,0.0,0.0,0.0,7.914687056847403
860US00602,00602,0.0,0.0,0.0,3.908610192063686
860US00603,00603,0.0,0.0,0.0,1.739187664404582
860US00604,00604,0.0,0.0,0.0,4.258230089
860US00605,00605,0.0,0.0,0.0,1.724302139
860US00606,00606,0.0,0.0,0.0,7.926202813726865
860US00610,00610,0.0,0.0,0.0,4.014727789108427
860US00611,00611,0.0,0.0,0.0,7.832058735
860US00612,00612,0.0,0.0,0.0,1.7950175475266197
860US00613,00613,0.0,0.0,0.0,0.27630390193928916
860US00614,00614,0.0,0.0,0.0,0.593588496
860US00616,00616,0.0,0.0,0.0,6.379020000186932
860US00617,00617,0.0,0.0,0.0,5.330284130417852
860US00622,00622,0.0,0.0,0.0,4.148064645152237
860US00623,00623,0.0,0.0,0.0,1.9148003804843337
860US00624,00624,0.0,0.0,0.0,5.436873074292268
860US00627,00627,0.0,0.0,0.0,8.162876875983827
860US00631,00631,,,,
860US00637,00637,0.0,0.0,0.0,5.410654680813216
860US00638,00638,0.0,0.0,0.0,9.827372115249592
860US00641,00641,0.0,0.0,0.0,10.724162922554882
860US00646,00646,0.0,0.0,0.0,1.4861650524905405
860US00647,00647,0.0,0.0,0.0,7.271801913036494
860US00650,00650,0.0,0.0,0.0,7.540081399832537
860US00652,00652,0.0,0.0,0.0,6.845286054568542
860US00653,00653,0.0,0.0,0.0,5.314773452108602
860US00656,00656,0.0,0.0,0.0,0.8288356406714384
860US00659,00659,0.0,0.0,0.0,5.451380195085946
860US00660,00660,0.0,0.0,0.0,3.173198982152756
860US00662,00662,0.0,0.0,0.0,7.7183786769684115
860US00664,00664,0.0,0.0,0.0,12.386296796254413
860US00667,00667,0.0,0.0,0.0,3.1808227364500703
860US00669,00669,0.0,0.0,0.0,8.18621860004049
860US00670,00670,0.0,0.0,0.0,9.066901522765031
860US00674,00674,0.0,0.0,0.0,1.362475213339142
860US00676,00676,0.0,0.0,0.0,1.0732887543228926
860US00677,00677,0.0,0.0,0.0,8.564478530378771
860US00678,00678,0.0,0.0,0.0,12.115039428400614
860US00680,00680,0.0,0.0,0.0,1.2446411956412313
860US00681,00681,0.0,0.0,0.0,0.2965541236695195
860US00682,00682,0.0,0.0,0.0,4.612834357387529
860US00683,00683,0.0,0.0,0.0,1.1092355985157172
860US00685,00685,0.0,0.0,0.0,9.327043389292715
860US00687,00687,0.0,0.0,0.0,6.679318410647139
860US00688,00688,0.0,0.0,0.0,10.20721694
860US00690,00690,0.0,0.0,0.0,5.229786365445034
