"HEROP_ID","GEOID","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"050US01125","01125",47,41,79.66,69.49,19.65,39.3
"050US01127","01127",17,5,85,25,21.06,42.12
"050US01129","01129",0,0,0,0,65.71,131.41
"050US01131","01131",0,0,0,0,NA,NA
"050US01133","01133",0,0,0,0,40.74,81.48
"050US02013","02013",0,0,0,0,NA,NA
"050US02016","02016",0,0,0,0,NA,NA
"050US02020","02020",59,51,96.72,83.61,8.67,17.34
"050US02050","02050",0,0,0,0,NA,NA
"050US02060","02060",0,0,0,0,NA,NA
"050US02063","02063",0,0,0,0,NA,NA
"050US02066","02066",0,0,0,0,NA,NA
"050US02068","02068",0,0,0,0,NA,NA
"050US02070","02070",0,0,0,0,NA,NA
"050US02090","02090",18,15,81.82,68.18,13.23,26.47
"050US02100","02100",0,0,0,0,NA,NA
"050US02105","02105",0,0,0,0,NA,NA
"050US02110","02110",4,1,66.67,16.67,28.99,57.98
"050US02122","02122",0,0,0,0,80.13,160.26
"050US02130","02130",0,0,0,0,NA,NA
"050US02150","02150",0,0,0,0,NA,NA
"050US02158","02158",0,0,0,0,NA,NA
"050US02164","02164",0,0,0,0,NA,NA
"050US02170","02170",18,12,75,50,22.09,44.18
"050US02180","02180",0,0,0,0,NA,NA
"050US02185","02185",0,0,0,0,NA,NA
"050US02188","02188",0,0,0,0,NA,NA
"050US02195","02195",0,0,0,0,NA,NA
"050US02198","02198",1,1,25,25,32.16,64.31
"050US02220","02220",2,2,100,100,5.43,10.86
"050US02230","02230",0,0,0,0,NA,NA
"050US02240","02240",0,0,0,0,NA,NA
"050US02275","02275",0,0,0,0,NA,NA
"050US02282","02282",0,0,0,0,NA,NA
"050US02290","02290",0,0,0,0,NA,NA
"050US04001","04001",0,0,0,0,72.77,145.54
"050US04003","04003",19,13,50,34.21,32.56,65.12
"050US04005","04005",21,19,53.85,48.72,22.87,45.74
"050US04007","04007",2,1,12.5,6.25,57.83,115.65
"050US04009","04009",6,4,66.67,44.44,21.74,43.48
"050US04011","04011",0,0,0,0,53.84,107.69
"050US04012","04012",0,0,0,0,67.84,135.68
"050US04013","04013",982,819,97.32,81.17,9.56,19.12
"050US04015","04015",56,43,84.85,65.15,16.8,33.6
"050US04017","04017",14,9,37.84,24.32,34.88,69.77
"050US04019","04019",257,219,95.19,81.11,10.1,20.21
"050US04021","04021",63,28,66.32,29.47,25.27,50.54
"050US04023","04023",12,9,85.71,64.29,16.41,32.81
"050US04025","04025",43,22,59.72,30.56,32.44,64.89
"050US04027","04027",55,35,82.09,52.24,16.27,32.53
"050US05001","05001",0,0,0,0,72.28,144.56
"050US05003","05003",0,0,0,0,NA,NA
"050US05005","05005",0,0,0,0,66.46,132.93
"050US05007","05007",42,7,73.68,12.28,24.12,48.23
"050US05009","05009",0,0,0,0,81.14,162.29
"050US05011","05011",0,0,0,0,NA,NA
"050US05013","05013",0,0,0,0,NA,NA
"050US05015","05015",0,0,0,0,59.71,119.42
"050US05017","05017",0,0,0,0,NA,NA
"050US05019","05019",0,0,0,0,56.16,112.31
"050US05021","05021",0,0,0,0,50.25,100.51
"050US05023","05023",0,0,0,0,NA,NA
"050US05025","05025",0,0,0,0,74.42,148.84
"050US05027","05027",0,0,0,0,66.38,132.76
"050US05029","05029",0,0,0,0,NA,NA
"050US05031","05031",0,0,0,0,82.72,165.44
"050US05033","05033",9,1,60,6.67,33.55,67.09
"050US05035","05035",11,0,55,0,32.54,65.08
"050US05037","05037",0,0,0,0,71.08,142.15
"050US05039","05039",0,0,0,0,75.25,150.51
"050US05041","05041",0,0,0,0,NA,NA
"050US05043","05043",0,0,0,0,NA,NA
"050US05045","05045",0,0,0,0,NA,NA
"050US05047","05047",0,0,0,0,68.38,136.75
"050US05049","05049",0,0,0,0,43.16,86.31
"050US05051","05051",0,0,0,0,43.68,87.36
"050US05053","05053",0,0,0,0,41.76,83.52
"050US05055","05055",0,0,0,0,78.18,156.35
"050US05057","05057",0,0,0,0,40.54,81.07
"050US05059","05059",4,0,44.44,0,36.82,73.63
"050US05061","05061",0,0,0,0,62.25,124.5
"050US05063","05063",0,0,0,0,NA,NA
"050US05065","05065",0,0,0,0,68.5,137
"050US05067","05067",0,0,0,0,NA,NA
"050US05069","05069",0,0,0,0,49.71,99.42
"050US05071","05071",0,0,0,0,87.4,174.8
"050US05073","05073",0,0,0,0,44.22,88.44
