GEOID,FqhcTmDr,FqhcTmDr2,FqhcCntDr,FqhcMinDis
501,,,,
601,0,0,0,0.839626306
602,0,0,0,0.764795091
603,0,0,0,1.230731902
604,0,0,0,3.390284928
605,0,0,0,1.321563042
606,0,0,0,0.794672127
610,0,0,0,5.336500112
611,0,0,0,4.172641171
612,0,0,0,1.795606906
613,0,0,0,0.727238984
614,0,0,0,1.099736909
616,0,0,0,2.370614523
617,0,0,0,1.561014388
622,0,0,0,2.867166702
623,0,0,0,2.270402567
624,0,0,0,1.99560844
627,0,0,0,1.087571485
631,,,,
637,0,0,0,6.287157125
638,0,0,0,3.571045955
641,0,0,0,0.653801572
646,0,0,0,3.40476304
647,0,0,0,0.760748975
650,0,0,0,0.936148128
652,0,0,0,2.935094077
653,0,0,0,1.965308602
656,0,0,0,4.89834224
659,0,0,0,1.253480973
660,0,0,0,3.346534768
662,0,0,0,1.616186088
664,0,0,0,0.883400936
667,0,0,0,3.413613728
669,0,0,0,0.792037336
670,0,0,0,0.944989239
674,0,0,0,4.690842478
676,0,0,0,0.319548457
677,0,0,0,0.847392263
678,0,0,0,1.001400252
680,0,0,0,0.935287071
681,0,0,0,0.430940614
682,0,0,0,4.276067903
683,0,0,0,5.520606349
685,0,0,0,0.390037066
687,0,0,0,1.43445127
688,0,0,0,3.503021881
690,0,0,0,4.441690281
692,0,0,0,1.712531464
693,0,0,0,1.95398944
694,0,0,0,0.854644131
698,0,0,0,2.1047997
703,0,0,0,1.315331098
704,0,0,0,3.013834826
705,0,0,0,0.810904123
707,0,0,0,0.558734313
714,0,0,0,0.767502764
715,0,0,0,4.520906172
716,0,0,0,1.345644367
717,0,0,0,0.728260506
718,0,0,0,1.848788727
719,0,0,0,0.530263477
720,0,0,0,0.846228228
721,0,0,0,0.617603416
723,0,0,0,1.3330931
725,0,0,0,1.482824717
726,0,0,0,0.371369489
727,0,0,0,1.111927157
728,0,0,0,1.661866799
729,0,0,0,1.728684453
730,0,0,0,1.638364022
731,0,0,0,6.059551806
732,0,0,0,0.865625387
733,0,0,0,0.303509991
735,0,0,0,2.142297094
736,0,0,0,1.770234281
737,0,0,0,0.886571966
738,0,0,0,4.397955526
739,0,0,0,1.731683111
740,0,0,0,4.70442716
741,0,0,0,3.558071316
744,0,0,0,1.820844435
745,0,0,0,1.838320639
751,0,0,0,2.133075055
754,0,0,0,0.815622717
757,0,0,0,1.684149726
765,0,0,0,4.394374624
766,0,0,0,0.501340921
767,0,0,0,3.550042934
769,0,0,0,0.900402109
771,0,0,0,1.145643742
772,0,0,0,1.123285512
773,0,0,0,0.785421126
775,,,,
777,0,0,0,2.272286916
778,0,0,0,1.137438411
780,0,0,0,4.186348848
782,0,0,0,0.368076514
783,0,0,0,0.690086901
784,0,0,0,0.915819152
785,0,0,0,0.45003699
786,,,,
791,0,0,0,1.877128002
792,0,0,0,0.477564947
794,0,0,0,0.995977218
795,0,0,0,5.703782709
801,0,0,0,1.740216563
802,0,0,0,2.088715401
803,0,0,0,1.740216563
804,0,0,0,1.740216563
820,0,0,0,2.105500357
830,0,0,0,10.64154831
831,0,0,0,7.640751126
840,0,0,0,1.479349084
850,0,0,0,3.378568781
901,0,0,0,0.858028624
902,0,0,0,0.63260262
907,0,0,0,0.650711977
908,0,0,0,0.418586699
909,0,0,0,0.737427277
910,0,0,0,0.843113919
911,0,0,0,0.945512365
912,0,0,0,0.635831204
913,0,0,0,1.141825593
914,0,0,0,0.993066427
915,0,0,0,0.65278197
916,0,0,0,0.170693445
917,0,0,0,0.929841829
918,0,0,0,0.897044294
919,0,0,0,0.989688092
920,0,0,0,0.823731653
921,0,0,0,0.962888062
922,0,0,0,1.025999465
923,0,0,0,1.422898977
924,0,0,0,0.902480767
925,0,0,0,0.392855588
926,0,0,0,2.681661329
927,0,0,0,1.021176836
928,0,0,0,1.058065569
929,0,0,0,0.279084664
931,0,0,0,1.058065569
934,0,0,0,1.151450387
935,,,,
936,0,0,0,1.549577515
937,0,0,0,2.713657492
940,0,0,0,0.843113919
949,0,0,0,2.785696607
950,0,0,0,1.185588071
951,0,0,0,1.185588071
952,0,0,0,2.508136504
953,0,0,0,1.237442461
954,0,0,0,0.072864328
956,0,0,0,1.626779904
957,0,0,0,1.005747288
958,0,0,0,1.044683173
959,0,0,0,1.132131241
960,0,0,0,0.253589196
961,0,0,0,1.22753624
962,0,0,0,1.307587576
963,0,0,0,0.266820969
965,0,0,0,0.327953661
966,0,0,0,1.752010433
968,0,0,0,0.797074383
969,0,0,0,2.633335568
970,0,0,0,3.298906582
971,0,0,0,3.243383726
975,,,,
976,0,0,0,1.159074994
977,0,0,0,0.266820969
979,0,0,0,2.162006006
981,0,0,0,2.713657492
982,0,0,0,1.530673802
983,0,0,0,1.293011717
984,0,0,0,1.160646285
985,0,0,0,0.968582533
986,0,0,0,1.611615009
987,0,0,0,2.197825747
988,0,0,0,1.012983706
1001,0,0,0,2.711686119
1002,0,0,0,2.078413302
1003,0,0,0,0.530888648
1004,0,0,0,0.314213763
1005,22.08695134,44.17390268,1.024826221,10.95106303
1007,0,0,0,7.48743772
1008,0,0,0,6.328729951
1009,0,0,0,9.656574065
1010,0.60867237,1.217344741,0.080299785,12.04251996
1011,0,0,0,4.904284621
1012,0,0,0,7.242890111
1013,0,0,0,1.231681437
1014,0,0,0,0.821806952
1020,0,0,0,1.800419137
1021,0,0,0,0.43811236
1022,0,0,0,3.06643558
