HEROP_ID,ZIP,NaltTmDr,NaltTmDr2,NaltCntDr30,NaltMinDis
860US00501,501,,,,
860US00601,601,0.0,0.0,0,22.77596287357928
860US00602,602,0.0,0.0,0,23.236053141102136
860US00603,603,0.0,0.0,0,27.630974328367294
860US00604,604,0.0,0.0,0,30.4027096489932
860US00605,605,0.0,0.0,0,27.0066069002358
860US00606,606,0.0,0.0,0,15.559836804469324
860US00610,610,0.0,0.0,0,16.51723185298055
860US00611,611,0.0,0.0,0,27.2842834844406
860US00612,612,0.0,0.0,0,27.25805619997887
860US00613,613,0.0,0.0,0,27.63786944799253
860US00614,614,0.0,0.0,0,27.9301405546067
860US00616,616,0.0,0.0,0,21.759036305384925
860US00617,617,0.0,0.0,0,18.593119714508113
860US00622,622,0.0,0.0,0,2.0766421840018685
860US00623,623,0.0,0.0,0,3.5705101076103993
860US00624,624,0.0,0.0,0,25.713093153021756
860US00627,627,0.0,0.0,0,34.657631932732144
860US00631,631,,,,
860US00637,637,0.0,0.0,0,14.031847135142447
860US00638,638,0.0,0.0,0,7.3072000721641155
860US00641,641,0.0,0.0,0,21.195844751717463
860US00646,646,0.0,0.0,0,9.643135767605562
860US00647,647,0.0,0.0,0,15.38399618387215
860US00650,650,0.0,0.0,0,14.392745411892449
860US00652,652,0.0,0.0,0,21.83765689654732
860US00653,653,0.0,0.0,0,17.266286477320957
860US00656,656,0.0,0.0,0,24.85855955952071
860US00659,659,0.0,0.0,0,32.9806558421284
860US00660,660,0.0,0.0,0,7.127960901854972
860US00662,662,0.0,0.0,0,30.642047914134412
860US00664,664,0.0,0.0,0,14.127921813837778
860US00667,667,0.0,0.0,0,6.5512538716494975
860US00669,669,0.0,0.0,0,25.246776266679124
860US00670,670,0.0,0.0,0,18.514043566937836
860US00674,674,0.0,0.0,0,14.833311659793369
860US00676,676,0.0,0.0,0,23.57888191982833
860US00677,677,0.0,0.0,0,20.651265065292936
860US00678,678,0.0,0.0,0,31.826574617243523
860US00680,680,0.0,0.0,0,10.450707459719554
860US00681,681,0.0,0.0,0,10.965657676234612
860US00682,682,0.0,0.0,0,14.00285452903078
860US00683,683,0.0,0.0,0,8.14313103845953
860US00685,685,0.0,0.0,0,22.44543761622148
860US00687,687,0.0,0.0,0,8.044689185033137
860US00688,688,0.0,0.0,0,17.7242497695724
860US00690,690,0.0,0.0,0,30.41410885164666
860US00692,692,0.0,0.0,0,11.026182815639766
860US00693,693,0.0,0.0,0,14.343719901445851
860US00694,694,0.0,0.0,0,13.6173472610318
860US00698,698,0.0,0.0,0,20.60850935592155
860US00703,703,0.0,0.0,0,5.587140805788931
860US00704,704,0.0,0.0,0,11.222054323139933
860US00705,705,0.0,0.0,0,0.8957273286536166
860US00707,707,0.0,0.0,0,17.295245508399223
860US00714,714,0.0,0.0,0,16.169427677230306
860US00715,715,0.0,0.0,0,18.82827723959197
860US00716,716,0.0,0.0,0,21.01114490949007
860US00717,717,0.0,0.0,0,21.173899207004105
860US00718,718,0.0,0.0,0,20.72371010607625
860US00719,719,0.0,0.0,0,2.8060833583623928
860US00720,720,0.0,0.0,0,0.6874862109561144
860US00721,721,0.0,0.0,0,15.9643763077974
860US00723,723,0.0,0.0,0,14.431761883511529
860US00725,725,0.0,0.0,0,1.9413244197101225
860US00726,726,0.0,0.0,0,0.625416125604308
860US00727,727,0.0,0.0,0,1.7185371673183305
860US00728,728,0.0,0.0,0,22.80724815795252
860US00729,729,0.0,0.0,0,12.458822354911366
860US00730,730,0.0,0.0,0,19.966005863691485
860US00731,731,0.0,0.0,0,16.85337926066407
860US00732,732,0.0,0.0,0,20.7498432673568
860US00733,733,0.0,0.0,0,20.3498330917478
860US00735,735,0.0,0.0,0,25.44356685586626
860US00736,736,0.0,0.0,0,7.679624795202538
860US00737,737,0.0,0.0,0,7.41171132705663
860US00738,738,0.0,0.0,0,27.24396170583465
860US00739,739,0.0,0.0,0,7.211291683794852
860US00740,740,0.0,0.0,0,28.4990027514314
860US00741,741,0.0,0.0,0,19.6945529890062
860US00744,744,0.0,0.0,0,16.8026039264339
860US00745,745,0.0,0.0,0,17.210020784695743
860US00751,751,0.0,0.0,0,10.413059333232264
860US00754,754,0.0,0.0,0,5.383128780440838
860US00757,757,0.0,0.0,0,13.499075797434267
860US00765,765,0.0,0.0,0,44.34944666629264
860US00766,766,0.0,0.0,0,9.485995814003669
860US00767,767,0.0,0.0,0,16.54047862842165
860US00769,769,0.0,0.0,0,8.025804205887182
860US00771,771,0.0,0.0,0,11.39921995520812
860US00772,772,0.0,0.0,0,14.72890584473098
860US00773,773,0.0,0.0,0,23.93162011696933
860US00775,775,,,,
860US00777,777,0.0,0.0,0,8.114101152022602
860US00778,778,0.0,0.0,0,4.845344869652383
860US00780,780,0.0,0.0,0,16.754280553374205
860US00782,782,0.0,0.0,0,4.7941390923574945
