GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
780,0,0,0,0.87814998
782,0,0,0,0.441589392
783,0,0,0,0.426691788
784,0,0,0,0.613759953
785,0,0,0,0.127414485
786,,,,
791,0,0,0,0.922288641
792,0,0,0,0.090116937
794,0,0,0,0.565893567
795,0,0,0,0.758421237
801,0,0,0,0.104553794
802,0,0,0,0.709479017
803,0,0,0,0.104553794
804,0,0,0,0.104553794
820,0,0,0,1.785437609
830,0,0,0,8.194222036
831,0,0,0,5.045793672
840,0,0,0,2.268847712
850,0,0,0,1.969252143
901,0,0,0,0.403967791
902,0,0,0,0.458271921
907,0,0,0,0.258465305
908,0,0,0,0.087419187
909,0,0,0,0.189123358
910,0,0,0,0.186399549
911,0,0,0,0.145803614
912,0,0,0,0.240636212
913,0,0,0,0.212187162
914,0,0,0,0.101239666
915,0,0,0,0.334595675
916,0,0,0,0.187102364
917,0,0,0,0.286681045
918,0,0,0,0.248981707
919,0,0,0,0.379610661
920,0,0,0,0.460013863
921,0,0,0,0.289503398
922,0,0,0,0.199028667
923,0,0,0,0.443510172
924,0,0,0,0.398475563
925,0,0,0,0.309131712
926,0,0,0,0.490957326
927,0,0,0,0.361411453
928,0,0,0,0.409832461
929,0,0,0,0.281077798
931,0,0,0,0.409832461
934,0,0,0,1.120927429
935,,,,
936,0,0,0,0.076864136
937,0,0,0,1.0415049
940,0,0,0,0.186399549
949,0,0,0,0.600199773
950,0,0,0,0.384830442
951,0,0,0,0.384830442
952,0,0,0,0.203836111
953,0,0,0,0.698539594
954,0,0,0,0.051024341
956,0,0,0,0.523510563
957,0,0,0,0.395705631
958,0,0,0,0.20901517
959,0,0,0,0.417252225
960,0,0,0,0.753010731
961,0,0,0,0.517746496
962,0,0,0,0.502781398
963,0,0,0,0.11389826
965,0,0,0,0.344103787
966,0,0,0,0.25914269
968,0,0,0,0.297225296
969,0,0,0,0.431700495
970,0,0,0,0.154196674
971,0,0,0,0.443416219
975,,,,
976,0,0,0,0.545016061
977,0,0,0,0.11389826
979,0,0,0,0.472699091
981,0,0,0,1.0415049
982,0,0,0,0.42319232
983,0,0,0,0.437689163
984,0,0,0,0.360038465
985,0,0,0,0.466594667
986,0,0,0,0.10350973
987,0,0,0,0.56019077
988,0,0,0,0.21654106
1001,3.744332852,7.488665703,62.86681117,1.440959325
1002,3.513601726,7.027203451,45.44577586,1.630181678
1003,0.722781458,1.445562916,52.47682119,0.512725408
1004,0,0,57,0.299671852
1005,0.090059592,0.180119185,14.99751738,0.852232696
1007,4.743004085,9.48600817,50.715928,2.266988834
1008,23.55692833,47.11385666,4.281569965,12.03156365
1009,6.33,12.66,61,1.857737366
1010,10.67380621,21.34761242,42.36937902,5.947404859
1011,23.81784314,47.63568628,4,12.18559061
1012,17.48,34.96,8,6.915436349
1013,1.356215461,2.712430922,69.75206996,0.617368286
1014,1.41,2.82,70,0.253908729
1020,0.844138658,1.688277316,69.97216938,0.668321884
1021,2.72,5.44,70,0.52841472
1022,0,0,69.08939873,1.131142605
1026,26.32556325,52.65112651,4.348353555,12.57045216
1027,2.388699678,4.777399355,63.02163849,1.199022167
1028,2.426119141,4.852238281,63.57138998,1.11745612
1029,25.08,50.16,4,12.30331774
1030,3.818274749,7.636549498,61.53317791,1.971474074
1031,12.25929173,24.51858347,11.02192243,6.456608453
1032,17.48,34.96,8,6.915436349
1033,0.00182774,0.003655481,67.9994315,0.696267046
1034,19.07529528,38.15059055,13.31594488,8.717592142
1035,5.59,11.18,55,2.006236097
1036,8.97,17.94,50,4.702361804
1037,12.28,24.56,11,6.466301356
1038,4.94,9.88,56,3.663440333
1039,16.31672938,32.63345876,12.80897249,6.837185491
1040,2.3315861,4.663172199,68.80313721,0.913567374
1041,2.093078015,4.186156029,69,0.789712339
1050,18.03842777,36.07685555,15.056664,9.453434249
1053,0,0,53,1.465513115
1054,16.21156626,32.42313253,10.31445783,8.322183711
1056,2.123411706,4.246823411,70.11307888,1.232336174
1057,3.871462746,7.742925492,43.69535331,1.672175824
1059,,,,
1060,0.652394297,1.304788594,65.65889647,0.783650432
1061,0,0,67,0.408422238
1062,2.522198567,5.044397135,60.84070472,1.510138847
1063,,,,
1066,4.94,9.88,56,3.663440333
1068,11.67896372,23.35792745,27.17875648,4.888462267
1069,1.89441236,3.78882472,64.73074977,2.087432178
1070,26.60776699,53.21553398,4.067961166,12.76135028
1071,16.4,32.8,19,6.650158751
1072,16.43,32.86,10,8.440406432
