Year,Variable
2018,TotTracts
2018,AreaSqMi
2018,CenFlags
2018,TotPop
2018,Age18_64
2018,Age0_4
2018,Age5_14
2018,Age15_19
2018,Age20_24
2018,Age15_44
2018,Age55_59
2018,Age60_64
2018,AgeOv65
2018,Age15_24P
2018,Und45P
2018,Ovr65P
2018,ChildrenP
2018,Age45_49
2018,Age50_54
2018,AgeOv18
2018,TotPopHh
2018,NonRelFhhP
2018,NonRelNfhhP
2018,NoHsP
2018,DisbP
2015,DmySgrg
2000,DmyBlckBlt
2017,PrcNtvRsrv
2018,WhiteP
2018,BlackP
2018,HispP
2018,AmIndP
2018,AsianP
2018,PacIsP
2018,OtherP
2018,DsmBlk
2018,IntrBlkWht
2018,IsoBlk
2018,DsmHsp
2018,IntrHspWht
2018,IsoHsp
2018,DsmAs
2018,IntrAsWht
2018,IsoAs
2010,TotPop10
2010,UrbPop10
2018,TotVetPop
2018,VetP
2020,FqhcCtTmDr
2020,FqhcAvTmDr
2020,FqhcTmDrP
2020,BupCtTmDr
2020,BupCtTmBk
2020,BupCtTmWk
2020,MetCtTmDr
2020,MetCtTmBk
2020,MetCtTmWk
2020,NalCtTmDr
2020,NalCtTmBk
2020,NalCtTmWk
2020,BupAvTmDr
2020,BupAvTmBk
2020,BupAvTmWk
2020,MetAvTmDr
2020,MetAvTmBk
2020,MetAvTmWk
2020,NalAvTmDr
2020,NalAvTmBk
2020,NalAvTmWk
2020,BupTmDrP
2020,BupTmBkP
2020,BupTmWkP
2020,MetTmDrP
2020,MetTmBkP
2020,MetTmWkP
2020,NalTmDrP
2020,NalTmBkP
2020,NalTmWkP
2020,MhCtTmDr
2020,MhAvTmDr
2020,MhTmDrP
2021,OtpCtTmDr
2021,OtpAvTmDr
2021,OtpTmDrP
2019,RxCtTmDr
2019,RxAvTmDr
2019,RxTmDrP
2020,SutpCtTmDr
2020,SutpAvTmDr
2020,SutpTmDrP
2020,HospCtTmDr
2020,HospAvTmDr
2020,HospTmDrP
2018,AlcTot
2018,AlcDens
2018,AlcPerCap
2010,TotPcp
2010,TotSp
2010,PcpPer100k
2010,SpPer100k
2018,TotUnits
2018,VacantP
2018,MobileP
2018,LngTermP
2018,RentalP
2018,UnitDens
2019,NoIntP
2018,Ndvi
2018,RcaUrbanP
2018,RcaSubrbP
2018,RcaRuralP
2018,RuralPop10
2018,CenRuralP
2018,PovP
2018,UnempP
2018,MedInc
2018,PciE
2018,ForDqP
2018,ForDqTot
2018,GiniCoeff
2018,TotWrkE
2018,EduP
2018,HghRskP
2018,HltCrP
2018,RetailP
2018,EssnWrkE
2018,EssnWrkP
2017,TtlJlPpr
2017,TtlJlAdmr
2017,TtlJlPrtr
2017,TtlJlPp
2017,TtlJlAdm
2017,TtlJlPrt
2016,TtlPrPpr
2016,TtlPrAPpr
2016,TtlPrPp
2016,TtlPrAPp
2020,OpRxRt20
2014,OdMortRt14
2015,OdMortRt15
2016,OdMortRt16
2017,OdMortRt17
2018,OdMortRt18
2019,OdMortRt19
2020,OdMortRt20
2020,OdMortRtAv
2018,SviTh1
2018,SviTh2
2018,SviTh3
2018,SviTh4
2018,SviSmryRnk
