"GEOID","TotPop","MaleP","FemP","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","WhiteE","AsianE","PacIsE","HisE","AmIndE","TwoPlsE","OtherE","SomeCollege","EduNoHsP","EduHsP","BachelorsP","GradSclP"
"05139",38368,48.85,51.15,30434,79.32,29170,76.03,25547,66.58,7254,18.91,95.5,92.49,80.36,23789,319,0,1751,41,1596,191,17.28,12.04,40.09,12.51,6.41
"05141",15936,50.21,49.79,13338,83.7,12889,80.88,11362,71.3,4259,26.73,100.83,93.88,84.37,14810,63,10,533,122,568,262,16.55,13.57,44.1,10.47,5.31
"05143",251863,50.29,49.71,199049,79.03,191964,76.22,160893,63.88,30500,12.11,101.15,99.13,80.11,169308,6041,6838,46214,2626,45253,13780,15.98,12.74,28.31,20.27,14.34
"05145",77395,48.88,51.12,61601,79.59,59335,76.67,50180,64.84,12817,16.56,95.6,92.11,77.82,67988,526,0,3693,135,4541,795,14.71,13.25,40.61,11.23,8.57
"05147",6157,51.15,48.85,4936,80.17,4826,78.38,4145,67.32,1501,24.38,104.69,92.74,79.12,4289,0,22,36,1,152,22,9.63,17.08,46.16,8.23,7.66
"05149",20195,50.71,49.29,16046,79.46,15322,75.87,13455,66.63,3545,17.55,102.88,102.94,82.92,15971,261,0,4214,108,864,2642,16.59,18.5,39.71,10.17,4.15
"06001",1651949,49.61,50.39,1359199,82.28,1320914,79.96,1153931,69.85,246841,14.94,98.45,96.35,80.35,528396,532550,12309,385245,14764,186886,213185,13.75,11.1,15.86,28.7,22.77
"06003",1695,52.21,47.79,1366,80.59,1312,77.4,1217,71.8,369,21.77,109.26,107.13,136.54,1076,8,0,249,458,131,22,20.46,3.74,18.51,22.41,19.69
"06005",41029,54.62,45.38,35564,86.68,34673,84.51,30969,75.48,11163,27.21,120.35,118.34,92.86,31903,587,26,6361,492,5033,2163,25.47,9.03,26.47,15.47,6.98
"06007",209470,49.76,50.24,171452,81.85,166535,79.5,143369,68.44,38054,18.17,99.04,97.22,84.15,152117,11335,644,40829,2586,25292,13784,21.94,9.67,22.26,20.69,11.03
"06009",45995,49.71,50.29,39432,85.73,38227,83.11,33954,73.82,13220,28.74,98.85,95.94,92.4,37159,1066,24,6403,676,5150,1391,22.63,6.65,31.9,14.69,7.5
"06011",21895,51.61,48.39,16544,75.56,15908,72.66,13918,63.57,3355,15.32,106.65,105.91,103.46,11210,145,14,13639,308,4354,5553,19.61,26.81,29.62,11.3,3.22
