"HEROP_ID","FIPS","TotPop","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","Age15_44","Age15_44P","WhitePop","WhiteP","BlackPop","BlackP","MaleP","FemaleP","SRatio","SRatio18","SRatio65","HisPop","HisP","AmIndPop","AmIndP","AsianPop","AsianP","PacIsPop","PacIsP","EduHsP","EduNoHsP","SomeCollege"
"040US28","28",2520638,1809246,71.78,1706441,67.7,1549966,61.49,289357,11.48,1122427,44.53,1615190,64.08,887206,35.2,48.16,51.84,92.89,88.02,68.85,24731,0.98,6180,0.25,6984,0.28,428,0.02,29.16,45.23,13.32
"040US29","29",4916686,3737410,76.01,3554203,72.29,3270134,66.51,648126,13.18,2200081,44.75,4345521,88.38,514276,10.46,48.11,51.89,92.72,88.37,65.72,51653,1.05,12321,0.25,21755,0.44,1341,0.03,36.29,36.48,13.34
"040US30","30",786690,585273,74.4,554795,70.52,509685,64.79,84559,10.75,369984,47.03,740148,94.08,1786,0.23,49.91,50.09,99.63,97.27,77.99,9974,1.27,37270,4.74,2296,0.29,207,0.03,37.95,25.58,19
"040US31","31",1569825,1180735,75.21,1122655,71.51,1029578,65.59,205684,13.1,708958,45.16,1490381,94.94,48390,3.08,48.79,51.21,95.27,91.84,68.18,28025,1.79,9195,0.59,6710,0.43,292,0.02,40.6,26.6,17.29
"040US32","32",800493,613280,76.61,584694,73.04,542005,67.71,65756,8.21,398063,49.73,700345,87.49,50999,6.37,50.6,49.4,102.43,101.59,85.33,53879,6.73,13308,1.66,13161,1.64,1003,0.13,40.41,24.52,20.64
"040US33","33",920610,696404,75.65,662528,71.97,607596,66,102967,11.18,435824,47.34,910099,98.86,3990,0.43,48.71,51.29,94.98,91.29,64.97,5587,0.61,1352,0.15,2839,0.31,90,0.01,37.16,27.75,16.88
"040US34","34",7364823,5651610,76.74,5373962,72.97,4991727,67.78,859771,11.67,3303209,44.85,6127467,83.2,925066,12.56,47.97,52.03,92.2,88.06,65.55,491883,6.68,8394,0.11,102890,1.4,958,0.01,35.86,32.6,13.2
"040US35","35",1302894,938725,72.05,884987,67.92,806117,61.87,115906,8.9,619319,47.53,977587,75.03,24020,1.84,49.29,50.71,97.19,94.31,77.34,477222,36.63,106119,8.14,6465,0.5,360,0.03,34.14,31.14,17.13
"040US36","36",17558072,13515433,76.98,12870209,73.3,11917918,67.88,2160767,12.31,7941951,45.23,13960868,79.51,2402006,13.68,47.5,52.5,90.46,85.94,63.71,1659300,9.45,39582,0.23,307891,1.75,2635,0.02,34.06,33.73,14.27
"040US37","37",5881766,4442099,75.52,4224031,71.82,3856177,65.56,603181,10.26,2792216,47.47,4457507,75.79,1318857,22.42,48.55,51.45,94.35,90.69,64.39,56667,0.96,64652,1.1,19596,0.33,1580,0.03,27.83,45.16,13.77
"040US38","38",652717,486344,74.51,461726,70.74,419224,64.23,80445,12.32,301173,46.14,625557,95.84,2568,0.39,50.32,49.68,101.28,99.57,78.92,3902,0.6,20158,3.09,1900,0.29,79,0.01,31.3,33.61,20.27
"040US39","39",10797630,8106721,75.08,7703310,71.34,7090603,65.67,1169460,10.83,4935797,45.71,9597458,88.88,1076748,9.97,48.32,51.68,93.49,89.29,65.36,119883,1.11,12239,0.11,46703,0.43,1117,0.01,40.49,33.03,12.83
"040US40","40",3025290,2280128,75.37,2170406,71.74,1993105,65.88,376126,12.43,1376023,45.48,2597791,85.87,204674,6.77,48.81,51.19,95.36,91.54,67.53,57419,1.9,169459,5.6,16372,0.54,903,0.03,34.77,34.03,16.13
"040US41","41",2633105,2000779,75.99,1910048,72.54,1771235,67.27,303336,11.52,1248677,47.42,2490610,94.59,37060,1.41,49.24,50.76,97.01,94.06,74.11,65847,2.5,27314,1.04,32656,1.24,2119,0.08,37.13,24.36,20.66
"040US42","42",11863895,9169396,77.29,8740599,73.67,8077388,68.08,1530933,12.9,5207395,43.89,10652320,89.79,1046810,8.82,47.9,52.1,91.93,87.74,65.48,153961,1.3,9465,0.08,63197,0.53,1182,0.01,40.4,35.31,10.73
"040US44","44",947154,738017,77.92,704303,74.36,645437,68.14,126922,13.4,424902,44.86,896692,94.67,27584,2.91,47.64,52.36,91,86.82,61.37,19707,2.08,2898,0.31,5167,0.55,136,0.01,32.77,38.93,12.87
"040US45","45",3121820,2303861,73.8,2179854,69.83,1978883,63.39,287328,9.2,1498218,47.99,2147224,68.78,948623,30.39,48.63,51.37,94.65,90.79,63.21,33426,1.07,5757,0.18,11129,0.36,705,0.02,27.05,46.29,13.23
"040US46","46",690768,512435,74.18,485162,70.24,441851,63.97,91019,13.18,304453,44.07,639669,92.6,2144,0.31,49.32,50.68,97.31,94.79,73.19,4023,0.58,44968,6.51,1641,0.24,97,0.01,36.25,32.07,17.68
"040US47","47",4591120,3462005,75.41,3292560,71.72,3026398,65.92,517588,11.27,2132130,46.44,3835452,83.54,725942,15.81,48.28,51.72,93.35,89.11,66.99,34077,0.74,5104,0.11,13290,0.29,673,0.01,31.67,43.84,11.89
"040US48","48",14229191,10454134,73.47,9923085,69.74,9069371,63.74,1371161,9.64,6802481,47.81,11198441,78.7,1710175,12.02,49.19,50.81,96.79,93.7,68.81,2985824,20.98,40075,0.28,116399,0.82,3914,0.03,28.77,37.38,16.97
"040US49","49",1461037,974209,66.68,920932,63.03,831588,56.92,109220,7.48,678160,46.42,1382550,94.63,9225,0.63,49.59,50.41,98.37,95,74.33,60302,4.13,19256,1.32,13389,0.92,1687,0.12,35.97,19.98,24.17
"040US50","50",511456,385571,75.39,366138,71.59,333001,65.11,58166,11.37,244488,47.8,506736,99.08,1135,0.22,48.7,51.3,94.93,90.94,66.14,3304,0.65,984,0.19,1315,0.26,40,0.01,36.37,28.98,15.61
"040US51","51",5346818,4070964,76.14,3872484,72.43,3552237,66.44,505304,9.45,2627391,49.14,4229798,79.11,1008668,18.86,48.97,51.03,95.96,92.94,65.36,79868,1.49,9454,0.18,64501,1.21,1708,0.03,28.4,37.57,14.94
"040US53","53",4132156,3139375,75.97,2992796,72.43,2759552,66.78,431562,10.44,2001421,48.44,3779170,91.46,105574,2.55,49.67,50.33,98.68,96.37,71.92,120016,2.9,60804,1.47,95789,2.32,6748,0.16,37.35,22.4,21.3
"040US54","54",1949644,1459105,74.84,1390008,71.3,1284158,65.87,237868,12.2,859914,44.11,1874751,96.16,65051,3.34,48.49,51.51,94.14,89.95,69.9,12707,0.65,1610,0.08,5079,0.26,115,0.01,35.6,44.01,9.97
"040US55","55",4705767,3532937,75.08,3347947,71.15,3059995,65.03,564197,11.99,2168641,46.08,4443035,94.42,182592,3.88,48.99,51.01,96.05,92.63,70.69,62972,1.34,29499,0.63,17580,0.37,584,0.01,40.42,30.39,14.36
"040US56","56",469557,340505,72.52,324004,69,295908,63.02,37175,7.92,234977,50.04,446488,95.09,3364,0.72,51.23,48.77,105.05,104.71,76.54,24499,5.22,7094,1.51,1823,0.39,146,0.03,39.99,22.09,20.77
