"GEOID","TotPop","MaleP","FemP","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","WhiteE","AsianE","PacIsE","HisE","AmIndE","TwoPlsE","OtherE","SomeCollege","EduNoHsP","EduHsP","BachelorsP","GradSclP"
"46",864289,50.42,49.58,673638,77.94,651223,75.35,561060,64.92,136808,15.83,101.69,100.27,84.62,730062,12660,293,31995,75331,23089,6613,17.26,8.28,30.55,19.83,8.65
"47",6651089,48.77,51.23,5321857,80.01,5149695,77.43,4437185,66.71,1045213,15.71,95.19,92.54,78.82,5166231,112915,3806,352402,17848,142134,90666,17.13,13.03,32.4,16.83,9.79
"48",27885195,49.67,50.33,21394120,76.72,20592509,73.85,17663560,63.34,3337814,11.97,98.68,96.71,80.18,20720689,1308257,23672,10921556,136061,730499,1600234,19.33,16.8,24.97,19.14,10.16
"49",3045350,50.33,49.67,2224253,73.04,2126301,69.82,1840220,60.43,320269,10.52,101.33,99.53,86.01,2632056,69810,27096,422123,32657,89879,157990,21.79,8.04,22.86,21.95,11.3
"50",624977,49.28,50.72,521723,83.48,506631,81.06,428758,68.6,113550,18.17,97.15,95.22,84.03,589546,10579,184,11677,2106,12078,2426,14.03,7.44,29.15,22.07,15.25
"51",8413774,49.19,50.81,6756219,80.3,6546347,77.81,5600492,66.56,1230246,14.62,96.8,94.68,79.22,5722660,531503,5677,771177,22972,309213,208464,15.94,10.69,24.1,21.72,16.45
"53",7294336,49.98,50.02,5843155,80.11,5661461,77.61,4913667,67.36,1073499,14.72,99.92,98.46,83.67,5545997,607429,48043,911573,95048,416795,311170,19.54,8.89,22.17,22.08,13.17
"54",1829054,49.44,50.56,1499244,81.97,1455681,79.59,1259802,68.88,344719,18.85,97.77,95.76,82.39,1704345,14534,350,27522,3668,32139,7290,15.46,13.48,40.52,12.23,8.03
"55",5778394,49.71,50.29,4639447,80.29,4489451,77.69,3839239,66.44,924695,16,98.84,97,82.41,4945966,159356,1975,385779,50422,135990,115941,16.7,8.07,30.95,19.39,10.13
"56",581836,51.04,48.96,458979,78.88,444117,76.33,383932,65.99,87777,15.09,104.26,103.74,90.58,532008,4756,539,56966,14053,15579,9361,21.18,7.1,28.74,17.39,9.5
"72",3386941,47.62,52.38,2793000,82.46,2698996,79.69,2325125,68.65,640623,18.91,90.91,87.91,77.02,2283720,6684,303,3349340,8504,175466,547254,11.97,24.46,27.9,18.11,7.23
