"HEROP_ID","FIPS","TotPop","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","Age15_44","Age15_44P","WhitePop","WhiteP","BlackPop","BlackP","MaleP","FemaleP","SRatio","SRatio18","SRatio65","HisPop","HisP","AmIndPop","AmIndP","AsianPop","AsianP","PacIsPop","PacIsP","EduHsP","EduNoHsP","BachelorsP","GradSclP","SomeCollege"
"040US01","01",4447100,3451586,77.61,3323678,74.74,3124317,70.26,579798,13.04,1919972,43.17,3162808,71.12,1155930,25.99,48.27,51.73,93.3,89.62,66.46,75830,1.71,22430,0.5,31346,0.7,1409,0.03,30.38,24.73,12.18,6.85,19.34
"040US02","02",626932,457728,73.01,436215,69.58,410474,65.47,35699,5.69,293508,46.82,434534,69.31,21787,3.48,51.7,48.3,107.03,107.62,88.14,25852,4.12,98043,15.64,25116,4.01,3309,0.53,27.88,11.67,16.12,8.59,26.53
"040US04","04",5130632,3907526,76.16,3763685,73.36,3536279,68.92,667839,13.02,2242051,43.7,3873611,75.5,158873,3.1,49.92,50.08,99.67,97.68,79.73,1295617,25.25,255879,4.99,92236,1.8,6733,0.13,24.32,19.03,15.15,8.38,24.51
"040US05","05",2673400,2072622,77.53,1993031,74.55,1873359,70.07,374019,13.99,1131335,42.32,2138598,80,418950,15.67,48.8,51.2,95.32,92.08,70.33,86866,3.25,17808,0.67,20220,0.76,1668,0.06,34.1,24.69,11,5.66,17.42
"040US06","06",33871648,25599275,75.58,24621819,72.69,23146248,68.34,3595658,10.62,15546579,45.9,20170059,59.55,2263882,6.68,49.82,50.18,99.28,97.11,72.72,10966556,32.38,333346,0.98,3697513,10.92,116961,0.35,20.13,23.21,17.09,9.53,22.99
"040US08","08",4301261,3322455,77.24,3200466,74.41,3014312,70.08,416073,9.67,2014326,46.83,3560005,82.77,165063,3.84,50.36,49.64,101.44,100,73.7,735601,17.1,44241,1.03,95213,2.21,4621,0.11,23.21,13.07,21.57,11.12,23.63
"040US09","09",3405565,2651452,77.86,2563877,75.28,2439461,71.63,470183,13.81,1436887,42.19,2780355,81.64,309843,9.1,48.43,51.57,93.91,90.53,67.81,320323,9.41,9639,0.28,82313,2.42,1366,0.04,28.46,16.02,18.15,13.25,18.16
"040US10","10",783600,610269,77.88,589013,75.17,553669,70.66,101726,12.98,343738,43.87,584773,74.63,150666,19.23,48.56,51.44,94.41,91.01,72.83,37277,4.76,2731,0.35,16259,2.07,283,0.04,31.43,17.4,15.62,9.43,19.2
"040US11","11",572059,468575,81.91,457067,79.9,425229,74.33,69898,12.22,279129,48.79,176101,30.78,343312,60.01,47.09,52.91,88.99,86.09,61.22,44953,7.86,1713,0.3,15189,2.66,348,0.06,20.59,22.17,18.07,21,13.86
"040US12","12",15982378,12741821,79.72,12336038,77.19,11736378,73.43,2807597,17.57,6511724,40.74,12465029,77.99,2335505,14.61,48.79,51.21,95.27,92.47,76.47,2682715,16.79,53541,0.34,266256,1.67,8625,0.05,28.72,20.14,14.27,8.07,21.34
