GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
01001,18.19,14.67,35.23,14.67,7.07,76.6,73.22,69.19,12.0,104.46,91.7,75.73,14.47,15.12,78.53,42855,17.67,9643,0.43,232,0.87,474,0.06,32,0.85,466,1.59,869,1.52,828
01003,18.57,12.42,29.89,18.13,8.69,79.67,77.01,73.53,16.77,102.72,93.89,85.77,12.53,12.87,85.67,156153,9.38,17105,0.67,1216,0.74,1348,0.05,89,1.99,3631,1.49,2723,2.85,5186
01005,14.03,28.14,35.38,7.51,6.01,80.8,78.09,74.43,14.24,104.6,116.19,76.48,11.88,12.43,48.0,13180,46.89,12875,0.42,114,0.39,107,0.11,29,3.26,894,0.94,258,3.37,925
01007,15.78,25.45,42.32,7.47,2.56,80.17,77.3,73.7,12.68,112.14,116.87,75.06,11.86,13.3,75.85,17381,22.02,5047,0.28,64,0.1,22,0.06,13,0.81,185,0.89,203,1.35,310
01009,16.6,25.34,36.42,8.36,4.17,78.33,75.39,71.62,14.72,104.9,96.01,79.1,13.29,13.94,92.58,53068,1.33,761,0.54,307,0.2,117,0.07,38,4.09,2347,1.19,684,4.75,2724
01011,17.01,25.31,36.57,8.31,3.7,80.57,77.74,73.81,13.46,106.47,122.21,74.26,12.04,12.82,22.97,2507,70.24,7666,0.21,23,0.18,20,0.39,43,5.21,569,0.79,86,4.44,485
01013,13.84,25.21,38.71,7.82,3.17,78.7,75.86,72.33,16.66,110.93,82.57,65.75,12.63,14.01,54.42,11399,43.42,9095,0.29,60,0.84,177,0.03,7,0.23,48,0.77,161,0.62,130
01015,17.5,21.48,34.47,9.72,6.4,79.78,77.12,72.06,14.33,104.47,89.54,69.39,12.81,13.38,74.92,88840,20.56,24382,0.46,540,0.71,845,0.08,96,1.6,1894,1.67,1975,2.09,2473
01017,16.77,28.15,34.31,7.11,3.73,80.26,77.49,73.74,16.68,104.68,88.26,68.07,12.18,12.75,58.78,20112,38.75,13257,0.2,69,0.49,168,0.03,10,0.63,214,1.13,385,1.06,364
01019,18.45,26.58,35.28,6.27,4.25,81.16,78.58,75.14,17.9,104.95,96.73,81.4,11.67,12.24,92.66,24081,4.65,1208,0.52,135,0.21,54,0.0,1,0.47,123,1.49,387,0.66,171
01021,15.2,24.14,40.47,7.37,4.82,77.82,74.89,71.18,13.57,104.58,96.2,78.02,13.5,14.12,84.12,36713,9.69,4230,0.36,155,0.3,130,0.13,55,4.25,1854,1.16,506,4.81,2098
01023,11.9,28.91,39.25,6.8,4.09,80.25,77.34,73.94,18.18,108.47,89.1,77.52,12.01,13.03,55.78,7731,43.38,6012,0.13,18,0.09,12,0.0,0,0.2,28,0.42,58,0.4,55
01025,12.28,23.86,42.06,8.54,4.91,78.53,75.27,71.29,16.16,100.54,86.66,74.28,13.73,13.8,54.47,14070,43.88,11336,0.4,103,0.3,77,0.02,4,0.26,67,0.68,176,0.71,183
01027,13.97,28.6,38.82,6.38,3.12,80.08,77.43,73.92,17.58,110.76,92.33,79.55,11.87,13.15,81.68,11380,14.83,2066,0.39,55,0.17,24,0.0,0,1.23,172,1.69,235,1.87,261
01029,15.84,29.69,39.53,4.68,3.71,79.39,76.28,72.6,15.77,107.83,96.07,79.54,12.72,13.71,94.04,14079,3.33,498,0.34,51,0.15,23,0.07,10,1.01,151,1.07,160,1.24,185
01031,17.58,20.72,28.25,13.56,8.5,78.7,75.81,72.27,14.44,105.95,95.43,73.9,12.95,13.72,74.74,37330,16.74,8359,1.29,645,1.29,644,0.2,100,3.25,1623,2.5,1247,4.02,2007
01033,17.9,19.91,34.28,10.49,5.91,80.56,77.89,74.16,17.39,104.24,89.17,72.65,12.1,12.61,80.45,43789,16.11,8768,0.49,267,0.42,229,0.04,20,0.94,510,1.55,845,1.18,643
01035,12.03,28.69,37.0,5.41,4.3,80.15,77.0,72.93,17.86,106.71,90.86,77.86,12.51,13.35,51.32,6788,46.48,6149,0.33,44,0.13,17,0.01,1,0.73,97,1.0,132,0.85,113
01037,14.16,26.91,42.48,5.74,4.81,82.45,79.46,75.8,17.07,112.51,95.0,82.58,10.88,12.24,66.28,7648,31.04,3582,0.35,40,0.14,16,0.13,15,1.17,135,0.89,103,1.42,164
01039,15.09,23.54,37.33,8.28,4.8,80.1,77.43,73.72,18.37,109.11,89.83,71.42,12.03,13.13,84.79,32022,12.49,4716,0.57,214,0.41,155,0.0,1,0.36,135,1.38,522,0.86,325
01041,17.12,26.33,38.21,6.2,3.94,79.17,76.21,72.17,15.89,108.31,89.45,70.0,12.72,13.78,72.61,10097,23.4,3254,0.41,57,1.36,189,0.06,8,0.71,99,1.45,202,1.07,149
01043,17.11,23.15,33.56,8.38,5.41,79.56,76.82,72.8,15.93,106.84,94.94,75.12,12.5,13.36,94.69,76133,1.06,856,0.51,408,0.43,343,0.02,18,2.19,1759,1.11,889,2.59,2079
01045,21.55,17.77,29.65,11.89,5.65,77.8,75.17,71.49,13.45,104.96,95.65,74.29,13.35,14.01,74.1,37236,19.26,9679,0.74,371,1.06,534,0.09,44,1.76,882,2.99,1505,3.49,1756
01047,15.13,23.16,36.59,8.23,6.04,76.75,73.54,69.16,14.07,101.22,80.6,68.21,14.64,14.82,29.14,12769,69.43,30423,0.19,85,0.34,149,0.03,11,0.19,84,0.68,299,0.48,209
01049,16.51,31.9,33.78,6.22,4.7,77.08,74.17,70.24,13.89,103.42,95.34,77.13,14.04,14.52,84.5,60087,1.52,1078,1.36,969,0.29,203,0.21,147,9.92,7051,2.21,1574,7.43,5286
01051,18.02,16.19,35.18,13.31,6.92,79.29,76.41,72.25,11.9,104.22,92.67,82.2,12.9,13.45,76.23,60455,20.05,15900,0.36,285,0.65,518,0.08,63,1.18,938,1.44,1144,1.79,1422
01053,14.97,27.03,35.26,7.36,3.56,80.02,77.35,73.39,15.17,99.34,109.29,74.9,12.71,12.63,62.07,23784,31.89,12220,3.36,1288,0.24,92,0.03,12,0.9,343,1.51,580,1.29,493
01055,19.95,18.82,33.21,9.88,5.93,79.86,77.03,72.99,15.81,107.26,90.63,70.82,12.39,13.29,80.27,83823,15.13,15796,0.43,448,0.64,672,0.16,171,1.89,1975,1.48,1545,1.93,2011
01057,15.85,25.3,37.63,5.74,3.71,80.49,77.74,73.44,17.89,115.82,92.84,76.33,11.7,13.55,86.48,14910,11.42,1969,0.3,52,0.21,37,0.0,0,0.59,102,0.99,171,0.76,131
01059,16.78,30.42,32.16,7.57,4.18,78.03,75.19,71.16,15.22,105.77,98.0,76.68,13.4,14.17,83.02,26320,3.87,1228,0.68,215,0.2,63,0.03,10,10.53,3338,1.67,530,8.83,2799
01061,16.88,27.66,37.45,5.08,2.93,80.4,77.64,73.9,17.45,108.09,92.83,75.19,11.99,12.96,86.33,23127,9.48,2539,0.84,224,0.25,67,0.03,8,1.53,409,1.55,416,1.98,530
01063,17.99,27.43,36.88,5.26,4.68,78.79,75.74,70.96,16.08,110.31,84.56,73.1,13.19,14.55,17.41,1575,81.48,7370,0.19,17,0.17,15,0.0,0,0.28,25,0.48,43,0.45,41
01065,16.03,30.06,34.16,5.87,4.08,78.35,75.16,71.02,15.04,99.64,87.36,72.74,13.91,13.86,39.76,6266,59.02,9301,0.16,25,0.22,35,0.01,1,0.28,44,0.56,88,0.57,90
01067,13.6,23.9,37.88,8.83,6.17,80.33,77.36,74.27,17.59,103.9,88.88,75.75,12.16,12.63,68.58,11865,28.56,4942,0.33,57,0.31,54,0.01,2,1.19,206,1.02,176,1.35,234
01069,17.46,18.05,33.24,12.12,6.85,78.27,75.45,71.85,14.45,105.6,88.44,73.12,13.13,13.86,69.97,71053,25.78,26176,0.44,446,0.81,820,0.05,49,1.23,1244,1.73,1759,1.92,1945
01071,16.96,25.97,36.37,7.37,4.61,80.25,77.48,73.62,16.48,106.53,93.95,78.75,12.19,12.99,90.83,48348,3.35,1781,1.35,719,0.35,185,0.09,48,1.44,768,2.59,1378,1.45,771
01073,17.61,13.45,28.1,18.09,10.69,79.24,76.53,72.38,13.13,103.28,86.11,65.55,12.91,13.34,53.03,349166,42.0,276525,0.26,1740,1.39,9158,0.04,244,2.18,14358,1.1,7275,2.6,17090
01075,16.36,24.73,41.53,5.95,3.3,80.4,77.84,74.49,18.76,103.26,92.87,74.79,12.0,12.39,86.69,12626,11.28,1643,0.16,24,0.03,4,0.01,2,0.56,82,1.26,183,0.8,116
01077,17.44,17.07,34.0,13.61,7.87,81.03,78.45,73.45,16.78,99.54,89.41,73.52,12.46,12.4,86.41,80112,9.99,9257,0.36,338,0.74,685,0.04,34,1.05,977,1.41,1306,1.36,1262
01079,15.9,24.8,39.15,7.43,3.26,79.74,76.81,72.9,14.56,103.84,93.42,78.03,12.68,13.16,77.6,26647,11.47,3938,5.69,1953,0.12,42,0.02,6,0.8,275,4.3,1478,0.89,307
01081,17.65,14.84,26.64,17.54,13.4,80.12,77.47,68.3,9.07,102.77,95.32,77.42,13.82,14.21,71.31,100006,22.75,31901,0.32,445,2.61,3658,0.07,105,1.34,1873,1.61,2259,2.27,3182
01083,16.88,19.55,32.68,14.45,6.32,78.7,76.01,72.54,12.31,104.19,101.99,79.66,12.88,13.42,80.34,66506,12.6,10429,0.66,547,1.12,924,0.05,42,3.46,2866,1.77,1468,3.27,2708
01085,11.74,26.63,39.17,9.02,3.72,78.71,75.82,71.32,14.65,100.0,84.0,74.76,13.64,13.64,25.3,2859,73.55,8310,0.22,25,0.12,14,0.0,0,0.27,31,0.53,60,0.49,55
01087,17.46,21.23,29.17,10.7,10.23,82.47,79.4,69.98,14.13,94.58,80.69,67.83,13.84,13.09,15.47,3319,82.64,17729,0.14,29,0.35,76,0.01,2,0.32,69,1.06,228,0.86,185
01089,17.42,12.23,22.21,23.89,13.52,79.17,76.26,71.65,12.21,105.3,93.8,75.4,13.06,13.75,68.18,228280,24.01,80376,0.76,2551,2.47,8265,0.11,365,2.01,6719,2.47,8255,3.04,10176
01091,14.28,20.31,37.64,12.29,5.57,78.71,75.31,71.19,16.28,102.72,85.26,73.98,13.62,13.99,46.37,9751,51.7,10872,0.16,34,0.25,53,0.06,13,0.67,140,0.78,164,1.13,237
01093,16.05,29.02,35.2,5.02,3.75,80.87,78.34,74.84,18.34,111.86,95.2,77.13,11.34,12.69,93.55,28791,3.85,1184,0.33,101,0.18,54,0.05,14,0.95,291,1.11,341,1.17,360
01095,16.34,26.3,32.15,9.1,5.44,77.94,75.0,71.11,14.9,106.75,94.53,74.78,13.42,14.33,87.58,81464,1.61,1494,0.76,706,0.51,478,0.11,103,7.75,7210,1.68,1564,7.09,6592
01097,17.16,17.73,34.28,13.09,6.67,77.99,74.92,70.56,12.91,103.61,88.79,70.93,13.76,14.26,60.21,248647,34.62,142992,0.89,3681,1.83,7561,0.05,204,0.94,3885,1.46,6022,1.68,6933
01099,14.46,24.59,39.93,8.12,3.1,78.06,74.68,70.57,15.68,108.34,88.58,71.63,13.56,14.69,55.13,12718,41.68,9614,1.13,260,0.29,67,0.04,9,0.29,66,1.45,334,0.61,140
01101,17.09,15.3,27.49,18.19,12.33,78.32,75.51,70.6,11.96,103.25,87.17,68.09,13.61,14.06,39.53,90656,54.71,125477,0.26,589,2.1,4821,0.07,171,2.07,4743,1.27,2906,2.39,5491
01103,19.49,19.17,31.58,13.09,5.98,78.87,76.04,72.3,14.12,103.44,95.42,76.2,13.03,13.48,79.84,95404,11.87,14185,0.87,1042,0.58,691,0.09,107,4.77,5697,1.98,2364,4.68,5591
01105,11.52,28.49,37.87,8.47,4.87,78.8,75.89,67.7,16.7,108.79,84.44,69.93,14.18,15.43,30.25,3204,68.7,7276,0.16,17,0.28,30,0.05,5,0.15,16,0.41,43,0.81,86
01107,16.83,21.29,41.9,8.09,3.42,79.51,76.7,72.71,16.89,104.49,88.09,72.67,12.75,13.32,56.26,11110,41.58,8211,0.14,28,0.18,36,0.01,1,0.65,128,1.17,232,1.23,242
01109,14.53,20.59,35.46,14.43,9.26,81.97,79.69,69.16,12.8,95.4,89.17,73.94,13.75,13.11,58.19,19144,36.64,12054,0.58,192,1.99,654,0.07,24,1.04,341,1.49,490,1.44,475
01111,14.54,28.42,36.29,7.44,4.77,79.05,76.11,71.83,16.97,104.87,90.73,75.06,13.09,13.73,76.52,17532,20.11,4607,0.37,84,0.24,55,0.02,5,1.61,369,1.14,261,1.62,372
01113,19.04,23.12,35.27,8.43,3.44,77.56,74.5,70.37,12.69,106.07,86.46,67.16,13.74,14.58,53.73,28449,41.81,22135,0.41,219,0.45,236,0.21,113,1.31,691,2.09,1104,2.26,1195
01115,18.3,20.72,36.45,9.79,4.67,78.99,76.28,72.76,13.05,108.78,98.12,80.08,12.51,13.61,88.21,73741,8.55,7150,0.34,281,0.62,518,0.06,46,0.88,734,1.34,1123,1.26,1053
01117,17.9,8.55,22.27,27.4,12.22,77.19,74.39,71.1,10.57,105.33,92.9,81.35,13.58,14.3,83.01,161943,10.63,20732,0.28,553,1.91,3726,0.04,74,2.75,5373,1.38,2684,3.76,7336
01119,13.06,24.58,40.25,7.45,5.33,81.06,77.71,69.91,14.99,98.24,79.36,60.42,13.61,13.37,24.17,3326,74.95,10316,0.08,11,0.24,33,0.03,4,0.19,26,0.34,47,0.52,72
01121,17.18,24.28,37.08,7.41,4.51,79.44,76.56,72.58,14.09,100.26,93.27,74.3,13.07,13.1,65.3,53739,31.66,26055,0.32,264,0.41,339,0.01,6,0.96,787,1.34,1101,1.45,1194
01123,15.15,23.87,34.08,10.09,5.63,80.7,77.85,73.96,17.28,105.76,91.46,77.69,12.05,12.75,69.89,29087,26.63,11083,0.29,121,0.47,197,0.02,8,1.71,713,0.98,407,1.73,721
01125,17.5,15.32,31.25,15.69,10.52,81.0,78.53,69.09,10.81,100.68,91.42,70.29,13.6,13.69,66.27,129004,29.6,57611,0.27,526,1.18,2306,0.06,117,1.54,2993,1.08,2099,2.15,4180
01127,18.81,24.47,35.68,5.49,4.17,80.1,77.46,73.78,16.25,105.36,92.31,74.25,12.19,12.84,91.23,61146,5.86,3928,0.37,251,0.29,195,0.05,36,0.95,639,1.24,828,1.3,872
01129,14.38,21.98,45.46,6.54,2.79,77.79,74.5,70.63,14.73,107.95,94.03,83.56,13.6,14.68,65.46,11508,24.91,4380,8.03,1411,0.11,20,0.07,12,0.24,43,1.18,207,0.61,108
01131,13.39,31.46,35.75,10.72,2.44,76.37,73.01,68.98,15.01,108.74,83.9,64.82,14.32,15.57,26.79,3126,72.54,8465,0.12,14,0.03,4,0.01,1,0.08,9,0.44,51,0.45,53
01133,15.86,30.74,33.46,5.56,5.58,80.99,78.36,74.96,17.7,103.39,94.91,77.0,11.8,12.2,95.61,23409,0.47,115,0.67,163,0.25,60,0.11,28,1.45,356,1.44,353,1.54,376
02013,20.78,35.86,27.15,9.12,0.53,89.49,88.19,85.45,4.93,116.49,217.66,158.33,6.18,7.2,21.01,660,6.97,219,27.89,876,35.98,1130,0.6,19,2.67,84,4.87,153,11.49,361
02016,19.81,29.64,34.4,7.63,1.32,87.27,85.34,82.72,3.47,121.22,226.86,157.33,7.37,8.94,36.04,2004,5.97,332,15.41,857,28.88,1606,1.85,103,6.26,348,5.59,311,11.27,627
02020,22.69,8.06,22.89,21.36,11.61,76.96,74.03,69.53,7.24,105.78,102.46,84.27,14.02,14.83,65.96,192498,5.56,16226,7.93,23130,8.08,23580,2.02,5901,2.35,6846,8.1,23645,4.68,13666
02050,18.85,21.6,39.64,8.01,5.91,67.51,63.45,57.98,6.12,106.67,111.21,97.53,19.47,20.77,11.13,1894,0.38,65,82.93,14109,0.94,160,0.16,27,0.26,45,4.19,713,0.63,108
02060,30.03,9.43,27.52,12.89,2.99,79.94,77.43,74.72,8.32,100.0,126.39,112.82,12.24,12.24,48.24,481,0.0,0,33.5,334,0.8,8,0.3,3,0.4,4,16.75,167,1.5,15
02068,22.89,4.27,29.66,20.88,6.64,80.12,77.49,75.36,7.5,107.01,127.13,163.46,11.72,12.54,89.65,1637,0.55,10,3.56,65,1.04,19,0.05,1,0.77,14,4.38,80,1.64,30
02070,22.36,17.37,31.84,11.71,8.5,71.16,67.09,61.46,7.57,112.44,110.49,114.62,17.25,19.39,18.11,878,0.23,11,71.59,3470,0.66,32,0.12,6,0.25,12,9.04,438,1.18,57
02090,23.57,7.08,26.49,15.79,11.33,76.95,74.38,69.4,6.53,107.3,113.74,100.03,13.83,14.84,77.04,75175,4.53,4423,7.05,6879,2.66,2591,0.41,396,1.48,1446,6.84,6671,3.58,3496
02100,18.95,6.01,34.39,21.37,11.69,82.54,80.1,78.15,13.76,101.12,104.37,91.67,10.69,10.81,83.17,2086,0.4,10,9.17,230,0.56,14,0.0,0,0.84,21,5.86,147,1.28,32
02105,17.09,12.41,29.94,17.53,10.36,82.7,80.28,76.79,13.4,96.33,125.62,150.43,11.4,10.98,47.16,1014,0.37,8,41.4,890,0.56,12,0.05,1,0.28,6,10.19,219,2.14,46
02110,23.7,4.74,23.77,22.23,12.49,79.56,76.54,72.69,8.43,105.92,103.37,86.75,12.7,13.45,69.75,21814,0.89,279,11.8,3692,6.14,1919,0.7,218,1.23,386,9.49,2967,3.22,1008
02122,21.89,7.88,32.56,14.36,8.04,79.36,76.33,72.42,11.33,105.53,112.4,107.95,12.84,13.55,84.58,46857,0.49,269,7.37,4081,1.14,631,0.21,119,0.61,336,5.61,3107,1.89,1045
02130,22.74,7.54,30.15,16.6,7.61,79.07,76.06,72.34,10.14,105.58,105.16,93.9,12.9,13.62,68.09,9176,0.58,78,14.17,1910,7.0,943,0.2,27,0.69,93,9.28,1250,2.33,314
02150,23.89,12.32,27.18,16.21,5.57,74.41,71.35,67.25,6.73,110.33,113.85,94.27,14.89,16.43,55.34,7522,0.68,92,13.22,1797,19.57,2660,0.64,87,2.92,397,7.63,1037,4.25,578
02164,23.06,21.98,31.1,7.77,5.76,73.7,69.83,64.44,7.79,97.47,116.95,115.25,16.98,16.55,23.3,380,0.55,9,65.05,1061,0.37,6,0.31,5,0.37,6,10.06,164,0.92,15
02170,24.16,8.16,31.15,14.47,6.32,74.52,71.1,67.2,7.94,107.21,107.2,101.8,15.27,16.37,84.88,75540,0.96,856,5.51,4901,1.23,1096,0.25,221,0.72,640,6.45,5741,2.09,1863
02180,18.33,16.17,42.39,10.75,4.19,69.49,65.67,60.26,6.35,107.89,117.25,108.65,18.42,19.87,16.35,1552,0.28,27,75.84,7199,1.01,96,0.09,9,0.23,22,6.18,587,0.73,69
02185,16.73,26.2,39.17,5.06,8.45,78.7,76.13,71.34,4.26,106.4,195.55,128.41,13.1,13.93,33.37,3147,1.0,94,54.08,5100,4.51,425,1.1,104,0.71,67,5.23,493,1.89,178
02188,16.31,20.43,42.25,7.13,5.41,68.06,64.71,58.49,6.05,104.74,123.92,89.58,19.34,20.26,11.25,846,0.49,37,81.36,6121,0.56,42,0.16,12,0.23,17,5.96,448,0.48,36
02195,20.8,4.54,35.94,16.92,10.49,79.55,76.64,73.45,11.48,102.48,109.16,124.62,12.66,12.98,71.06,2711,0.39,15,16.09,614,2.62,100,0.18,7,1.1,42,8.55,326,2.25,86
02198,20.16,11.6,39.53,11.82,5.95,77.28,74.38,71.22,10.06,119.66,125.96,145.18,12.63,15.11,50.35,2799,0.31,17,39.7,2207,0.38,21,0.38,21,0.36,20,8.53,474,1.3,72
02220,22.39,7.67,26.2,18.11,11.04,79.25,76.47,73.22,11.35,111.15,98.86,77.78,12.22,13.58,65.29,5798,0.53,47,16.81,1493,5.96,529,0.34,30,1.27,113,9.81,871,3.11,276
02230,33.24,4.71,18.56,24.79,7.48,86.78,84.3,81.71,9.09,101.23,108.16,76.0,8.37,8.47,91.43,885,0.0,0,3.51,34,0.52,5,0.1,1,0.41,4,4.03,39,1.34,13
02240,27.2,8.89,32.17,13.25,6.78,76.92,73.69,70.07,9.45,113.21,131.87,122.82,13.57,15.36,80.4,5651,1.08,76,11.5,808,0.91,64,0.26,18,0.98,69,4.88,343,2.11,148
02261,28.04,7.38,22.77,16.48,7.27,78.48,75.63,72.04,8.28,102.42,119.45,113.37,13.31,13.64,73.96,7127,0.48,46,13.65,1315,3.67,354,0.56,54,0.48,46,7.2,694,2.29,221
02270,18.83,26.35,43.43,4.58,3.13,63.04,58.43,51.84,5.42,110.48,113.21,87.91,21.75,24.02,2.69,201,0.01,1,94.99,7085,0.24,18,0.0,0,0.04,3,2.02,151,0.05,4
02275,22.31,10.37,37.18,15.0,1.24,80.84,78.05,74.88,15.79,106.5,111.8,107.78,11.69,12.45,72.56,1719,0.17,4,16.21,384,1.39,33,0.04,1,0.21,5,9.41,223,0.93,22
02282,24.87,9.49,31.28,13.33,4.62,79.76,75.53,72.21,9.67,95.56,129.36,77.78,13.6,12.99,42.45,281,0.3,2,35.8,237,4.08,27,1.81,12,0.15,1,15.41,102,1.51,10
02290,19.68,20.52,36.5,6.79,4.73,75.59,72.23,67.7,10.18,108.28,123.85,138.08,14.91,16.14,22.24,1243,0.18,10,71.44,3992,0.25,14,0.11,6,0.16,9,5.62,314,0.73,41
04001,19.56,27.91,31.59,6.8,3.49,72.45,68.32,63.36,11.56,103.31,98.28,85.88,17.29,17.87,23.26,16634,0.24,175,72.92,52154,0.28,203,0.04,26,1.26,904,1.99,1422,3.52,2517
04003,24.17,15.19,25.05,13.61,7.79,79.74,76.97,72.67,17.27,108.02,103.48,91.85,12.5,13.5,78.48,103085,4.16,5465,1.21,1589,1.92,2525,0.32,418,9.89,12989,4.02,5275,21.48,28210
04005,20.29,13.0,23.47,18.22,12.85,79.16,76.35,67.52,8.87,99.51,96.63,86.6,14.78,14.71,61.72,82967,1.21,1629,27.31,36714,1.37,1846,0.12,164,5.2,6990,3.06,4111,8.89,11954
04007,19.07,16.57,33.0,8.76,6.27,81.41,78.6,75.3,23.23,106.12,96.88,91.27,11.46,12.16,76.8,41162,0.43,233,14.83,7946,0.51,273,0.09,47,5.35,2865,2.0,1071,12.16,6519
04009,22.77,18.19,33.62,8.17,5.25,74.7,71.59,65.75,11.45,102.55,121.43,86.07,16.01,16.42,72.08,26827,1.84,683,14.44,5376,0.54,200,0.14,52,8.15,3034,2.82,1048,20.86,7764
04011,28.08,10.22,34.57,10.26,3.15,74.24,70.81,67.28,12.04,114.37,106.64,83.73,14.77,16.89,77.21,6514,1.05,89,2.31,195,0.55,46,0.06,5,15.03,1268,3.79,320,31.27,2638
04012,23.64,23.09,34.14,5.68,3.32,84.25,82.05,79.35,32.62,107.96,105.71,113.65,9.5,10.26,69.82,14306,0.63,129,12.83,2628,0.52,107,0.03,7,12.45,2551,3.71,761,14.91,3054
04013,20.72,14.4,23.82,18.79,10.25,76.48,73.6,69.23,12.12,104.65,95.67,79.59,14.33,15.0,73.01,2786781,4.99,190519,2.05,78329,3.46,132225,0.2,7790,12.83,489705,3.45,131768,18.19,694149
04015,23.27,17.04,34.59,8.0,3.95,81.83,79.39,76.24,23.31,102.79,99.25,98.22,11.24,11.55,86.86,173878,0.94,1882,2.25,4500,1.05,2103,0.17,341,5.99,11989,2.74,5493,9.48,18986
04017,22.06,19.52,29.96,8.95,5.47,73.86,70.24,65.64,13.25,103.36,99.19,89.73,16.2,16.74,49.3,52972,0.87,938,43.38,46611,0.54,580,0.07,75,3.37,3625,2.46,2648,6.8,7307
04019,21.16,13.18,23.56,17.62,12.03,79.69,77.01,71.97,15.43,104.22,94.22,80.73,12.88,13.42,74.34,728751,3.54,34674,3.33,32605,2.62,25731,0.17,1624,12.31,120639,3.7,36239,22.71,222633
04021,23.41,16.26,29.06,12.0,5.88,75.92,73.47,70.1,13.86,105.83,112.65,95.43,13.99,14.81,72.39,272013,4.58,17215,5.57,20949,1.73,6492,0.42,1565,11.5,43213,3.81,14323,17.99,67599
04023,17.75,29.12,31.09,11.51,5.83,73.27,69.3,65.1,13.13,104.05,85.22,81.99,16.51,17.18,73.46,34835,0.38,179,0.69,328,0.54,255,0.03,15,22.89,10855,2.01,953,54.16,25684
04025,23.85,10.6,26.97,14.59,9.07,83.17,80.92,77.6,24.06,106.72,94.21,89.93,10.32,11.02,89.33,188515,0.6,1267,1.68,3549,0.85,1785,0.1,213,4.9,10346,2.54,5358,8.52,17985
04027,24.19,28.42,27.0,8.68,4.61,75.18,71.81,66.85,15.66,104.05,99.34,93.53,15.43,16.06,70.44,137881,2.01,3931,1.56,3056,1.19,2324,0.16,306,20.81,40743,3.84,7510,37.91,74204
05001,16.48,20.65,37.78,9.2,5.12,79.55,76.73,73.33,16.38,105.98,90.95,73.44,12.39,13.13,71.82,13659,24.51,4661,0.19,36,0.48,92,0.01,2,1.68,320,1.31,249,1.88,357
05003,16.21,18.94,45.01,10.28,3.38,78.56,75.61,71.83,16.22,103.87,90.69,81.46,13.26,13.77,69.29,15143,25.81,5640,0.32,70,0.18,40,0.01,3,3.24,709,1.13,248,2.94,643
05005,19.36,16.32,37.54,9.83,4.7,83.99,81.92,79.21,28.09,106.43,90.45,89.42,9.7,10.32,96.91,40231,0.16,67,0.56,232,0.41,169,0.04,17,0.46,193,1.45,604,1.04,432
05007,18.32,15.79,31.13,18.07,7.82,74.88,72.06,68.51,12.19,104.68,94.46,80.44,14.83,15.52,82.6,182817,1.27,2814,1.69,3751,2.85,6319,0.3,671,8.61,19061,2.67,5906,9.05,20026
05009,17.36,16.24,40.85,9.83,4.7,79.54,76.74,73.17,18.08,107.94,92.6,80.5,12.39,13.37,96.53,35624,0.2,72,0.71,263,0.42,156,0.06,21,0.33,120,1.75,647,1.13,416
05011,12.02,30.6,39.71,9.07,3.6,79.41,76.7,72.67,17.74,102.91,92.02,71.8,12.85,13.23,60.25,6934,27.57,3173,0.49,56,0.23,27,0.01,1,10.1,1162,1.35,155,7.95,915
05013,13.35,22.18,45.52,4.86,1.73,82.68,79.47,74.65,17.19,107.74,103.24,77.16,11.55,12.44,74.53,4001,22.21,1192,0.28,15,0.2,11,0.0,0,1.38,74,1.4,75,1.86,100
05015,16.67,21.05,36.55,11.69,5.72,80.1,77.47,74.44,18.69,104.48,95.38,85.23,12.05,12.58,89.61,24593,0.38,103,0.91,251,0.6,164,0.14,39,6.11,1677,2.26,619,7.43,2040
05017,13.33,30.71,40.64,7.78,4.85,79.49,76.92,73.52,18.21,102.29,95.22,70.42,12.6,12.89,41.22,4864,54.08,6381,0.19,23,0.47,55,0.03,4,3.23,381,0.78,92,2.7,319
05019,14.37,16.9,36.83,13.2,8.52,82.73,80.52,69.06,14.83,95.43,89.64,71.27,13.71,13.08,71.83,16518,23.54,5413,0.43,98,0.52,120,0.02,5,2.16,497,1.5,344,2.31,532
05021,15.96,26.85,41.84,5.63,3.14,80.55,77.68,74.0,20.02,108.4,92.76,73.87,11.99,13.0,97.51,15682,0.35,56,0.26,42,0.12,20,0.01,1,0.5,80,1.26,202,0.85,136
05023,19.1,20.92,35.46,9.07,4.73,82.46,80.12,76.93,23.56,101.82,96.04,86.35,11.01,11.21,96.77,25130,0.28,72,0.54,141,0.2,52,0.03,7,0.78,203,1.41,365,1.14,296
05025,15.89,14.06,45.91,11.92,2.05,77.9,75.24,71.81,16.3,106.12,95.22,85.34,13.17,13.97,85.76,7452,12.19,1059,0.26,23,0.12,10,0.01,1,0.91,79,0.75,65,0.99,86
05027,15.37,16.34,37.48,13.56,7.2,80.14,77.22,70.13,16.0,101.38,88.13,68.22,13.6,13.78,59.86,14696,36.9,9059,0.29,71,0.72,177,0.02,4,1.18,289,1.04,256,1.45,357
