GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
42079,14.07,13.02,41.38,12.94,7.28,82.47,79.81,75.4,17.95,104.85,93.43,67.45,11.3,11.85,90.66,290943,3.36,10767,0.17,558,0.98,3135,0.02,57,3.29,10555,1.53,4903,4.01,12880
42081,13.39,14.09,40.82,12.57,6.22,81.75,79.15,73.88,16.46,109.52,93.59,73.27,11.65,12.76,92.65,107573,4.48,5203,0.19,217,0.58,671,0.02,25,0.36,421,1.72,2001,0.79,922
42083,13.29,11.69,49.57,10.11,5.54,81.6,78.94,74.44,16.99,108.0,102.88,76.07,11.63,12.56,95.88,41661,2.41,1046,0.23,100,0.44,193,0.01,3,0.14,60,0.89,387,1.39,603
42085,12.81,12.89,45.14,12.77,6.21,81.36,78.37,73.77,18.48,106.39,93.14,71.67,11.97,12.74,91.64,106890,5.77,6726,0.13,156,0.62,728,0.01,16,0.31,365,1.51,1757,0.68,795
42087,9.75,19.21,52.76,7.15,3.93,79.56,76.9,73.65,18.51,106.36,92.77,76.75,12.27,13.05,97.53,45531,0.64,300,0.11,52,0.36,168,0.01,7,0.31,143,1.03,481,0.55,258
42089,14.02,11.34,38.06,15.84,7.92,79.51,76.11,70.85,12.78,105.98,94.94,82.71,13.34,14.14,77.23,131162,13.16,22348,0.34,572,2.05,3484,0.05,79,4.3,7295,2.89,4902,8.35,14175
42091,12.58,7.43,26.31,25.69,18.48,79.85,77.06,73.76,15.09,104.45,91.32,71.69,12.34,12.89,81.14,649021,8.67,69351,0.15,1174,6.45,51565,0.04,296,1.62,12947,1.94,15520,2.85,22772
42093,10.69,12.53,41.19,13.5,11.48,81.55,78.79,75.78,18.59,113.96,87.97,66.26,10.9,12.42,95.3,17408,1.4,256,0.09,16,1.78,326,0.01,2,0.47,85,0.95,174,1.07,196
42095,13.85,13.04,35.66,16.75,9.52,80.9,78.11,73.31,15.65,105.01,93.12,72.9,12.25,12.86,86.28,256895,5.03,14986,0.2,609,2.42,7203,0.03,98,3.79,11289,2.24,6655,6.7,19959
42097,10.52,15.8,51.09,9.11,4.4,82.02,79.43,76.28,18.53,106.91,97.92,72.23,10.97,11.73,95.37,90156,2.03,1921,0.15,146,0.35,332,0.01,13,1.03,972,1.05,988,1.43,1350
42099,11.79,14.61,50.38,9.78,4.27,79.83,76.71,73.13,13.69,106.93,98.73,82.86,12.47,13.33,97.41,44779,0.64,296,0.16,72,0.36,164,0.04,19,0.38,173,1.01,466,0.71,328
42101,13.91,20.65,35.65,12.9,9.27,80.2,77.47,71.72,12.14,101.69,85.7,63.18,13.02,13.24,41.04,626221,43.37,661839,0.46,6996,6.32,96405,0.05,744,5.95,90731,2.82,43070,8.13,124039
42103,17.41,8.53,37.96,15.39,7.92,80.04,76.72,73.11,16.22,109.02,97.75,91.54,12.37,13.49,88.65,50856,5.79,3322,0.31,176,1.04,597,0.03,16,2.08,1193,2.11,1209,5.81,3336
42105,12.32,14.5,49.92,8.33,4.04,80.86,77.65,74.47,19.49,111.98,97.24,84.15,11.62,13.01,98.12,17128,0.38,67,0.26,45,0.26,45,0.01,1,0.17,30,0.81,141,0.63,110
42107,11.12,16.41,48.61,8.5,5.13,82.43,79.95,76.8,18.09,107.8,101.93,71.95,10.7,11.53,94.42,140013,2.68,3967,0.14,212,0.48,710,0.02,26,1.27,1878,1.0,1483,1.8,2673
42109,9.88,18.36,47.13,9.97,5.32,80.21,77.6,70.98,15.48,107.15,94.25,76.1,12.92,13.85,96.91,38476,1.08,428,0.13,53,0.54,214,0.02,6,0.5,198,0.82,327,1.05,415
42111,10.62,17.11,49.23,9.09,5.2,83.04,80.54,77.45,18.56,104.17,106.82,75.6,10.58,11.02,95.96,74603,2.4,1863,0.11,86,0.31,239,0.02,17,0.6,468,0.6,466,0.86,668
42113,12.69,13.94,51.35,7.14,4.22,87.2,84.04,79.18,24.22,118.45,106.66,87.36,8.85,10.49,95.88,6163,2.61,168,0.4,26,0.31,20,0.0,0,0.12,8,0.67,43,0.95,61
