GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G350","1980","A","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,"NEW MEXICO",,,,,,,,,,,,,,,,,,,,,,,,,,,,124945,95295,241403,121159,124345
"G360","1980","A","1","2","New York","36",,,,,,,,,,,,,,,,,,,"NEW YORK",,,,,,,,,,,,,,,,,,,,,,,,,,,,1962158,1653751,3651739,1529817,1923547
"G370","1980","A","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,"NORTH CAROLINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,835620,701398,947017,468761,450423
"G380","1980","A","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,"NORTH DAKOTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,90464,32082,114122,73891,54042
"G390","1980","A","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,"OHIO",,,,,,,,,,,,,,,,,,,,,,,,,,,,966614,1111400,2547330,807360,858963
"G400","1980","A","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,"OKLAHOMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,324970,277314,615290,285425,266762
"G410","1980","A","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,"OREGON",,,,,,,,,,,,,,,,,,,,,,,,,,,,180979,203855,586543,326428,282036
"G420","1980","A","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,"PENNSYLVANIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,1331659,1225084,2925153,776932,981416
"G440","1980","A","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,"RHODE ISLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,119182,104767,188488,74038,88768
"G450","1980","A","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,"SOUTH CAROLINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,445202,357092,468796,229303,232629
"G460","1980","A","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,"SOUTH DAKOTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,85984,39072,141375,68936,54624
"G470","1980","A","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,"TENNESSEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,745083,435256,852715,320029,339173
"G480","1980","A","3","7","Texas","48",,,,,,,,,,,,,,,,,,,"TEXAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,1640625,1329165,2285510,1347880,1340981
"G490","1980","A","4","8","Utah","49",,,,,,,,,,,,,,,,,,,"UTAH",,,,,,,,,,,,,,,,,,,,,,,,,,,,49582,91236,253495,170375,140102
"G500","1980","A","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,"VERMONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,49355,36154,107297,46061,56184
"G510","1980","A","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,"VIRGINIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,677968,499039,889682,468124,598069
"G530","1980","A","4","9","Washington","53",,,,,,,,,,,,,,,,,,,"WASHINGTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,252239,294156,911171,519533,462318
"G540","1980","A","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,"WEST VIRGINIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,321034,183820,408318,114382,119488
"G550","1980","A","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,"WISCONSIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,485923,336370,1093496,388523,401076
"G560","1980","A","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,"WYOMING",,,,,,,,,,,,,,,,,,,,,,,,,,,,25460,30893,102042,52987,43767
