GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052
"G130","1980","A","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,"GEORGIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5463105,2640445,2822660,3947135,1465181,7442,108,66,3368,4324,2792,5968,4347,2294,778,409,177,18716,5401845,27647,7887,5863,19863,89197,164925,160813,83224,83804,279803,372196,97402,103911,105046,105809,106188,109819,106612,102653,306819,481276,448765,647332,528004,246907,93355,122514,330874,146423,39434,45510,84220,82368,42467,42823,142905,189520,49710,53078,53670,54980,54930,56088,53409,51445,151284,234385,218987,316250,252558,114405,42636,55164,137365,49641,10647,43687,80705,78445,40757,40981,136898,182676,47692,50833,51376,50829,51258,53731,53203,51208,155535,246891,229778,331082,275446,132502,50719,67350,193509,96782,28787
"G150","1980","A","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,"HAWAII","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",964691,494683,470008,318770,17364,2655,68,45,239748,56285,133940,17962,604,3463,115500,1677,14073,42537,893428,8656,19351,392,42864,17229,30920,29699,14237,14056,44764,59439,15431,16251,16606,16951,17033,19605,21909,21796,61977,95287,84314,111416,94444,47383,16362,21432,49375,21214,5561,8856,16044,15104,7378,7068,23109,30627,7832,8368,8524,8606,9246,10929,12870,12814,33386,48864,42990,56449,44887,23502,8270,10601,26375,9973,2011,8373,14876,14595,6859,6988,21655,28812,7599,7883,8082,8345,7787,8676,9039,8982,28591,46423,41324,54967,49557,23881,8092,10831,23000,11241,3550
"G160","1980","A","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,"IDAHO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",943935,471155,472780,901641,2716,10418,76,27,2585,905,680,610,310,429,318,52,59,23109,907320,28143,407,111,7954,20341,37691,35499,16945,16131,49658,63499,15719,16432,17130,17620,18209,18591,17685,17202,51347,82461,72941,104326,81449,41182,15820,22377,58292,26912,8476,10418,19347,18308,8650,8203,25539,32432,8069,8298,8668,9078,9063,8893,8845,8766,25876,41803,37079,52876,40528,19934,7581,10863,27937,11201,2900,9923,18344,17191,8295,7928,24119,31067,7650,8134,8462,8542,9146,9698,8840,8436,25471,40658,35862,51450,40921,21248,8239,11514,30355,15711,5576
"G170","1980","A","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,"ILLINOIS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",11426518,5537537,5888981,9233327,1675398,15846,242,195,18571,28597,43857,23989,35749,7034,1063,606,187,341857,10790916,408325,129165,19063,79049,184025,332529,325687,161446,157479,530688,728394,190991,205698,210909,215191,213991,221206,218741,213348,640919,985619,869244,1293695,1161441,593160,214369,295863,761483,385720,114682,93846,169897,166726,82660,80458,270980,371831,97591,104701,107796,110147,109013,112068,108785,105935,318377,488484,427350,631797,563558,283082,99989,136532,324350,137905,33679,90179,162632,158961,78786,77021,259708,356563,93400,100997,103113,105044,104978,109138,109956,107413,322542,497135,441894,661898,597883,310078,114380,159331,437133,247815,81003
"G180","1980","A","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,"INDIANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5490224,2665825,2824399,5004394,414785,7682,107,47,2361,3986,3626,3295,4296,2338,475,126,54,42652,5403177,57625,12683,1916,14823,89205,166442,163117,82355,80967,269731,361075,93753,101857,105262,104554,106419,111536,108520,106682,303459,462851,411557,613583,550112,278021,97925,135857,350459,180515,54410,45834,85441,83680,41902,41700,138317,184622,47705,51890,53761,53043,53044,54951,53650,52642,150632,229755,202401,301301,266620,131999,45579,62588,151712,65171,15885,43371,81001,79437,40453,39267,131414,176453,46048,49967,51501,51511,53375,56585,54870,54040,152827,233096,209156,312282,283492,146022,52346,73269,198747,115344,38525
"G190","1980","A","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,"IOWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2913808,1416390,1497418,2839225,41700,5369,59,27,1049,2110,1225,2259,2147,2476,182,70,59,15851,2888272,18161,709,486,6180,48309,88825,84494,41200,39274,130567,183389,48311,51934,54449,55121,56874,59255,57650,55065,159309,243200,205954,302697,281422,145854,54915,78156,214854,127790,44940,24736,45485,43084,21198,19991,66688,93999,24842,26753,27900,27908,28217,29410,28456,27342,79951,123366,103613,149634,137018,69954,25757,36420,94248,47035,13385,23573,43340,41410,20002,19283,63879,89390,23469,25181,26549,27213,28657,29845,29194,27723,79358,119834,102341,153063,144404,75900,29158,41736,120606,80755,31555
"G200","1980","A","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,"KANSAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2363679,1156941,1206738,2168221,126127,15256,81,36,1585,2425,1662,2627,2357,3690,378,264,90,38880,2300340,49917,2918,926,9578,39814,72078,68985,33585,31955,103475,139087,36276,39323,41661,42796,44837,49104,49149,46962,136677,202671,171947,249640,231429,119932,44208,61825,173411,99397,33455,20521,37058,35405,17247,16294,53282,71041,18629,20261,21151,21762,22956,25354,25495,24240,70160,103213,86831,123643,112874,57852,20760,28661,75568,36487,10196,19293,35020,33580,16338,15661,50193,68046,17647,19062,20510,21034,21881,23750,23654,22722,66517,99458,85116,125997,118555,62080,23448,33164,97843,62910,23259
"G210","1980","A","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,"KENTUCKY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3660777,1789039,1871738,3379006,259477,3518,59,33,1056,1318,1443,2102,2225,1090,342,265,129,8714,3633371,14150,2747,950,9559,59679,112473,110579,55006,54336,180069,239080,62665,68339,69454,71050,71432,74164,72837,70178,203104,309338,276288,404520,354252,178333,64209,89564,248988,125804,35036,30424,57871,56484,28142,27796,92415,122460,32229,34972,35646,37670,37206,38399,37358,35276,101830,153713,136724,198527,170890,84360,29821,41188,108397,47915,11326,29255,54602,54095,26864,26540,87654,116620,30436,33367,33808,33380,34226,35765,35479,34902,101274,155625,139564,205993,183362,93973,34388,48376,140591,77889,23710
"G220","1980","A","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,"LOUISIANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4205900,2039894,2166006,2912172,1238241,11951,59,55,1482,3298,2614,1729,2873,10884,563,214,122,19643,4106766,28558,4539,7970,58067,79642,143471,138420,67143,66138,212685,294514,77281,83477,83922,83775,85659,89324,88826,84875,246575,368732,312027,450219,393906,189278,69599,92133,254901,118843,30535,40422,73163,70083,34189,33598,108084,149473,39449,42448,42553,42077,42443,44253,43886,42328,123624,182871,153772,218522,187497,88440,32185,41931,109469,43835,9299,39220,70308,68337,32954,32540,104601,145041,37832,41029,41369,41698,43216,45071,44940,42547,122951,185861,158255,231697,206409,100838,37414,50202,145432,75008,21236
"G230","1980","A","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,"MAINE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1124660,546235,578425,1109850,3128,4057,17,13,336,484,666,481,392,465,58,49,16,4648,1119655,1539,714,206,2546,16646,31330,30538,15362,15820,52997,74507,19770,21001,21521,21895,21428,21567,20785,20187,57466,92242,86557,122725,112021,56566,20947,29864,82288,44531,14099,8556,16053,15568,7920,8114,27230,38091,10167,10653,11124,11191,10919,10854,10442,10173,28285,45334,43356,61142,54405,26716,9871,13837,35916,16359,3959,8090,15277,14970,7442,7706,25767,36416,9603,10348,10397,10704,10509,10713,10343,10014,29181,46908,43201,61583,57616,29850,11076,16027,46372,28172,10140
"G240","1980","A","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,"MARYLAND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4216975,2042810,2174165,3158838,958150,7823,113,85,4805,14485,10965,15089,13705,4131,616,400,82,27688,4152229,12339,9014,5315,38078,58743,108482,105049,52878,52290,187748,280723,75855,81212,82928,81622,78820,80429,80108,78717,233566,371136,354443,527067,446488,222682,78069,102311,247209,115735,32665,29989,55482,53892,27070,26690,95846,143191,38516,41464,42473,41408,39477,40422,39789,38874,114589,180711,172115,257545,218160,104727,36907,47902,105908,40690,8973,28754,53000,51157,25808,25600,91902,137532,37339,39748,40455,40214,39343,40007,40319,39843,118977,190425,182328,269522,228328,117955,41162,54409,141301,75045,23692
"G250","1980","A","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,"MASSACHUSETTS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5737037,2730893,3006144,5362836,221279,7483,129,131,4483,25015,3073,4655,8387,3172,374,197,145,95678,5595994,7385,76450,6617,50591,71730,134271,131214,67549,67826,239359,363184,98148,103889,106454,106765,112457,118674,115453,113319,324130,489175,446395,627300,584835,310995,115851,161533,422615,230008,73908,36771,68889,67369,34378,34900,122324,185558,50111,53151,53928,54696,55503,57581,55888,55389,159436,239341,217649,304427,280655,145603,53524,72799,174258,76658,20107,34959,65382,63845,33171,32926,117035,177626,48037,50738,52526,52069,56954,61093,59565,57930,164694,249834,228746,322873,304180,165392,62327,88734,248357,153350,53801
"G260","1980","A","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,"MICHIGAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9262078,4516189,4745889,7872241,1199023,39714,208,128,5872,11009,11166,8714,14690,4209,799,226,105,93974,9099638,112183,12425,4177,33655,146176,273773,265164,134302,135064,457754,637089,164785,175948,181652,180279,178645,184753,182845,180689,530896,806918,708369,1028999,930931,471411,165238,228140,556510,274095,81653,74504,140068,135586,68824,68862,234448,325453,84352,89757,93066,91578,89804,91006,90090,89137,262199,399270,348315,504721,452040,225704,77483,106339,244615,103661,25307,71672,133705,129578,65478,66202,223306,311636,80433,86191,88586,88701,88841,93747,92755,91552,268697,407648,360054,524278,478891,245707,87755,121801,311895,170434,56346
"G270","1980","A","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,"MINNESOTA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4075970,1997826,2078144,3935770,53344,34831,118,67,2789,4835,2677,6319,3670,5866,243,97,40,25304,4043847,20437,1550,795,9341,67423,124029,115797,57162,54959,184174,263413,69965,74950,78782,81154,80514,84418,82283,78800,232483,363435,313104,449216,380250,189457,69869,100769,270148,156627,52789,34622,63367,59323,29137,28058,94361,135013,35594,38420,40538,41497,40043,41756,40455,38539,115841,182607,156565,224105,188036,92356,33096,47425,120115,59974,16983,32801,60662,56474,28025,26901,89813,128400,34371,36530,38244,39657,40471,42662,41828,40261,116642,180828,156539,225111,192214,97101,36773,53344,150033,96653,35806
"G280","1980","A","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,"MISSISSIPPI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2520638,1213878,1306760,1615190,887206,6131,28,21,687,1835,1442,576,1163,1281,330,76,22,4650,2495907,14543,1058,874,8256,46210,85380,83689,42052,41479,135517,179824,46452,50789,50934,51871,52358,52926,51191,47670,134644,197129,172410,260505,231819,112768,44516,59148,179949,85899,23509,23588,43448,42663,21497,21026,68909,91802,23750,25825,25941,26570,26501,26153,25294,23578,66616,96364,84132,125266,108446,51548,20577,26397,77656,32747,7584,22622,41932,41026,20555,20453,66608,88022,22702,24964,24993,25301,25857,26773,25897,24092,68028,100765,88278,135239,123373,61220,23939,32751,102293,53152,15925
"G290","1980","A","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,"MISSOURI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4916686,2365487,2551199,4345521,514276,12129,119,73,2649,4280,4029,3519,4099,3179,633,230,478,21472,4865033,32036,2512,1507,15598,76885,141613,135646,67732,65822,221872,302535,79633,87538,90408,92799,94012,96579,93478,89370,262594,398398,354339,540566,496552,254957,93460,131772,381060,205994,61072,39217,72953,69527,34607,33770,113353,154803,40735,44975,46279,47851,47994,47771,46252,44205,129478,196248,173204,262712,239091,120188,43152,60101,163685,75178,18158,37668,68660,66119,33125,32052,108519,147732,38898,42563,44129,44948,46018,48808,47226,45165,133116,202150,181135,277854,257461,134769,50308,71671,217375,130816,42914
"G300","1980","A","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,"MONTANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",786690,392625,394065,740148,1786,37153,79,38,754,346,458,301,162,275,135,48,24,4983,776716,6463,293,80,3138,14146,25774,24535,11961,11433,36844,49725,12814,14185,15037,15441,14854,15105,15151,14768,44099,71516,61409,88419,73677,36557,14325,20356,51528,24194,8837,7246,13241,12605,6171,5973,18728,25251,6631,7367,7791,8063,7743,7604,7637,7391,22169,36022,31558,44636,36741,18060,6968,9978,24275,9800,2976,6900,12533,11930,5790,5460,18116,24474,6183,6818,7246,7378,7111,7501,7514,7377,21930,35494,29851,43783,36936,18497,7357,10378,27253,14394,5861
"G310","1980","A","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,"NEBRASKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1569825,765894,803931,1490381,48390,9145,26,24,1378,1106,867,993,928,1438,160,105,27,14857,1541800,22431,627,362,4605,26899,48953,47094,23473,22365,72207,95810,25097,27192,28792,29288,30111,31866,31100,29747,87887,134794,114407,163774,150653,75104,27979,39549,114021,67919,23744,13791,24954,23958,12052,11360,36987,48905,12898,13836,14760,14949,15016,15876,15445,14963,44289,67366,57398,81674,73975,36566,13108,18382,50455,25514,7417,13108,23999,23136,11421,11005,35220,46905,12199,13356,14032,14339,15095,15990,15655,14784,43598,67428,57009,82100,76678,38538,14871,21167,63566,42405,16327
"G320","1980","A","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,"NEVADA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",800493,405060,395433,700345,50999,13205,74,29,2315,2979,4064,2057,622,1124,609,259,135,21677,746614,32681,1853,3708,15637,12762,22063,21307,10260,10247,35182,48895,12849,13648,14251,14335,13427,14501,14761,14866,47815,75951,69197,105311,85410,42116,14994,20589,45998,16118,3640,6627,11221,10809,5251,5319,17928,25067,6513,6989,7221,7463,6889,7305,7650,7616,24070,38632,35089,54344,43703,21208,7448,10422,22246,6826,1204,6135,10842,10498,5009,4928,17254,23828,6336,6659,7030,6872,6538,7196,7111,7250,23745,37319,34108,50967,41707,20908,7546,10167,23752,9292,2436
"G330","1980","A","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,"NEW HAMPSHIRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",920610,448462,472148,910099,3990,1297,41,14,448,790,314,515,563,209,64,13,13,2240,915023,1152,1316,332,2787,13300,25036,24176,12479,12372,43146,60770,15993,16934,17085,16791,17915,19051,17966,17178,48480,79468,77928,107028,90121,44749,16438,23239,61788,31529,9650,6818,12693,12372,6355,6439,22006,31455,8229,8621,8748,8545,8883,9420,8849,8403,23823,39156,38683,53928,44520,21366,7781,10819,26655,11258,2637,6482,12343,11804,6124,5933,21140,29315,7764,8313,8337,8246,9032,9631,9117,8775,24657,40312,39245,53100,45601,23383,8657,12420,35133,20271,7013
"G340","1980","A","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,"NEW JERSEY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",7364823,3533012,3831811,6127467,925066,8176,130,88,9905,23369,24377,12845,29510,2884,632,234,92,200048,6872940,13146,243540,80860,154337,97359,182940,182990,93362,93266,321819,477307,128534,135636,139053,138595,128908,128473,124854,122729,367245,574135,563758,879823,826558,430048,155560,212100,530707,256833,72231,49938,93770,93638,47746,47727,164133,243333,65392,69066,70613,71222,66006,64246,61757,60091,180007,278848,270274,423622,397370,203380,72929,97462,227043,92149,21250,47421,89170,89352,45616,45539,157686,233974,63142,66570,68440,67373,62902,64227,63097,62638,187238,295287,293484,456201,429188,226668,82631,114638,303664,164684,50981
"G350","1980","A","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,"NEW MEXICO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1302894,642157,660737,977587,24020,105976,88,55,1286,1442,1182,706,806,1043,217,82,61,188343,825672,233772,1610,605,241235,25903,45270,43558,21293,20954,67368,90491,23610,25722,26562,27176,25858,26988,26024,25009,74395,115344,101303,144938,122043,58424,20192,28563,74732,32391,8783,13145,23154,22238,10693,10715,34296,46137,11893,12980,13482,13893,13116,13498,12861,12443,37264,57567,50658,71126,59247,27812,9724,13666,34219,13148,3182,12758,22116,21320,10600,10239,33072,44354,11717,12742,13080,13283,12742,13490,13163,12566,37131,57777,50645,73812,62796,30612,10468,14897,40513,19243,5601
"G360","1980","A","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,"NEW YORK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",17558072,8339422,9218650,13960868,2402006,38967,330,285,24524,148105,33956,34157,60505,6644,1566,773,296,845090,15898772,38755,986389,76942,557214,240554,450033,445338,221874,217071,745934,1106292,299768,315775,323055,322169,314983,322589,314719,307969,897258,1428376,1351839,2043219,1908113,979370,354865,486142,1292428,675356,192983,122502,230304,227583,113693,110553,381300,564656,152348,160721,164079,163299,157062,158478,153957,149822,433777,690997,649344,973142,902353,456018,162885,219617,541851,241135,57946,118052,219729,217755,108181,106518,364634,541636,147420,155054,158976,158870,157921,164111,160762,158147,463481,737379,702495,1070077,1005760,523352,191980,266525,750577,434221,135037
