filename,datetime,size
gz_2010_01_060_00_500k.zip,2012-03-01 16:59,814K
gz_2010_01_140_00_500k.zip,2012-03-01 16:59,1.1M
gz_2010_01_150_00_500k.zip,2012-03-01 16:59,1.8M
gz_2010_01_160_00_500k.zip,2012-03-01 16:59,721K
gz_2010_01_500_11_500k.zip,2012-03-01 16:59,137K
gz_2010_01_610_u2_500k.zip,2012-03-01 16:59,261K
gz_2010_01_620_l2_500k.zip,2012-03-01 16:59,461K
gz_2010_01_700_00_500k.zip,2012-03-01 16:59,1.8M
gz_2010_01_970_00_500k.zip,2012-03-01 16:59,643K
gz_2010_02_060_00_500k.zip,2012-03-01 16:59,413K
gz_2010_02_140_00_500k.zip,2012-03-01 16:59,706K
gz_2010_02_150_00_500k.zip,2012-03-01 16:59,1.4M
gz_2010_02_160_00_500k.zip,2012-03-01 16:59,455K
gz_2010_02_230_00_500k.zip,2012-03-01 16:59,261K
gz_2010_02_500_11_500k.zip,2012-03-01 16:59,205K
gz_2010_02_610_u2_500k.zip,2012-03-01 16:59,405K
gz_2010_02_620_l2_500k.zip,2012-03-01 16:59,433K
gz_2010_02_700_00_500k.zip,2012-03-01 16:59,1.9M
gz_2010_02_970_00_500k.zip,2012-03-01 16:59,293K
gz_2010_04_060_00_500k.zip,2012-03-01 16:59,366K
gz_2010_04_140_00_500k.zip,2012-03-01 16:59,856K
gz_2010_04_150_00_500k.zip,2012-03-01 16:59,1.3M
gz_2010_04_160_00_500k.zip,2012-03-01 16:59,387K
gz_2010_04_500_11_500k.zip,2012-03-01 16:59,121K
gz_2010_04_610_u2_500k.zip,2012-03-01 16:59,176K
gz_2010_04_620_l2_500k.zip,2012-03-01 16:59,176K
gz_2010_04_700_00_500k.zip,2012-03-01 16:59,1.4M
gz_2010_04_950_00_500k.zip,2012-03-01 16:59,164K
gz_2010_04_960_00_500k.zip,2012-03-01 16:59,52K
gz_2010_04_970_00_500k.zip,2012-03-01 16:59,251K
gz_2010_05_060_00_500k.zip,2012-03-01 16:59,855K
gz_2010_05_140_00_500k.zip,2012-03-01 16:59,796K
gz_2010_05_150_00_500k.zip,2012-03-01 16:59,1.4M
gz_2010_05_160_00_500k.zip,2012-03-01 16:59,325K
gz_2010_05_500_11_500k.zip,2012-03-01 16:59,64K
gz_2010_05_610_u2_500k.zip,2012-03-01 16:59,205K
gz_2010_05_620_l2_500k.zip,2012-03-01 16:59,313K
gz_2010_05_700_00_500k.zip,2012-03-01 16:59,1.3M
gz_2010_05_970_00_500k.zip,2012-03-01 16:59,517K
gz_2010_06_060_00_500k.zip,2012-03-01 16:59,1.2M
gz_2010_06_140_00_500k.zip,2012-03-01 16:59,3.2M
gz_2010_06_150_00_500k.zip,2012-03-01 16:59,5.2M
gz_2010_06_160_00_500k.zip,2012-03-01 16:59,1.3M
gz_2010_06_500_11_500k.zip,2012-03-01 16:59,575K
gz_2010_06_610_u2_500k.zip,2012-03-01 16:59,532K
gz_2010_06_620_l2_500k.zip,2012-03-01 16:59,628K
gz_2010_06_700_00_500k.zip,2012-03-01 16:59,4.6M
gz_2010_06_950_00_500k.zip,2012-03-01 16:59,874K
gz_2010_06_960_00_500k.zip,2012-03-01 16:59,525K
