HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US48403,0.0,0.0,,0.0,,,0.0,,,43.7,214.3,,57.86,,,104.57,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.33,0.67,,10834,0,10834,1.0,0,1,0.0,1114.06,866.49,63.0,49.0,248.01,5527.02,265.72,14.0,312.0,15.0
050US48405,1.0,0.0,,1.0,0.0,,0.0,,,34.59,195.29,,37.67,194.63,,111.06,,,0.33,0.0,,0.33,0.0,,0.0,,,0.0,0.0,1.0,,8865,0,8865,1.0,0,0,0.0,992.97,351.68,48.0,17.0,416.49,5414.41,333.19,20.0,260.0,16.0
050US48407,3.0,1.0,1.0,0.0,,,0.0,,,22.67,87.63,398.45,70.33,,,70.33,,,0.75,0.25,0.25,0.0,,,0.0,,,0.0,0.75,0.25,,26384,0,26384,1.0,0,0,0.0,951.42,573.22,161.0,97.0,355.6,6062.73,297.31,61.0,1040.0,51.0
050US48409,12.0,3.0,,12.0,0.0,,7.0,,,19.82,132.46,,23.2,367.02,,31.89,,,0.75,0.19,,0.75,0.0,,0.44,,,0.31,0.5,0.19,,64804,52070,12734,0.2,0,0,0.0,1032.31,612.35,440.0,261.0,520.32,12242.78,456.75,221.0,5200.0,194.0
050US48411,0.0,0.0,,,,,0.0,,,63.93,268.36,,,,,76.97,,,0.0,0.0,,,,,0.0,,,0.0,0.0,1.0,,6131,3105,3026,0.49,0,0,0.0,1112.35,444.94,40.0,16.0,136.61,8524.59,27.32,5.0,312.0,1.0
050US48413,0.0,0.0,0.0,0.0,0.0,,,,,62.35,377.42,1099.98,63.11,400.67,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,,3461,0,3461,1.0,0,0,0.0,1030.93,705.37,19.0,13.0,498.61,20166.2,387.81,9.0,364.0,7.0
050US48415,0.0,0.0,,,,,0.0,,,67.18,230.34,,,,,78.67,,,0.0,0.0,,,,,0.0,,,0.0,0.75,0.25,,16921,11557,5364,0.32,0,0,0.0,1509.03,709.6,168.0,79.0,418.38,16202.27,115.71,45.34,1755.84,12.54
050US48417,0.0,0.0,,0.0,0.0,,0.0,,,33.41,211.41,,61.66,240.79,,112.25,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,1.0,,3378,0,3378,1.0,0,0,0.0,533.98,339.81,11.0,7.0,789.34,12826.84,542.67,16.0,260.0,11.0
050US48419,4.0,2.0,1.0,4.0,2.0,1.0,0.0,,,19.38,61.24,181.65,19.38,61.24,181.65,91.62,,,0.67,0.33,0.17,0.67,0.33,0.17,0.0,,,0.0,0.0,1.0,,25448,5234,20214,0.79,0,0,0.0,800.05,241.29,126.0,38.0,355.83,5719.09,181.15,55.0,884.0,28.0
050US48421,0.0,0.0,0.0,0.0,,,0.0,,,42.68,186.95,559.5,102.95,,,108.83,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,1.0,,3034,0,3034,1.0,0,0,0.0,472.19,209.86,9.0,4.0,107.18,2786.71,0.0,2.0,52.0,0.0
