HEROP_ID,DmySgrg
050US21007,0
050US21017,0
050US21031,0
050US21065,0
050US21069,0
050US21093,0
050US21099,0
050US21131,0
050US21151,0
050US21155,0
050US21179,0
050US17091,0
050US17187,0
050US17197,1
050US18027,0
050US18061,1
050US01001,0
050US01005,0
050US01023,0
050US01035,0
050US01051,0
050US01055,1
050US01065,0
050US01089,0
050US01113,0
050US01117,1
050US02016,0
050US02130,0
050US02180,0
050US02282,0
050US05011,0
050US05015,0
050US05019,0
050US05025,0
050US05063,0
050US05067,0
050US05121,0
050US06001,0
050US06003,0
050US06005,0
050US06013,0
050US06019,0
050US06023,0
050US06033,0
050US06037,0
050US06047,0
050US06057,0
050US06081,0
050US06085,0
050US06115,0
050US08013,0
050US08029,0
050US08049,0
050US08077,0
050US08083,0
050US08091,0
050US09009,0
050US11001,1
050US12009,0
050US12023,0
050US12039,0
050US12055,0
050US12065,0
050US12073,0
050US12095,0
050US12107,0
050US12123,0
050US12127,0
050US12131,0
050US12133,0
050US13009,0
050US13027,0
050US13103,1
050US13121,1
050US13141,0
050US13149,1
050US13179,0
050US13183,0
050US13189,0
050US13209,0
050US13229,0
050US13267,0
050US13271,0
050US13291,0
050US13305,0
050US13319,0
050US15007,0
050US16015,0
050US16023,0
050US16025,0
050US16027,0
050US16037,0
050US16039,0
050US16043,0
050US16061,0
050US16063,0
050US16085,0
050US19175,0
050US20053,0
050US20095,0
050US20135,0
050US20199,0
050US48011,1
050US48025,0
050US48035,0
050US48053,0
050US48055,0
050US48083,0
050US29057,0
050US29143,0
050US29157,0
050US29189,1
050US29199,0
050US29207,0
050US30015,0
050US30023,0
050US30029,0
050US30039,0
050US30057,0
050US30071,0
050US30077,0
050US30085,0
050US30087,0
050US30105,0
050US31091,0
050US53065,0
050US21189,0
050US21195,0
050US21217,0
050US21237,0
050US21239,0
050US22001,0
050US22009,0
050US22011,0
050US22029,0
050US22031,0
050US22033,0
050US22047,0
050US22071,1
050US22081,0
050US22099,0
050US22119,0
050US23013,0
050US23015,0
050US24003,1
050US18103,0
050US18129,0
050US18147,0
050US19001,0
050US19045,0
050US19083,0
050US19111,0
050US31167,0
050US34003,1
050US34007,1
050US34013,1
050US34023,1
050US34041,0
050US35007,0
050US35011,0
050US35051,0
050US36013,0
050US36029,1
050US36043,0
050US36045,0
050US36047,1
050US36053,1
050US36065,0
050US36077,0
050US36081,1
050US36091,0
050US36115,0
050US37007,0
050US37027,0
050US37039,0
050US37049,0
050US37055,0
050US37059,1
050US37069,0
050US37083,0
050US37091,0
050US37093,0
050US37099,0
050US37111,0
050US37117,0
050US37127,0
050US37165,0
050US37175,0
050US37199,0
050US38017,0
050US38037,0
050US38085,0
050US38099,0
050US39035,1
050US39039,0
050US39043,0
050US39125,0
050US40065,0
050US48103,0
050US48141,0
050US48151,0
050US48161,0
050US48167,1
050US48199,0
050US48213,0
050US48229,0
050US48241,0
050US48245,0
050US48261,0
050US48289,0
050US48317,0
050US48333,0
050US48347,0
050US48361,0
050US48371,0
050US48395,0
050US48423,0
050US48427,0
050US48457,0
050US48471,0
050US48475,0
050US48477,0
050US48499,0
050US49001,0
050US49003,0
050US49011,0
050US40073,0
050US40079,0
050US40145,0
050US41005,0
050US41021,0
050US41033,0
050US41035,0
050US41039,0
050US41043,0
050US41051,0
050US41055,0
050US41061,0
050US42005,1
050US42029,1
050US42035,0
050US42059,0
050US42067,0
050US42091,1
050US42111,0
050US45005,0
050US45019,0
050US45025,0
050US45043,0
050US45063,0
050US45077,0
050US45091,0
050US46073,0
050US46093,0
050US46095,0
050US46123,0
050US47001,0
050US47003,0
050US47005,0
050US47019,0
050US47029,0
050US47049,0
050US47063,0
050US47073,0
050US47081,0
050US47097,0
050US47121,0
050US47149,1
050US47173,0
050US48007,0
050US25001,0
050US25013,1
050US25025,1
050US26033,0
050US26053,0
050US26063,0
050US26097,0
050US26115,0
050US13283,0
050US13289,0
050US13313,0
050US13317,0
050US15001,0
050US15009,0
050US16059,0
050US16073,0
050US16083,0
050US16087,0
050US17027,1
050US17031,1
050US17047,0
050US49029,0
050US49035,0
050US49043,0
050US49049,0
050US51015,0
050US51037,0
050US51051,0
050US51053,1
050US51069,0
050US51073,0
050US51085,1
050US51099,0
050US51125,0
050US51131,0
050US51137,0
050US51145,1
050US51149,1
050US51161,1
050US51177,1
050US51185,0
050US51199,0
050US53005,0
050US53007,0
050US53009,0
050US53015,0
050US53025,0
050US53031,0
050US53037,0
050US53043,0
050US12077,0
050US05061,0
050US05093,0
050US05095,0
050US05099,0
050US05103,0
050US05109,0
050US05117,0
050US05133,0
050US05147,0
050US06045,0
050US06051,0
050US24011,0
050US24033,1
050US24043,0
050US25007,0
050US25017,1
050US26041,0
050US26099,1
050US26103,0
050US26135,0
050US26147,1
050US26163,1
050US27023,0
050US27053,0
050US27077,0
050US27091,0
050US27129,0
050US27139,0
050US27163,0
050US28007,0
050US28033,0
050US28055,0
050US28075,0
050US28143,0
050US28157,0
050US28163,0
050US29023,0
050US29029,0
050US29031,0
050US29033,0
050US17075,0
050US17129,0
050US17161,0
050US17175,0
050US17185,0
050US18009,0
050US18035,1
050US18067,0
050US18083,0
050US18159,0
050US18175,1
050US49025,0
050US05003,0
050US05007,0
050US05013,0
050US05045,0
050US13051,1
050US13077,1
050US13123,0
050US13133,0
050US13137,0
050US13139,0
050US13143,1
050US13157,0
050US13171,1
050US13181,0
050US13185,0
050US13195,0
050US13213,0
050US13217,1
050US13237,0
050US13245,0
050US13251,0
050US13269,0
050US13279,0
050US23023,0
050US23031,0
050US24001,0
050US24005,1
050US24017,1
050US24021,1
050US24031,1
050US24045,0
050US28149,0
050US28151,0
050US29041,0
050US29069,0
050US29087,0
050US29113,1
050US29159,0
050US29183,1
050US29195,0
050US29197,0
050US29201,0
050US30001,0
050US30013,0
050US30027,0
050US30031,0
050US30045,0
050US30049,0
050US30055,0
050US30059,0
050US30069,0
050US30073,0
050US30083,0
050US30099,0
050US31103,0
050US31151,0
050US32001,0
050US32003,1
050US32015,0
050US33007,0
050US33015,1
050US33017,1
050US34001,0
050US34005,1
050US34015,1
050US34019,1
050US34021,0
050US34025,1
050US34029,1
050US34035,1
050US21229,0
050US21231,0
050US22035,0
050US22045,0
050US22053,0
050US22055,0
050US06055,0
050US06059,0
050US06069,0
050US06073,0
050US06079,0
050US06083,0
050US06097,0
050US06101,0
050US06107,0
050US06113,0
050US08019,1
050US08023,0
050US08031,1
050US08037,0
050US08055,0
050US01049,0
050US01063,0
050US01087,0
050US01091,0
050US01095,0
050US01101,0
050US01107,0
050US01115,1
050US01119,0
050US01131,0
050US02090,0
050US02158,0
050US02240,0
050US04005,0
050US04009,0
050US04013,0
050US54001,0
050US54005,0
050US54021,0
050US54039,0
050US54045,0
050US54047,0
050US54063,0
050US54067,0
050US54087,0
050US54107,0
050US55003,0
050US55043,0
050US55113,0
050US56029,0
050US12086,0
050US12093,0
050US12097,0
050US13021,0
050US13029,1
050US39137,0
050US39175,0
050US40013,0
050US40027,1
050US40057,0
050US40067,0
050US40075,0
050US40095,0
050US40125,0
050US40135,0
050US40143,0
050US27011,0
