HEROP_ID,TotTracts,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,OpRxRt20,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,OdMortRtAv
050US01001,12,9.0,23.81,0.75,10.0,15.27,0.83,12.0,6.36,1.0,10.0,16.06,0.83,6.0,32.59,0.5,1.0,39.64,0.08,98.3,10.0,10.8,12.5,12.2,13.2,9.2,11.6,11.58
050US01003,32,26.0,20.29,0.81,26.0,17.58,0.84,30.0,7.37,0.94,19.0,25.9,0.59,23.0,24.04,0.72,4.0,47.88,0.12,65.0,17.7,19.6,17.5,16.6,16.6,14.5,27.4,16.96
050US01005,9,8.0,14.21,0.89,6.0,22.62,0.67,8.0,7.51,0.89,6.0,21.45,0.67,6.0,22.26,0.67,0.0,81.58,0.0,22.8,9.9,12.2,12.4,12.8,14.6,5.7,7.6,11.54
050US01007,4,3.0,14.44,0.75,1.0,25.46,0.25,4.0,6.74,1.0,0.0,40.39,0.0,1.0,26.18,0.25,0.0,47.37,0.0,24.8,17.1,17.5,21.6,21.7,23.0,19.4,27.3,20.64
050US01009,9,5.0,24.74,0.56,4.0,31.33,0.44,9.0,4.1,1.0,5.0,26.16,0.56,7.0,20.09,0.78,2.0,39.97,0.22,22.8,18.6,19.4,22.6,25.8,21.7,20.3,24.2,21.96
050US01011,3,1.0,37.81,0.33,3.0,15.99,1.0,3.0,15.99,1.0,3.0,15.99,1.0,0.0,51.16,0.0,0.0,75.48,0.0,22.0,9.2,10.4,11.6,12.0,12.0,8.3,10.6,10.86
050US01013,9,0.0,50.79,0.0,8.0,13.65,0.89,8.0,10.15,0.89,8.0,11.56,0.89,0.0,59.31,0.0,0.0,76.97,0.0,35.1,11.4,12.8,15.1,14.7,16.7,10.2,14.3,13.9
050US01015,31,25.0,16.49,0.81,29.0,12.91,0.94,31.0,5.68,1.0,29.0,12.49,0.94,27.0,14.12,0.87,24.0,20.27,0.77,97.9,14.9,16.1,15.8,22.1,17.2,17.5,24.5,17.74
050US01017,9,7.0,16.93,0.78,7.0,15.19,0.78,9.0,6.26,1.0,1.0,36.44,0.11,4.0,32.93,0.44,0.0,42.4,0.0,60.5,10.3,11.4,13.4,13.8,13.9,13.5,14.2,13.2
050US01019,6,5.0,18.52,0.83,6.0,14.1,1.0,6.0,8.27,1.0,6.0,14.1,1.0,6.0,11.3,1.0,0.0,46.98,0.0,50.6,16.2,18.5,19.9,20.0,21.1,21.7,21.7,20.24
050US01021,9,9.0,12.21,1.0,9.0,15.86,1.0,9.0,7.7,1.0,9.0,15.53,1.0,9.0,13.56,1.0,6.0,23.62,0.67,39.3,14.2,17.0,15.6,17.8,19.7,18.7,23.0,17.76
050US01023,4,3.0,26.06,0.75,3.0,23.11,0.75,4.0,13.83,1.0,3.0,23.11,0.75,3.0,23.84,0.75,0.0,74.06,0.0,37.8,14.1,14.4,17.6,18.9,18.9,8.0,9.6,15.56
050US01025,9,0.0,57.56,0.0,5.0,29.46,0.56,6.0,18.21,0.67,4.0,36.34,0.44,0.0,80.82,0.0,0.0,111.0,0.0,65.9,12.5,13.6,14.7,16.5,16.5,10.6,11.2,14.38
050US01027,4,3.0,19.73,0.75,3.0,19.73,0.75,3.0,14.34,0.75,3.0,21.45,0.75,0.0,48.35,0.0,0.0,67.88,0.0,81.7,13.9,14.7,16.4,17.4,17.0,12.2,13.7,15.54
050US01029,4,2.0,20.08,0.5,3.0,31.48,0.75,4.0,16.94,1.0,3.0,18.11,0.75,2.0,33.28,0.5,2.0,38.44,0.5,5.7,18.6,20.1,22.6,21.9,24.2,13.9,18.4,20.54
050US01031,14,11.0,18.96,0.79,12.0,16.09,0.86,14.0,9.71,1.0,11.0,18.93,0.79,3.0,35.74,0.21,3.0,42.82,0.21,74.4,9.6,9.6,11.4,11.8,11.5,9.8,11.2,10.82
050US01033,14,13.0,11.92,0.93,14.0,10.31,1.0,14.0,3.67,1.0,14.0,10.48,1.0,14.0,13.17,1.0,13.0,14.1,0.93,150.0,10.4,11.2,12.0,12.4,12.7,11.7,12.8,12.0
050US01035,5,4.0,23.24,0.8,4.0,23.48,0.8,4.0,17.0,0.8,1.0,43.92,0.2,1.0,44.93,0.2,0.0,66.09,0.0,113.3,15.5,16.9,18.8,20.6,21.3,14.9,21.0,18.5
050US01037,3,1.0,28.21,0.33,2.0,28.5,0.67,2.0,17.54,0.67,1.0,30.89,0.33,1.0,37.06,0.33,0.0,78.22,0.0,0.0,12.0,13.0,14.6,16.0,16.1,12.0,15.3,14.34
050US01039,14,0.0,44.72,0.0,13.0,13.5,0.93,13.0,9.78,0.93,13.0,12.12,0.93,13.0,20.05,0.93,0.0,82.94,0.0,85.3,13.4,13.4,15.8,15.3,15.4,12.0,16.9,14.38
050US01041,6,2.0,28.13,0.33,3.0,23.09,0.5,3.0,24.59,0.5,3.0,23.09,0.5,0.0,45.2,0.0,0.0,80.1,0.0,33.4,10.3,10.9,12.9,13.4,13.1,9.5,11.4,11.96
050US01043,18,16.0,18.74,0.89,16.0,17.6,0.89,17.0,7.42,0.94,16.0,20.15,0.89,15.0,17.74,0.83,15.0,20.98,0.83,81.1,22.8,18.1,20.8,21.7,21.6,17.9,21.6,20.02
050US01045,14,12.0,23.49,0.86,14.0,14.33,1.0,14.0,8.3,1.0,14.0,15.65,1.0,14.0,15.92,1.0,6.0,35.06,0.43,31.8,10.2,11.4,12.2,11.6,12.6,11.0,12.7,11.76
050US01047,15,14.0,13.92,0.93,14.0,14.4,0.93,14.0,10.75,0.93,14.0,14.4,0.93,14.0,13.9,0.93,0.0,82.31,0.0,62.7,9.6,9.6,10.6,11.6,11.1,6.6,7.8,9.9
050US01049,14,13.0,17.19,0.93,10.0,20.53,0.71,14.0,3.28,1.0,10.0,19.7,0.71,10.0,20.63,0.71,1.0,47.13,0.07,64.3,14.0,21.3,22.6,27.6,22.2,27.2,27.2,24.18
050US01051,15,10.0,26.88,0.67,12.0,20.27,0.8,14.0,7.19,0.93,12.0,19.68,0.8,4.0,35.46,0.27,4.0,38.92,0.27,26.8,9.5,8.7,10.9,11.4,10.6,10.3,12.1,10.38
050US01053,9,6.0,21.49,0.67,9.0,12.35,1.0,9.0,6.56,1.0,2.0,33.12,0.22,6.0,22.23,0.67,2.0,33.86,0.22,81.2,22.0,21.4,22.9,27.3,26.8,34.4,34.6,26.56
050US01055,30,30.0,9.75,1.0,30.0,11.41,1.0,30.0,5.36,1.0,30.0,9.39,1.0,29.0,10.01,0.97,29.0,12.91,0.97,102.8,16.9,19.4,18.2,27.2,24.2,19.8,22.7,21.76
050US01057,5,0.0,39.01,0.0,4.0,18.41,0.8,5.0,9.97,1.0,1.0,35.03,0.2,4.0,14.42,0.8,0.0,57.26,0.0,53.6,16.1,17.0,20.6,21.9,20.2,23.1,26.9,20.56
