HEROP_ID,PcpPer100k,SpPer100k
140US01081040603,0.0,0.0
140US01087232200,0.0,40.77
140US01101005302,46.84,0.0
140US01047956900,0.0,0.0
140US01097001502,0.0,0.0
140US01097003705,0.0,23.31
140US01097007500,0.0,0.0
140US01071950200,93.2,0.0
140US01071950600,0.0,17.36
140US01071950700,22.3,44.59
140US01101000900,0.0,0.0
140US01103005109,193.8,169.57
140US01113031200,29.31,0.0
140US01121010600,0.0,0.0
140US01125011402,0.0,0.0
140US01127021300,0.0,0.0
140US01131034800,64.53,0.0
140US01103001000,230.15,460.3
140US01073003600,44.08,0.0
140US01081041400,0.0,0.0
140US01097006902,0.0,0.0
140US01101001100,0.0,0.0
140US01101001900,0.0,0.0
140US01101002100,0.0,262.67
140US01101002500,0.0,0.0
140US01101003301,83.19,249.58
140US01101005408,76.47,203.93
140US01101005502,0.0,0.0
140US01101005603,13.05,0.0
140US01079979800,57.39,57.39
140US01047956600,147.33,110.5
140US01101005610,0.0,0.0
140US01127021200,0.0,0.0
140US01101005101,0.0,0.0
140US01073001100,0.0,0.0
140US01051030902,0.0,24.67
140US01039962500,144.82,72.41
140US01039962600,65.19,0.0
140US01039963000,65.88,0.0
140US01089001402,38.34,19.17
140US01089011200,55.1,23.61
140US01089000602,0.0,0.0
140US01049961300,0.0,0.0
140US01073012602,300.5,4474.12
140US01091973200,0.0,0.0
140US01097000500,209.21,69.74
140US01097004000,0.0,0.0
140US01093964200,0.0,0.0
140US01095030401,22.18,0.0
140US01123962200,0.0,63.79
140US01123962501,0.0,0.0
140US01097004100,0.0,0.0
140US01097004900,0.0,0.0
140US01127020700,0.0,0.0
140US01117030407,44.64,44.64
140US01079979900,0.0,0.0
140US01019956100,0.0,0.0
140US01021060102,126.16,84.1
140US01021060401,18.8,0.0
140US01051030100,0.0,0.0
140US01117030605,0.0,0.0
140US01069040600,0.0,49.48
140US01101005901,44.6,44.6
140US01103000600,34.9,104.71
140US01101005409,0.0,68.82
140US01073011706,41.77,0.0
140US01073012704,0.0,0.0
140US01113030300,0.0,0.0
140US01095030202,0.0,0.0
140US01097006403,1220.19,1608.43
140US01097006501,0.0,0.0
140US01097007101,0.0,0.0
140US01103005200,0.0,0.0
140US01103005301,0.0,0.0
140US01103005304,0.0,0.0
140US01021060500,30.54,0.0
140US01025957601,174.83,174.83
140US01073010701,0.0,0.0
140US01029959800,0.0,0.0
140US01119011400,0.0,0.0
140US01121010500,0.0,0.0
140US01027959100,36.18,36.18
140US01103005107,0.0,0.0
140US01105687100,36.23,0.0
140US01069040100,53.39,71.19
140US01069040700,0.0,0.0
140US01069040900,0.0,0.0
140US01103005103,0.0,423.73
140US01103005105,0.0,0.0
140US01103005106,63.96,127.92
140US01019955701,0.0,0.0
140US01071951100,0.0,0.0
140US01081041100,319.52,396.98
140US01073003802,0.0,0.0
140US01073004000,1526.14,2518.12
140US01073004902,375.0,1062.5
140US01073005200,0.0,0.0
140US01043965402,0.0,0.0
140US01077011801,0.0,0.0
140US01079979100,0.0,0.0
140US01097007201,0.0,0.0
140US01099075700,0.0,0.0
140US01121011200,0.0,35.24
140US01049960300,0.0,0.0
140US01087231601,0.0,0.0
140US01073013901,0.0,0.0
140US01069042100,13.28,13.28
140US01097001200,79.26,99.07
140US01073011302,0.0,0.0
140US01041963500,0.0,0.0
140US01001020900,0.0,0.0
140US01003010200,0.0,0.0
140US01117030703,102.85,25.71
140US01045020400,0.0,0.0
140US01045020700,63.69,159.24
140US01113030800,0.0,0.0
140US01097001501,0.0,0.0
140US01097001800,0.0,0.0
140US01097002000,0.0,59.42
140US01097002100,0.0,0.0
140US01097002400,0.0,0.0
140US01097002600,0.0,122.9
140US01097003100,0.0,0.0
140US01097003301,217.63,1088.14
140US01097003406,0.0,0.0
140US01097003408,28.24,0.0
140US01073002400,24.83,173.78
140US01073010001,0.0,0.0
140US01073010603,39.34,0.0
140US01073010705,50.68,0.0
140US01089002921,0.0,15.69
140US01089010501,37.53,7.51
140US01117030405,0.0,0.0
140US01109189300,25.71,0.0
140US01111000200,30.33,0.0
140US01079979200,0.0,0.0
140US01069041800,0.0,0.0
140US01031010700,0.0,0.0
140US01113031000,0.0,0.0
140US01043965700,0.0,0.0
140US01073005909,0.0,0.0
140US01045021200,0.0,81.5
140US01047956500,0.0,0.0
140US01047956800,671.94,790.51
140US01055010700,53.33,26.67
140US01055011001,19.83,19.83
140US01015002101,28.68,0.0
140US01097005700,13.49,0.0
140US01097006103,0.0,0.0
140US01127020200,0.0,109.63
140US01073014104,536.62,1104.8
140US01073014409,92.82,92.82
140US01077011604,14.07,0.0
140US01033020703,100.16,0.0
140US01033020801,23.09,0.0
140US01001020802,17.24,17.24
140US01077010200,387.41,1888.62
140US01041963800,0.0,0.0
140US01071950900,17.51,157.56
140US01043964300,0.0,0.0
140US01121011400,0.0,38.02
140US01121011900,34.27,68.54
140US01051030600,31.65,31.65
140US01089002000,1601.94,631.07
140US01089002501,90.58,90.58
140US01001020200,49.31,0.0
140US01001020400,26.1,0.0
140US01079979600,0.0,0.0
140US01073010802,65.88,1086.96
140US01073011001,0.0,0.0
140US01073011109,143.78,0.0
140US01073011111,90.87,0.0
140US01087231700,0.0,0.0
140US01041963400,0.0,0.0
140US01121010202,24.09,0.0
140US01089002722,0.0,0.0
140US01093964000,0.0,0.0
140US01099076000,108.74,36.25
140US01055010402,179.53,79.79
140US01073011704,27.05,27.05
140US01065040200,0.0,0.0
140US01073011904,42.28,0.0
140US01073012103,92.96,0.0
140US01057020000,0.0,0.0
140US01059973200,26.2,26.2
140US01059973400,139.32,0.0
140US01081041700,0.0,0.0
140US01127020800,49.22,65.63
140US01073005800,135.24,0.0
140US01073005905,49.4,16.47
140US01083020201,0.0,0.0
140US01051031200,0.0,0.0
140US01075030100,57.13,0.0
140US01077010100,106.04,689.29
140US01077011000,21.16,0.0
140US01077011300,0.0,0.0
140US01127020900,0.0,0.0
140US01001020100,0.0,0.0
140US01043964500,0.0,0.0
140US01073000500,0.0,0.0
140US01049960500,0.0,0.0
140US01125010406,275.75,571.2
140US01073014001,0.0,0.0
140US01001020600,0.0,0.0
140US01001020700,0.0,0.0
140US01073000800,64.58,0.0
140US01073002100,0.0,0.0
140US01073002303,0.0,0.0
140US01125010201,0.0,0.0
140US01089010623,0.0,0.0
140US01089010701,21.41,0.0
140US01089011012,345.45,272.73
140US01089011014,42.99,107.47
140US01115040205,0.0,0.0
140US01115040401,0.0,0.0
140US01041963900,0.0,0.0
140US01125012501,52.14,312.83
140US01125012502,44.53,0.0
140US01125012600,622.88,509.63
140US01127020100,475.15,1242.69
140US01039962000,25.1,0.0
140US01071951000,0.0,0.0
140US01081042002,0.0,12.87
140US01083020101,0.0,0.0
140US01071950100,0.0,0.0
140US01097006105,0.0,0.0
140US01115040502,0.0,0.0
140US01117030217,472.19,699.55
140US01087231900,73.8,0.0
140US01089000501,0.0,0.0
140US01115040105,0.0,0.0
140US01083020401,17.25,17.25
140US01083020900,43.52,0.0
140US01103005600,0.0,0.0
140US01103005701,0.0,0.0
140US01113030600,0.0,0.0
140US01117030305,0.0,24.24
140US01117030320,0.0,0.0
140US01117030340,34.76,0.0
140US01089011300,59.66,89.49
140US01089000601,322.84,0.0
140US01089001401,0.0,57.54
140US01089001700,0.0,0.0
140US01077011501,71.86,100.6
140US01077011502,0.0,0.0
140US01095030600,30.9,61.8
140US01095030904,73.46,0.0
140US01097000702,0.0,41.6
140US01097000800,216.22,1405.41
140US01097000901,2946.27,5777.01
140US01097000903,64.18,0.0
140US01097001100,0.0,0.0
140US01121010102,0.0,0.0
140US01125010701,0.0,0.0
140US01125010804,0.0,0.0
140US01125011701,0.0,0.0
140US01077011603,22.75,0.0
140US01097003703,985.96,2838.36
140US01097003901,0.0,0.0
140US01053970600,0.0,0.0
140US01055000800,82.58,82.58
140US01055001300,285.0,356.25
140US01055010300,0.0,0.0
140US01003010300,10.62,31.87
140US01125012304,26.75,26.75
140US01125012404,0.0,0.0
140US01073012803,63.28,126.56
140US01073012915,140.32,155.91
140US01073013400,0.0,0.0
140US01017954300,0.0,57.74
140US01003010400,42.75,0.0
140US01003010703,35.19,100.54
140US01125011200,743.54,1013.92
140US01003010800,14.21,142.13
140US01109188800,0.0,0.0
140US01035960200,148.66,49.55
140US01035960500,127.55,0.0
140US01039961600,0.0,0.0
140US01007010002,16.55,0.0
140US01005950200,26.35,0.0
140US01005950900,25.04,0.0
140US01127021100,0.0,0.0
140US01101000100,0.0,537.63
140US01101001300,53.11,0.0
140US01061050500,0.0,0.0
140US01065040000,0.0,0.0
140US01031010500,65.22,21.74
140US01101005700,0.0,0.0
140US01103005702,0.0,0.0
140US01079979700,0.0,0.0
140US01013953200,118.17,118.17
140US01013953400,103.27,34.42
140US01015001202,0.0,0.0
140US01015001400,0.0,31.82
140US01015002102,30.73,0.0
140US01015002501,27.27,0.0
140US01015981901,,
140US01017953900,0.0,0.0
140US01003011102,136.83,205.25
140US01003011403,28.22,0.0
140US01003011601,0.0,0.0
140US01129044300,0.0,0.0
140US01133965503,39.64,0.0
140US01003010704,0.0,17.01
140US01003011000,22.16,0.0
140US01073000300,155.2,51.73
140US01009050101,129.08,90.36
140US01011952200,69.53,17.38
140US01013952700,0.0,0.0
140US01083021000,0.0,0.0
140US01103005500,0.0,16.85
140US01127021400,0.0,0.0
140US01127021900,0.0,0.0
140US01119011300,68.1,0.0
140US01043965000,172.93,298.7
140US01033020704,100.68,402.74
140US01051030702,187.0,23.38
140US01069040800,0.0,69.06
140US01069041100,0.0,0.0
140US01069041400,29.36,88.08
140US01057020400,0.0,0.0
140US01069041600,0.0,0.0
140US01059973300,33.09,33.09
140US01073001500,0.0,0.0
140US01073001902,0.0,0.0
140US01073005104,0.0,0.0
140US01073005302,0.0,0.0
140US01073005701,0.0,0.0
140US01073005903,65.08,0.0
140US01073005907,0.0,0.0
140US01073005908,0.0,0.0
140US01073010002,0.0,0.0
140US01045021102,0.0,0.0
140US01069040201,174.47,636.29
140US01059973500,0.0,0.0
140US01061050100,21.39,0.0
140US01073004200,0.0,53.42
140US01073004701,1545.84,3651.39
140US01073004901,182.98,1463.86
140US01043964700,0.0,0.0
140US01043964900,184.08,138.06
140US01043965100,0.0,0.0
140US01031010400,0.0,0.0
140US01031010600,0.0,0.0
140US01031011202,23.76,0.0
140US01033020100,0.0,0.0
140US01033020400,0.0,0.0
140US01101005609,43.73,0.0
140US01055010100,44.9,89.81
140US01055010200,0.0,0.0
140US01049961200,41.91,0.0
140US01045020200,0.0,0.0
140US01045020300,0.0,0.0
140US01051030200,0.0,0.0
140US01129044200,19.25,0.0
140US01129043900,0.0,0.0
140US01053969900,0.0,0.0
140US01073002000,0.0,0.0
140US01073002305,0.0,32.54
140US01073002700,112.23,84.18
140US01073003001,0.0,0.0
140US01073003002,0.0,0.0
140US01073003400,142.05,0.0
140US01073003700,0.0,0.0
140US01073003803,0.0,54.87
140US01017954200,0.0,0.0
140US01017954700,0.0,0.0
140US01043965600,0.0,46.04
140US01045020000,19.48,19.48
140US01055010501,35.68,0.0
140US01051031300,44.6,22.3
140US01055010502,19.55,0.0
140US01115040203,15.75,31.51
140US01115040204,100.21,28.63
140US01117030306,0.0,0.0
140US01117030315,160.23,89.02
140US01117030316,0.0,17.27
140US01109188600,0.0,0.0
140US01115040501,18.32,0.0
140US01115040402,0.0,0.0
140US01109189200,0.0,0.0
140US01117030604,0.0,0.0
140US01033020901,0.0,0.0
140US01033021000,0.0,0.0
140US01073011901,0.0,0.0
140US01117030502,147.33,73.66
140US01073010801,135.4,165.49
140US01073010803,15.69,31.37
140US01073011002,0.0,0.0
140US01111000400,103.71,20.74
140US01117030303,84.59,72.51
140US01055001600,0.0,0.0
140US01073012002,13.13,65.64
140US01035960600,51.92,0.0
140US01117030406,0.0,0.0
140US01133965502,0.0,0.0
140US01133965800,90.48,90.48
140US01119011600,0.0,0.0
140US01117030900,0.0,38.73
140US01121010101,40.27,0.0
140US01051030300,0.0,0.0
140US01117030214,11.68,0.0
140US01055011200,512.6,1238.79
140US01121010201,55.68,0.0
140US01051030500,21.38,0.0
140US01069041700,0.0,0.0
140US01125012100,0.0,46.69
140US01125012303,132.08,184.92
140US01125012305,19.01,0.0
140US01057020100,121.69,60.85
140US01123962400,139.89,23.32
140US01057020200,118.26,23.65
140US01101005611,250.88,50.18
140US01125010101,22.15,44.3
140US01045021300,0.0,0.0
140US01045021400,18.58,0.0
140US01101005800,0.0,0.0
140US01101005902,0.0,0.0
140US01103000100,765.05,1480.75
140US01103000400,26.19,157.15
140US01073011301,0.0,0.0
140US01127021500,30.01,0.0
140US01003011602,71.97,35.98
140US01005950500,0.0,0.0
140US01005950600,51.39,0.0
140US01051030701,0.0,0.0
140US01127021800,27.09,0.0
140US01073011107,0.0,8.67
