HEROP_ID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,Age45_49,Age50_54,AgeOv18,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
040US18,6637426,2870670,4067070,418299,883260,458348,477704,2614698,448932,411619,996063,59.0,15.01,83.59,9.33,6.78,0.22,2.18,0.04,4.62,11.42,76,14.1,5.4,11.04,6449747,390220,3164414,419401,445154,5063133,13.8,7.71,2.78,20.83,28562,28461,0.45,9.11,27.0,13.81,11.09,1598278,50.51,16.29,4.85,24.92,31.05,80.13,913,0.03,0,0.27
040US19,3132499,1386722,1889155,197430,410184,214740,228772,1208062,213388,200535,513312,57.96,16.39,90.28,3.51,5.85,0.37,2.4,0.1,3.35,8.01,77,11.7,3.9,9.37,3032415,188867,1609481,186082,203506,2402467,11.6,7.87,2.64,21.51,30824,31085,0.44,10.02,25.91,14.38,11.69,767333,47.68,15.0,3.73,24.69,28.86,24.83,172,0.0,0,0.19
040US20,2908776,1266378,1755454,194202,402193,200544,217162,1151317,192663,177387,437777,60.08,15.05,84.59,5.84,11.71,0.83,2.87,0.07,5.8,9.27,75,12.4,4.4,11.2,2828708,181453,1428660,169015,184222,2193231,13.0,8.34,2.5,20.39,30095,30757,0.46,10.69,22.97,14.01,10.72,658949,46.12,14.5,4.42,22.38,33.68,15.49,659,0.01,0,0.19
040US21,4440204,1974406,2736676,274440,564733,290396,306631,1726143,309964,279311,691509,57.77,15.57,87.08,7.98,3.58,0.22,1.41,0.06,3.24,14.3,77,17.9,6.1,12.45,4309065,273675,1959442,287568,306536,3428185,17.4,8.02,2.75,20.0,25702,26948,0.48,9.52,23.58,14.23,11.93,991654,50.61,17.89,12.0,25.59,33.03,50.0,602,0.02,0,0.2
040US22,4663616,2045554,2878435,309339,615510,301500,329326,1876915,310932,287507,676707,60.08,14.51,62.21,32.23,5.04,0.56,1.71,0.03,3.26,15.19,76,19.4,6.9,15.13,4534221,250497,2031115,281619,305087,3555142,15.0,7.08,2.56,19.99,25737,27027,0.49,9.26,20.89,14.33,11.58,1011686,49.81,20.84,13.12,26.13,34.73,47.35,277,0.01,0,0.16
040US23,1332813,739077,818976,64437,143379,79747,77353,465663,108271,101153,259176,50.53,19.45,94.48,1.34,1.61,0.62,1.12,0.02,2.41,7.69,81,12.5,4.6,24.64,1296802,107091,665188,89226,101508,1078152,15.9,9.95,3.42,22.32,28070,31253,0.45,10.58,19.07,17.16,13.21,312792,47.02,13.66,8.3,30.39,27.8,23.96,55,0.0,0,0.22
040US24,6003435,2437740,3783921,366174,748555,384501,389347,2368200,421695,371549,875337,58.02,14.58,56.19,29.78,9.81,0.26,6.23,0.05,7.48,9.96,78,9.4,5.6,10.06,5862883,372462,3051333,411253,440672,4659258,10.9,8.04,2.97,22.1,38749,40517,0.45,9.93,12.35,13.87,9.55,1190162,39.0,10.69,1.42,26.36,33.23,251.03,1095,0.11,0,0.19
040US25,6830193,2882739,4372072,362681,766847,459381,492489,2750218,481780,433667,1078224,56.8,15.79,78.48,7.48,11.55,0.21,6.48,0.03,7.32,9.57,80,10.8,5.4,9.74,6579553,315859,3570257,460384,496392,5450296,11.6,5.8,2.69,24.56,35972,41794,0.48,11.7,15.56,16.51,10.32,1410862,39.52,10.95,0.82,29.79,37.7,369.52,1430,0.18,0,0.12
040US26,9957488,4580939,6140446,572374,1226636,669114,717149,3802412,722076,667775,1620944,56.25,16.28,78.52,13.81,5.0,0.53,3.06,0.03,4.05,9.47,78,15.0,6.5,14.66,9728101,564783,4598487,646308,698963,7761390,14.3,7.28,2.75,20.66,28178,30336,0.47,8.53,25.75,14.89,10.97,2204163,47.93,14.69,5.28,28.54,28.97,80.93,1302,0.02,0,0.14
040US27,5527358,2420473,3405639,351740,725424,356498,361934,2156944,393455,343969,830112,58.51,15.02,83.33,6.19,5.3,1.07,4.75,0.04,4.62,7.03,77,10.1,3.9,10.44,5394498,310097,2931458,345274,380440,4235751,10.8,7.32,2.65,22.91,34446,36245,0.45,9.0,22.13,16.24,11.03,1284453,43.82,11.63,3.34,26.08,28.44,30.4,995,0.01,0,0.05
