HEROP_ID,PrcNtvRsrv,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US06023,0.06,423.14,10507.11,276.97,385.0,9560.0,252.0
050US06033,0.0,760.55,11467.82,483.75,294.0,4433.0,187.0
050US06037,0.0,263.61,2291.21,155.21,18294.0,159004.0,10771.0
050US06047,0.0,389.65,3668.98,385.06,680.0,6403.0,672.0
050US06057,0.0,332.38,7153.82,251.4,197.0,4240.0,149.0
050US06081,0.0,194.44,2841.54,117.64,1000.0,14614.0,605.0
050US06085,0.0,264.3,2211.09,188.3,3488.0,29180.0,2485.0
050US06115,0.0,742.59,10883.19,653.32,366.0,5364.0,322.0
050US08013,0.0,184.17,3903.98,115.93,421.0,8924.0,265.0
050US08029,0.0,246.32,7277.61,173.54,44.0,1300.0,31.0
050US08049,0.0,235.12,5868.52,65.83,25.0,624.0,7.0
050US08077,0.0,487.93,6532.87,421.21,468.0,6266.0,404.0
050US08083,0.34,571.25,0.0,241.19,90.0,0.0,38.0
050US08091,0.0,375.47,12580.9,256.27,10.93,366.23,7.46
050US09009,0.0,,,,,,
050US11001,0.0,381.84,2261.63,298.71,1920.0,11372.0,1502.0
050US12009,0.0,446.73,4940.73,241.97,1621.0,17928.0,878.0
050US12023,0.0,460.64,10802.51,302.58,204.0,4784.0,134.0
050US12039,0.0,730.98,5255.0,670.35,217.0,1560.0,199.0
050US12055,0.0,767.19,11130.9,604.28,405.0,5876.0,319.0
050US12065,0.0,395.12,4696.32,180.63,35.0,416.0,16.0
050US12073,0.0,471.96,4994.15,123.14,985.0,10423.0,257.0
050US12095,0.0,265.73,3871.7,184.0,2510.0,36571.0,1738.0
050US12107,0.0,693.15,7918.47,479.7,302.0,3450.0,209.0
050US12123,0.0,772.45,12388.1,577.53,107.0,1716.0,80.0
050US12127,0.0,434.35,7249.38,195.81,1433.0,23917.0,646.0
050US12131,0.0,665.23,6629.12,454.3,287.0,2860.0,196.0
050US12133,0.0,509.98,12460.83,239.63,83.0,2028.0,39.0
050US13009,0.0,630.07,7093.21,61.71,194.0,2184.0,19.0
050US13027,0.0,613.75,10229.13,613.75,60.0,1000.0,60.0
050US13103,0.0,870.61,6514.56,277.69,348.0,2604.0,111.0
050US13121,0.0,414.23,13236.6,312.52,3022.0,96568.0,2280.0
050US13141,0.0,700.68,5605.46,431.19,39.0,312.0,24.0
050US13149,0.0,617.61,15032.85,459.92,47.0,1144.0,35.0
050US13179,0.0,528.52,504.28,402.45,218.0,208.0,166.0
050US13183,0.0,,,,,,
050US13189,0.0,567.8,10268.2,507.4,75.58,1366.8,67.54
050US13209,0.0,,,,,,
050US13229,0.0,533.07,2598.7,474.76,64.0,312.0,57.0
050US13267,0.0,532.16,3273.06,440.6,93.0,572.0,77.0
050US13271,0.0,236.84,9245.76,273.27,26.0,1015.0,30.0
050US13291,0.0,485.59,5701.75,250.63,62.0,728.0,32.0
050US13305,0.0,809.8,11484.46,441.71,154.0,2184.0,84.0
050US13319,0.0,537.06,11170.78,447.55,30.0,624.0,25.0
050US15007,0.05,,,,,,
050US16015,0.0,332.31,5483.27,301.5,15.1,249.16,13.7
050US16023,0.0,339.44,,0.0,5.0,,0.0
050US16025,0.0,,,,,,
050US16027,0.0,250.15,7673.63,246.47,339.0,10399.0,334.0
050US16037,0.0,166.39,8652.25,166.39,4.0,208.0,4.0
050US16039,0.0,528.4,5077.25,212.51,92.0,884.0,37.0
050US16043,0.0,219.97,3788.34,97.76,18.0,310.0,8.0
050US16061,0.82,418.41,10646.21,232.45,9.0,229.0,5.0
050US16063,0.0,,,,,,
050US16085,0.0,419.12,13722.45,155.23,27.0,884.0,10.0
050US19175,0.0,117.82,3403.59,117.82,9.0,260.0,9.0
050US20053,0.0,345.94,6424.51,197.68,14.0,260.0,8.0
050US20095,0.0,202.84,11111.11,135.23,9.0,493.0,6.0
050US20135,0.0,181.82,0.0,181.82,3.0,0.0,3.0
050US20199,0.0,342.86,,228.57,3.0,,2.0
050US48011,0.0,273.47,4740.2,182.32,3.0,52.0,2.0
050US48025,0.0,428.17,7951.77,305.84,98.0,1820.0,70.0
050US48035,0.0,272.84,1467.68,197.57,29.0,156.0,21.0
050US48053,0.0,1670.33,13387.47,1595.86,471.0,3775.0,450.0
050US48055,0.0,679.21,8217.77,353.76,192.0,2323.0,100.0
050US48083,0.0,143.0,0.0,40.86,7.0,0.0,2.0
050US29057,0.0,221.04,18390.8,132.63,10.0,832.0,6.0
050US29143,0.0,331.49,6224.68,349.91,36.0,676.0,38.0
050US29157,0.0,289.3,8703.92,355.43,35.0,1053.0,43.0
050US29189,0.0,204.21,4448.67,135.57,1306.0,28451.0,867.0
050US29199,0.0,140.85,6619.72,0.0,4.0,188.0,0.0
050US29207,0.0,273.18,7954.98,224.01,50.0,1456.0,41.0
050US30015,0.01,338.34,3582.03,79.63,11.94,126.41,2.81
050US30023,0.0,401.07,8689.84,434.49,24.0,520.0,26.0
050US30029,0.01,157.57,2317.33,130.51,99.0,1456.0,82.0
050US30039,0.0,102.3,0.0,0.0,2.0,0.0,0.0
050US30057,0.0,174.71,3302.77,70.89,8.65,163.52,3.51
050US30071,0.04,83.26,2164.86,0.0,2.0,52.0,0.0
050US30077,0.0,173.88,1130.19,173.88,8.0,52.0,8.0
050US30085,0.74,207.9,1544.4,193.05,14.0,104.0,13.0
050US30087,0.08,498.58,4629.63,0.0,28.0,260.0,0.0
050US30105,0.22,460.3,1196.78,460.3,20.0,52.0,20.0
050US31091,0.0,,,,,,
050US53065,0.1,149.98,6044.24,131.23,40.0,1612.0,35.0
050US21189,0.0,1492.22,1492.22,1004.71,41.23,41.23,27.76
050US21195,0.0,1020.84,11352.54,467.12,389.0,4326.0,178.0
050US21217,0.0,1166.3,12575.31,335.66,190.34,2052.29,54.78
050US21237,0.0,1492.41,1492.41,1004.91,66.83,66.83,45.0
050US21239,0.0,546.55,8649.68,291.09,92.0,1456.0,49.0
050US22001,0.0,194.02,1179.23,12.6,77.0,468.0,5.0
050US22009,0.0,3456.5,16513.51,419.09,899.0,4295.0,109.0
050US22011,0.02,528.16,6591.46,105.63,125.0,1560.0,25.0
050US22029,0.0,8859.04,61293.68,1767.01,1108.0,7666.0,221.0
050US22031,0.0,690.66,304.36,503.37,118.0,52.0,86.0
050US22033,0.0,548.89,4928.26,427.84,1637.0,14698.0,1276.0
050US22047,0.0,441.2,8193.77,400.68,98.0,1820.0,89.0
050US22071,0.0,587.3,6377.3,385.36,1585.0,17211.0,1040.0
050US22081,0.0,933.51,6934.65,438.18,49.0,364.0,23.0
050US22099,0.0,496.88,4855.2,457.13,175.0,1710.0,161.0
050US22119,0.0,1029.48,7507.0,411.79,250.0,1823.0,100.0
050US23013,0.0,288.6,10290.66,189.65,70.0,2496.0,46.0
050US23015,0.0,357.96,5218.55,211.94,72.54,1057.54,42.95
050US24003,0.0,191.4,1436.19,123.25,733.0,5500.0,472.0
050US18103,0.0,524.3,7092.92,473.15,123.0,1664.0,111.0
050US18129,0.0,343.62,5743.39,202.49,56.0,936.0,33.0
050US18147,0.0,349.22,0.0,325.94,45.0,0.0,42.0
050US19001,0.0,70.7,7353.29,47.14,3.0,312.0,2.0
050US19045,0.0,183.02,6212.45,145.04,53.0,1799.0,42.0
050US19083,0.0,514.79,24822.16,795.58,55.0,2652.0,85.0
050US19111,0.0,266.7,243.31,266.7,57.0,52.0,57.0
050US31167,0.0,112.4,3250.4,62.53,4.17,120.59,2.32
050US34003,0.01,129.22,1184.32,94.79,792.0,7259.0,581.0
050US34007,0.0,334.2,3648.62,246.82,1113.0,12151.0,822.0
050US34013,0.0,394.45,3080.56,363.6,2097.0,16377.0,1933.0
050US34023,0.0,146.01,1387.66,94.71,814.0,7736.0,528.0
050US34041,0.0,105.34,1866.25,96.8,74.0,1311.0,68.0
050US35007,0.0,685.79,0.0,83.97,49.0,0.0,6.0
050US35011,0.0,999.0,0.0,399.6,10.0,0.0,4.0
050US35051,0.0,932.93,9153.32,492.87,53.0,520.0,28.0
050US36013,0.0,354.71,3399.56,271.82,291.0,2789.0,223.0
050US36029,0.03,215.31,2578.55,48.99,1301.0,15581.0,296.0
050US36043,0.0,66.53,1064.46,51.18,26.0,416.0,20.0
050US36045,0.0,180.68,2087.91,115.1,135.0,1560.0,86.0
050US36047,0.0,,,,,,
050US36053,0.0,200.81,1538.82,135.28,95.0,728.0,64.0
050US36065,0.0,285.05,2646.89,179.85,420.0,3900.0,265.0
050US36077,0.0,176.34,1178.96,105.8,70.0,468.0,42.0
050US36081,0.0,,,,,,
050US36091,0.0,118.64,1096.94,73.57,179.0,1655.0,111.0
050US36115,0.0,285.79,2584.56,139.17,115.0,1040.0,56.0
050US37007,0.0,279.94,10443.04,316.46,46.0,1716.0,52.0
050US37027,0.0,338.73,1088.51,412.95,178.0,572.0,217.0
050US37039,0.02,633.82,25152.18,684.03,101.0,4008.0,109.0
050US37049,0.0,431.29,5626.75,383.54,280.0,3653.0,249.0
050US37055,0.0,370.52,13146.77,257.18,85.0,3016.0,59.0
050US37059,0.0,170.25,6885.59,143.77,45.0,1820.0,38.0
050US37069,0.01,407.62,2890.43,259.4,176.0,1248.0,112.0
050US37083,0.11,318.34,11035.86,265.29,102.0,3536.0,85.0
050US37091,0.09,559.13,10694.09,109.25,87.0,1664.0,17.0
050US37093,0.64,449.0,3008.02,429.72,163.0,1092.0,156.0
050US37099,0.07,189.99,3772.15,145.08,55.0,1092.0,42.0
050US37111,0.0,399.05,7608.4,305.93,113.99,2173.34,87.39
050US37117,0.0,359.95,6525.52,348.5,50.0,906.46,48.41
050US37127,0.03,358.95,12443.5,325.71,216.0,7488.0,196.0
050US37165,1.0,473.59,3283.57,428.49,105.0,728.0,95.0
050US37175,0.0,356.77,14788.0,186.14,69.0,2860.0,36.0
050US37199,0.0,292.67,490.94,254.91,31.0,52.0,27.0
050US38017,0.0,261.95,7231.36,195.24,322.0,8889.0,240.0
050US38037,0.01,244.69,3185.68,229.74,3.11,40.49,2.92
050US38085,0.98,253.49,6201.69,223.73,6.9,168.81,6.09
050US38099,0.0,307.93,9607.39,230.95,20.0,624.0,15.0
050US39035,0.0,308.63,7259.13,218.97,2506.0,58943.0,1778.0
050US39039,0.0,609.82,7668.4,170.33,146.9,1847.24,41.03
050US39043,0.0,282.31,8199.9,243.52,131.0,3805.0,113.0
050US39125,0.0,212.28,3090.77,42.46,25.0,364.0,5.0
050US40065,0.99,890.58,16192.31,0.0,143.0,2600.0,0.0
050US48103,0.0,403.09,3493.45,100.77,12.0,104.0,3.0
050US48141,0.0,429.53,5167.07,315.5,2358.0,28366.0,1732.0
050US48151,0.0,305.81,4543.47,218.44,7.0,104.0,5.0
050US48161,0.0,461.55,14571.83,387.37,56.0,1768.0,47.0
050US48167,0.0,507.49,8134.89,445.31,1118.0,17921.0,981.0
050US48199,0.0,442.54,7874.43,345.73,160.0,2847.0,125.0
050US48213,0.0,774.78,8708.15,532.15,380.0,4271.0,261.0
050US48229,0.0,3481.94,35535.31,3319.23,107.0,1092.0,102.0
050US48241,0.0,435.97,7476.46,408.14,94.0,1612.0,88.0
050US48245,0.0,590.8,10264.71,394.66,997.0,17322.0,666.0
050US48261,0.0,455.6,11324.32,397.68,1.18,29.33,1.03
050US48289,0.0,303.64,2105.26,192.31,30.0,208.0,19.0
050US48317,0.0,200.57,4469.91,114.61,7.0,156.0,4.0
050US48333,0.0,146.41,0.0,146.41,4.0,0.0,4.0
050US48347,0.0,538.23,0.0,0.0,233.0,0.0,0.0
050US48361,0.0,335.02,13667.24,190.65,181.0,7384.0,103.0
050US48371,0.0,261.05,13574.4,299.72,27.0,1404.0,31.0
050US48395,0.0,266.59,4455.87,76.17,28.0,468.0,8.0
050US48423,0.0,496.91,6083.2,314.83,715.0,8753.0,453.0
050US48427,0.0,522.12,2648.8,0.0,205.0,1040.0,0.0
050US48457,0.0,254.64,778.91,217.2,34.0,104.0,29.0
050US48471,0.0,116.51,7212.74,170.15,63.0,3900.0,92.0
050US48475,0.0,663.56,7440.35,310.6,47.0,527.0,22.0
050US48477,0.0,396.23,9320.75,415.09,84.0,1976.0,88.0
050US48499,0.0,535.94,5584.02,551.7,136.0,1417.0,140.0
050US49001,0.0,9914.02,21923.7,0.0,369.0,816.0,0.0
050US49003,0.0,434.46,6841.27,88.73,142.0,2236.0,29.0
050US49011,0.0,306.57,4272.33,90.73,669.0,9323.0,198.0
050US40073,1.0,391.47,9642.53,422.38,38.0,936.0,41.0
050US40079,1.0,577.74,12851.46,0.0,180.0,4004.0,0.0
050US40145,1.0,200.09,6131.38,208.01,101.0,3095.0,105.0
050US41005,0.01,191.21,6461.96,60.99,511.0,17269.0,163.0
050US41021,0.0,349.62,8346.74,316.09,3.65,87.14,3.3
050US41033,0.0,222.01,6390.61,114.97,112.0,3224.0,58.0
050US41035,0.0,296.66,12111.7,254.98,121.0,4940.0,104.0
050US41039,0.0,148.08,6063.81,108.14,367.0,15028.0,268.0
050US41043,0.0,224.06,13028.64,91.66,176.0,10234.0,72.0
050US41051,0.0,187.7,5369.94,146.57,1077.0,30812.0,841.0
050US41055,0.01,349.04,8346.15,316.35,3.63,86.8,3.29
050US41061,0.0,228.34,8022.71,92.57,37.0,1300.0,15.0
050US42005,0.0,325.04,2573.62,157.67,134.0,1061.0,65.0
050US42029,0.0,238.02,1472.33,117.83,808.0,4998.0,400.0
050US42035,0.0,954.96,8483.21,437.69,240.0,2132.0,110.0
050US42059,0.0,368.56,1292.03,99.39,89.0,312.0,24.0
050US42067,0.0,203.63,2049.4,124.8,31.0,312.0,19.0
050US42091,0.0,383.61,2357.92,302.66,2052.0,12613.0,1619.0
050US42111,0.0,207.29,1429.9,0.0,98.0,676.0,0.0
050US45005,0.0,630.22,12399.93,425.82,37.0,728.0,25.0
050US45019,0.0,439.45,5084.55,306.03,1189.0,13757.0,828.0
050US45025,0.0,272.42,0.0,217.94,80.0,0.0,64.0
050US45043,0.0,561.7,10317.46,335.35,201.0,3692.0,120.0
050US45063,0.0,396.44,5600.72,365.91,753.0,10638.0,695.0
050US45077,0.0,298.04,5408.71,238.67,251.0,4555.0,201.0
050US45091,0.0,265.4,5431.38,210.61,465.0,9516.0,369.0
050US46073,0.0,,,,,,
050US46093,0.0,247.57,6536.12,163.79,45.54,1202.32,30.13
050US46095,0.33,751.65,13335.81,477.72,9.11,161.63,5.79
050US46123,0.07,751.72,13335.83,477.49,24.04,426.48,15.27
050US47001,0.0,612.34,10618.82,351.1,293.0,5081.0,168.0
050US47003,0.0,709.66,13714.64,436.21,218.0,4213.0,134.0
050US47005,0.0,770.91,15855.82,343.79,74.0,1522.0,33.0
050US47019,0.0,573.97,4197.0,302.39,205.0,1499.0,108.0
050US47029,0.0,627.43,2347.21,424.3,139.0,520.0,94.0
050US47049,0.0,475.04,9321.5,367.48,53.0,1040.0,41.0
050US47063,0.0,921.61,12130.42,256.56,370.0,4870.0,103.0
050US47073,0.0,725.96,8604.63,492.42,258.0,3058.0,175.0
050US47081,0.0,857.27,11181.19,379.65,140.0,1826.0,62.0
050US47097,0.0,869.41,10062.02,353.56,150.0,1736.0,61.0
050US47121,0.0,918.04,,332.62,69.0,,25.0
050US47149,0.0,419.72,6116.65,222.39,921.0,13422.0,488.0
050US47173,0.0,703.88,4627.83,80.91,87.0,572.0,10.0
050US48007,0.0,1333.42,19556.89,1182.99,195.0,2860.0,173.0
050US25001,0.0,274.38,1957.26,129.57,339.16,2419.37,160.16
050US25013,0.0,477.81,1977.68,230.8,1474.0,6101.0,712.0
050US25025,0.0,279.84,1040.98,190.71,1664.0,6190.0,1134.0
050US26033,0.0,495.21,12262.22,282.97,126.0,3120.0,72.0
050US26053,0.0,293.69,6545.0,136.35,28.0,624.0,13.0
050US26063,0.0,332.1,5570.73,208.9,62.0,1040.0,39.0
050US26097,0.0,278.16,24911.14,123.63,18.0,1612.0,8.0
050US26115,0.0,340.24,8872.99,184.0,331.0,8632.0,179.0
050US13283,0.0,516.67,25645.84,516.67,22.0,1092.0,22.0
050US13289,0.0,,,,,,
050US13313,0.0,712.4,11015.46,154.35,480.0,7422.0,104.0
050US13317,0.0,508.28,6796.38,435.62,30.08,402.21,25.78
050US15001,0.05,,,,,,
050US15009,0.07,,,,,,
050US16059,0.0,183.91,9563.22,0.0,8.0,416.0,0.0
050US16073,0.03,633.98,6494.79,352.21,45.0,461.0,25.0
050US16083,0.0,322.67,5361.34,219.57,169.0,2808.0,115.0
050US16087,0.0,488.15,14504.88,435.84,28.0,832.0,25.0
050US17027,0.0,266.54,6089.98,105.0,66.0,1508.0,26.0
050US17031,0.0,244.15,1503.6,198.4,8565.0,52747.0,6960.0
050US17047,0.0,360.11,9750.77,251.54,14.03,379.89,9.8
050US49029,0.0,583.98,6829.49,208.72,41.27,482.64,14.75
050US49035,0.0,292.4,3741.09,291.47,2209.0,28263.0,2202.0
050US49043,0.0,263.15,1479.32,85.35,74.0,416.0,24.0
050US49049,0.01,221.97,7229.26,126.84,861.0,28042.0,492.0
050US51015,0.0,317.34,4537.95,272.91,152.21,2176.58,130.9
050US51037,0.0,940.7,14178.6,313.57,69.0,1040.0,23.0
050US51051,0.0,1510.27,9473.13,418.18,138.25,867.17,38.28
050US51053,0.0,1213.62,7628.84,577.71,230.03,1445.97,109.5
050US51069,0.0,565.52,4103.77,268.34,313.26,2273.2,148.64
050US51073,0.0,382.68,6205.25,238.66,93.0,1508.0,58.0
050US51085,0.0,603.35,8324.73,225.35,415.0,5726.0,155.0
050US51099,0.0,632.18,5227.37,473.22,109.88,908.57,82.25
050US51125,0.0,555.7,7695.33,332.69,48.59,672.88,29.09
050US51131,0.0,1350.56,13211.98,411.04,92.0,900.0,28.0
050US51137,0.0,475.01,4312.55,233.3,106.14,963.64,52.13
050US51145,0.0,,,,,,
050US51149,0.0,,,,,,
050US51161,0.0,1146.45,11075.22,529.37,675.82,6528.73,312.06
050US51177,0.0,632.18,5227.39,473.24,553.48,4576.63,414.33
050US51185,0.0,1510.29,9473.1,418.2,387.36,2429.66,107.26
050US51199,0.0,454.48,4182.46,187.2,200.54,1845.51,82.6
050US53005,0.0,468.09,9313.9,102.87,587.0,11680.0,129.0
050US53007,0.0,467.47,9631.39,227.16,221.02,4553.72,107.4
050US53009,0.03,380.8,9900.85,222.91,164.0,4264.0,96.0
050US53015,0.0,448.0,12493.07,274.19,299.0,8338.0,183.0
050US53025,0.0,364.54,8464.03,276.37,215.0,4992.0,163.0
050US53031,0.01,282.5,5814.84,217.76,48.0,988.0,37.0
050US53037,0.0,306.4,6920.24,0.0,99.0,2236.0,0.0
050US53043,0.01,363.22,9443.62,148.59,22.0,572.0,9.0
050US12077,0.0,870.6,13315.12,648.69,51.0,780.0,38.0
050US05061,0.0,605.16,12202.05,358.16,49.0,988.0,29.0
050US05093,0.0,640.0,14318.14,394.42,172.0,3848.0,106.0
050US05095,0.0,858.78,13645.04,667.94,36.0,572.0,28.0
050US05099,0.0,197.63,8221.34,79.05,10.0,416.0,4.0
050US05103,0.0,923.46,1067.1,601.96,135.0,156.0,88.0
050US05109,0.0,358.0,2326.97,626.49,24.0,156.0,42.0
050US05117,0.0,443.91,5246.17,322.84,22.0,260.0,16.0
050US05133,0.0,387.63,5407.96,198.54,41.0,572.0,21.0
050US05147,0.0,508.26,9250.32,355.78,20.0,364.0,14.0
050US06045,0.01,567.9,9095.85,380.48,303.0,4853.0,203.0
050US06051,0.0,273.11,4794.66,192.19,27.0,474.0,19.0
050US24011,0.0,333.33,4652.58,117.37,71.0,991.0,25.0
050US24033,0.0,146.84,1782.29,116.92,913.0,11082.0,727.0
050US24043,0.0,322.12,2102.44,218.83,315.0,2056.0,214.0
050US25007,0.0,317.37,10193.22,74.68,34.0,1092.0,8.0
050US25017,0.0,102.38,534.77,50.01,1128.0,5892.0,551.0
050US26041,0.0,346.2,13441.65,138.48,75.0,2912.0,30.0
050US26099,0.0,208.94,2949.82,145.43,1204.0,16998.0,838.0
050US26103,0.0,228.44,3881.3,113.09,101.0,1716.0,50.0
050US26135,0.0,651.78,0.0,58.21,30.79,0.0,2.75
050US26147,0.0,470.37,5027.64,259.92,485.0,5184.0,268.0
050US26163,0.0,162.59,2367.88,66.34,1865.0,27161.0,761.0
050US27023,0.0,169.78,2942.84,113.19,12.0,208.0,8.0
050US27053,0.0,137.64,4410.86,90.93,1164.0,37302.0,769.0
050US27077,0.1,264.55,6878.31,132.28,6.0,156.0,3.0
050US27091,0.0,161.58,7517.65,119.06,19.0,884.0,14.0
050US27129,0.0,758.86,9400.84,317.14,67.0,830.0,28.0
050US27139,0.01,126.03,3760.18,52.68,122.0,3640.0,51.0
050US27163,0.0,119.73,4669.29,87.4,200.0,7800.0,146.0
050US28007,0.0,198.34,9376.13,153.26,22.0,1040.0,17.0
050US28033,0.0,294.81,7577.56,272.07,350.0,8996.0,323.0
050US28055,0.0,8520.48,40735.26,8412.59,85.29,407.76,84.21
050US28075,0.0,643.11,9003.59,554.48,312.0,4368.0,269.0
050US28143,0.0,1130.12,83252.24,957.46,72.0,5304.0,61.0
050US28157,0.0,311.9,0.0,225.26,18.0,0.0,13.0
050US28163,0.0,2039.98,3244.49,102.51,398.0,633.0,20.0
050US29023,0.0,276.58,8274.61,227.32,73.0,2184.0,60.0
050US29029,0.0,413.99,8295.04,0.0,109.0,2184.0,0.0
050US29031,0.0,531.76,6856.39,457.74,273.0,3520.0,235.0
050US29033,0.0,227.7,986.72,132.83,12.0,52.0,7.0
050US17075,0.0,111.47,9457.32,52.8,19.0,1612.0,9.0
050US17129,0.0,194.5,6742.74,155.6,15.0,520.0,12.0
050US17161,0.0,259.17,7811.76,208.22,234.0,7053.0,188.0
050US17175,0.0,181.1,1569.57,181.1,6.0,52.0,6.0
050US17185,0.0,183.43,5869.9,155.21,13.0,416.0,11.0
050US18009,0.0,1104.45,8726.48,204.53,81.0,640.0,15.0
050US18035,0.0,381.68,6946.65,427.49,300.0,5460.0,336.0
050US18067,0.0,846.94,8843.03,682.64,433.0,4521.0,349.0
050US18083,0.0,771.6,3253.25,542.21,185.0,780.0,130.0
050US18159,0.0,305.01,3828.36,126.21,29.0,364.0,12.0
050US18175,0.0,418.36,6091.37,373.74,75.0,1092.0,67.0
050US49025,0.0,3762.33,17894.01,114.71,164.0,780.0,5.0
050US05003,0.0,904.32,2099.31,282.6,112.0,260.0,35.0
050US05007,0.0,348.84,9768.7,287.31,601.0,16830.0,495.0
050US05013,0.0,605.88,1575.28,90.88,20.0,52.0,3.0
050US05045,0.0,229.5,5044.3,92.27,194.0,4264.0,78.0
050US13051,0.0,919.42,8193.22,759.9,1781.0,15871.0,1472.0
050US13077,0.0,614.05,6537.18,139.27,582.0,6196.0,132.0
050US13123,0.0,560.69,13720.32,544.2,102.0,2496.0,99.0
050US13133,0.0,598.74,0.0,0.0,57.0,0.0,0.0
050US13137,0.0,521.24,3872.07,269.48,147.0,1092.0,76.0
050US13139,0.0,771.64,6710.16,663.3,990.0,8609.0,851.0
050US13143,0.0,486.09,11943.81,389.94,91.0,2236.0,73.0
050US13157,0.0,605.91,8473.53,341.97,264.0,3692.0,149.0
050US13171,0.0,620.46,22924.32,530.66,76.0,2808.0,65.0
050US13181,0.0,1211.11,0.0,1044.06,58.0,0.0,50.0
050US13185,0.0,781.14,12572.53,755.1,609.92,9816.76,589.59
050US13195,0.0,473.43,8298.31,143.62,89.0,1560.0,27.0
050US13213,0.0,405.58,16470.32,258.8,105.0,4264.0,67.0
050US13217,0.0,682.21,3151.69,238.21,484.0,2236.0,169.0
050US13237,0.0,548.05,4013.89,347.36,71.0,520.0,45.0
050US13245,0.0,856.91,7853.37,646.19,1159.0,10622.0,874.0
050US13251,0.0,2058.99,21524.76,389.54,185.0,1934.0,35.0
050US13269,0.0,845.18,0.0,960.43,44.0,0.0,50.0
050US13279,0.0,548.29,4073.03,445.86,91.0,676.0,74.0
050US23023,0.0,357.94,5218.52,211.95,79.46,1158.46,47.05
050US23031,0.0,163.97,3223.44,107.3,217.0,4266.0,142.0
050US24001,0.0,326.05,3656.9,155.57,153.0,1716.0,73.0
050US24005,0.0,223.47,2034.15,138.19,1208.0,10996.0,747.0
050US24017,0.0,344.38,2681.37,138.12,374.0,2912.0,150.0
050US24021,0.0,210.83,1725.34,142.34,354.0,2897.0,239.0
050US24031,0.0,88.41,1122.31,60.2,608.0,7718.0,414.0
050US24045,0.0,535.43,10179.07,219.78,363.0,6901.0,149.0
050US28149,0.0,390.23,0.0,253.49,117.0,0.0,76.0
050US28151,0.0,1463.18,22722.13,339.24,427.0,6631.0,99.0
050US29041,0.0,439.0,2402.96,231.05,19.0,104.0,10.0
050US29069,0.0,852.63,16304.53,825.13,155.0,2964.0,150.0
050US29087,0.0,156.13,8196.72,156.13,4.0,210.0,4.0
050US29113,0.0,541.68,755.65,522.72,200.0,279.0,193.0
