HEROP_ID,PrcNtvRsrv,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US21007,0.0,880.88,4164.16,240.24,44.0,208.0,12.0
050US21017,0.0,646.85,18596.68,403.87,81.49,2342.81,50.88
050US21031,0.0,495.85,7735.22,185.94,40.0,624.0,15.0
050US21065,0.0,243.39,10930.41,132.76,22.0,988.0,12.0
050US21069,0.0,600.78,8689.75,354.13,54.22,784.25,31.96
050US21093,0.0,979.01,13285.9,435.58,699.0,9486.0,311.0
050US21099,0.0,1196.09,,303.23,142.0,,36.0
050US21131,0.0,,,,,,
050US21151,0.0,434.59,10639.51,314.05,274.0,6708.0,198.0
050US21155,0.0,1472.93,13276.16,509.46,181.45,1635.49,62.76
050US21179,0.0,411.13,2628.56,367.32,122.0,780.0,109.0
050US17091,0.0,596.16,768.88,637.95,428.0,552.0,458.0
050US17187,0.0,186.03,3869.41,130.22,20.0,416.0,14.0
050US17197,0.0,174.03,1988.38,168.2,806.0,9209.0,779.0
050US18027,0.0,678.12,3918.02,467.15,135.0,780.0,93.0
050US18061,0.0,665.94,6110.94,505.33,170.0,1560.0,129.0
050US01001,0.0,453.9,2145.69,266.84,165.0,780.0,97.0
050US01005,0.0,690.04,4848.94,261.1,111.0,780.0,42.0
050US01023,0.0,342.42,8573.24,38.05,27.0,676.0,3.0
050US01035,0.0,475.81,0.0,171.82,36.0,0.0,13.0
050US01051,0.0,628.46,8408.83,176.41,342.0,4576.0,96.0
050US01055,0.0,1092.97,10411.43,275.91,717.0,6830.0,181.0
050US01065,0.0,435.4,5660.17,293.89,40.0,520.0,27.0
050US01089,0.15,344.76,5818.97,352.99,838.0,14144.0,858.0
050US01113,0.0,606.94,10448.92,556.13,227.0,3908.0,208.0
050US01117,0.0,355.55,4665.5,341.33,500.0,6561.0,480.0
050US02016,0.03,,,,,,
050US02130,0.01,,,,,,
050US02180,0.03,16.01,12485.99,64.03,1.0,780.0,4.0
050US02282,0.01,,,,,,
050US05011,0.0,226.96,10228.48,136.18,15.0,676.0,9.0
050US05015,0.0,385.61,12219.08,463.94,64.0,2028.0,77.0
050US05019,0.0,339.21,691.72,246.09,51.0,104.0,37.0
050US05025,0.0,79.27,2061.04,39.64,4.0,104.0,2.0
050US05063,0.0,371.76,0.0,230.75,87.0,0.0,54.0
050US05067,0.0,608.5,13494.41,492.17,68.0,1508.0,55.0
050US05121,0.0,317.7,7774.25,130.82,34.0,832.0,14.0
050US06001,0.0,220.0,3985.91,174.43,2520.0,45656.0,1998.0
050US06003,0.0,,,,,,
050US06005,0.0,361.61,5921.89,225.47,85.0,1392.0,53.0
050US06013,0.0,207.31,3527.43,166.22,1564.0,26612.0,1254.0
050US06019,0.0,452.37,5518.98,318.26,2857.0,34856.0,2010.0
