HEROP_ID,NoIntP
050US28143,25.78
050US28157,45.93
050US28163,30.59
050US29023,24.75
050US29029,18.05
050US29031,14.42
050US29033,25.75
050US17075,18.17
050US17129,14.28
050US17161,15.41
050US17175,20.86
050US17185,17.83
050US18009,19.48
050US18035,16.91
050US18067,16.28
050US18083,18.6
050US18159,15.72
050US18175,28.15
050US49025,12.6
050US05003,34.24
050US05007,14.58
050US05013,31.14
050US05045,14.11
050US13051,12.03
050US13077,11.39
050US13123,20.41
050US13133,24.51
050US13137,24.74
050US13139,12.25
050US13143,21.31
050US13157,17.58
050US13171,24.1
050US13181,41.78
050US13185,22.08
050US13195,22.7
050US13213,20.38
050US13217,11.36
050US13237,20.44
050US13245,19.7
050US13251,26.25
050US13269,34.67
050US13279,25.39
050US23023,13.07
050US23031,11.16
050US24001,21.0
050US24005,10.44
050US24017,10.96
050US24021,8.57
050US24031,5.76
050US24045,15.94
050US28149,20.82
050US28151,33.14
050US29041,25.09
050US29069,22.94
050US29087,26.51
050US29113,15.84
050US29159,19.66
050US29183,8.09
050US29195,18.21
050US29197,33.9
050US29201,20.23
050US30001,17.61
050US30013,20.23
050US30027,17.67
050US30031,8.94
050US30045,18.54
050US30049,14.05
050US30055,22.96
050US30059,28.06
050US30069,14.22
050US30073,22.21
050US30083,19.18
050US30099,20.58
050US31103,17.43
050US31151,18.25
050US32001,11.6
050US32003,13.49
050US32015,12.51
050US33007,17.65
050US33015,6.63
050US33017,10.51
050US34001,13.76
050US34005,9.18
050US34015,9.87
050US34019,7.53
050US34021,13.39
050US34025,8.73
050US34029,14.65
050US34035,5.76
050US21229,24.06
050US21231,34.94
050US22035,55.33
050US22045,20.69
050US22053,28.37
050US22055,12.85
050US06055,8.54
050US06059,7.16
050US06069,8.05
050US06073,7.86
050US06079,9.2
050US06083,9.19
050US06097,7.89
050US06101,14.78
050US06107,19.18
050US06113,8.95
050US08019,11.01
050US08023,28.64
050US08031,9.99
050US08037,6.67
