HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
050US06037,6552254,624745,1234499,654903,738416,4390708,631221,547764,1299277,61.89,48.46,14.56,21.34,0.22,693770,676068,7851531,2122123.0,4058.17,1563.0,0.39,0.0,0.03
050US06047,159693,21254,45385,23338,21064,115885,14281,12201,29320,67.83,58.9,7.48,30.65,0.3,15511,15238,189013,60776.0,1935.64,25.0,0.01,0.0,0.08
050US06057,56726,4221,9719,5249,4126,30101,8407,9473,25177,44.44,9.37,1.02,5.79,0.17,5350,6644,81903,18311.0,957.76,12.0,0.01,0.0,0.16
050US06081,486820,44775,90312,40654,42295,305033,51530,47435,117867,57.46,24.68,28.11,10.83,0.21,54659,54324,604687,144282.0,448.63,89.0,0.2,0.0,0.09
050US06085,1242608,118688,244140,113909,121662,821454,120020,101578,246908,61.61,25.78,35.85,11.91,0.23,136901,132511,1489516,316684.0,1291.08,211.0,0.16,0.0,0.07
050US06115,45544,6126,11611,4955,5600,31678,4592,4001,9075,65.46,27.8,6.76,17.96,0.28,4072,4338,54619,15726.0,632.01,3.0,0.0,0.0,0.09
050US08013,216037,15070,36565,25903,33642,144262,20314,20443,42068,61.02,13.79,4.67,4.95,0.2,21324,20984,258105,53446.0,726.37,57.0,0.08,0.0,0.11
050US08029,16671,1514,3506,2028,1165,9353,2491,2572,7499,47.36,15.14,1.02,9.62,0.2,1568,1843,24170,5869.0,1142.12,12.0,0.01,0.0,0.11
050US08049,9996,563,1577,795,741,5645,1168,1592,2423,51.67,8.45,1.11,4.5,0.18,935,1163,12419,4623.0,1846.43,11.0,0.01,0.0,0.16
050US08077,90090,8723,18810,10083,9713,56960,10719,10154,26902,56.33,14.42,0.94,9.92,0.22,8484,9246,116992,33637.0,3328.92,31.0,0.01,0.0,0.08
050US08083,14757,1524,3275,1397,1485,8262,2029,2165,5353,50.41,12.44,0.22,10.54,0.22,1578,1723,20110,5650.0,2029.32,10.0,0.0,0.0,0.09
050US08091,2747,158,417,159,148,1291,334,573,1285,39.52,4.26,0.44,1.61,0.15,187,477,4032,949.0,541.59,3.0,0.01,0.0,0.14
050US09009,540003,44747,99035,59427,60278,334715,60833,56815,142411,55.68,17.61,3.98,9.94,0.21,57924,62859,682414,183195.0,604.51,296.0,0.49,0.0,0.17
050US11001,481049,44692,61291,37417,54117,350426,36453,33464,81712,66.68,10.92,3.9,9.41,0.18,38274,38186,562761,92135.0,61.14,156.0,2.55,0.0,0.09
050US12009,336914,27189,59859,31681,31303,185896,48320,43445,133083,47.32,10.0,2.44,8.02,0.19,35210,43806,469997,105052.0,1015.18,54.0,0.05,0.0,0.1
050US12023,41530,4129,8482,4274,4406,25479,4633,5016,12424,55.12,5.96,0.9,13.31,0.22,4302,4640,53954,14526.0,797.55,8.0,0.01,0.0,0.2
050US12039,28317,2699,5821,2433,2936,16934,3036,3647,7614,55.31,10.12,0.61,20.66,0.22,2943,3323,35931,8247.0,516.29,9.0,0.02,0.0,0.25
