HEROP_ID,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,CenRuralP
050US12009,0.95,0.04,0.02,,0.05
050US12023,0.0,0.58,0.42,,0.62
050US12039,0.0,1.0,0.0,,0.65
050US12055,0.63,0.22,0.15,,0.21
050US12065,0.0,0.75,0.25,,1.0
050US12073,0.9,0.1,0.0,,0.12
050US12095,0.99,0.0,0.0,,0.02
050US12107,0.0,0.47,0.53,,0.56
050US12123,0.0,0.0,1.0,,0.69
050US12127,0.95,0.03,0.03,,0.1
050US12131,0.17,0.42,0.42,,0.63
050US12133,0.0,0.57,0.43,,0.85
050US13009,0.0,0.78,0.22,,0.35
050US13027,0.0,0.8,0.2,,0.71
050US13103,0.0,1.0,0.0,,0.67
050US13121,0.99,0.0,0.01,1.0,0.01
050US13141,0.0,0.0,1.0,,0.62
050US13149,0.0,0.33,0.67,,1.0
050US13179,0.73,0.2,0.07,,0.23
050US13183,0.0,0.67,0.33,,0.81
050US13189,0.0,0.2,0.8,,0.61
050US13209,0.0,0.0,1.0,,0.99
050US13229,0.0,0.0,1.0,,0.79
050US13267,0.0,0.2,0.8,,0.68
050US13271,0.0,0.0,1.0,,0.47
050US13291,0.0,0.0,1.0,,1.0
050US13305,0.0,0.5,0.5,,0.58
050US13319,0.0,0.33,0.67,,1.0
050US15007,0.0,0.35,0.65,,0.13
050US16015,0.0,1.0,0.0,,1.0
050US16023,0.0,0.0,1.0,,1.0
050US16025,0.0,0.0,1.0,,1.0
050US16027,0.83,0.14,0.03,,0.2
050US16037,0.0,0.0,1.0,,1.0
050US16039,0.0,0.6,0.4,,0.27
050US16043,0.0,0.0,1.0,,0.72
050US16061,0.0,0.33,0.67,,1.0
050US16063,0.0,0.0,1.0,,1.0
050US16085,0.0,0.0,1.0,,1.0
050US19175,0.0,0.0,1.0,,0.39
050US20053,0.0,0.0,1.0,,0.54
050US20095,0.0,0.33,0.67,,0.62
050US20135,0.0,0.0,1.0,,1.0
050US20199,0.0,0.0,1.0,,1.0
050US48011,0.0,1.0,0.0,,1.0
050US48025,0.0,0.57,0.43,,0.43
050US48035,0.0,0.43,0.57,,0.81
050US48053,0.0,0.25,0.75,,0.56
050US48055,0.12,0.75,0.12,,0.42
050US48083,0.0,0.0,1.0,,0.52
050US29057,0.0,0.5,0.5,,1.0
050US29143,0.0,0.17,0.83,,0.57
050US29157,0.0,0.0,1.0,,0.56
050US29189,0.98,0.02,0.0,,0.01
050US29199,0.0,0.0,1.0,,1.0
050US29207,0.0,0.12,0.88,,0.7
050US30015,0.0,0.0,1.0,,1.0
050US30023,0.0,0.0,1.0,,0.34
050US30029,0.0,0.32,0.68,,0.51
050US30039,0.0,0.0,1.0,,1.0
050US30057,0.0,0.0,1.0,,1.0
050US30071,0.0,0.0,1.0,,1.0
050US30077,0.0,0.0,1.0,,0.54
050US30085,0.0,0.0,1.0,,0.4
050US30087,0.0,0.0,1.0,,1.0
050US30105,0.0,0.0,1.0,,0.55
050US31091,0.0,0.0,1.0,,1.0
050US53065,0.0,0.25,0.75,,0.79
050US21189,0.0,0.0,1.0,,1.0
050US21195,0.0,0.0,1.0,,0.88
050US21217,0.0,0.6,0.4,,0.52
050US21237,0.0,0.5,0.5,,1.0
050US21239,0.0,0.88,0.12,,0.36
050US22001,0.0,0.5,0.5,,0.52
050US22009,0.0,0.11,0.89,,0.64
050US22011,0.0,0.57,0.43,,0.66
050US22029,0.0,0.4,0.6,,0.33
050US22031,0.0,0.57,0.43,,0.77
050US22033,0.97,0.02,0.01,,0.07
050US22047,0.43,0.57,0.0,,0.59
050US22071,0.98,0.01,0.01,,0.01
050US22081,0.0,0.5,0.5,,1.0
050US22099,0.0,0.91,0.09,,0.5
050US22119,0.0,0.45,0.55,,0.53
050US23013,0.0,0.0,1.0,,0.68
050US23015,0.0,0.0,1.0,,1.0
050US24003,0.94,0.05,0.01,,0.05
050US18103,0.0,0.7,0.3,,0.46
050US18129,0.0,0.43,0.57,,0.67
050US18147,0.0,0.4,0.6,,1.0
050US19001,0.0,0.0,1.0,,1.0
050US19045,0.0,0.67,0.33,,0.32
050US19083,0.0,0.0,1.0,,0.71
050US19111,0.0,0.64,0.36,,0.41
050US31167,0.0,0.5,0.5,,0.73
050US34003,1.0,0.0,0.0,,0.0
050US34007,0.99,0.01,0.0,1.0,0.02
050US34013,1.0,0.0,0.0,,0.0
050US34023,0.99,0.01,0.0,,0.01
050US34041,0.57,0.43,0.0,,0.38
050US35007,0.0,0.0,1.0,,0.52
050US35011,0.0,0.0,1.0,,1.0
050US35051,0.0,0.25,0.75,,0.34
050US36013,0.0,0.56,0.44,,0.44
050US36029,0.9,0.07,0.03,,0.09
050US36043,0.05,0.68,0.26,,0.52
050US36045,0.5,0.31,0.19,,0.48
050US36047,0.99,0.0,0.01,,0.0
