HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US36043,12.77,9.97,34.63
050US36045,16.04,7.65,33.29
050US36047,12.04,9.5,19.14
050US36053,17.25,6.97,39.0
050US36065,13.4,8.54,29.05
050US36077,20.48,7.68,29.31
050US36081,11.31,9.54,28.65
050US36091,12.22,5.72,39.87
050US36115,11.74,8.32,40.69
050US37007,12.45,14.57,55.33
050US37027,11.4,8.86,63.64
050US37039,9.36,9.08,63.0
050US37049,16.02,6.42,60.69
050US37055,9.29,5.06,103.86
050US37059,11.51,6.16,48.0
050US37069,12.54,10.36,81.25
050US37083,11.82,12.89,65.36
050US37091,15.09,13.93,85.25
050US37093,12.09,9.12,106.0
050US37099,22.1,5.61,27.78
050US37111,10.95,10.89,52.11
050US37117,11.09,13.23,59.0
050US37127,13.01,10.78,64.76
050US37165,13.29,12.2,80.17
050US37175,11.25,5.9,37.5
050US37199,10.61,7.95,37.5
050US38017,18.05,3.71,25.07
050US38037,9.12,4.25,4.0
050US38085,15.95,5.8,3.5
050US38099,9.99,5.9,11.17
050US39035,12.82,19.16,74.28
050US39039,13.46,13.48,92.22
050US39043,11.87,14.53,98.42
050US39125,11.38,12.8,79.2
050US40065,14.32,7.74,28.88
050US48103,14.84,12.4,43.0
050US48141,16.25,10.52,64.77
050US48151,13.24,13.45,18.5
050US48161,10.86,9.89,17.0
050US48167,12.86,11.11,65.72
050US48199,12.49,8.8,37.73
050US48213,11.91,8.59,43.71
050US48229,12.42,16.7,8.0
050US48241,12.44,11.54,35.25
050US48245,13.61,10.16,37.34
050US48261,3.36,23.0,2.0
050US48289,10.62,8.67,27.33
050US48317,15.03,7.2,8.5
050US48333,11.2,10.35,15.5
050US48347,23.16,7.97,25.75
050US48361,12.66,10.46,45.35
050US48371,12.18,13.45,34.25
050US48395,12.49,9.12,19.2
050US48423,14.25,7.9,43.78
050US48427,16.91,17.4,29.7
050US48457,14.1,10.06,25.4
050US48471,22.56,8.79,32.88
050US48475,14.62,12.03,36.0
050US48477,14.97,8.37,37.83
050US48499,11.11,9.56,40.62
050US49001,14.08,7.35,30.0
050US49003,14.14,5.25,35.7
050US49011,14.45,4.21,46.76
050US40073,12.46,7.85,30.25
050US40079,12.72,13.41,69.56
050US40145,12.03,7.44,40.37
050US41005,11.8,5.11,54.15
050US41021,6.61,5.1,11.0
050US41033,10.2,6.94,51.88
050US41035,11.94,6.7,32.55
050US41039,16.25,4.48,30.51
