HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US46127,11.59,4.3,25.67
050US47013,11.1,12.19,51.45
050US47021,11.94,8.44,96.8
050US47031,11.9,9.24,51.7
050US47035,9.16,8.9,57.5
050US47037,13.06,8.25,52.51
050US47041,11.27,10.17,67.67
050US47065,12.42,9.83,65.96
050US47089,13.16,10.18,69.0
050US56003,11.52,5.6,22.33
050US56013,12.13,3.61,14.0
050US56031,10.6,4.45,23.5
050US56035,9.93,3.5,35.0
050US01041,11.61,12.17,22.83
050US02100,6.39,6.1,14.0
050US04001,15.14,13.87,23.0
050US05001,12.4,11.46,31.88
050US05029,11.25,9.37,30.83
050US05057,12.81,11.82,44.2
050US39115,11.68,17.32,53.75
050US40113,11.92,10.63,57.9
050US41015,7.12,6.16,29.2
050US42049,14.09,8.39,39.49
050US42101,13.87,10.57,55.7
050US45009,16.85,19.15,62.5
050US45057,10.41,12.2,78.69
050US45087,11.67,15.83,59.67
050US47025,13.08,12.49,45.11
050US47053,12.65,12.9,53.93
050US47135,11.78,21.2,56.5
050US47163,11.38,7.12,40.89
050US48089,12.09,7.98,20.4
050US48135,15.19,11.6,45.1
050US48203,13.26,8.54,50.33
050US48323,17.46,14.49,43.0
050US48351,15.17,12.57,24.5
050US48379,9.46,9.15,37.0
050US48409,13.75,8.23,36.93
050US48465,16.11,10.21,32.22
050US49007,14.49,5.37,28.17
050US49019,12.47,3.93,15.67
050US51005,11.11,8.42,30.2
050US51029,10.91,9.85,52.5
050US51089,10.62,11.74,68.23
050US51141,10.07,9.67,55.33
050US51193,9.16,7.3,61.0
050US53011,12.54,7.12,69.48
050US53045,10.47,7.28,55.0
050US54025,10.05,7.61,39.43
050US55001,8.06,13.82,93.6
050US08027,8.58,5.2,38.0
050US08051,21.74,8.57,59.0
050US05041,12.12,11.82,30.2
050US13261,17.77,11.78,47.88
050US18179,11.9,11.07,67.71
050US22111,12.35,13.82,48.0
050US23003,11.19,11.62,39.62
050US40133,13.57,12.39,26.89
050US35019,8.47,10.6,23.0
050US37105,12.52,8.47,80.57
050US37125,9.97,6.13,50.77
050US19035,10.21,7.72,28.0
050US20033,10.28,10.8,17.0
050US20149,12.04,5.35,29.5
050US21027,11.52,10.54,38.4
050US21147,11.89,18.55,75.5
050US21175,11.16,14.26,18.2
050US22005,12.88,7.77,75.86
050US22015,13.27,7.82,51.11
050US22025,13.61,16.33,39.67
050US22037,11.77,13.68,59.0
050US22091,11.49,19.85,79.0
050US22109,12.86,8.55,47.6
050US24029,15.65,7.16,43.4
050US24047,9.77,7.44,100.25
050US26055,11.06,8.69,76.38
050US27015,13.15,10.33,54.57
050US27167,11.4,8.65,37.5
050US28051,16.53,22.38,64.2
050US29013,11.51,13.35,55.5
050US29095,12.27,11.65,58.77
050US30053,9.54,7.12,28.6
050US35033,12.27,12.3,20.0
050US36059,12.97,7.69,64.32
050US38003,13.82,5.0,12.5
050US38055,9.37,4.4,8.0
050US40055,12.03,14.2,37.0
050US40117,11.96,12.78,43.8
050US42043,12.15,7.66,45.93
050US42097,10.86,10.86,53.96
050US45015,13.67,10.55,116.32
050US45067,11.91,18.95,72.75
050US47009,11.87,8.23,77.11
050US47129,12.04,13.1,49.6
050US48065,12.35,8.1,29.0
050US48157,13.22,9.85,138.02
050US12057,13.1,17.96,161.59
050US12089,10.57,10.65,158.25
050US13025,12.81,19.77,73.67
050US39167,12.73,9.98,48.75
050US40023,11.15,13.08,29.8
050US18007,12.17,16.9,78.33
050US18051,12.74,11.1,103.2
050US18123,10.97,14.42,69.6
050US20083,11.89,4.8,8.0
050US20203,10.87,16.6,43.0
050US21079,10.77,10.4,51.75
050US21123,12.16,13.93,88.67
050US21209,13.53,6.6,61.86
050US22065,13.21,14.06,26.4
050US22105,14.62,10.39,61.17
050US23025,10.42,13.32,47.56
050US26007,11.02,9.0,42.3
050US28017,13.7,19.23,79.5
050US48419,13.73,13.13,32.17
050US54083,11.94,9.1,37.0
050US06063,9.04,11.05,80.83
050US48129,15.62,10.15,14.5
050US48313,13.2,10.93,19.5
050US53027,10.85,8.26,53.75
050US54059,10.68,11.89,32.0
050US05119,12.66,8.49,47.37
050US06093,10.31,11.9,47.21
050US02170,13.16,4.83,50.38
050US13075,13.02,15.9,63.5
050US25005,13.12,12.66,83.43
050US13303,12.72,18.62,70.0
050US17017,11.91,11.06,34.4
050US22043,11.23,13.56,48.0
050US22127,12.58,14.43,40.25
050US10001,14.27,8.15,61.71
050US12075,10.6,15.63,91.57
050US27021,9.56,9.34,48.12
050US28089,13.27,8.35,52.05
050US29227,10.49,13.2,17.0
050US30043,11.33,3.97,17.67
050US30081,10.42,6.35,46.62
050US34027,12.78,4.95,44.55
050US36075,15.28,8.47,40.8
050US37021,11.16,4.83,43.0
050US37107,11.92,12.01,50.79
050US37145,11.64,12.4,89.17
050US37193,11.39,9.79,58.5
050US40141,11.98,14.14,26.4
050US41031,11.92,6.88,76.0
050US41047,13.57,5.44,44.8
050US27087,12.33,11.4,25.0
050US27173,11.16,10.1,28.75
050US28109,13.37,11.54,85.5
050US29027,14.72,10.4,66.88
050US30009,9.12,4.26,9.4
050US30033,17.27,1.7,1.0
050US31033,10.96,9.93,39.33
050US34031,13.92,13.83,98.04
050US35017,11.41,6.53,19.25
050US36009,13.25,8.22,34.71
050US36061,11.24,2.94,6.72
050US36071,15.24,9.57,75.87
050US37015,11.3,13.22,60.0
050US37101,12.33,9.76,136.87
050US37131,10.75,11.15,63.5
050US37159,12.83,8.62,51.21
050US37183,13.28,4.98,67.25
050US13201,9.51,16.47,29.0
050US13265,11.17,16.6,17.0
050US44009,18.2,7.99,73.31
050US45003,12.12,7.61,51.88
050US45007,12.46,8.89,58.74
050US45017,11.27,11.17,48.67
050US45035,12.67,9.85,119.71
050US45041,12.84,11.37,56.93
050US45045,12.8,8.7,55.03
050US45051,10.96,10.3,157.49
050US30007,11.11,5.9,17.5
050US30093,15.76,6.1,35.0
050US37051,17.34,7.94,62.27
050US37139,13.17,10.34,69.86
050US45061,14.03,14.84,38.86
050US46055,11.0,8.8,11.0
050US47045,12.67,11.84,70.38
050US47127,11.56,6.95,15.0
050US51081,10.2,11.15,50.5
050US51105,10.05,14.2,42.17
050US51195,12.93,13.16,41.91
050US54007,11.01,8.7,26.33
050US54099,11.41,10.95,39.73
050US42031,16.68,9.66,42.22
050US01009,11.98,9.38,68.62
050US01047,13.56,15.37,43.46
050US05073,12.23,12.5,39.5
050US06027,10.14,10.63,21.86
050US06053,14.39,15.95,118.3
050US06099,14.3,23.52,277.23
050US08111,3.86,7.9,7.0
050US12045,10.88,13.67,97.33
050US12105,12.42,17.56,139.95
050US12121,11.15,16.27,87.67
050US16041,13.37,5.15,37.5
050US16079,10.23,8.33,58.67
050US18021,11.89,16.93,102.0
050US48175,12.03,8.0,14.0
050US48503,11.57,11.0,50.5
050US51113,11.01,6.85,59.0
050US53033,11.61,4.11,38.81
050US53057,11.77,5.71,40.96
050US06091,7.65,12.2,65.0
050US18125,11.14,15.05,54.5
050US26003,11.06,7.53,28.5
050US27103,16.66,6.25,42.67
050US01039,11.08,10.09,28.64
050US01061,11.57,12.18,55.5
050US01075,10.97,12.37,52.67
050US04011,14.28,11.47,14.33
050US01013,11.81,16.37,30.89
050US01015,13.38,9.76,48.61
050US21235,15.42,12.56,45.25
050US22057,12.86,8.85,37.14
050US24023,11.87,7.37,44.43
050US26013,11.99,7.5,28.33
050US26071,8.9,8.82,28.6
050US47145,11.26,9.52,61.9
050US47183,20.15,11.84,49.0
050US48041,29.99,5.53,26.2
050US48079,12.6,10.9,21.0
050US48341,15.51,9.0,46.0
050US49005,23.8,3.27,20.23
050US49023,15.17,8.35,50.0
050US51103,8.1,4.4,26.75
050US51157,10.09,6.45,39.0
050US53019,10.37,6.7,12.67
050US53075,38.16,2.93,12.7
050US55011,10.66,8.94,25.2
050US56033,11.52,3.63,21.33
050US56039,8.79,10.57,103.0
050US05085,12.65,7.38,38.33
050US06089,11.74,13.2,117.09
050US08005,12.37,10.4,96.83
050US08033,4.94,14.5,33.0
050US01073,12.81,11.84,77.62
050US01129,13.5,15.92,42.8
050US02290,13.04,8.72,7.75
050US42131,12.8,7.67,38.0
050US45021,13.51,14.02,86.11
050US27137,16.0,8.62,34.07
050US28021,24.05,16.63,58.0
050US28053,12.81,19.5,59.67
050US28137,15.79,13.15,103.5
050US30003,14.0,11.1,9.0
050US30035,14.64,5.88,11.6
050US30061,10.33,7.3,20.0
050US30089,9.3,5.75,20.25
050US31009,7.5,6.5,1.0
050US32033,10.62,13.27,43.67
050US34009,10.97,7.76,103.88
050US36017,11.73,8.98,39.45
050US37019,8.42,6.62,158.91
050US37047,12.46,13.91,47.77
050US37079,11.73,9.8,56.0
050US37147,21.62,8.37,62.86
050US37173,12.19,7.93,38.33
050US45065,7.79,9.17,33.0
050US46003,13.05,4.1,7.0
050US47055,12.16,10.64,40.25
050US47085,11.86,12.82,53.4
050US05145,15.86,7.48,42.33
050US13107,13.19,13.93,41.33
050US16007,12.14,6.1,29.5
050US47119,11.44,8.72,76.67
050US47147,12.2,8.79,82.2
050US48015,12.09,8.86,42.2
050US48277,12.35,10.69,54.3
050US48391,12.81,8.5,19.67
050US48469,13.57,7.85,29.14
050US49057,14.3,7.12,60.48
050US51003,15.58,2.78,26.44
050US51031,11.84,7.01,52.0
050US51059,12.3,6.03,84.32
050US51121,30.31,3.07,21.33
050US51155,10.66,7.23,53.57
050US53067,12.09,4.78,67.56
050US54031,10.28,12.07,69.0
050US54057,12.78,8.0,41.0
050US54085,10.35,10.73,31.33
050US55007,9.52,8.7,34.67
050US55057,10.18,12.47,47.0
050US55121,11.25,10.59,38.5
050US41003,26.06,2.41,13.0
050US42023,10.35,13.1,46.5
050US42055,11.77,7.19,52.92
050US44007,14.76,14.59,102.49
050US21203,11.54,10.45,36.5
050US05017,11.47,10.78,32.25
050US13215,14.28,9.99,50.14
050US13301,8.44,20.23,32.67
050US16013,11.4,4.22,45.5
050US16031,14.16,7.07,26.67
050US17125,11.11,13.35,46.17
050US24015,12.45,7.3,83.25
050US24039,19.44,9.7,48.86
050US17007,14.38,13.47,215.0
050US18053,16.56,17.07,122.44
050US20065,8.29,9.85,14.5
050US21011,12.1,16.3,42.67
050US21067,17.53,5.79,40.69
050US21101,11.56,10.59,55.36
050US21133,10.62,20.52,56.33
050US22077,11.87,11.8,48.67
050US22103,12.07,8.2,91.17
050US08069,17.93,5.74,53.41
050US12029,9.52,16.85,90.0
050US27067,12.3,8.2,40.75
050US27119,12.79,9.28,34.8
050US20067,14.39,6.0,34.0
050US21089,11.18,8.19,59.14
050US26089,9.86,4.66,29.43
050US26141,9.39,9.9,30.0
050US32031,12.76,13.52,166.78
050US38097,13.83,4.28,9.25
050US47105,10.47,8.07,70.57
050US13309,16.17,19.75,30.0
050US17003,8.83,16.15,31.5
050US17189,10.6,9.85,41.0
050US19003,10.04,6.7,12.0
050US19163,12.48,7.58,41.44
050US20195,12.11,8.3,32.0
050US21187,12.15,12.2,39.0
050US22063,12.64,8.09,96.54
050US22101,12.28,11.37,29.38
050US08117,11.05,2.98,92.75
050US12007,10.7,14.53,80.75
050US13031,27.72,9.71,53.2
050US39123,10.36,12.43,81.08
050US40101,13.12,10.72,48.87
050US27069,11.34,12.75,29.0
050US27107,11.62,11.13,29.33
050US27145,19.15,7.88,54.89
050US28049,15.73,18.82,105.46
050US29171,11.65,7.05,15.5
050US30075,12.72,4.8,4.0
050US32011,7.6,13.8,8.0
050US34033,12.34,10.89,43.2
050US36113,10.99,7.19,39.18
050US37031,9.98,4.13,48.5
050US37113,9.81,6.21,50.29
050US38035,23.66,4.56,18.65
050US39055,12.98,8.96,69.14
050US46023,13.61,5.17,9.33
050US47093,15.72,7.66,52.84
050US01071,11.04,10.05,52.64
050US13019,11.57,14.53,46.33
050US48061,16.09,14.11,42.4
050US48185,12.83,9.09,20.71
050US48239,12.04,8.97,33.67
050US06011,13.48,15.84,104.4
050US16029,12.32,6.3,29.0
050US01021,12.29,10.42,52.33
050US01027,13.27,12.77,30.5
050US01029,11.08,11.38,37.25
050US04023,14.66,13.2,133.43
050US01093,11.69,12.84,44.5
050US05053,12.4,8.55,36.0
050US01103,12.14,8.53,54.0
050US01133,10.89,14.26,63.2
050US02070,15.5,6.4,8.5
050US02110,12.71,3.13,22.83
050US02150,13.55,3.04,9.4
050US02220,11.41,3.7,14.5
050US02261,10.13,4.87,14.0
050US48389,14.7,14.6,20.0
050US49017,12.38,7.63,14.67
050US51093,10.83,6.35,57.83
050US51171,11.03,6.95,65.62
050US53021,14.41,5.84,49.4
050US53055,7.67,4.95,20.25
050US05069,14.3,11.12,33.62
050US05107,13.57,13.73,46.5
050US06041,10.08,3.45,30.47
050US06077,14.6,24.18,243.35
050US08001,13.1,14.98,130.34
050US01059,13.63,13.71,49.0
050US01097,13.4,12.59,55.94
050US48283,13.81,17.85,15.5
050US48401,12.79,9.17,32.17
050US48459,12.27,9.17,41.86
050US49037,15.71,3.83,13.0
050US51027,10.35,16.64,37.71
050US51101,12.58,6.6,65.33
050US51147,30.68,9.23,56.33
050US51191,11.41,6.97,44.2
050US54003,11.79,12.74,236.55
050US54041,10.86,9.12,30.4
050US42017,12.15,5.13,40.86
050US05043,18.72,8.52,25.0
050US05049,10.6,8.85,39.0
050US02020,14.38,3.41,27.58
050US04021,11.8,21.22,261.03
050US13113,14.14,7.83,88.42
050US13151,14.73,15.68,425.47
050US13191,9.92,15.27,73.0
050US23027,10.86,9.69,62.14
050US24027,12.63,4.16,60.93
050US05135,10.36,9.68,43.75
050US09005,11.51,7.31,47.43
050US09013,22.43,5.08,45.41
050US12115,8.57,18.01,165.44
050US05101,11.17,16.05,84.0
050US05105,11.93,8.1,25.0
050US05115,17.28,6.77,39.82
050US05005,8.82,6.58,36.67
050US05009,11.48,9.35,75.0
050US08021,12.85,18.73,38.33
050US08039,12.02,10.12,100.6
050US08059,11.61,6.6,56.53
050US01037,10.4,10.7,31.67
050US08073,9.88,14.15,36.0
050US08101,13.21,17.55,85.02
050US08121,12.13,11.95,25.0
050US08125,10.76,9.65,46.5
050US05077,12.36,12.4,26.5
050US01017,13.26,17.56,80.0
050US05129,10.17,13.83,45.67
050US13063,14.67,21.88,227.78
050US13159,11.91,14.75,80.0
050US06031,15.46,16.7,123.42
050US06035,14.95,11.99,69.14
050US06075,9.23,3.44,15.98
050US08003,21.64,16.27,62.75
050US08015,8.11,4.88,30.0
050US13003,14.06,18.57,21.0
050US12035,9.82,17.28,494.25
050US12059,11.66,17.5,56.75
050US12087,9.22,15.09,88.62
050US12109,11.43,8.95,187.58
050US12111,11.21,25.66,286.94
050US05149,12.4,9.0,41.25
050US06021,13.68,12.48,72.83
050US06025,15.3,30.64,235.38
050US06061,11.75,12.97,205.88
050US06109,9.95,9.25,89.0
050US13117,12.26,6.32,260.75
050US13169,12.36,12.54,92.6
050US13197,12.12,14.8,50.0
050US17067,10.85,14.5,52.29
050US17183,12.23,13.58,60.6
050US13059,29.31,6.33,30.93
050US13069,14.69,17.56,71.62
050US13083,16.04,12.5,78.67
050US17053,12.11,9.34,39.4
050US13145,12.7,8.1,90.25
050US13023,20.88,11.67,44.33
050US13037,11.71,20.15,42.5
050US13053,34.81,12.0,19.0
050US17073,11.69,10.65,59.31
050US17097,14.99,9.45,81.55
050US17059,10.03,14.95,39.5
050US17063,12.58,10.23,97.89
050US13093,12.85,18.67,54.33
050US16051,14.11,6.55,49.5
050US16065,34.6,3.43,16.83
050US13111,9.44,10.8,106.4
050US13243,11.32,21.9,65.0
050US13257,14.48,12.65,92.5
050US17011,11.67,8.92,45.6
050US17015,10.87,10.93,37.17
050US18099,13.51,15.37,84.25
050US18101,12.29,12.07,44.33
050US13287,10.88,16.95,55.5
050US13295,12.0,15.02,101.92
050US15003,12.95,4.31,24.59
050US16009,10.73,9.05,40.5
050US18003,13.61,14.25,82.12
050US17149,11.44,12.58,42.2
050US17159,11.06,15.38,53.6
050US17107,14.29,13.93,70.0
050US17115,12.73,12.26,52.75
050US17121,11.55,12.99,52.75
050US17131,11.24,11.65,68.0
050US17135,11.32,14.6,61.75
050US17145,12.54,13.82,54.67
050US13233,12.68,14.77,94.86
050US13239,8.35,21.3,18.5
050US18031,13.1,17.82,104.17
050US18037,12.5,7.21,54.43
050US18041,12.25,18.69,105.29
050US18055,11.44,15.74,75.88
050US18065,12.3,16.65,95.23
050US18075,13.07,14.36,58.71
050US18085,13.53,12.83,75.21
050US18091,12.23,13.42,78.31
050US18109,12.55,13.41,149.0
050US16019,13.42,4.2,31.95
050US16021,11.01,6.65,48.5
050US16045,11.95,8.63,84.0
050US17029,21.07,9.3,50.42
050US18181,11.59,11.81,57.75
050US19007,10.33,10.28,27.2
050US19017,16.07,4.82,18.62
050US19025,11.0,8.75,28.5
050US18095,12.42,16.89,102.56
050US18097,13.3,16.58,109.04
050US17173,11.28,11.1,50.67
050US17177,11.77,11.24,61.31
050US16075,12.42,7.45,62.75
050US17005,13.94,9.7,47.0
050US19103,24.1,2.32,20.32
050US19117,12.0,9.1,24.0
050US19127,12.62,7.67,42.1
050US19131,12.12,9.93,41.67
050US20105,12.01,9.0,25.0
050US20109,11.64,6.2,20.0
050US20111,21.29,11.16,50.0
050US20113,13.76,5.79,31.14
050US19135,10.9,9.33,22.67
050US19041,10.97,8.68,44.75
050US18017,12.85,16.72,91.09
050US20049,8.47,19.2,46.0
050US20057,14.76,6.35,35.67
050US18115,9.58,11.9,54.0
050US18119,11.22,14.74,77.4
050US18121,11.39,12.95,60.75
050US20091,12.15,5.31,51.43
050US20097,16.75,10.3,33.0
050US20101,12.06,8.5,19.0
050US19049,10.88,8.57,67.11
050US18133,18.22,12.73,88.43
050US18157,27.54,7.84,43.81
050US18111,11.39,17.45,102.5
050US17021,11.48,10.68,53.5
050US19159,10.83,5.1,11.5
050US19165,11.16,8.43,30.75
050US20063,8.17,7.05,8.0
050US20073,9.89,11.0,29.0
050US20077,10.17,10.57,25.0
050US20085,11.92,8.43,53.67
050US19169,34.07,3.38,17.5
050US19189,14.56,12.67,67.67
050US20001,13.27,8.32,25.6
050US20009,12.73,8.47,37.12
050US20015,13.69,6.35,42.15
050US20025,11.01,8.5,21.0
050US20029,13.5,9.47,24.25
050US20043,18.61,10.87,27.67
050US40045,11.0,10.75,19.5
050US48309,18.98,9.1,38.12
050US48337,10.93,9.4,25.5
050US48355,14.4,8.37,48.45
050US51720,8.35,12.6,56.0
050US51740,13.31,10.77,68.06
050US18143,12.44,17.76,107.2
050US18171,10.65,12.2,69.0
050US18177,13.2,17.31,109.76
050US19097,11.56,8.65,30.83
050US19141,11.5,10.97,48.75
050US19055,11.79,8.43,47.75
050US19073,11.34,12.88,40.5
050US19079,10.85,9.66,48.6
050US40041,11.19,10.91,56.57
050US46111,11.73,8.6,11.0
050US51810,13.41,5.31,59.67
050US20087,11.19,10.5,90.0
050US20089,9.26,7.4,9.5
050US46109,13.51,4.98,6.17
050US46121,16.92,33.6,33.5
050US53051,10.14,6.48,19.8
050US53059,10.4,7.48,25.6
050US54011,16.78,8.95,32.7
050US23011,12.16,10.64,53.39
050US24019,10.41,9.47,52.8
050US38103,8.06,5.47,5.67
050US30101,12.56,4.4,12.0
050US31003,11.25,10.13,21.33
050US48275,13.1,15.65,27.0
050US31029,10.42,12.6,56.0
050US24025,12.57,6.35,72.91
050US24035,11.59,5.77,57.9
050US25009,13.28,10.43,74.06
050US26015,12.05,11.23,107.0
050US38045,10.56,4.7,9.5
050US38051,8.74,9.2,20.0
050US38095,8.01,7.25,6.0
050US38101,16.75,2.26,12.0
050US25003,13.1,10.19,47.37
050US25011,10.62,9.28,59.94
050US25021,12.64,5.98,56.96
050US26159,12.39,9.89,62.12
050US26165,11.27,13.56,69.75
050US40151,20.14,8.13,20.33
050US42073,12.1,12.92,51.19
050US42083,12.96,13.74,67.5
050US48441,18.18,6.59,25.64
050US48451,15.92,7.99,39.22
050US55123,11.32,8.64,30.86
050US47115,11.11,13.43,163.33
050US47125,15.24,6.75,59.96
050US51153,13.2,14.71,299.83
050US46015,11.55,4.9,11.0
050US46035,14.09,4.58,23.0
050US46039,10.52,6.6,14.0
050US46049,9.73,8.9,11.0
050US51075,10.55,4.78,31.6
050US45001,13.38,11.08,48.33
050US48045,14.68,9.5,12.0
050US51181,12.35,8.9,38.5
050US29005,9.62,8.8,30.5
050US29009,12.11,7.55,42.67
050US39159,12.56,11.71,116.29
050US31171,11.32,15.3,6.0
050US48145,12.38,11.71,20.0
050US36057,11.94,10.64,30.62
050US36067,14.35,7.11,30.26
050US39105,10.86,17.4,56.67
050US27153,11.45,11.07,33.88
050US27157,10.7,8.32,43.5
050US28013,12.17,16.52,49.6
050US26023,11.5,11.34,56.08
050US37001,14.18,8.38,64.48
050US55077,9.11,10.94,53.4
050US29203,11.53,9.85,24.5
050US29133,10.85,11.77,44.0
050US29149,10.83,9.67,20.33
050US31031,9.52,5.1,12.5
050US31035,11.42,10.25,40.0
050US31037,13.01,10.97,38.33
050US38027,11.37,3.73,3.33
050US13205,12.34,16.44,60.8
050US13315,12.16,18.32,27.75
050US16033,19.03,9.3,4.0
050US17043,12.96,7.05,91.33
050US47101,11.16,12.0,67.0
050US48385,12.01,5.2,11.0
050US48399,13.11,10.53,23.5
050US55085,9.38,7.91,50.91
050US40131,13.5,9.07,34.46
050US48093,11.74,8.07,18.5
050US36019,17.14,7.38,32.26
050US31051,12.16,8.03,16.0
050US41025,10.53,7.8,35.5
050US47087,11.43,12.52,27.5
050US28023,12.39,14.85,63.5
050US48485,17.03,8.4,31.86
050US48489,17.22,15.14,39.6
050US50025,11.47,4.86,16.17
050US21075,11.1,12.9,54.0
050US21083,12.35,8.76,42.33
050US26027,11.87,12.72,57.67
050US30067,8.91,3.18,13.33
050US30095,10.83,6.08,13.5
050US36073,12.07,8.58,49.1
050US48049,13.68,9.47,27.25
050US48069,14.47,8.23,19.0
050US13273,12.09,20.52,69.0
050US45081,12.24,11.7,53.0
050US46005,9.97,6.33,18.67
050US46011,29.87,3.82,21.8
050US29021,13.01,8.68,38.69
050US29035,12.89,9.35,17.5
050US26037,13.18,9.46,59.17
050US26051,10.21,10.31,45.56
050US40001,13.19,15.1,47.8
050US40005,11.29,12.4,23.5
050US40033,13.26,10.05,35.0
050US08053,5.92,3.3,6.0
050US12031,12.8,14.43,142.95
050US12119,4.38,12.9,104.6
050US13073,12.82,5.49,84.85
050US55105,12.95,13.48,95.03
050US55119,11.28,9.83,40.17
050US41011,10.32,5.42,36.17
050US51079,10.92,5.25,85.0
050US32013,11.73,10.53,63.67
050US27095,11.44,15.14,101.57
050US27101,10.07,7.83,30.33
050US27109,11.59,5.12,38.03
050US27125,9.63,13.55,21.5
050US54049,14.61,8.28,27.89
050US54073,12.08,10.25,37.5
050US55067,10.9,8.82,49.83
050US55073,12.05,8.94,60.22
050US17137,14.43,12.3,54.8
050US42121,11.01,10.08,40.69
050US44001,14.95,7.82,62.18
050US48107,13.33,12.0,22.0
050US39099,12.41,22.18,93.35
050US39103,12.04,9.99,89.24
050US32009,2.55,19.8,4.0
050US41027,12.71,2.83,18.5
050US41049,13.73,5.7,24.5
050US48507,16.2,18.3,16.5
050US49009,14.22,6.0,6.0
050US49021,19.88,9.29,96.43
050US56041,12.69,3.87,33.0
050US51011,11.43,6.57,45.67
050US51025,12.61,11.57,56.0
050US21045,12.06,12.44,27.6
050US21113,14.31,7.14,62.38
050US21141,11.96,10.17,50.83
050US41059,13.41,5.52,27.2
050US40017,12.02,8.47,57.54
050US56045,11.25,5.05,18.5
050US23019,14.17,11.11,44.02
050US51043,12.5,7.13,64.33
050US48251,13.26,8.99,64.26
050US51135,12.74,11.77,58.33
050US22095,13.41,14.81,90.82
050US22125,14.48,14.13,32.33
050US26061,24.98,7.27,25.55
050US48231,14.06,10.72,46.29
050US48279,13.66,13.3,30.4
050US04003,12.38,8.47,62.62
050US29081,10.71,9.63,23.0
050US31023,12.02,9.7,29.0
050US37189,32.11,3.96,27.9
050US38007,6.66,3.1,1.0
050US51630,22.04,9.76,58.0
050US42013,11.6,8.74,44.21
050US42117,12.89,7.84,28.5
050US26065,23.13,11.66,65.35
050US29167,17.37,8.18,79.0
050US19191,19.13,5.86,22.2
050US29085,8.35,13.2,38.33
050US40035,11.51,10.36,29.6
050US49027,13.06,7.43,33.33
050US50009,9.73,9.28,14.75
050US47139,11.11,14.0,61.0
050US47153,11.35,13.7,136.5
050US48497,12.61,7.75,41.27
050US13223,13.61,14.93,543.0
050US55127,16.79,8.12,101.71
050US56001,30.25,1.62,4.9
050US56005,12.2,3.61,27.0
050US21201,12.97,11.9,16.0
050US20023,11.21,10.2,25.0
050US47169,14.44,18.5,101.5
050US50019,10.75,8.36,23.7
050US48413,11.37,12.55,10.5
050US46059,10.54,5.3,8.0
050US46063,13.96,11.4,8.0
050US46077,10.31,4.85,12.0
050US46087,11.61,7.1,20.5
050US46089,8.29,6.8,10.0
050US56015,13.02,6.1,21.0
050US47177,11.88,14.58,69.67
050US48017,15.95,9.7,49.0
050US48131,13.76,14.38,23.5
050US48143,25.23,7.01,27.57
050US42011,13.89,8.57,55.52
050US42019,12.62,6.05,35.0
050US42105,10.92,8.92,32.8
050US42115,10.82,7.93,33.55
050US51049,13.09,11.35,94.5
050US26017,11.72,11.63,71.29
050US51685,12.99,10.95,234.5
050US48163,19.51,12.5,29.67
050US48165,14.71,10.43,38.33
050US48179,11.84,8.73,26.14
050US28047,13.78,10.26,58.59
050US48285,11.17,7.55,14.0
050US48303,20.91,6.52,31.23
050US51540,22.4,3.98,16.46
050US51570,11.04,6.86,41.2
050US51610,11.66,4.5,29.67
050US02060,9.33,5.0,5.0
050US02068,19.04,4.3,5.0
050US02188,15.8,9.75,15.5
050US02230,9.52,,
050US02275,9.38,,
050US30019,7.47,1.7,2.5
050US39025,11.99,10.14,96.21
050US39053,12.36,13.73,56.43
050US39067,10.92,14.04,49.8
050US31153,12.91,5.64,45.15
050US02013,11.91,10.3,13.0
050US40093,10.25,11.17,23.67
050US40103,11.79,7.5,24.0
050US40053,11.88,7.75,18.5
050US31081,12.63,7.77,30.0
050US31109,18.76,5.76,40.17
050US31119,13.62,9.0,44.75
050US01057,12.02,11.68,37.4
050US01111,12.47,8.85,31.33
050US05021,11.63,11.07,33.0
050US05023,10.1,5.72,35.8
050US05037,12.67,9.93,30.83
050US27071,10.37,11.43,46.25
050US19197,10.57,9.72,38.4
050US20013,10.67,10.37,35.0
050US40107,12.4,12.57,23.75
050US31053,12.88,10.26,56.89
050US31123,10.39,12.2,52.0
050US21041,10.95,14.07,55.67
050US39135,11.89,12.66,88.4
050US39119,13.33,17.95,105.32
050US05051,11.03,6.98,42.42
050US31095,9.95,10.93,31.0
050US29173,11.42,7.8,24.0
050US40021,18.8,8.9,39.25
050US36079,12.82,6.14,61.89
050US36097,10.99,7.18,27.4
050US29011,12.42,11.4,46.67
050US39127,12.43,16.32,104.0
050US20045,26.99,4.45,32.18
050US20051,21.29,5.1,32.2
050US20055,15.62,5.18,35.67
050US29177,12.16,11.3,98.75
050US28153,13.11,18.32,76.75
050US28159,11.9,19.76,83.4
050US28161,11.9,16.47,68.67
050US20173,13.62,7.13,41.2
050US20177,12.53,9.53,56.8
050US20185,11.82,16.7,36.5
050US29017,11.17,10.2,26.67
050US29047,12.26,7.83,82.24
050US20059,13.28,10.54,73.6
050US39163,11.99,17.17,57.33
050US29105,11.62,10.18,64.0
050US29109,12.39,8.22,60.0
050US31137,12.12,6.83,27.0
050US33003,9.76,6.55,54.73
050US39009,32.27,11.81,40.87
050US19181,14.07,7.0,39.92
050US19185,11.1,8.03,16.33
050US19187,15.03,9.59,42.08
