HEROP_ID,TotHcv,MlHcv,FmHcv,Un50Hcv,A50_74Hcv,Ov75Hcv,BlkHcv,NonBlkHcv,HcvD,MlHcvD,FlHcvD,AmInHcvD,AsPiHcvD,BlkHcvD,HspHcvD,U50HcvD,A50_74HcvD,O75HcvD,AvHcvD,AvMlHcvD,AvFlHcvD,AvAmInHcvD,AvAsPiHcvD,AvBlkHcvD,AvHspHcvD,AvU50HcvD,Av50_74HcvD,AvO75HcvD,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,AnyNalDt,NalPrStDt,NalPresDt,AnyNalFr,NalPrStFr,NalPresFr,MdMarijLaw
040US01,30700,19400,10500,9400,19800,700,9400,20500,188,142,46.0,,,59.0,,11.0,149.0,11.0,204.2,146.2,58.0,,,56.0,,7.8,166.8,1.4,1.0,1.0,1,0,1.0,8/1/2004,11/1/2005,4/1/2006,,8/1/2004,6/10/2015,,1.0,0,7/1/2015,7/1/2015,,1.0,1.0,0.0,0
040US13,56800,36000,17900,13900,38700,1300,20600,33400,344,242,102.0,,,122.0,,11.0,308.0,11.0,388.6,277.4,111.2,,,134.6,1.2,22.4,337.4,9.2,1.0,1.0,1,1,1.0,5/13/2011,7/1/2011,5/1/2013,7/13/2014,7/1/2011,4/24/2014,4/24/2014,1.0,1,5/1/2014,5/1/2014,,1.0,1.0,0.0,0
040US42,93900,65600,28200,33200,58400,2100,28300,65600,563,412,151.0,,,149.0,37.0,21.0,473.0,34.0,623.2,450.0,173.2,,,166.4,48.2,38.6,525.4,31.6,1.0,1.0,1,0,1.0,1/1/1972,1/1/1990,8/1/2016,,1/1/2002,12/1/2014,,1.0,0,12/1/2014,12/1/2014,,1.0,1.0,0.0,1
040US29,40300,27100,12700,12900,25900,900,9900,29900,247,176,71.0,,,51.0,,14.0,214.0,,284.8,209.8,75.0,,,57.8,4.2,11.6,242.6,4.0,0.5,0.5,0,0,0.5,7/1/2017,7/1/2017,,,7/1/2017,8/28/2017,8/28/2017,1.0,1,9/1/2016,9/1/2016,,1.0,1.0,0.0,0
040US08,36300,25100,10900,9100,26100,800,3700,32300,386,251,135.0,,,47.0,91.0,31.0,317.0,13.0,366.8,254.0,112.8,,,33.8,93.4,23.8,306.2,15.2,1.0,1.0,1,0,1.0,6/3/2005,6/1/2005,2/1/2008,,6/3/2005,5/29/2012,8/10/2016,1.0,1,6/1/2013,5/1/2015,,1.0,1.0,0.0,1
040US49,12300,7900,3900,4800,6700,200,300,11500,68,52,16.0,,,,11.0,,35.0,,84.2,62.0,22.2,,,,13.2,,58.6,,1.0,1.0,1,0,1.0,7/1/1995,7/1/1995,1/1/2006,,7/1/1995,3/20/2014,,1.0,0,6/1/2014,6/1/2016,,1.0,1.0,0.0,0
040US47,69100,47700,24100,21900,48500,1400,16700,55200,469,319,150.0,,,97.0,,56.0,375.0,10.0,526.2,368.8,157.4,,,109.8,,62.0,427.2,13.6,1.0,1.0,1,1,1.0,1/1/2003,1/1/2003,1/1/2010,7/1/2013,1/1/2003,7/1/2015,7/1/2015,1.0,1,7/1/2014,7/1/2014,,1.0,1.0,0.0,0
040US56,3700,2300,1200,1100,2400,100,100,3500,41,22,19.0,,,,,,21.0,,34.6,22.8,7.8,,,,,,11.2,,1.0,1.0,1,0,1.0,7/1/2003,7/1/2003,7/1/2013,,7/1/2003,,,0.0,0,7/1/2017,7/1/2017,7/1/2017,0.5,0.5,0.5,0
040US36,116000,78100,36100,26600,82500,5000,34800,79600,701,495,206.0,,17.0,178.0,183.0,36.0,557.0,96.0,940.0,647.6,292.4,,26.2,236.6,243.6,55.2,762.8,103.8,1.0,1.0,1,1,1.0,1/1/1972,1/1/1990,6/1/2013,8/27/2013,1/1/1998,9/18/2011,,1.0,0,4/1/2006,7/1/2014,,1.0,1.0,0.0,1
040US20,14600,9500,4400,3700,9900,300,2000,12000,141,100,41.0,,,17.0,,,121.0,,134.2,93.6,40.6,,,14.6,1.4,1.4,110.2,,1.0,1.0,1,0,1.0,7/1/2008,7/1/2008,4/1/2011,,7/1/2008,,,0.0,0,7/1/2017,7/1/2017,,0.5,0.5,0.0,0
040US02,5200,3600,1600,1300,3800,100,200,5000,38,24,14.0,,,,,,10.0,,50.2,35.2,13.4,2.0,,,,,25.8,,1.0,1.0,1,0,1.0,9/7/2008,9/1/2008,1/1/2012,,9/7/2008,9/8/2008,,1.0,0,4/1/2016,4/1/2016,,1.0,1.0,0.0,1
040US32,21900,15500,6400,5100,16300,500,2900,19200,153,108,45.0,,,20.0,23.0,,127.0,,180.0,126.6,53.4,,,17.2,20.6,1.6,145.6,1.4,1.0,1.0,1,1,1.0,6/29/1995,1/1/1996,2/1/2011,10/1/2015,10/1/1995,10/1/2015,10/1/2015,1.0,1,10/1/2015,10/1/2015,,1.0,1.0,0.0,1
040US17,54900,35100,16700,16600,33000,2100,19300,32500,288,199,89.0,,,90.0,22.0,,242.0,20.0,350.8,246.8,104.0,,,93.4,29.4,7.2,287.6,32.4,1.0,1.0,1,0,1.0,1/1/1961,1/1/1990,12/1/2009,,4/1/2000,6/1/2012,,1.0,0,1/1/2010,1/1/2010,,1.0,1.0,0.0,1
040US50,3700,2600,1100,900,2600,100,100,3500,40,32,,,,,,,13.0,,37.0,27.0,5.0,,,,,,13.0,,1.0,1.0,1,1,1.0,7/1/2006,6/1/2008,1/1/2009,11/15/2013,7/1/2006,6/5/2013,6/5/2013,1.0,1,7/1/2013,7/1/2013,,1.0,1.0,0.0,1
040US30,7400,5000,2500,2100,5200,100,100,7300,68,42,26.0,20.0,,,,,49.0,,67.0,46.4,20.6,13.4,,,,1.4,45.8,,1.0,1.0,1,0,1.0,7/1/2011,7/1/2011,10/1/2012,,7/1/2011,5/3/2017,,1.0,0,5/1/2017,5/1/2017,,0.67,0.67,0.0,1
040US19,12600,8300,3600,3000,8600,300,1600,10300,122,91,31.0,,,16.0,,,106.0,,122.4,88.6,33.8,,,4.8,,1.6,99.6,,1.0,1.0,1,0,1.0,5/31/2006,5/1/2006,3/1/2009,,5/31/2006,7/1/2018,,0.5,0,6/1/2016,6/1/2016,,1.0,1.0,0.0,0
040US45,35600,24100,11500,7900,26900,800,12600,23100,302,217,85.0,,,89.0,,16.0,264.0,,291.8,213.2,78.6,,,89.6,,18.6,247.2,,1.0,1.0,1,0,1.0,6/14/2006,6/1/2006,2/1/2008,,6/14/2006,6/10/2017,,1.0,0,7/1/2015,7/1/2016,,1.0,1.0,0.0,0
040US33,7700,5600,2000,2800,4700,100,200,7500,57,48,,,,,,,31.0,,65.0,50.6,12.4,,,,,,45.6,,1.0,1.0,1,1,1.0,6/12/2012,6/1/2012,10/1/2014,1/21/2016,6/12/2012,9/6/2015,9/6/2015,1.0,1,7/1/2015,7/1/2015,,1.0,1.0,0.0,1
040US04,61500,44400,18800,16300,45400,1400,4100,59300,480,344,136.0,19.0,,28.0,132.0,32.0,407.0,25.0,526.2,382.0,144.2,22.0,,28.0,129.2,46.0,433.4,24.8,1.0,1.0,1,0,1.0,9/19/2007,9/1/2007,12/1/2008,,9/19/2007,4/26/2018,,0.67,0,9/1/2016,9/1/2016,,1.0,1.0,0.0,1
040US11,12700,7900,5200,1000,11500,500,11900,1200,83,65,18.0,,,76.0,,,59.0,,94.8,69.8,25.0,,,85.8,,,77.0,,1.0,1.0,1,0,1.0,2/22/2014,2/1/2014,10/1/2016,,2/22/2014,3/19/2013,3/19/2013,1.0,1,4/1/2013,3/1/2017,3/1/2017,1.0,0.83,0.83,1
