HEROP_ID,NoIntP
140US01029959800,32.69
140US01119011400,36.24
140US01121010500,27.25
140US01027959100,18.61
140US01103005107,8.12
140US01105687100,47.44
140US01069040100,13.55
140US01069040700,24.46
140US01069040900,20.24
140US01103005103,13.26
140US01103005105,10.16
140US01103005106,19.43
140US01019955701,17.59
140US01071951100,28.26
140US01081041100,19.74
140US01073003802,33.63
140US01073004000,47.52
140US01073004902,11.84
140US01073005200,28.19
140US01043965402,26.82
140US01077011801,31.97
140US01079979100,47.66
140US01097007201,31.99
140US01099075700,62.6
140US01121011200,20.46
140US01049960300,22.4
140US01087231601,19.89
140US01073013901,22.26
140US01069042100,26.63
140US01097001200,48.85
140US01073011302,12.77
140US01041963500,33.33
140US01001020900,25.53
140US01003010200,23.27
140US01117030703,23.13
140US01045020400,20.04
140US01045020700,29.02
140US01113030800,41.42
140US01097001501,59.62
140US01097001800,27.98
140US01097002000,21.15
140US01097002100,35.5
140US01097002400,41.26
140US01097002600,37.36
140US01097003100,15.87
140US01097003301,19.03
140US01097003406,10.89
140US01097003408,15.4
140US01073002400,22.01
140US01073010001,28.43
140US01073010603,24.28
140US01073010705,4.06
140US01089002921,12.52
140US01089010501,8.51
140US01117030405,31.85
140US01109189300,40.81
140US01111000200,29.05
140US01079979200,35.38
140US01069041800,42.72
140US01031010700,22.69
140US01113031000,22.97
140US01043965700,15.92
140US01073005909,15.2
140US01045021200,13.61
140US01047956500,41.05
140US01047956800,22.54
140US01055010700,15.77
140US01055011001,14.54
140US01015002101,26.09
140US01097005700,19.29
140US01097006103,25.48
140US01127020200,18.85
140US01073014104,27.69
140US01073014409,11.03
140US01077011604,13.11
140US01033020703,14.76
140US01033020801,29.32
140US01001020802,14.93
140US01077010200,29.84
140US01041963800,34.09
140US01071950900,17.24
140US01043964300,10.28
140US01121011400,25.11
140US01121011900,24.03
140US01051030600,29.29
140US01089002000,6.85
140US01089002501,19.37
140US01001020200,30.38
140US01001020400,13.79
140US01079979600,24.39
140US01073010802,7.75
140US01073011001,11.97
140US01073011109,10.2
140US01073011111,5.14
140US01087231700,19.05
140US01041963400,28.7
140US01121010202,14.71
140US01089002722,4.84
140US01093964000,35.04
140US01099076000,43.42
140US01055010402,7.76
140US01073011704,13.47
140US01065040200,37.09
140US01073011904,24.37
140US01073012103,19.03
140US01057020000,45.15
140US01059973200,33.44
140US01059973400,37.21
140US01081041700,9.07
140US01127020800,22.99
140US01073005800,6.59
140US01073005905,19.25
140US01083020201,17.76
140US01051031200,27.33
140US01075030100,31.45
140US01077010100,29.31
140US01077011000,24.99
140US01077011300,41.08
140US01127020900,26.04
140US01001020100,24.26
140US01043964500,20.55
140US01073000500,40.14
140US01049960500,29.12
140US01125010406,6.81
140US01073014001,13.79
140US01001020600,15.37
140US01001020700,22.72
140US01073000800,44.89
140US01073002100,24.81
140US01073002303,33.75
140US01125010201,10.48
140US01089010623,2.75
140US01089010701,7.82
140US01089011012,0.0
140US01089011014,2.98
140US01115040205,14.23
140US01115040401,22.45
140US01041963900,46.49
140US01125012501,24.28
140US01125012502,2.95
140US01125012600,4.92
140US01127020100,26.46
140US01039962000,20.59
140US01071951000,24.02
140US01081042002,14.53
140US01083020101,10.15
140US01071950100,29.02
140US01097006105,20.03
140US01115040502,11.12
140US01117030217,5.39
140US01087231900,27.33
140US01089000501,16.06
140US01115040105,18.02
140US01083020401,14.61
140US01083020900,14.86
140US01103005600,27.76
140US01103005701,24.9
140US01113030600,26.29
140US01117030305,1.78
140US01117030320,3.03
140US01117030340,7.67
140US01089011300,12.05
140US01089000601,12.87
140US01089001401,4.12
140US01089001700,4.11
140US01077011501,13.48
140US01077011502,21.93
140US01095030600,23.84
140US01095030904,17.14
140US01097000702,47.96
140US01097000800,36.77
140US01097000901,23.45
140US01097000903,20.85
140US01097001100,51.68
140US01121010102,29.77
140US01125010701,22.19
140US01125010804,17.13
140US01125011701,52.87
140US01077011603,24.4
140US01097003703,16.85
140US01097003901,48.83
140US01053970600,46.35
140US01055000800,27.49
140US01055001300,23.81
140US01055010300,18.63
140US01003010300,23.0
140US01125012304,15.38
140US01125012404,31.36
140US01073012803,7.11
140US01073012915,10.8
140US01073013400,18.42
140US01017954300,19.38
140US01003010400,24.07
140US01003010703,6.1
140US01125011200,46.33
140US01003010800,11.0
140US01109188800,29.59
140US01035960200,39.49
140US01035960500,43.5
140US01039961600,17.46
140US01007010002,22.83
140US01005950200,44.71
140US01005950900,25.31
140US01127021100,29.38
140US01101000100,34.88
140US01101001300,23.77
140US01061050500,23.27
140US01065040000,19.35
140US01031010500,31.35
140US01101005700,28.48
140US01103005702,25.28
140US01079979700,34.68
140US01013953200,29.1
140US01013953400,33.94
140US01015001202,23.04
140US01015001400,28.35
140US01015002102,7.85
140US01015002501,10.05
140US01015981901,
140US01017953900,30.85
140US01003011102,13.79
140US01003011403,14.55
140US01003011601,14.12
140US01129044300,36.28
140US01133965503,25.95
140US01003010704,9.82
140US01003011000,22.35
140US01073000300,44.12
140US01009050101,25.21
140US01011952200,30.12
140US01013952700,24.52
140US01083021000,10.35
140US01103005500,25.79
140US01127021400,30.17
140US01127021900,26.68
140US01119011300,28.93
140US01043965000,23.95
140US01033020704,14.41
140US01051030702,14.41
140US01069040800,20.31
140US01069041100,28.75
140US01069041400,29.26
140US01057020400,28.09
140US01069041600,24.66
140US01059973300,31.9
140US01073001500,51.86
140US01073001902,33.13
140US01073005104,8.57
140US01073005302,9.79
140US01073005701,25.28
140US01073005903,15.36
140US01073005907,4.58
140US01073005908,15.36
140US01073010002,15.02
140US01045021102,15.16
140US01069040201,8.04
140US01059973500,33.51
140US01061050100,27.79
140US01073004200,48.31
140US01073004701,9.61
140US01073004901,14.25
140US01043964700,16.92
140US01043964900,14.69
140US01043965100,23.26
140US01031010400,23.84
140US01031010600,28.31
140US01031011202,9.87
140US01033020100,37.39
140US01033020400,2.48
140US01101005609,6.09
140US01055010100,18.78
140US01055010200,12.88
140US01049961200,10.67
140US01045020200,31.97
140US01045020300,20.67
140US01051030200,21.21
140US01129044200,16.67
140US01129043900,35.68
140US01053969900,35.23
140US01073002000,45.45
140US01073002305,10.76
140US01073002700,26.81
140US01073003001,39.56
140US01073003002,36.01
140US01073003400,22.48
140US01073003700,27.92
140US01073003803,19.9
140US01017954200,19.81
140US01017954700,19.94
140US01043965600,15.81
140US01045020000,1.31
140US01055010501,8.78
140US01051031300,13.72
140US01055010502,15.32
140US01115040203,27.5
140US01115040204,16.08
140US01117030306,11.63
140US01117030315,11.78
140US01117030316,10.74
140US01109188600,27.72
140US01115040501,10.27
140US01115040402,24.67
140US01109189200,35.74
140US01117030604,4.64
140US01033020901,25.66
140US01033021000,31.36
140US01073011901,34.88
140US01117030502,13.45
140US01073010801,1.69
140US01073010803,10.77
140US01073011002,25.21
140US01111000400,17.15
140US01117030303,6.11
140US01055001600,13.77
140US01073012002,11.08
140US01035960600,42.09
140US01117030406,30.03
140US01133965502,29.96
140US01133965800,34.29
140US01119011600,44.12
140US01117030900,22.31
140US01121010101,12.99
140US01051030300,11.29
140US01117030214,5.1
140US01055011200,32.82
140US01121010201,18.87
140US01051030500,18.48
140US01069041700,38.83
140US01125012100,13.01
140US01125012303,17.45
140US01125012305,11.81
140US01057020100,25.94
140US01123962400,31.43
140US01057020200,26.27
140US01101005611,4.85
140US01125010101,1.62
140US01045021300,15.98
140US01045021400,19.46
140US01101005800,28.48
140US01101005902,38.66
140US01103000100,25.7
140US01103000400,21.27
140US01073011301,22.67
140US01127021500,24.98
140US01003011602,18.81
140US01005950500,26.24
140US01005950600,26.58
140US01051030701,2.37
140US01127021800,18.81
140US01073011107,8.57
140US01049960200,27.17
140US01049960400,22.94
140US01043965200,13.14
140US01073010401,32.0
140US01067030100,30.76
140US01067030400,30.12
140US01043964100,23.55
140US01043964200,30.62
140US01043964400,24.03
140US01033020802,34.26
140US01067030600,23.41
140US01073010402,15.04
140US01133965900,28.26
140US01055001200,31.45
140US01055010602,26.15
140US01055010900,22.24
140US01073010602,39.16
140US01073010704,5.94
140US01073010706,6.01
140US01061050300,31.36
140US01061050400,23.0
140US01073011108,10.17
140US01073011110,10.74
140US01073011208,7.89
140US01073011210,23.91
140US01049960900,13.28
140US01049961100,15.82
140US01003011502,13.01
140US01031010300,20.95
140US01055000200,39.15
140US01055000400,13.37
140US01055001100,10.69
140US01117030337,16.42
140US01117030341,14.41
140US01113030902,18.79
140US01117030345,7.39
140US01021060600,38.57
140US01053970300,36.18
140US01053970700,39.93
140US01017954000,38.4
140US01009050400,26.68
140US01009050601,16.06
140US01111000600,33.66
140US01113030700,18.85
140US01113030901,24.61
140US01029959600,33.86
140US01053970100,29.71
140US01015002502,21.18
140US01015001800,21.62
140US01015002103,12.44
140US01015002200,30.08
140US01101005503,3.31
140US01101005504,4.54
140US01015002600,22.3
140US01003011202,10.87
140US01003011405,3.5
140US01003011408,11.16
140US01091973100,41.35
140US01121011600,20.42
140US01121012000,11.99
140US01117030336,5.41
140US01023957000,38.24
140US01101002202,31.9
140US01101002600,10.04
140US01101002900,14.15
140US01101003100,20.74
140US01021060300,30.13
140US01125010203,9.48
140US01125010303,15.29
140US01125010407,7.09
140US01019956000,29.45
140US01021060101,21.37
140US01077010900,15.03
140US01113031100,38.48
140US01115040106,19.76
140US01125011600,17.39
140US01125011800,42.52
140US01125011902,35.56
140US01117030408,28.25
140US01083020102,23.62
140US01109188900,34.26
140US01125010202,10.03
140US01021060402,22.68
140US01025957602,33.82
140US01073011400,30.66
140US01073011600,18.0
140US01035960300,50.38
140US01101003200,17.4
140US01101005102,29.55
140US01101005402,12.1
140US01117030609,5.18
140US01121010301,19.95
140US01103000700,31.11
140US01125010703,15.96
