HEROP_ID,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,BedCnt,PntInTm,YrlyBedCnt,UnempP,PovP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
050US27067,42658,41551,2376,19812,21779.0,88.58,4.82,0.42,0.91,0.0,5.28,11.9,0.24,55.97,17.87,2891,5879,2468,2778,15107,2313,2639,3187,3019,7623,32320,24697,11.9,11.5,7.35,2.28,17.31,141,111,141,3.0,10.5,29675.0,30217.0,0.43,7.56,26.89,19.68,12.33,11493.0,52.77,15.31,15.71,3.15,28.08,26.04,24.85,7.0,0.01,0.0,0.14
050US27069,4337,4100,298,2613,2247.0,97.69,0.88,0.37,0.35,0.0,0.71,2.1,0.22,47.04,23.43,250,509,263,229,1281,266,292,372,351,1016,3394,2378,11.5,5.96,8.78,0.88,10.18,0,0,0,2.6,10.6,31792.0,29946.0,0.4,8.59,36.49,11.88,15.62,1207.0,53.72,17.96,27.63,7.62,39.83,19.83,2.38,4.0,0.0,0.0,0.13
050US27071,12644,12313,1078,7921,5737.0,93.48,0.48,3.61,0.47,0.0,1.96,0.32,0.19,44.9,23.3,522,1412,720,591,3743,778,949,1174,1120,2946,10258,7312,16.9,7.68,10.51,2.97,12.38,29,23,25,6.8,16.4,26143.0,29051.0,0.46,8.65,26.91,13.79,12.11,3139.0,54.72,19.79,29.73,9.62,33.35,22.8,2.55,7.0,0.0,0.0,0.21
050US27073,6773,6629,473,3679,3381.0,96.53,0.84,0.21,0.83,0.0,1.59,2.2,0.19,43.79,26.16,314,756,374,329,1896,386,465,610,574,1772,5459,3687,14.9,7.32,8.66,2.28,11.99,0,0,0,2.3,8.5,27233.0,31686.0,0.45,7.42,32.12,18.37,12.36,1704.0,50.4,17.48,15.66,2.72,38.65,19.53,4.81,4.0,0.01,0.0,0.16
050US27075,10569,10300,924,7801,4874.0,96.63,0.74,0.58,0.03,0.41,1.62,1.53,0.18,43.63,25.05,495,1038,501,432,3078,628,772,863,1047,2648,8710,6062,14.2,3.99,10.61,2.19,15.42,16,13,16,4.4,8.5,33147.0,33602.0,0.39,7.0,24.68,17.48,5.93,2471.0,50.7,15.64,33.56,3.77,31.2,19.1,3.7,3.0,0.0,0.0,0.25
050US27077,3809,3753,309,3766,2063.0,93.1,0.03,0.29,0.84,0.0,5.75,1.68,0.18,42.85,22.63,176,431,139,181,1025,201,356,403,355,862,3106,2244,10.7,8.4,9.95,4.02,8.9,0,0,0,3.1,9.2,25837.0,26526.0,0.36,4.36,34.13,9.65,16.87,1294.0,62.72,24.9,57.91,30.78,35.23,18.68,2.9,1.0,0.0,0.0,0.17
050US27079,27983,27598,1730,12643,14840.0,96.12,0.84,0.19,0.49,0.01,2.34,5.87,0.24,54.54,16.84,1709,3824,1792,1534,9728,1941,2082,2266,1721,4712,21255,16543,10.8,7.23,8.14,2.56,21.51,10,0,10,3.5,8.8,33918.0,32120.0,0.4,7.64,34.23,14.43,9.93,7985.0,53.81,14.68,13.99,3.12,30.23,18.94,28.18,5.0,0.01,0.0,0.12
050US27081,5707,5522,439,3128,2847.0,97.76,0.26,1.02,0.16,0.0,0.81,1.91,0.23,49.05,24.58,349,769,280,279,1681,321,341,456,387,1403,4397,2994,13.1,8.68,9.99,1.64,12.28,0,0,0,2.4,10.4,29049.0,28504.0,0.43,8.71,34.53,14.51,8.82,1518.0,53.32,21.15,21.04,2.05,35.04,21.54,5.83,1.0,0.0,0.0,0.18
050US27083,25839,24555,1322,11251,13760.0,86.96,3.48,0.38,4.14,0.01,5.02,6.66,0.25,60.77,14.97,1881,3632,1845,1939,10190,1370,1623,1766,1510,3867,19331,15464,9.8,7.96,6.84,2.84,18.54,212,192,212,3.4,13.6,29147.0,30531.0,0.47,8.21,27.14,15.47,13.2,7057.0,51.29,12.07,10.67,3.07,26.53,31.83,15.75,5.0,0.01,0.0,0.17
050US27085,35825,35482,2464,15825,19095.0,94.92,0.56,0.19,0.63,0.0,3.71,6.04,0.23,55.18,17.87,2077,4792,2234,2022,12901,2279,2566,2545,2264,6401,27471,21070,11.8,7.01,8.97,3.01,18.18,0,0,0,2.6,8.9,32125.0,31723.0,0.41,5.74,35.86,16.33,10.4,10476.0,54.86,13.97,5.95,3.49,26.96,23.47,32.2,7.0,0.01,0.0,0.13
050US27087,5506,5452,345,2791,2177.0,47.2,0.51,40.37,0.38,0.27,11.26,4.16,0.31,58.99,17.33,460,1004,400,279,1784,278,317,366,343,954,3778,2824,15.0,13.05,9.13,5.25,21.64,114,104,114,7.6,20.9,24170.0,20953.0,0.44,7.81,21.22,16.77,8.08,1230.0,56.5,24.82,30.56,11.18,29.9,30.19,5.0,1.0,0.0,0.0,0.18
050US27089,9392,9288,606,4815,4805.0,97.11,0.38,0.3,0.33,0.02,1.85,4.42,0.23,51.06,20.58,567,1219,537,501,3010,541,683,754,685,1933,7251,5318,12.3,11.45,8.36,1.81,14.6,0,0,0,2.7,7.5,31656.0,29670.0,0.39,7.7,37.61,13.65,9.47,2503.0,52.09,16.12,17.67,12.23,36.99,18.24,2.71,1.0,0.0,0.0,0.14
050US27091,19964,19628,1566,9955,10037.0,96.21,0.32,0.13,0.38,0.07,2.9,4.26,0.22,49.76,22.45,1092,2519,1106,1078,6323,1052,1301,1695,1501,4481,15656,11175,14.1,7.26,10.0,3.35,15.96,0,0,0,3.5,13.3,30570.0,31091.0,0.44,6.49,33.5,16.79,11.06,5063.0,50.44,17.8,13.08,2.17,33.95,26.78,13.98,5.0,0.01,0.0,0.11
050US27093,23079,22717,1641,10807,11563.0,97.36,0.55,0.15,0.28,0.05,1.61,3.83,0.24,53.17,18.91,1413,3227,1478,1165,7632,1366,1568,1700,1809,4364,17467,13103,11.2,7.4,9.4,2.98,16.65,0,0,0,2.7,7.6,31176.0,31819.0,0.43,7.01,38.7,15.97,9.35,6661.0,57.61,17.4,14.95,5.59,31.87,20.85,17.77,6.0,0.01,0.0,0.14
050US27095,25728,25213,1968,12874,12088.0,90.48,0.42,5.03,0.8,0.05,3.22,2.35,0.24,54.84,17.75,1654,3487,1631,1311,8967,1580,1880,1888,1705,4567,19488,14921,15.4,10.18,10.1,4.31,18.33,77,59,77,6.0,12.1,27391.0,26679.0,0.42,6.44,30.79,16.5,11.35,7182.0,59.41,18.75,21.27,9.74,26.6,24.98,22.49,6.0,0.01,0.0,0.19
050US27097,32949,32397,2477,16109,16432.0,96.74,0.53,0.22,0.47,0.0,2.04,1.66,0.23,52.97,18.46,1983,4448,1974,1674,11022,2000,2434,2546,2435,6081,25209,19128,12.5,9.93,9.84,2.87,14.75,23,7,23,4.3,10.9,29031.0,28792.0,0.43,6.8,30.71,16.95,11.08,9400.0,57.21,20.83,16.27,7.47,30.6,21.97,14.32,12.0,0.01,0.0,0.19
050US27099,39602,38870,2660,17070,19147.0,88.34,3.6,0.17,3.11,0.39,4.39,11.29,0.25,56.53,18.32,2555,5635,2628,2186,14198,2223,2565,2770,2400,7256,29663,22407,12.5,13.06,8.97,3.12,17.65,18,14,18,4.5,12.8,29718.0,29116.0,0.45,7.02,34.98,18.68,9.7,10677.0,55.76,16.82,9.19,2.35,26.8,26.44,24.0,6.0,0.01,0.0,0.14
050US27101,8353,8201,629,4621,4252.0,96.56,0.59,0.23,1.25,0.0,1.38,3.83,0.21,46.95,25.0,439,1037,451,390,2446,442,588,691,622,2088,6580,4492,12.9,9.56,9.56,2.26,12.68,0,0,0,2.6,7.4,31024.0,31768.0,0.41,7.38,35.47,15.26,10.68,2175.0,51.15,19.89,19.89,3.05,37.36,18.42,6.56,6.0,0.01,0.0,0.15
050US27103,33783,30820,1734,13433,19085.0,92.53,3.15,0.03,1.75,0.0,2.54,4.45,0.22,60.57,15.07,2028,4119,2779,2848,14317,1879,2058,2206,2086,5090,26351,21261,12.0,5.76,6.58,1.99,21.95,66,27,66,3.6,9.6,31594.0,31225.0,0.42,16.63,25.7,16.17,9.55,8938.0,46.83,12.29,5.17,5.69,27.0,26.5,29.94,6.0,0.01,0.0,0.13
050US27105,21839,21398,1058,8650,10632.0,79.1,4.67,0.6,6.55,0.03,9.05,27.16,0.27,60.22,15.61,1727,3303,1374,1400,8122,1152,1339,1478,1310,3408,15967,12559,12.6,22.24,6.63,6.03,16.13,32,28,32,5.1,14.3,28223.0,25554.0,0.43,7.23,43.59,11.46,11.67,6508.0,61.21,17.73,8.71,1.8,28.13,28.72,12.1,2.0,0.0,0.0,0.14
050US27107,6559,6414,440,3442,3121.0,93.18,0.53,2.53,0.63,0.0,3.13,5.02,0.23,51.0,21.24,369,870,449,313,2106,377,465,502,477,1393,5024,3631,12.2,8.71,8.77,2.56,13.51,0,0,0,3.2,10.3,30032.0,28351.0,0.41,10.22,30.95,16.57,9.32,1588.0,50.88,25.05,19.35,5.4,35.41,19.16,3.94,1.0,0.0,0.0,0.13
050US27109,153065,150455,8153,64142,81361.0,84.21,5.92,0.31,5.82,0.05,3.69,4.84,0.25,59.89,14.63,10758,21099,9005,8741,59817,8912,10154,11301,8625,22399,115279,92880,10.1,5.6,7.07,2.45,20.64,623,462,593,3.7,8.9,38660.0,39667.0,0.45,7.48,14.02,38.8,10.42,39909.0,49.05,8.78,5.26,3.15,23.06,26.85,98.15,25.0,0.04,0.0,0.14
050US27111,57992,56853,4265,36063,28193.0,95.21,1.38,0.51,0.6,0.02,2.27,3.35,0.22,48.31,22.84,3370,7054,3420,2884,17590,3149,4046,4647,4889,13247,45397,32150,13.1,7.71,9.4,1.81,14.01,0,0,0,3.4,9.2,30434.0,30846.0,0.43,8.21,30.23,18.29,10.5,15261.0,54.13,19.32,32.82,8.09,28.26,21.16,18.29,18.0,0.01,0.0,0.18
050US27113,14184,13920,1056,6500,7658.0,93.59,1.23,1.74,0.99,0.01,2.45,3.57,0.23,56.58,17.48,945,1838,838,830,5243,855,900,908,1016,2479,10867,8388,12.1,7.48,9.72,2.97,18.5,31,14,31,3.0,9.8,32152.0,30625.0,0.42,6.96,28.99,12.48,13.38,3575.0,46.68,14.61,8.15,11.74,27.88,25.86,10.54,3.0,0.0,0.0,0.12
050US27115,29129,27435,2117,17486,12673.0,91.44,2.27,2.46,0.57,0.08,3.18,2.87,0.2,50.49,19.43,1412,3372,1704,1466,9922,1851,2277,2541,2095,5659,23249,17590,17.4,10.37,9.11,4.18,22.27,19,17,19,5.2,12.6,24910.0,25302.0,0.44,8.14,23.67,14.15,11.73,7500.0,59.18,21.13,38.87,17.88,27.24,20.27,12.39,6.0,0.0,0.0,0.26
050US27117,9185,9006,499,4484,4384.0,92.67,1.4,1.69,0.93,0.0,3.31,6.58,0.25,53.08,20.42,615,1294,582,459,2966,543,630,646,615,1876,6895,5019,14.1,12.41,7.24,1.63,11.59,0,0,0,2.9,11.3,27403.0,29716.0,0.46,7.92,32.66,16.51,10.4,2461.0,56.14,16.54,10.64,2.88,27.29,25.98,9.64,1.0,0.0,0.0,0.16
050US27119,31591,30265,2032,14903,15861.0,91.98,1.96,1.42,0.96,0.05,3.63,6.38,0.24,55.78,17.84,2124,4225,2062,1980,11271,1820,2166,2269,2081,5635,24035,18400,13.4,8.14,8.46,2.21,17.09,199,142,192,3.4,12.6,30248.0,28856.0,0.43,12.01,25.52,17.01,11.42,8340.0,52.58,15.32,16.02,6.07,29.71,26.64,7.56,10.0,0.01,0.0,0.14
050US27121,10980,10768,817,6595,5636.0,96.76,0.37,0.21,0.53,0.0,2.13,1.36,0.21,48.8,23.36,627,1295,565,491,3436,595,698,901,863,2565,8682,6117,13.9,6.46,9.41,1.4,12.69,0,0,0,2.7,7.3,31708.0,32943.0,0.42,6.81,32.67,16.68,11.41,2771.0,49.17,19.31,24.61,5.34,28.17,22.0,9.85,2.0,0.0,0.0,0.13
050US27123,541493,526078,22891,219390,281029.0,66.76,11.77,0.69,14.25,0.04,6.5,7.49,0.23,62.2,13.71,38057,68905,34807,40141,229861,30734,32994,34868,31826,74248,415003,340755,11.6,9.89,5.52,3.11,23.69,6832,5875,6755,4.9,14.7,31932.0,34049.0,0.47,12.09,16.35,16.65,9.78,114144.0,40.62,10.46,4.7,1.36,24.83,40.7,1441.28,94.0,0.62,0.0,0.12
050US27125,4008,3975,292,1924,2000.0,94.79,0.3,1.32,0.07,0.0,3.52,3.72,0.25,52.82,19.39,274,555,232,154,1288,207,276,340,291,777,3023,2246,12.9,6.62,9.66,2.14,15.11,49,65,49,3.3,9.8,32409.0,29731.0,0.41,8.5,32.5,12.25,12.65,966.0,48.3,18.63,12.11,9.67,32.23,16.14,4.45,1.0,0.0,0.0,0.12
050US27127,15331,14957,961,7314,7490.0,88.3,0.78,4.9,2.86,0.0,3.16,3.33,0.24,52.16,20.96,910,2203,966,831,4883,898,1041,1117,1065,3214,11593,8379,10.9,9.18,8.29,3.07,10.27,0,0,0,2.5,11.4,28120.0,28011.0,0.42,6.81,32.12,16.94,10.47,4054.0,54.13,23.65,14.68,3.21,34.18,22.04,8.32,1.0,0.0,0.0,0.16
050US27129,14721,14368,901,7364,7327.0,90.03,0.48,1.32,0.57,0.0,7.59,8.34,0.23,50.86,20.24,886,1919,877,753,4682,874,1057,1222,1101,2980,11345,8365,10.2,10.83,7.95,2.33,16.64,0,0,0,2.9,10.4,31267.0,31585.0,0.44,6.67,38.35,14.96,9.8,3921.0,53.51,24.34,16.08,4.32,35.08,21.05,7.49,5.0,0.01,0.0,0.15
050US27131,65765,57463,3576,24864,34128.0,86.98,5.36,0.38,2.11,0.11,5.06,7.94,0.22,59.79,14.76,3723,8356,5558,6531,27245,4215,4272,4220,4026,9708,51268,41560,9.6,9.55,6.98,2.51,18.27,126,105,115,3.7,10.7,30181.0,29767.0,0.43,19.83,25.7,13.67,9.93,16664.0,48.83,12.58,7.32,5.02,27.59,25.48,50.15,10.0,0.02,0.0,0.12
050US27133,9413,9151,504,4270,4788.0,96.19,1.14,0.72,1.03,0.0,0.92,3.0,0.25,54.12,19.64,609,1337,611,456,3148,599,577,599,695,1849,7059,5210,11.3,8.17,7.15,1.77,10.1,0,0,0,1.9,9.7,31928.0,30544.0,0.43,9.42,30.83,16.83,11.36,2411.0,50.36,16.58,6.84,1.62,28.53,25.49,8.85,1.0,0.0,0.0,0.16
050US27135,15462,15241,1013,7548,8239.0,92.79,0.87,1.66,2.81,0.04,1.84,1.24,0.24,54.12,16.23,924,2143,1091,870,5301,1044,1251,1188,1102,2509,11688,9179,10.9,7.3,8.67,2.22,19.88,14,13,14,2.6,9.8,31408.0,28049.0,0.39,6.85,45.88,11.49,10.49,4839.0,58.73,15.2,20.57,16.3,32.17,20.22,4.52,6.0,0.0,0.0,0.15
050US27137,200080,190989,14969,104327,98063.0,92.26,1.49,1.85,1.05,0.05,3.3,1.64,0.19,54.39,18.26,10283,21559,13826,18179,76979,10986,13238,15548,14956,36531,161751,125220,14.4,5.78,9.27,3.15,23.79,1446,1222,1414,4.9,15.0,27451.0,30321.0,0.45,9.74,17.64,20.62,11.9,50070.0,51.06,16.42,17.91,4.29,30.91,29.09,16.7,43.0,0.01,0.0,0.17
050US27139,143372,141719,5844,50538,78641.0,84.33,4.07,0.75,6.14,0.08,4.62,5.07,0.28,63.11,9.98,10216,23280,10211,7733,56986,11339,10823,9505,6917,14306,102967,88661,7.5,5.22,5.68,1.98,22.97,144,133,144,3.3,5.8,41940.0,39952.0,0.4,6.77,24.55,12.35,11.45,31182.0,39.65,6.72,4.01,1.29,21.19,17.69,141.86,17.0,0.05,0.0,0.14
050US27141,93231,91097,5410,33542,50434.0,92.69,2.2,0.63,1.32,0.0,3.15,2.54,0.27,62.81,10.54,6216,14397,6568,5456,37949,6977,6954,6447,4461,9830,68146,58316,8.8,5.52,7.94,3.44,29.44,80,72,80,3.1,7.1,37592.0,34013.0,0.37,7.0,28.0,14.25,11.73,24224.0,48.03,7.52,5.38,1.38,24.46,17.35,77.48,10.0,0.02,0.0,0.16
050US27143,14912,14687,851,6598,7949.0,95.9,0.85,0.33,0.67,0.03,2.21,8.89,0.24,53.8,17.78,851,2077,971,761,5095,957,1143,1152,985,2652,11352,8700,10.6,9.1,7.5,2.58,13.55,0,0,0,2.8,7.1,32492.0,30977.0,0.41,6.37,41.88,13.88,8.57,4641.0,58.38,19.78,8.49,3.32,34.96,20.98,11.21,2.0,0.0,0.0,0.12
