HEROP_ID,AreaSqMi,TotTracts,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,TtlPrPpr,FmlPrPpr,MlPrPpr,AapiPrPpr,BlckPrPpr,LtnxPrPpr,NtvPrPpr,WhtPrPpr,TtlPrAPpr,FmlPrAPpr,MlPrAPpr,AapiPrAPpr,BlckPrAPpr,LtnxPrAPpr,NtvPrAPpr,WhtPrAPpr,TtlPrPp,FmlPrPp,MlPrPp,AapiPrPp,BlckPrPp,LtnxPrPp,NtvPrPp,WhtPrPp,TtlPrAPp,FmlPrAPp,MlPrAPp,AapiPrAPp,BlckPrAPp,LtnxPrAPp,NtvPrAPp,WhtPrAPp,TtlJlPpr,FmlJlPpr,MlJlPpr,AapiJlPpr,BlckJlPpr,LtnxJlPpr,NtvJlPpr,WhtJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,FmlJlPp,MlJlPp,AapiJlPp,BlckJlPp,LtnxJlPp,NtvJlPp,WhtJlPp,TtlJlAdm,TtlJlPrt
050US01001,594.44,12,11.0,5.0,,1.0,0.0,,0.0,0.0,,14.96,49.26,,39.64,145.24,,40.97,154.1,,0.92,0.42,,0.08,0.0,,0.0,0.0,,0.58,0.42,0.0,,54571,31650,22921,0.42,0,1,0.0,502.84,81.34,935.78,,1182.23,,,339.78,236.31,86.77,389.91,,489.2,,,179.02,183.0,15.0,168.0,,87.0,,,93.0,86.0,16.0,70.0,,36.0,,,49.0,453.9,135.14,711.4,0.0,645.16,195.5,557.05,279.87,2145.69,266.84,165.0,25.0,127.0,0.0,48.0,2.0,0.83,76.0,780.0,97.0
050US01003,1589.79,32,27.0,11.0,,4.0,,,1.0,,,16.69,52.06,,47.88,,,49.02,,,0.84,0.34,,0.12,,,0.03,,,0.34,0.22,0.44,,182265,105205,77060,0.42,0,0,0.0,618.44,78.14,1186.51,0.0,2281.6,0.0,0.0,458.76,353.5,105.19,614.58,0.0,1240.33,0.0,0.0,269.15,803.0,52.0,751.0,0.0,298.0,0.0,0.0,496.0,459.0,70.0,389.0,0.0,162.0,0.0,0.0,291.0,476.27,160.46,796.73,460.36,1266.4,624.73,220.75,369.36,11350.3,368.75,629.0,109.0,511.0,9.0,166.0,37.64,2.34,406.0,14990.0,487.0
050US01005,885.0,9,0.0,,,0.0,,,0.0,,,64.97,,,81.58,,,68.08,,,0.0,,,0.0,,,0.0,,,0.0,0.0,1.0,,27457,8844,18613,0.68,0,1,0.0,902.36,,,,,,,,240.63,,,,,,,,150.0,,,,,,,,40.0,,,,,,,,690.04,113.19,1020.18,0.0,123.05,1199.4,5545.45,1150.23,4848.94,261.1,111.0,8.0,92.0,0.0,10.0,8.0,3.66,82.0,780.0,42.0
050US01007,622.46,4,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,24.33,70.14,208.92,57.7,197.9,,53.64,197.38,,0.25,0.25,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,,22915,7252,15663,0.68,1,0,0.0,341.14,,,,,,,,59.04,,,,,,,,52.0,,,,,,,,9.0,,,,,,,,502.71,134.93,710.23,0.0,655.38,997.51,0.0,411.0,9425.85,423.34,76.0,9.0,60.0,0.0,24.0,4.0,0.0,45.0,1425.0,64.0
050US01009,644.83,9,3.0,0.0,,0.0,0.0,,2.0,0.0,,36.37,113.18,,46.48,167.98,,39.84,130.9,,0.33,0.0,,0.0,0.0,,0.22,0.0,,0.0,0.44,0.56,,57322,5760,51562,0.9,1,0,0.0,288.89,60.91,514.05,,1206.9,,,301.24,145.82,49.83,240.62,,,,,158.39,105.0,11.0,94.0,,7.0,,,97.0,53.0,9.0,44.0,,,,,51.0,367.77,82.88,539.89,0.0,1851.85,294.64,0.0,314.36,0.0,189.37,134.0,15.0,99.0,0.0,11.0,10.0,0.0,101.0,0.0,69.0
050US01011,622.8,3,0.0,0.0,,0.0,,,0.0,0.0,,47.18,172.47,,75.48,,,74.23,272.7,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,,10914,5307,5607,0.51,0,1,0.0,590.35,0.0,1018.38,,790.11,,,,,,,,,,,,41.0,0.0,41.0,,39.0,,,,,,,,,,,,473.86,984.18,486.18,0.0,501.36,0.0,0.0,69.01,13860.51,296.16,32.0,28.0,19.0,0.0,24.0,0.0,0.0,1.0,936.0,20.0
050US01013,776.83,9,0.0,0.0,,0.0,,,0.0,,,54.44,221.63,,76.97,,,78.29,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.22,0.78,,20947,6026,14921,0.71,0,1,0.0,1203.18,238.52,2326.79,0.0,2084.42,0.0,0.0,476.95,585.55,208.71,1024.48,0.0,1024.84,0.0,0.0,222.58,150.0,16.0,134.0,0.0,120.0,0.0,0.0,30.0,73.0,14.0,59.0,0.0,59.0,0.0,0.0,14.0,626.58,106.35,770.98,0.0,1170.51,591.72,0.0,439.81,12694.28,130.2,77.0,7.0,44.0,0.0,67.0,1.0,0.0,27.0,1560.0,16.0
050US01015,605.86,31,29.0,17.0,6.0,24.0,5.0,,21.0,2.0,,11.61,36.39,120.36,20.27,69.87,,25.84,86.25,,0.94,0.55,0.19,0.77,0.16,,0.68,0.06,,0.68,0.29,0.03,,118572,78617,39955,0.34,0,0,0.0,1005.94,150.99,1904.61,0.0,2198.73,0.0,0.0,714.85,564.34,150.99,998.82,0.0,906.07,0.0,0.0,500.39,754.0,58.0,696.0,0.0,364.0,0.0,0.0,390.0,423.0,58.0,365.0,0.0,150.0,0.0,0.0,273.0,669.59,199.24,1319.39,200.0,1268.58,570.13,0.0,557.88,18595.21,631.94,498.0,76.0,478.0,1.8,210.0,15.0,0.0,301.0,13830.0,470.0
050US01017,596.56,9,8.0,4.0,1.0,0.0,0.0,,1.0,0.0,,13.09,39.23,187.22,42.4,173.76,,38.8,136.63,,0.89,0.44,0.11,0.0,0.0,,0.11,0.0,,0.0,0.78,0.22,,34215,17399,16816,0.49,0,1,0.0,928.2,208.41,1683.95,0.0,1294.21,0.0,0.0,714.47,426.97,190.29,675.48,0.0,412.81,0.0,0.0,467.81,200.0,23.0,177.0,0.0,116.0,0.0,0.0,84.0,92.0,21.0,71.0,0.0,37.0,0.0,0.0,55.0,696.16,91.15,1111.96,0.0,771.98,223.71,0.0,542.17,2915.48,224.27,149.0,10.0,116.0,0.0,69.0,1.0,0.0,63.0,624.0,48.0
050US01019,553.52,6,5.0,2.0,2.0,0.0,0.0,,2.0,0.0,,16.36,58.16,170.89,46.98,189.26,,35.24,129.71,,0.83,0.33,0.33,0.0,0.0,,0.33,0.0,,0.0,0.5,0.5,,25989,3707,22282,0.86,0,0,0.0,683.34,239.6,1122.05,0.0,1441.68,0.0,0.0,661.36,476.46,226.99,723.1,0.0,1310.62,0.0,0.0,445.4,109.0,19.0,90.0,0.0,11.0,0.0,0.0,98.0,76.0,18.0,58.0,0.0,10.0,0.0,0.0,66.0,785.13,227.07,1275.96,0.0,1179.55,829.88,0.0,737.83,18943.53,502.48,125.0,18.0,102.0,0.0,9.0,2.0,0.0,109.0,3016.0,80.0
