HEROP_ID,AreaSqMi,TotTracts,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,TtlPrPpr,FmlPrPpr,MlPrPpr,AapiPrPpr,BlckPrPpr,LtnxPrPpr,NtvPrPpr,WhtPrPpr,TtlPrAPpr,FmlPrAPpr,MlPrAPpr,AapiPrAPpr,BlckPrAPpr,LtnxPrAPpr,NtvPrAPpr,WhtPrAPpr,TtlPrPp,FmlPrPp,MlPrPp,AapiPrPp,BlckPrPp,LtnxPrPp,NtvPrPp,WhtPrPp,TtlPrAPp,FmlPrAPp,MlPrAPp,AapiPrAPp,BlckPrAPp,LtnxPrAPp,NtvPrAPp,WhtPrAPp,TtlJlPpr,FmlJlPpr,MlJlPpr,AapiJlPpr,BlckJlPpr,LtnxJlPpr,NtvJlPpr,WhtJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,FmlJlPp,MlJlPp,AapiJlPp,BlckJlPp,LtnxJlPp,NtvJlPp,WhtJlPp,TtlJlAdm,TtlJlPrt
050US01021,692.85,9,6.0,1.0,,6.0,1.0,,6.0,1.0,,26.47,99.22,,23.62,70.78,,23.62,70.78,,0.67,0.11,,0.67,0.11,,0.67,0.11,,0.0,0.33,0.67,,43643,5785,37858,0.87,1,0,0.0,613.95,127.67,1100.93,,1446.84,,,564.45,276.81,106.39,447.47,,605.65,,,258.16,173.0,18.0,155.0,,43.0,,,129.0,78.0,15.0,63.0,,18.0,,,59.0,603.54,256.17,864.39,407.89,939.28,187.27,0.0,552.63,9784.5,0.0,170.0,36.0,122.0,0.62,28.0,4.0,0.0,126.0,2756.0,0.0
050US01023,913.46,4,0.0,0.0,,0.0,,,0.0,,,66.75,216.5,,74.06,,,78.41,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,1.0,,13859,0,13859,1.0,0,1,0.0,699.39,119.16,1338.23,,1056.84,,,408.26,112.4,0.0,236.16,0.0,114.25,0.0,0.0,113.4,56.0,5.0,51.0,,37.0,,,18.0,9.0,0.0,9.0,0.0,4.0,0.0,0.0,5.0,342.42,48.29,561.05,0.0,262.16,666.67,0.0,183.61,8573.24,38.05,27.0,2.0,21.0,0.0,9.0,0.42,0.0,8.0,676.0,3.0
050US01025,1238.41,9,3.0,1.0,,0.0,,,0.0,,,38.54,163.37,,111.0,,,116.62,,,0.33,0.11,,0.0,,,0.0,,,0.0,0.11,0.89,,25833,6205,19628,0.76,0,1,0.0,881.51,110.93,1736.16,0.0,1427.4,0.0,0.0,410.36,220.38,,,,,,,,136.0,9.0,127.0,0.0,104.0,0.0,0.0,32.0,34.0,,,,,,,,1324.02,87.57,2713.23,0.0,1746.05,1638.74,2464.79,1002.08,11988.67,882.68,201.0,7.0,195.0,0.0,125.0,3.13,1.75,77.0,1820.0,134.0
050US01027,603.96,4,3.0,2.0,2.0,0.0,0.0,,0.0,0.0,,14.34,37.93,112.77,67.88,223.62,,65.38,214.03,,0.75,0.5,0.5,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,,13932,0,13932,1.0,0,0,0.0,922.09,93.2,1775.86,,3035.02,,,555.96,567.44,163.09,983.92,,1556.42,,,395.03,78.0,4.0,74.0,,39.0,,,38.0,48.0,7.0,41.0,,20.0,,,27.0,1128.67,352.2,2573.35,0.0,1831.21,738.01,0.0,982.55,13591.54,451.47,95.0,15.0,107.0,0.0,23.0,2.0,0.0,67.0,1144.0,38.0
050US01029,560.1,4,3.0,0.0,0.0,2.0,0.0,,2.0,0.0,,31.48,110.53,330.62,38.27,142.93,,39.05,134.37,,0.75,0.0,0.0,0.5,0.0,,0.5,0.0,,0.0,0.75,0.25,,14972,0,14972,1.0,0,0,0.0,711.36,172.86,1247.31,,2187.5,,,667.74,485.02,151.25,817.2,0.0,2187.5,0.0,0.0,437.49,66.0,8.0,58.0,,7.0,,,58.0,45.0,7.0,38.0,0.0,7.0,0.0,0.0,38.0,724.48,283.35,1373.39,0.0,2614.38,3333.33,0.0,714.78,8855.97,670.42,67.0,13.0,64.0,0.0,8.0,7.0,0.0,62.0,819.0,62.0
050US01031,678.98,14,12.0,5.0,,3.0,,,0.0,,,15.4,54.45,,42.82,,,45.27,,,0.86,0.36,,0.21,,,0.0,,,0.0,0.43,0.57,,49948,26375,23573,0.47,0,0,0.77,610.05,42.66,1178.48,,2003.61,,,328.37,204.37,54.85,354.16,,525.54,,,136.47,200.0,7.0,193.0,,122.0,,,77.0,67.0,9.0,58.0,,32.0,,,32.0,387.23,96.95,622.28,126.6,1131.33,128.98,204.44,199.52,4719.41,335.8,128.0,16.0,103.0,0.79,69.0,3.0,0.92,47.0,1560.0,111.0
050US01033,592.74,14,14.0,9.0,6.0,13.0,7.0,,13.0,3.0,,9.84,31.15,107.66,14.1,44.86,,17.3,62.19,,1.0,0.64,0.43,0.93,0.5,,0.93,0.21,,0.64,0.36,0.0,,54428,30537,23891,0.44,0,0,0.0,744.34,96.63,1422.53,,1570.05,,,596.41,311.11,73.9,559.49,,517.6,,,278.08,256.0,17.0,239.0,,91.0,,,163.0,107.0,13.0,94.0,,30.0,,,76.0,314.07,102.11,548.96,0.0,973.69,679.09,0.0,223.85,5292.7,250.09,108.0,18.0,92.0,0.0,57.0,5.65,0.0,61.0,1820.0,86.0
050US01035,850.2,5,4.0,1.0,1.0,0.0,,,0.0,,,23.48,71.32,259.63,66.09,,,66.09,,,0.8,0.2,0.2,0.0,,,0.0,,,0.0,0.0,1.0,,13228,2520,10708,0.81,0,1,0.0,591.33,101.81,1113.83,0.0,912.75,0.0,0.0,299.16,197.11,,,,,,,,45.0,4.0,41.0,0.0,34.0,0.0,0.0,11.0,15.0,,,,,,,,475.81,357.51,2602.74,0.0,594.76,0.0,0.0,437.88,0.0,171.82,36.0,14.0,95.0,0.0,22.0,0.0,0.0,16.0,0.0,13.0
050US01037,650.91,3,1.0,0.0,,0.0,0.0,,0.0,0.0,,30.88,111.31,,78.22,234.22,,51.94,183.23,,0.33,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,11539,0,11539,1.0,0,0,0.0,1101.26,147.58,1997.78,0.0,1516.46,0.0,0.0,937.08,457.67,177.1,721.42,0.0,303.29,0.0,0.0,557.79,77.0,5.0,72.0,0.0,35.0,0.0,0.0,42.0,32.0,6.0,26.0,0.0,7.0,0.0,0.0,25.0,668.99,238.73,1134.75,0.0,932.09,705.88,0.0,610.17,12856.31,349.04,46.0,8.0,40.0,0.0,21.0,1.08,0.0,27.0,884.0,24.0
050US01039,1030.55,14,13.0,5.0,,0.0,,,0.0,,,13.14,56.15,,84.48,,,75.0,,,0.93,0.36,,0.0,,,0.0,,,0.0,0.07,0.93,,37765,11461,26304,0.7,0,0,0.0,1658.4,281.76,3090.04,0.0,3691.92,0.0,0.0,1380.86,970.66,315.92,1651.57,,1941.44,,,838.93,381.0,33.0,348.0,0.0,116.0,0.0,0.0,265.0,223.0,37.0,186.0,,61.0,,,161.0,958.57,346.62,1802.13,0.0,1482.31,880.43,0.0,940.6,3904.94,728.86,217.0,40.0,200.0,0.0,45.67,3.24,0.0,178.0,884.0,165.0
050US01041,608.86,6,0.0,0.0,,0.0,,,0.0,,,45.42,162.66,,80.1,,,81.44,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.67,0.33,,13906,0,13906,1.0,0,0,0.01,528.8,,,,,,,,137.95,,,,,,,,46.0,,,,,,,,12.0,,,,,,,,577.1,112.46,1375.06,0.0,826.83,3629.14,0.0,728.86,9002.77,265.47,50.0,5.0,58.0,0.0,18.0,5.48,0.0,45.0,780.0,23.0
050US01043,734.78,18,16.0,5.0,3.0,15.0,4.0,,15.0,4.0,,16.86,52.57,196.45,20.98,66.83,,20.98,66.78,,0.89,0.28,0.17,0.83,0.22,,0.83,0.22,,0.0,0.22,0.78,,80406,21517,58889,0.73,0,0,0.0,651.95,150.87,1144.44,0.0,1659.75,0.0,0.0,674.94,408.43,174.08,638.76,0.0,691.56,0.0,0.0,428.01,340.0,39.0,301.0,0.0,12.0,0.0,0.0,328.0,213.0,45.0,168.0,0.0,5.0,0.0,0.0,208.0,604.5,265.94,976.11,282.05,3566.71,555.3,340.3,591.73,11517.93,573.89,316.0,69.0,257.0,0.99,27.0,12.0,1.14,288.0,6021.0,300.0
050US01045,561.1,14,13.0,4.0,1.0,6.0,0.0,,13.0,5.0,,15.8,45.91,135.18,35.06,105.99,,17.77,59.31,,0.93,0.29,0.07,0.43,0.0,,0.93,0.36,,0.07,0.79,0.14,,50251,24679,25572,0.51,0,0,0.01,583.88,50.39,1113.82,,1467.17,,,378.11,251.13,69.29,431.76,0.0,581.06,0.0,0.0,180.05,186.0,8.0,178.0,,101.0,,,84.0,80.0,11.0,69.0,0.0,40.0,0.0,0.0,40.0,189.21,44.13,340.76,0.0,543.48,48.36,0.0,114.29,9018.95,160.83,60.0,7.0,54.0,0.0,38.0,1.0,0.0,25.0,2860.0,51.0
050US01047,978.73,15,0.0,0.0,,0.0,,,0.0,,,54.07,192.63,,82.31,,,83.78,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.53,0.47,,43820,23821,19999,0.46,0,1,0.0,781.96,51.05,1645.13,,991.89,,,242.57,134.28,,,,,,,,198.0,7.0,191.0,,181.0,,,16.0,34.0,,,,,,,,758.9,29.99,1389.26,0.0,752.22,836.82,0.0,912.52,6752.97,624.97,187.0,4.0,157.0,0.0,134.0,2.0,0.0,58.0,1664.0,154.0
050US01049,777.1,14,12.0,3.0,3.0,1.0,0.0,,6.0,1.0,,17.08,50.72,150.47,47.13,199.79,,31.15,118.09,,0.86,0.21,0.21,0.07,0.0,,0.43,0.07,,0.0,0.07,0.93,,71109,7018,64091,0.9,0,0,0.0,386.37,84.97,683.6,,1801.8,,,424.57,224.27,71.55,374.88,,900.9,,,249.91,174.0,19.0,155.0,,14.0,,,158.0,101.0,16.0,85.0,,7.0,,,93.0,522.0,49.31,537.18,0.0,1137.8,785.87,0.0,502.16,5428.82,439.81,235.0,11.0,122.0,0.0,9.0,49.29,0.0,185.71,2444.0,198.0
050US01051,618.44,15,12.0,4.0,5.0,4.0,0.0,,9.0,2.0,,19.34,51.99,139.68,38.92,131.13,,24.53,77.53,,0.8,0.27,0.33,0.27,0.0,,0.6,0.13,,0.47,0.47,0.07,,79303,36330,42973,0.54,0,0,0.0,459.98,42.68,903.56,,1077.72,,,282.43,190.59,42.68,347.81,0.0,416.93,0.0,0.0,128.61,251.0,12.0,239.0,,137.0,,,112.0,104.0,12.0,92.0,0.0,53.0,0.0,0.0,51.0,628.46,89.17,761.88,0.0,846.99,1062.34,0.0,306.42,8408.83,176.41,342.0,25.0,201.0,0.0,107.0,16.36,0.0,121.0,4576.0,96.0
050US01053,945.22,9,9.0,5.0,2.0,2.0,0.0,,2.0,0.0,,12.35,41.29,145.21,33.86,113.65,,33.86,113.65,,1.0,0.56,0.22,0.22,0.0,,0.22,0.0,,0.0,0.0,1.0,,38319,13982,24337,0.64,0,0,0.0,1062.91,252.73,1748.09,,1501.54,,,895.19,525.25,180.52,816.79,,756.68,,,437.02,257.0,28.0,229.0,,127.0,,,127.0,127.0,20.0,107.0,,64.0,,,62.0,880.24,126.25,1028.63,0.0,1130.43,572.52,171.09,641.39,6601.78,355.48,208.0,14.0,129.0,0.0,91.0,3.0,1.61,90.0,1560.0,84.0
050US01055,535.28,30,30.0,19.0,10.0,29.0,13.0,,27.0,4.0,,8.42,24.01,74.71,12.91,41.57,,16.07,53.15,,1.0,0.63,0.33,0.97,0.43,,0.9,0.13,,0.73,0.17,0.1,,104430,65286,39144,0.37,1,0,0.0,1043.97,253.13,1865.54,,2328.51,,,828.64,587.24,282.91,903.38,,908.03,,,551.14,688.0,85.0,603.0,,259.0,,,427.0,387.0,95.0,292.0,,101.0,,,284.0,1092.97,263.03,1900.76,2293.58,1794.09,4000.84,0.0,539.23,10411.43,275.91,717.0,88.0,611.0,15.0,199.0,95.62,0.0,276.0,6830.0,181.0
050US01057,627.68,5,1.0,0.0,,0.0,0.0,,0.0,0.0,,34.15,118.23,,57.26,208.76,,56.36,216.77,,0.2,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.2,0.8,,17241,3408,13833,0.8,0,0,0.0,701.34,214.68,1186.31,0.0,1733.65,0.0,0.0,569.67,379.89,136.61,622.33,0.0,551.62,0.0,0.0,364.59,72.0,11.0,61.0,0.0,22.0,0.0,0.0,50.0,39.0,7.0,32.0,0.0,7.0,0.0,0.0,32.0,660.62,354.82,1104.75,3846.15,2654.87,552.49,0.0,450.09,6408.99,650.76,67.0,18.0,56.0,1.0,33.0,1.0,0.0,39.0,650.0,66.0
050US01059,633.92,9,5.0,2.0,,0.0,0.0,,0.0,,,26.52,86.51,,49.12,163.22,,57.12,,,0.56,0.22,,0.0,0.0,,0.0,,,0.0,0.56,0.44,,31704,9395,22309,0.7,0,0,0.0,613.86,143.65,1059.18,,1815.98,,,674.24,568.95,318.08,806.53,,1452.78,,,635.72,123.0,14.0,109.0,,15.0,,,105.0,114.0,31.0,83.0,,12.0,,,99.0,346.52,196.97,857.2,0.0,476.19,172.22,0.0,347.38,10968.26,306.35,69.0,19.0,88.0,0.0,4.0,6.0,0.0,53.5,2184.0,61.0
050US01061,574.48,6,3.0,0.0,,1.0,0.0,,2.0,0.0,,29.05,102.08,,43.26,129.33,,45.31,177.38,,0.5,0.0,,0.17,0.0,,0.33,0.0,,0.0,0.83,0.17,,26790,2775,24015,0.9,0,0,0.21,655.34,132.18,1189.02,,1423.49,,,594.94,412.62,156.21,674.18,,711.74,,,394.24,108.0,11.0,97.0,,24.0,,,83.0,68.0,13.0,55.0,,12.0,,,55.0,421.73,96.95,690.59,0.0,655.54,312.5,0.0,289.21,8899.21,201.7,69.0,8.0,56.0,0.0,11.0,2.0,0.0,40.0,1456.0,33.0
050US01063,647.02,3,1.0,0.0,,0.0,,,0.0,,,44.17,175.63,,81.05,,,57.01,,,0.33,0.0,,0.0,,,0.0,,,0.0,1.0,0.0,,9045,0,9045,1.0,0,1,0.0,750.87,0.0,1555.64,0.0,802.27,0.0,0.0,578.03,211.78,0.0,438.77,,212.36,,,,39.0,0.0,39.0,0.0,34.0,0.0,0.0,5.0,11.0,0.0,11.0,,9.0,,,,119.19,152.21,1039.07,0.0,614.55,0.0,0.0,115.74,11362.73,377.43,6.0,4.0,25.0,0.0,25.0,0.0,0.0,1.0,572.0,19.0
050US01065,643.98,6,3.0,1.0,,0.0,,,1.0,,,25.62,99.28,,94.69,,,52.76,,,0.5,0.17,,0.0,,,0.17,,,0.0,1.0,0.0,,15760,1707,14053,0.89,0,1,0.0,323.21,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,435.4,82.41,784.68,0.0,561.9,691.67,0.0,200.06,5660.17,293.89,40.0,4.0,34.0,0.0,31.0,0.83,0.0,7.0,520.0,27.0
050US01067,561.75,6,2.0,0.0,,0.0,0.0,,1.0,0.0,,38.32,124.72,,55.05,207.18,,41.1,145.72,,0.33,0.0,,0.0,0.0,,0.17,0.0,,0.0,0.83,0.17,,17302,2119,15183,0.88,0,0,0.0,951.38,167.66,1769.4,0.0,1933.98,0.0,0.0,589.23,266.39,,,,,,,,100.0,9.0,91.0,0.0,58.0,0.0,0.0,42.0,28.0,,,,,,,,450.19,93.81,861.06,0.0,845.17,961.54,0.0,296.36,6973.18,201.15,47.0,5.0,44.0,0.0,25.0,3.0,0.0,21.0,728.0,21.0
050US01069,579.87,22,21.0,16.0,8.0,16.0,1.0,,20.0,13.0,,8.83,26.18,77.46,24.97,99.42,,13.28,42.17,,0.95,0.73,0.36,0.73,0.05,,0.91,0.59,,0.68,0.32,0.0,,101547,67220,34327,0.34,0,0,0.57,1519.56,228.32,2913.02,0.0,3417.25,0.0,0.0,821.37,516.02,193.64,863.92,,990.89,,,350.42,1013.0,79.0,934.0,0.0,638.0,0.0,0.0,368.0,344.0,67.0,277.0,,185.0,,,157.0,491.94,95.61,960.7,0.0,886.28,235.62,0.0,373.67,11866.83,160.97,327.0,33.0,307.0,0.0,166.0,5.08,0.0,166.0,7888.0,107.0
050US01071,1077.98,11,9.0,4.0,3.0,4.0,1.0,,0.0,0.0,,16.31,51.46,159.33,34.31,145.71,,52.75,237.52,,0.82,0.36,0.27,0.36,0.09,,0.0,0.0,,0.0,0.55,0.45,,53227,12233,40994,0.77,0,0,0.0,488.91,66.06,916.04,0.0,2159.47,0.0,0.0,450.66,334.99,90.08,582.38,0.0,996.68,0.0,0.0,328.05,162.0,11.0,151.0,0.0,26.0,0.0,0.0,136.0,111.0,15.0,96.0,0.0,12.0,0.0,0.0,99.0,578.09,307.88,1429.27,0.0,1968.83,455.04,0.0,508.79,13606.35,216.02,190.0,51.0,233.0,0.0,24.0,4.2,0.0,152.0,4472.0,71.0
050US01073,1111.38,163,161.0,139.0,74.0,142.0,5.0,,156.0,74.0,,6.3,15.59,45.44,21.84,65.0,,13.71,41.05,,0.99,0.85,0.45,0.87,0.03,,0.96,0.45,,0.96,0.04,0.0,1.0,658472,593714,64752,0.1,1,0,0.0,866.43,76.99,1731.28,0.0,1542.0,0.0,0.0,361.77,282.45,73.47,511.38,0.0,407.73,0.0,0.0,200.88,3767.0,175.0,3592.0,0.0,2965.0,0.0,0.0,787.0,1228.0,167.0,1061.0,0.0,784.0,0.0,0.0,437.0,349.35,94.07,646.64,49.89,508.37,249.98,430.99,247.06,16602.0,129.18,1509.0,213.0,1329.0,4.43,974.34,38.3,4.84,531.1,71712.0,558.0
050US01075,604.84,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,41.63,135.07,,58.87,207.17,,53.83,191.88,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,14564,0,14564,1.0,0,0,0.0,576.27,93.61,1063.83,0.0,794.44,0.0,0.0,559.42,435.14,117.01,756.5,0.0,1092.35,0.0,0.0,354.76,49.0,4.0,45.0,0.0,8.0,0.0,0.0,41.0,37.0,5.0,32.0,0.0,11.0,0.0,0.0,26.0,807.12,142.21,832.14,0.0,702.11,0.0,0.0,496.0,5554.9,118.69,68.0,6.0,35.0,0.0,7.0,0.0,0.0,36.0,468.0,10.0
050US01077,668.01,22,21.0,14.0,4.0,17.0,4.0,,18.0,11.0,,11.68,33.84,117.6,21.81,75.61,,16.3,55.5,,0.95,0.64,0.18,0.77,0.18,,0.82,0.5,,0.59,0.32,0.09,,92709,47008,45701,0.49,0,0,0.0,535.36,97.72,1000.52,0.0,1436.29,0.0,0.0,444.76,280.27,81.43,491.6,0.0,540.54,0.0,0.0,259.77,319.0,30.0,289.0,0.0,93.0,0.0,0.0,226.0,167.0,25.0,142.0,0.0,35.0,0.0,0.0,132.0,510.31,121.23,682.72,162.71,1159.73,63.65,0.0,449.49,8670.17,313.26,303.0,37.0,197.0,0.96,75.0,1.0,0.0,227.0,5148.0,186.0
050US01079,690.68,9,9.0,2.0,1.0,0.0,,,0.0,0.0,,14.67,64.53,208.4,43.83,,,43.23,172.56,,1.0,0.22,0.11,0.0,,,0.0,0.0,,0.0,0.67,0.33,,34339,2991,31348,0.91,0,0,0.55,837.74,230.86,1461.38,0.0,1495.64,0.0,0.0,846.15,538.21,240.1,844.56,,664.73,,,579.88,179.0,25.0,154.0,0.0,36.0,0.0,0.0,143.0,115.0,26.0,89.0,,16.0,,,98.0,614.05,223.73,947.91,0.0,922.05,1070.42,0.0,603.2,7557.51,132.26,130.0,24.0,99.0,0.0,22.0,4.56,0.0,101.0,1600.0,28.0
