HEROP_ID,TotPop,TotUnits,Ovr65P,WhiteP,BlackP,AmIndP,PacIsP,OtherP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkP,MobileP,LngTermP,RentalP,UnitDens
050US37079,20987,8352,16.3,57.0,33.8,0.5,0.0,0.3,21.2,5.6,13.6,18470.0,16736.0,8381,21.3,6.2,7.1,3.1,29655,19415,0.4225,9.0,33.4,15.8,9.3,65.8,39.6,32.6,78.9,31.3
050US37147,179961,80255,13.2,56.2,34.9,0.4,0.0,0.2,20.8,8.1,11.9,172848.0,140984.0,84110,14.2,7.5,6.7,6.8,32898,27599,0.4771,12.8,17.8,18.4,11.9,49.9,11.8,15.7,111.9,123.0
050US37173,14241,9080,19.1,64.7,0.7,30.2,0.0,2.0,17.0,6.1,36.8,13941.0,10976.0,5898,18.7,6.3,9.4,2.0,30070,24234,0.4414,8.1,14.8,14.2,6.3,60.3,26.0,27.9,65.3,17.2
050US45065,9495,5669,34.5,51.9,44.1,0.0,0.0,0.2,15.3,5.7,29.7,8353.0,8366.0,2955,19.9,12.6,7.0,3.8,33842,26857,0.4478,7.3,29.5,19.6,7.5,58.8,23.9,36.7,42.1,15.8
050US46003,2757,1307,18.2,92.6,1.8,2.7,0.0,0.5,5.5,0.3,14.0,2579.0,2008.0,1486,12.6,7.5,1.2,1.8,39950,35590,0.4313,9.6,43.3,13.1,7.9,48.8,10.3,28.6,31.8,1.8
050US47055,29403,14156,20.0,85.6,10.4,0.2,0.0,0.7,13.2,5.4,17.3,28609.0,23269.0,12694,17.0,8.7,7.0,2.5,33908,26567,0.443,6.4,36.3,13.5,10.4,56.7,15.7,29.7,68.8,23.2
050US47085,18528,8983,19.4,92.4,2.1,0.8,0.0,0.2,15.5,9.1,23.5,18288.0,14495.0,7546,19.8,10.0,7.7,5.0,30058,25307,0.4251,6.8,34.8,12.9,13.1,58.5,16.4,31.4,59.0,16.9
050US05145,78725,33924,16.3,90.9,4.3,0.5,0.0,0.7,14.4,4.9,14.8,74987.0,60253.0,32226,17.7,8.3,7.4,3.0,32097,23801,0.4604,14.1,22.3,14.7,13.4,56.0,19.2,18.2,79.4,32.8
050US13107,22525,9932,16.0,62.0,33.4,0.2,0.0,0.3,24.0,8.0,16.7,21629.0,16922.0,8437,19.3,7.2,10.1,2.1,29838,19310,0.4593,9.2,32.2,15.4,12.0,62.7,26.4,30.6,104.3,14.6
050US16007,6054,4155,20.6,94.3,0.3,0.9,0.0,0.1,14.8,3.7,40.9,6017.0,4450.0,2609,12.8,7.5,2.6,1.6,30408,27596,0.4167,8.7,35.5,19.2,6.5,60.9,4.7,25.9,46.8,4.3
050US47119,94615,38474,16.2,82.7,11.2,0.2,0.0,0.8,9.0,3.8,8.6,93400.0,72598.0,45851,12.4,7.8,6.6,2.1,36001,29196,0.425,6.9,23.5,16.8,11.2,51.4,10.6,20.0,66.7,62.8
050US47147,70982,27674,14.7,86.0,7.3,0.3,0.0,0.7,11.2,4.7,5.6,69957.0,53970.0,34904,13.8,7.3,7.3,1.6,38624,30620,0.417,6.9,27.4,12.6,11.1,50.1,8.8,21.6,70.0,58.1
050US48015,29892,13335,19.5,75.5,8.8,0.1,0.0,0.5,11.7,5.6,13.2,29619.0,22750.0,14219,15.0,5.2,4.1,1.7,40402,31592,0.4275,7.4,29.4,9.9,12.8,46.6,18.9,20.6,53.5,20.6
050US48277,49705,22807,19.3,79.8,12.9,1.3,0.0,1.3,18.4,3.9,12.3,49032.0,37860.0,22190,19.5,7.8,5.8,1.8,30934,24826,0.462,8.6,27.3,16.9,12.7,55.7,7.5,19.3,82.3,25.1
050US48391,7015,3725,21.9,80.3,5.8,0.2,0.0,2.0,15.3,6.3,31.1,6856.0,5386.0,2856,20.7,8.3,14.5,1.2,30204,24893,0.4377,10.2,30.4,13.7,12.3,52.9,9.5,38.4,63.7,4.8
050US48469,92044,37264,16.1,82.1,5.9,0.4,0.0,0.5,15.7,5.2,12.7,90758.0,68685.0,42209,15.3,7.2,9.2,3.9,33377,29424,0.4625,8.8,24.8,15.6,13.2,51.5,11.1,23.9,89.7,42.2
050US49057,255284,93165,11.7,87.9,1.0,0.7,0.1,0.6,8.6,3.3,8.5,252221.0,182667.0,126486,11.1,7.2,6.6,3.2,36967,29186,0.3891,8.6,24.8,11.6,11.8,44.9,3.1,18.2,67.6,161.7
050US51003,108819,46235,18.6,80.7,9.2,0.3,0.0,0.2,7.7,3.4,8.3,101083.0,86670.0,53176,9.0,7.7,4.7,3.9,46735,46241,0.4719,19.2,11.2,15.5,8.1,35.8,3.4,21.6,76.0,64.2
050US51031,55406,25997,20.0,80.9,14.1,0.2,0.0,0.4,10.5,3.8,10.9,54816.0,44270.0,26016,14.2,8.6,5.9,3.6,35098,28173,0.4169,11.3,28.1,13.4,12.1,50.9,17.3,26.4,61.2,51.7
050US51059,1149439,415149,13.5,59.0,9.7,0.3,0.0,0.3,5.9,4.1,4.0,1140336.0,867936.0,611782,7.2,8.2,7.3,4.4,62275,58338,0.4332,8.7,8.5,9.4,7.4,27.8,0.5,19.8,87.4,1061.8
050US51121,98495,40674,12.7,85.2,4.2,0.4,0.0,0.1,23.5,3.5,13.0,88933.0,83012.0,45874,10.5,4.9,3.7,15.1,34124,30581,0.4912,29.6,14.7,9.5,9.4,37.1,11.3,19.2,111.9,105.2
050US51155,34113,17289,22.7,92.1,4.5,0.0,0.2,0.6,13.5,4.9,15.2,32990.0,28023.0,15242,19.7,9.9,5.1,2.1,35764,28067,0.4153,8.8,29.3,13.3,11.4,54.0,10.8,28.7,67.7,54.1
050US53067,284698,118035,17.3,79.5,3.0,1.2,0.2,1.4,9.8,6.1,4.8,281081.0,219045.0,131327,13.6,13.1,4.9,4.5,43416,36256,0.4064,8.5,15.2,13.3,11.9,41.4,8.9,16.6,79.8,163.4
050US54031,13789,8351,22.1,90.7,5.2,0.7,0.0,0.0,16.1,3.6,29.0,13706.0,10955.0,6366,14.5,11.9,5.2,4.2,28560,27819,0.4389,9.8,33.3,10.4,14.5,60.0,18.1,32.8,64.4,14.3
050US54057,27047,13128,21.7,94.2,3.4,0.0,0.0,0.2,13.1,7.4,17.7,26327.0,21656.0,11557,19.4,10.9,5.9,3.0,32328,26363,0.4046,6.8,26.2,19.3,12.3,60.7,11.0,37.9,48.7,40.0
050US54085,9747,5917,23.3,96.8,0.5,0.0,0.0,0.2,16.1,5.2,29.7,9695.0,7777.0,3571,21.8,10.3,4.0,1.7,31825,25773,0.4496,7.8,29.4,8.1,12.4,59.5,21.4,31.3,47.1,13.1
050US55007,15088,13375,28.0,85.8,0.4,10.3,0.0,1.8,11.5,4.0,46.8,14962.0,12471.0,7050,17.2,11.2,2.0,1.2,34590,33151,0.4221,8.4,24.3,14.8,7.9,49.8,6.8,29.7,38.4,9.1
050US55057,26603,15228,20.4,93.1,2.4,1.0,0.0,0.9,15.1,3.8,29.2,24587.0,21116.0,12420,16.7,9.7,2.7,3.1,35337,28288,0.4435,6.6,30.1,15.0,10.1,58.2,19.1,26.9,53.1,19.9
050US55121,29525,13219,18.1,92.3,0.5,0.3,0.0,0.3,7.2,2.5,8.1,29128.0,22137.0,14933,10.2,8.5,2.7,1.8,38275,30058,0.3989,7.3,42.5,13.7,9.4,55.7,6.4,25.4,58.6,18.0
050US41003,92168,38713,16.0,83.4,1.1,0.7,0.0,1.5,18.6,6.1,6.9,86308.0,77173.0,45163,11.1,6.3,3.5,10.4,32515,35305,0.4747,22.7,17.8,13.1,8.7,36.9,6.1,18.0,97.4,57.3
050US42023,4512,4426,27.3,95.0,0.2,0.2,0.0,0.3,18.2,10.2,47.3,4434.0,3780.0,1894,20.2,11.1,4.7,0.5,27839,24379,0.4126,6.6,44.5,11.2,8.7,63.0,14.4,33.0,55.2,11.2
050US42055,154954,65808,19.5,91.6,4.1,0.2,0.0,0.4,8.9,3.9,6.4,152734.0,120269.0,74316,15.2,9.6,4.3,1.8,38593,31887,0.4102,8.4,25.2,15.0,12.0,52.6,7.6,27.5,66.9,85.2
050US44007,636161,266624,15.3,71.0,9.5,0.4,0.0,0.4,14.0,5.9,9.7,610044.0,504858.0,316776,14.0,4.9,7.1,3.5,40227,32739,0.4638,10.9,17.9,16.4,12.2,46.4,0.4,22.9,103.1,651.1
050US21203,16795,7881,18.3,97.9,0.1,0.4,0.0,1.0,22.0,8.9,16.1,16444.0,13099.0,6252,21.4,5.1,8.8,2.6,33114,22597,0.4976,11.2,32.1,17.1,9.9,55.0,27.0,26.8,56.5,24.9
050US05017,10433,5429,20.8,42.6,53.8,0.2,0.0,0.3,28.2,10.8,25.4,9705.0,8121.0,3282,25.5,5.6,11.0,0.4,32471,21418,0.5381,7.5,37.0,14.9,6.9,56.4,16.2,29.5,90.9,8.5
050US13215,195418,85012,13.3,42.5,46.5,0.3,0.0,0.4,20.0,8.6,13.4,188422.0,140689.0,78784,17.8,13.9,8.6,3.3,32491,26709,0.4896,9.4,15.2,14.4,11.6,47.4,1.2,18.3,129.7,392.7
050US13301,5259,2987,22.2,37.7,60.9,0.0,0.0,0.1,25.7,3.7,24.3,5180.0,4178.0,2161,16.2,5.5,10.4,0.7,30700,24547,0.5215,7.7,35.5,12.6,11.1,61.0,36.8,37.2,83.7,10.5
050US16013,22729,15523,18.6,90.3,0.6,0.9,0.0,0.7,12.6,1.9,46.4,22352.0,17818.0,12388,10.3,6.7,9.7,3.8,34179,36232,0.4567,3.7,21.9,7.8,13.9,48.6,3.8,20.7,78.8,5.9
050US16031,23847,8838,13.9,89.2,0.2,1.0,0.0,0.8,11.4,3.4,11.4,23467.0,16252.0,10376,14.0,5.9,4.6,2.3,33831,23406,0.4197,9.4,36.0,10.6,10.3,58.8,10.6,22.3,89.0,3.4
050US17125,13486,7026,22.4,97.1,0.4,0.1,0.0,0.5,15.5,6.1,15.8,13252.0,10694.0,6094,18.1,9.4,3.2,1.9,32120,30144,0.4498,6.9,26.7,15.5,11.8,56.9,6.7,28.0,51.3,13.0
050US24015,102889,42690,15.7,87.0,6.8,0.1,0.0,0.6,9.5,5.2,12.6,101543.0,79491.0,50643,13.7,9.3,6.7,2.8,44754,35887,0.4171,9.0,20.8,12.3,10.9,47.9,5.9,25.5,67.2,123.3
050US24039,25699,11476,16.6,52.6,41.6,0.3,0.0,0.4,20.0,9.2,25.9,19694.0,21309.0,9395,16.0,6.8,6.0,2.5,29227,19507,0.4463,14.9,14.5,19.4,12.6,52.4,9.3,25.2,77.1,35.9
050US17007,53293,20079,15.6,85.6,2.8,0.2,0.0,0.6,8.2,7.5,6.4,52938.0,40058.0,25691,12.5,7.8,6.3,2.7,38013,32659,0.4369,7.6,33.6,11.9,11.4,53.8,4.4,25.0,44.7,71.5
050US18053,66055,30489,19.0,87.2,7.2,0.3,0.0,0.7,18.4,7.3,11.8,60338.0,52260.0,29038,19.3,8.4,5.3,2.2,31820,24255,0.4242,15.0,25.3,15.9,10.8,55.0,6.0,24.1,67.8,73.6
050US20065,2464,1483,27.6,91.0,5.1,0.0,0.0,0.5,13.5,4.1,15.6,2423.0,1950.0,1179,17.1,8.2,1.3,0.7,32487,26616,0.4206,8.1,30.2,18.3,12.0,50.1,6.7,35.5,31.7,1.7
050US21011,12421,5525,16.4,95.8,1.3,0.1,0.0,0.5,23.8,3.5,11.6,12355.0,9268.0,4793,26.6,6.5,7.3,1.4,33420,24167,0.5274,9.3,36.3,12.0,10.5,58.9,35.6,20.6,63.7,19.8
050US21067,322200,142813,13.4,73.7,14.6,0.2,0.0,0.4,15.8,5.2,8.3,309520.0,254696.0,168366,12.5,5.9,4.8,5.9,35692,35466,0.4904,14.5,15.4,14.5,12.5,40.0,0.9,15.3,102.0,503.6
050US21101,45550,20577,17.6,87.0,7.4,0.2,0.0,0.3,18.2,3.9,8.8,44110.0,35131.0,20452,21.7,7.2,5.4,2.1,34239,27490,0.4584,7.3,32.3,17.2,9.9,56.5,9.5,23.9,81.8,47.2
050US21133,21936,11808,19.1,97.6,0.4,0.2,0.0,0.3,29.7,9.1,18.7,21691.0,17192.0,7303,31.5,5.0,6.1,2.0,30812,22103,0.5193,14.1,14.4,22.6,13.9,55.5,30.5,34.9,59.3,34.9
050US22077,21883,11649,20.7,62.4,34.6,0.1,0.0,0.5,20.6,5.4,22.3,21755.0,17055.0,9184,27.2,4.9,9.3,1.5,33561,26972,0.5004,9.8,33.7,12.5,8.7,58.4,22.5,34.8,54.3,20.9
050US22103,258447,104300,17.0,81.6,11.7,0.6,0.0,0.3,11.0,5.3,8.9,256106.0,195491.0,118423,15.8,8.1,6.5,2.6,42236,35263,0.452,8.6,18.7,14.3,11.0,43.3,6.7,20.0,51.3,123.4
050US08069,350523,144583,15.6,89.2,1.0,0.7,0.0,0.7,11.1,5.1,7.2,340911.0,281802.0,185199,10.1,7.1,4.2,7.8,39226,38142,0.4428,12.5,19.2,12.3,11.1,39.7,3.7,13.9,80.5,55.7
050US12029,16740,9499,22.9,85.9,8.3,0.0,0.0,1.3,16.8,4.0,34.4,15155.0,13706.0,5337,25.4,12.6,9.4,1.5,31361,19911,0.4238,8.2,23.3,9.6,11.7,54.7,49.1,36.1,37.1,13.5
050US27067,42909,19988,18.9,86.3,5.2,0.3,0.0,0.4,10.3,3.7,15.7,41767.0,32456.0,22201,12.2,7.2,3.3,2.8,35385,31778,0.4263,8.2,25.3,19.2,13.7,52.8,3.7,23.5,60.1,25.1
050US27119,31384,15020,18.4,89.4,2.3,1.4,0.0,1.2,11.8,3.1,16.0,30046.0,23713.0,15324,13.1,8.2,3.2,1.8,38819,29828,0.4259,11.1,25.2,17.7,11.3,53.3,5.4,27.1,52.2,7.6
050US20067,7324,2961,13.3,95.2,0.0,0.1,0.0,1.6,12.7,6.1,13.5,7258.0,5026.0,3167,6.9,4.9,5.5,3.3,45439,31400,0.4688,3.5,48.3,12.7,4.6,55.9,17.3,17.3,86.0,5.2
050US21089,35359,16309,20.8,96.9,1.0,0.1,0.0,0.8,16.7,5.5,12.2,34937.0,27752.0,13934,21.2,8.5,6.4,1.3,34650,27496,0.4535,8.5,20.5,20.4,14.4,54.6,13.6,27.3,53.8,47.3
050US26089,21649,15738,31.1,92.8,0.4,2.9,0.0,0.9,6.4,4.1,41.5,21236.0,18154.0,9754,12.5,7.9,3.8,2.3,33007,39308,0.4474,7.9,23.9,16.3,11.1,47.6,2.9,34.3,25.7,45.3
050US26141,12687,10442,31.6,96.5,0.5,0.4,0.0,0.9,13.4,6.4,43.3,12490.0,10677.0,4522,19.5,12.4,2.4,0.9,31695,30068,0.4524,6.8,26.6,15.4,11.5,57.7,5.5,36.1,20.3,15.9
050US32031,464182,201401,16.4,74.1,2.4,1.6,0.1,0.9,10.9,5.2,7.6,458172.0,363062.0,235897,12.0,8.8,6.5,5.1,38876,37689,0.4616,7.8,17.8,11.5,11.4,45.3,5.3,12.5,98.8,31.9
050US38097,7999,3850,19.6,92.7,1.1,1.1,0.0,1.2,4.6,2.8,11.8,7614.0,6177.0,4055,11.8,8.5,2.2,1.0,43011,34065,0.3938,14.3,29.2,16.0,9.1,48.0,3.2,25.9,49.4,4.5
050US47105,53169,23393,26.3,91.8,1.1,0.2,0.0,0.6,12.2,3.6,10.4,52769.0,42795.0,23059,13.1,9.0,7.5,2.2,33405,34158,0.4606,5.7,31.5,10.5,11.7,50.4,7.9,24.8,60.2,102.0
050US13309,7897,2625,14.7,60.8,38.9,0.0,0.0,0.0,30.0,7.2,32.4,7715.0,6571.0,2804,9.9,6.1,21.3,2.2,23729,15186,0.4362,8.8,23.3,5.3,5.4,77.2,32.6,42.1,140.4,8.9
050US17003,6011,3965,22.5,63.3,35.1,0.1,0.0,0.1,26.9,7.7,43.2,5855.0,4652.0,1943,23.1,10.4,10.2,2.5,28828,20450,0.4722,6.9,17.7,21.7,13.4,59.2,11.2,34.1,62.6,16.8
050US17189,13967,6653,20.9,96.8,0.7,0.1,0.0,0.2,7.5,5.2,9.5,13712.0,10997.0,7068,12.7,9.8,3.4,1.0,39755,32687,0.393,8.0,32.9,13.0,10.0,55.8,9.0,31.5,45.2,11.8
050US19003,3633,2011,23.0,96.8,0.1,0.2,0.0,1.2,13.4,3.6,19.1,3498.0,2886.0,1701,14.3,8.3,1.1,0.9,37040,29079,0.4176,5.2,36.2,22.2,9.6,52.0,3.9,27.7,41.0,4.7
050US19163,172938,74662,16.2,84.3,7.4,0.3,0.0,0.4,11.9,4.0,9.7,169482.0,131602.0,84844,10.6,8.6,5.1,3.2,40758,34792,0.4561,8.5,25.2,14.4,11.6,45.7,2.5,20.3,69.1,163.0
050US20195,2802,1709,26.1,98.9,0.1,0.1,0.0,0.2,6.7,2.1,20.8,2714.0,2284.0,1530,14.3,11.0,0.8,0.7,35345,36415,0.4174,3.5,39.9,18.6,8.6,51.2,4.3,31.5,34.7,1.9
050US21187,10847,5753,18.6,95.1,1.4,0.0,0.0,0.3,17.9,3.9,26.2,10744.0,8433.0,4650,17.3,8.8,6.2,2.7,39636,25997,0.4522,5.4,39.4,11.9,10.6,60.6,26.0,20.0,62.0,16.4
050US22063,140524,57636,13.3,89.4,6.1,0.4,0.0,0.5,11.2,5.1,15.5,139485.0,104371.0,63576,12.7,7.3,7.8,2.4,42819,30317,0.4067,8.6,27.9,12.0,11.6,49.8,25.4,17.7,45.4,88.9
050US22101,50020,23557,16.8,58.6,31.2,1.6,0.0,0.7,19.8,6.7,16.7,49209.0,37972.0,19415,18.1,6.0,9.8,2.2,36480,23306,0.4661,8.1,30.2,10.5,15.1,55.8,19.3,34.2,82.3,42.4
050US08117,30735,31158,13.6,89.2,0.3,0.3,0.1,0.4,7.5,3.1,62.7,30310.0,25623.0,19491,6.4,5.0,3.7,17.7,40927,44973,0.4292,5.0,13.5,10.0,11.7,46.4,0.7,14.6,102.4,51.2
050US12007,27723,11061,18.0,76.9,20.4,0.4,0.0,0.2,20.1,5.3,15.8,23644.0,22271.0,9966,17.3,9.2,7.5,3.5,32587,21003,0.452,8.0,15.6,20.8,11.8,54.7,31.2,30.3,87.5,37.6
050US13031,77719,31496,11.3,64.4,28.0,0.2,0.0,0.4,22.3,9.0,11.2,69345.0,62236.0,35303,13.3,6.0,6.6,8.4,29829,25121,0.4863,17.5,18.6,10.3,11.7,51.8,17.3,15.6,110.6,46.6
050US39123,40557,28600,25.3,94.7,1.3,0.4,0.0,0.3,8.8,3.7,36.2,39697.0,33050.0,18768,15.6,10.0,3.8,2.0,40411,38553,0.4593,8.1,29.0,14.1,9.2,53.7,12.0,31.3,39.7,112.3
050US40101,68451,30968,16.6,56.9,10.3,18.3,0.0,7.2,20.3,6.4,14.3,64670.0,51751.0,26283,19.8,9.8,7.3,1.9,32497,23314,0.4704,8.7,22.4,17.9,10.7,52.7,11.2,20.5,80.2,38.2
050US27069,4272,2613,24.9,96.1,0.7,0.4,0.0,0.2,11.9,4.1,29.8,3970.0,3364.0,2170,11.7,8.8,1.7,0.9,39643,29717,0.3875,10.8,34.2,14.8,11.9,53.6,7.8,33.4,36.1,2.4
050US27107,6466,3434,21.1,92.8,0.8,2.3,0.0,1.4,9.4,4.9,19.3,6317.0,4929.0,3080,12.2,7.9,1.6,2.4,37225,30915,0.4366,9.7,31.4,14.9,10.6,49.1,4.5,31.5,33.5,3.9
050US27145,159788,65095,15.0,86.4,6.9,0.2,0.0,0.4,12.1,4.9,8.5,152288.0,122511.0,85498,10.7,7.6,3.2,4.8,36772,31574,0.4287,11.9,24.3,16.3,11.9,49.6,2.2,22.6,72.0,48.5
050US28049,235604,104356,14.3,24.8,73.0,0.1,0.0,0.1,20.4,9.3,14.9,226732.0,178301.0,103407,12.9,6.0,9.9,3.1,30845,24463,0.4688,10.1,14.5,18.2,11.1,52.4,4.0,24.5,102.2,120.0
050US29171,4746,2986,25.1,97.1,0.3,0.0,0.0,0.2,14.1,5.5,43.1,4636.0,3657.0,2067,14.2,11.1,11.5,1.4,32382,28240,0.4475,3.3,34.7,18.5,9.4,59.2,9.3,26.5,55.5,5.8
050US30075,1634,1034,26.3,94.0,0.0,3.2,0.0,0.2,13.9,0.7,27.7,1592.0,1383.0,877,14.7,8.1,0.4,0.2,32722,33170,0.4242,14.5,48.6,5.5,8.1,48.1,27.0,35.4,48.3,0.3
050US32011,1839,1150,18.4,94.7,0.1,3.7,0.0,0.0,18.3,0.0,42.5,1834.0,1328.0,787,14.8,12.0,3.2,2.8,54013,30516,0.4252,15.5,61.9,2.8,5.8,56.8,47.0,23.4,86.2,0.3
050US34033,62754,27607,18.6,79.4,13.8,0.4,0.0,0.3,13.8,7.1,11.6,61123.0,49224.0,28725,15.1,7.1,5.8,2.4,41250,33575,0.4505,10.8,24.3,16.4,10.0,48.8,3.7,31.6,71.0,83.2
