HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OpRxRt,OdMortRt,OdMortRtAv
040US28,571,13.51,0.86,590,14.26,0.89,567,15.18,0.85,462,22.04,0.7,64.2,21.1,15.54
040US37,2007,15.01,0.91,2029,15.07,0.93,1988,14.39,0.91,2068,11.74,0.94,52.8,30.9,18.42
040US40,868,16.92,0.83,970,11.04,0.93,928,13.16,0.89,909,13.79,0.87,59.3,19.4,17.98
040US51,1681,14.52,0.88,1719,14.0,0.9,1783,11.63,0.93,1743,12.6,0.91,37.6,26.6,16.02
040US54,458,9.3,0.95,388,17.57,0.8,412,15.27,0.85,404,16.28,0.83,53.7,81.4,51.12
040US22,1062,10.35,0.93,1086,10.37,0.95,1017,13.29,0.89,990,14.53,0.86,68.3,42.7,24.3
040US26,2495,14.33,0.89,2540,13.52,0.92,2544,12.68,0.9,2546,12.16,0.91,54.4,28.6,21.7
040US25,1460,8.92,0.99,1449,8.09,0.98,1461,6.78,0.99,1463,6.5,0.99,33.3,33.9,29.84
040US16,249,17.12,0.84,250,16.72,0.84,244,15.4,0.82,243,16.25,0.82,49.9,15.9,16.04
040US12,4129,10.37,0.97,4069,11.02,0.97,4016,11.6,0.95,4071,10.22,0.96,43.4,35.0,20.74
040US31,363,24.3,0.68,505,9.71,0.95,462,12.45,0.87,459,13.91,0.86,48.0,11.3,10.26
040US53,1359,10.65,0.93,1334,13.13,0.92,1342,11.42,0.92,1364,9.96,0.94,39.5,22.0,19.12
040US35,459,10.25,0.92,417,16.85,0.84,401,18.6,0.8,438,13.82,0.88,40.5,39.0,24.78
040US46,125,33.88,0.56,176,17.22,0.79,140,29.9,0.62,135,31.8,0.6,39.9,10.3,12.66
040US48,4690,14.3,0.89,4967,10.83,0.95,4690,14.47,0.89,4592,14.19,0.87,37.9,14.1,12.4
040US06,7881,6.61,0.98,7835,8.38,0.97,7779,8.3,0.97,7866,7.06,0.98,28.5,21.8,12.4
040US01,972,17.21,0.82,1024,15.64,0.87,987,17.56,0.84,956,18.56,0.81,80.4,22.3,16.56
040US13,1834,14.0,0.93,1840,13.98,0.94,1760,14.88,0.89,1751,13.89,0.89,53.9,18.0,13.62
040US42,2915,12.94,0.91,3058,10.68,0.95,3072,9.43,0.95,3128,8.65,0.97,43.1,42.4,34.84
040US29,1277,12.05,0.92,1213,14.29,0.87,1185,14.65,0.85,1246,12.95,0.89,54.4,32.1,20.8
040US08,1146,12.35,0.92,1145,12.91,0.92,1180,10.42,0.94,1178,9.37,0.94,37.5,24.9,16.88
040US49,524,14.49,0.89,555,11.44,0.94,561,7.86,0.95,560,7.5,0.95,48.4,20.5,22.72
040US47,1297,15.49,0.87,1379,13.84,0.92,1390,12.88,0.93,1372,12.61,0.92,68.5,45.6,22.98
040US56,68,47.57,0.52,107,15.84,0.81,111,13.71,0.84,107,13.79,0.81,46.7,17.4,14.28
040US36,4670,8.28,0.95,4731,8.58,0.96,4753,7.32,0.96,4743,7.27,0.96,31.9,25.4,18.32
040US20,607,18.79,0.79,715,10.35,0.93,659,14.25,0.86,648,14.33,0.84,59.8,17.4,15.98
040US02,157,15.31,0.93,131,72.47,0.78,144,48.22,0.86,144,73.34,0.86,36.1,22.0,17.08
040US32,625,15.98,0.91,651,10.94,0.95,649,10.92,0.94,651,11.22,0.95,47.4,26.0,23.92
040US17,2861,10.48,0.92,2980,9.63,0.95,2941,9.33,0.94,3005,7.46,0.96,40.2,28.1,20.42
