HEROP_ID,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs
050US54055,0.57,0.75,0.2,0.55,0.86,0.03,0.7,0.91,0.03
050US54057,0.62,0.85,0.1,0.46,0.89,0.02,0.6,0.96,0.01
050US54059,0.72,0.82,0.13,0.0,0.0,0.0,0.86,0.99,0.01
050US54061,0.35,0.84,0.06,0.31,0.86,0.03,0.43,0.82,0.09
050US54063,0.27,0.95,0.01,0.37,0.95,0.02,0.0,0.0,0.0
050US54065,0.44,0.94,0.02,0.32,0.96,0.02,0.86,0.93,0.01
050US54067,0.53,0.94,0.02,0.58,0.94,0.01,0.64,0.94,0.01
050US54069,0.48,0.82,0.13,0.32,0.93,0.02,0.62,0.88,0.04
050US54071,0.28,0.94,0.04,0.38,0.95,0.02,0.54,0.93,0.0
050US54073,0.21,0.98,0.0,0.2,0.98,0.01,0.0,0.0,0.0
050US54075,0.39,0.98,0.01,0.34,0.98,0.01,0.0,0.0,0.0
050US54077,0.79,0.67,0.19,0.72,0.69,0.09,0.57,0.85,0.01
050US54079,0.47,0.93,0.03,0.5,0.92,0.03,0.49,0.92,0.02
050US54081,0.51,0.74,0.19,0.43,0.82,0.03,0.62,0.84,0.04
050US54083,0.31,0.94,0.03,0.29,0.95,0.01,0.46,0.94,0.01
050US54085,0.61,0.98,0.0,0.5,0.98,0.01,0.0,0.0,0.0
050US54087,0.37,0.96,0.0,0.35,0.96,0.02,0.48,0.98,0.0
050US54089,0.3,0.9,0.06,0.18,0.91,0.02,0.0,0.0,0.0
050US54091,0.11,0.96,0.01,0.51,0.95,0.03,0.67,0.94,0.03
050US54093,0.35,0.97,0.0,0.25,0.97,0.01,0.75,0.97,0.02
050US54095,0.62,0.98,0.01,0.4,0.97,0.0,0.6,0.97,0.01
050US54097,0.56,0.93,0.04,0.4,0.94,0.02,0.67,0.94,0.01
050US54099,0.74,0.93,0.03,0.47,0.97,0.01,0.75,0.94,0.04
050US54101,0.73,0.99,0.0,0.73,0.99,0.0,0.0,0.0,0.0
050US54103,0.67,0.96,0.04,0.47,0.97,0.01,0.78,0.98,0.02
050US54105,0.18,0.97,0.02,0.09,0.97,0.01,0.0,0.0,0.0
050US54107,0.5,0.89,0.04,0.43,0.93,0.02,0.6,0.95,0.02
050US54109,0.29,0.97,0.01,0.7,0.97,0.01,0.67,0.98,0.01
050US55001,0.55,0.81,0.08,0.36,0.85,0.06,0.66,0.89,0.02
050US55003,0.48,0.84,0.02,0.36,0.69,0.05,0.41,0.79,0.01
050US55005,0.64,0.89,0.07,0.31,0.91,0.04,0.24,0.95,0.01
050US55007,0.51,0.71,0.02,0.29,0.79,0.02,0.32,0.75,0.01
050US55009,0.58,0.63,0.12,0.5,0.64,0.22,0.4,0.74,0.06
050US55011,0.15,0.96,0.01,0.31,0.95,0.03,0.81,0.98,0.0
050US55013,0.21,0.91,0.01,0.11,0.89,0.02,0.17,0.89,0.0
050US55015,0.47,0.84,0.03,0.25,0.89,0.06,0.59,0.8,0.09
050US55017,0.53,0.89,0.04,0.4,0.91,0.03,0.48,0.92,0.03
