HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP
050US21007,3.0,1.0,1.0,2.0,0.0,,3.0,0.0,0.0,12.75,48.97,145.06,26.28,133.26,,21.19,122.92,690.54,1.0,0.33,0.33,0.67,0.0,,1.0,0.0,0.0
050US21017,5.0,2.0,2.0,4.0,0.0,,5.0,2.0,1.0,11.62,39.62,117.25,28.91,134.18,,12.91,44.33,130.62,0.83,0.33,0.33,0.67,0.0,,0.83,0.33,0.17
050US21031,4.0,1.0,1.0,0.0,0.0,,2.0,0.0,,17.72,58.63,172.82,52.37,189.66,,33.66,125.36,,0.8,0.2,0.2,0.0,0.0,,0.4,0.0,
050US21065,4.0,1.0,1.0,2.0,0.0,,4.0,1.0,1.0,12.88,49.61,140.89,30.77,172.38,,12.88,49.61,140.89,1.0,0.25,0.25,0.5,0.0,,1.0,0.25,0.25
050US21069,2.0,0.0,0.0,2.0,0.0,,4.0,2.0,2.0,27.02,100.26,345.13,32.28,147.58,,6.63,24.85,73.5,0.5,0.0,0.0,0.5,0.0,,1.0,0.5,0.5
050US21093,22.0,19.0,14.0,10.0,1.0,,22.0,15.0,10.0,3.23,10.95,30.69,30.65,106.41,,5.96,19.16,54.7,1.0,0.86,0.64,0.45,0.05,,1.0,0.68,0.45
050US21099,3.0,2.0,2.0,0.0,0.0,,1.0,0.0,,17.34,56.1,166.95,57.1,220.46,,38.43,157.34,,0.6,0.4,0.4,0.0,0.0,,0.2,0.0,
050US21131,3.0,1.0,1.0,2.0,0.0,,3.0,1.0,1.0,16.26,64.25,191.79,28.13,132.18,,16.26,64.25,191.79,1.0,0.33,0.33,0.67,0.0,,1.0,0.33,0.33
050US21151,19.0,15.0,11.0,19.0,11.0,3.0,19.0,12.0,6.0,4.45,14.55,42.95,8.76,28.74,83.98,7.2,24.76,72.12,1.0,0.79,0.58,1.0,0.58,0.16,1.0,0.63,0.32
050US21155,6.0,2.0,2.0,0.0,,,6.0,2.0,1.0,12.43,41.07,122.04,69.74,,,13.78,44.82,132.96,1.0,0.33,0.33,0.0,,,1.0,0.33,0.17
050US21179,9.0,4.0,2.0,0.0,0.0,,9.0,5.0,4.0,11.31,44.64,132.48,45.66,231.72,,7.44,26.59,78.61,1.0,0.44,0.22,0.0,0.0,,1.0,0.56,0.44
050US17091,27.0,19.0,,28.0,16.0,,27.0,16.0,,10.88,31.95,,11.34,35.52,,12.86,39.64,,0.93,0.66,,0.97,0.55,,0.93,0.55,
050US17187,4.0,0.0,,0.0,,,3.0,0.0,,26.76,115.11,,69.21,,,27.66,115.4,,0.8,0.0,,0.0,,,0.6,0.0,
050US17197,152.0,126.0,,148.0,34.0,,152.0,123.0,,7.1,19.43,,15.61,51.6,,7.08,19.64,,1.0,0.83,,0.97,0.22,,1.0,0.81,
050US18027,3.0,0.0,,0.0,,,2.0,0.0,,31.88,140.16,,71.85,,,36.74,172.11,,0.43,0.0,,0.0,,,0.29,0.0,
050US18061,5.0,2.0,1.0,0.0,0.0,,0.0,0.0,,18.69,53.77,158.99,43.7,193.59,,38.3,159.96,,0.83,0.33,0.17,0.0,0.0,,0.0,0.0,
050US01001,11.0,5.0,,1.0,0.0,,0.0,0.0,,14.96,49.26,,39.64,145.24,,40.97,154.1,,0.92,0.42,,0.08,0.0,,0.0,0.0,
050US01005,0.0,,,0.0,,,0.0,,,64.97,,,81.58,,,68.08,,,0.0,,,0.0,,,0.0,,
050US01023,0.0,0.0,,0.0,,,0.0,,,66.75,216.5,,74.06,,,78.41,,,0.0,0.0,,0.0,,,0.0,,
050US01035,4.0,1.0,1.0,0.0,,,0.0,,,23.48,71.32,259.63,66.09,,,66.09,,,0.8,0.2,0.2,0.0,,,0.0,,
050US01051,12.0,4.0,5.0,4.0,0.0,,9.0,2.0,,19.34,51.99,139.68,38.92,131.13,,24.53,77.53,,0.8,0.27,0.33,0.27,0.0,,0.6,0.13,
050US01055,30.0,19.0,10.0,29.0,13.0,,27.0,4.0,,8.42,24.01,74.71,12.91,41.57,,16.07,53.15,,1.0,0.63,0.33,0.97,0.43,,0.9,0.13,
050US01065,3.0,1.0,,0.0,,,1.0,,,25.62,99.28,,94.69,,,52.76,,,0.5,0.17,,0.0,,,0.17,,
050US01089,73.0,58.0,,68.0,26.0,,70.0,43.0,,7.36,19.73,,14.99,47.46,,11.38,33.64,,1.0,0.79,,0.93,0.36,,0.96,0.59,
050US01113,11.0,8.0,,11.0,4.0,,11.0,4.0,,14.78,46.22,,18.62,61.43,,18.61,61.43,,0.85,0.62,,0.85,0.31,,0.85,0.31,
050US01117,44.0,27.0,,28.0,1.0,,40.0,2.0,,12.1,34.61,,29.04,91.86,,21.64,70.44,,0.92,0.56,,0.58,0.02,,0.83,0.04,
050US02016,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US02130,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US02180,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US02282,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US05011,4.0,0.0,,,,,4.0,0.0,,28.28,180.85,,,,,28.28,187.2,,0.8,0.0,,,,,0.8,0.0,
050US05015,5.0,3.0,2.0,0.0,,,0.0,0.0,,10.99,32.55,96.1,80.65,,,47.01,196.85,,1.0,0.6,0.4,0.0,,,0.0,0.0,
050US05019,0.0,0.0,,0.0,,,0.0,0.0,,48.69,205.0,,71.59,,,45.62,205.51,,0.0,0.0,,0.0,,,0.0,0.0,
050US05025,0.0,0.0,,0.0,,,0.0,0.0,,50.13,158.74,,106.48,,,69.71,230.63,,0.0,0.0,,0.0,,,0.0,0.0,
050US05063,8.0,2.0,1.0,0.0,,,8.0,2.0,1.0,14.72,69.46,219.73,93.58,,,14.75,65.86,211.32,1.0,0.25,0.12,0.0,,,1.0,0.25,0.12
050US05067,4.0,2.0,1.0,0.0,,,4.0,2.0,1.0,18.58,55.87,162.88,59.04,,,18.58,55.87,162.88,0.8,0.4,0.2,0.0,,,0.8,0.4,0.2
050US05121,0.0,0.0,,0.0,,,4.0,2.0,2.0,46.53,186.74,,63.87,,,12.74,40.0,100.36,0.0,0.0,,0.0,,,1.0,0.5,0.5
050US06001,361.0,359.0,269.0,354.0,240.0,,361.0,330.0,157.0,3.28,7.81,20.58,9.92,36.82,,5.51,14.74,39.75,1.0,0.99,0.75,0.98,0.66,,1.0,0.91,0.43
050US06003,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,41.47,201.05,449.42,63.2,316.24,,58.3,220.76,496.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
050US06005,7.0,5.0,5.0,0.0,,,4.0,1.0,,15.93,41.01,122.88,71.03,,,36.57,105.89,,0.78,0.56,0.56,0.0,,,0.44,0.11,
050US06013,208.0,191.0,,202.0,55.0,,208.0,155.0,50.0,5.17,13.26,,17.77,68.93,,7.49,21.73,60.59,1.0,0.92,,0.97,0.26,,1.0,0.75,0.24
050US06019,192.0,152.0,,179.0,,,177.0,,,7.18,23.44,,15.76,,,13.46,,,0.96,0.76,,0.9,,,0.89,,
050US06023,30.0,23.0,18.0,,,,24.0,,,6.19,22.54,122.31,,,,24.98,,,0.97,0.74,0.58,,,,0.77,,
050US06033,15.0,10.0,8.0,0.0,,,6.0,2.0,,7.33,25.3,88.18,90.58,,,28.79,112.16,,1.0,0.67,0.53,0.0,,,0.4,0.13,
050US06037,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US06047,49.0,34.0,,39.0,19.0,,12.0,,,7.64,23.42,,19.7,79.02,,37.41,,,1.0,0.69,,0.8,0.39,,0.24,,
050US06057,20.0,11.0,8.0,14.0,4.0,,18.0,5.0,,8.15,21.86,63.24,25.44,88.6,,18.1,53.32,,1.0,0.55,0.4,0.7,0.2,,0.9,0.25,
050US06081,157.0,153.0,103.0,128.0,5.0,,157.0,121.0,44.0,4.56,11.6,31.47,22.42,100.52,,7.51,23.25,61.19,0.99,0.97,0.65,0.81,0.03,,0.99,0.77,0.28
050US06085,372.0,362.0,204.0,370.0,123.0,,371.0,341.0,133.0,4.41,12.56,31.09,12.55,45.95,,5.62,16.41,42.13,1.0,0.97,0.55,0.99,0.33,,1.0,0.92,0.36
050US06115,11.0,8.0,4.0,11.0,8.0,,1.0,0.0,,15.49,45.53,138.83,16.09,50.72,,41.39,170.62,,0.79,0.57,0.29,0.79,0.57,,0.07,0.0,
050US08013,67.0,62.0,52.0,65.0,33.0,,67.0,60.0,,3.68,10.06,25.86,11.96,34.84,,6.26,16.8,,0.99,0.91,0.76,0.96,0.49,,0.99,0.88,
050US08029,5.0,1.0,1.0,0.0,,,6.0,3.0,,22.76,90.57,284.01,72.33,,,16.67,69.53,,0.71,0.14,0.14,0.0,,,0.86,0.43,
050US08049,1.0,1.0,1.0,0.0,,,2.0,1.0,1.0,35.32,150.59,418.39,131.48,,,28.0,114.08,309.02,0.33,0.33,0.33,0.0,,,0.67,0.33,0.33
050US08077,27.0,24.0,14.0,27.0,13.0,,27.0,21.0,,8.48,24.58,64.12,15.02,47.08,,10.51,32.43,,0.93,0.83,0.48,0.93,0.45,,0.93,0.72,
050US08083,5.0,2.0,2.0,0.0,,,7.0,3.0,1.0,20.9,129.02,314.69,62.96,,,15.13,88.81,212.74,0.71,0.29,0.29,0.0,,,1.0,0.43,0.14
050US08091,0.0,0.0,0.0,0.0,,,0.0,0.0,,44.08,171.16,619.0,116.14,,,44.08,171.16,,0.0,0.0,0.0,0.0,,,0.0,0.0,
050US09009,190.0,186.0,129.0,189.0,94.0,,190.0,165.0,,3.04,7.99,22.06,10.48,36.33,,5.51,16.22,,1.0,0.98,0.68,0.99,0.49,,1.0,0.87,
050US11001,179.0,0.0,177.0,179.0,168.0,32.0,179.0,157.0,81.0,1.53,42.87,8.49,6.21,18.7,48.85,5.16,14.66,39.87,1.0,0.0,0.99,1.0,0.94,0.18,1.0,0.88,0.45
050US12009,114.0,95.0,,103.0,18.0,,104.0,38.0,,5.67,15.32,,18.66,63.08,,14.89,49.63,,1.0,0.83,,0.9,0.16,,0.91,0.33,
050US12023,11.0,5.0,4.0,9.0,1.0,,9.0,1.0,,12.25,41.87,120.5,22.03,85.99,,22.03,85.99,,0.92,0.42,0.33,0.75,0.08,,0.75,0.08,
050US12039,8.0,3.0,,0.0,0.0,,8.0,3.0,,17.26,60.56,,44.7,159.15,,17.26,60.67,,0.89,0.33,,0.0,0.0,,0.89,0.33,
050US12055,22.0,14.0,,0.0,,,18.0,6.0,,15.64,51.38,,91.68,,,22.76,80.62,,0.81,0.52,,0.0,,,0.67,0.22,
050US12065,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,,31.44,157.67,442.74,49.08,232.97,,34.68,181.23,,0.5,0.0,0.0,0.0,0.0,,0.25,0.0,
050US12073,68.0,52.0,23.0,59.0,10.0,,67.0,40.0,,8.13,23.1,69.6,18.8,56.22,,11.36,32.42,,1.0,0.76,0.34,0.87,0.15,,0.99,0.59,
050US12095,207.0,184.0,96.0,199.0,68.0,,206.0,155.0,,5.5,13.96,38.71,14.1,44.47,,8.52,23.36,,1.0,0.89,0.46,0.96,0.33,,1.0,0.75,
050US12107,17.0,5.0,,0.0,,,4.0,1.0,,15.12,65.07,,56.0,,,38.26,163.41,,1.0,0.29,,0.0,,,0.24,0.06,
050US12123,3.0,1.0,1.0,0.0,,,4.0,1.0,,21.95,86.64,238.66,88.23,,,16.66,66.89,,0.6,0.2,0.2,0.0,,,0.8,0.2,
050US12127,114.0,98.0,51.0,63.0,12.0,,113.0,52.0,,5.74,15.07,42.81,26.29,102.64,,11.86,35.6,,1.0,0.86,0.45,0.55,0.11,,0.99,0.46,
050US12131,8.0,4.0,4.0,0.0,,,6.0,1.0,1.0,19.8,64.88,185.99,75.88,,,33.51,99.25,324.4,0.67,0.33,0.33,0.0,,,0.5,0.08,0.08
050US12133,5.0,3.0,2.0,0.0,,,0.0,0.0,,16.41,47.45,132.28,62.65,,,42.63,163.99,,0.71,0.43,0.29,0.0,,,0.0,0.0,
050US13009,9.0,6.0,1.0,0.0,,,0.0,,,9.39,29.59,85.25,54.68,,,54.68,,,1.0,0.67,0.11,0.0,,,0.0,,
050US13027,3.0,0.0,0.0,3.0,0.0,,3.0,0.0,,26.33,120.28,367.02,35.64,152.14,,26.33,122.21,,0.6,0.0,0.0,0.6,0.0,,0.6,0.0,
050US13103,7.0,0.0,,1.0,0.0,,1.0,1.0,,20.45,65.84,,43.38,151.2,,42.65,145.48,,0.7,0.0,,0.1,0.0,,0.1,0.1,
050US13121,204.0,194.0,109.0,204.0,70.0,,204.0,158.0,29.0,4.36,11.04,31.25,12.8,37.89,,8.32,22.82,65.3,1.0,0.95,0.53,1.0,0.34,,1.0,0.77,0.14
050US13141,1.0,0.0,0.0,0.0,,,0.0,,,33.32,125.17,373.05,77.97,,,80.44,,,0.5,0.0,0.0,0.0,,,0.0,,
050US13149,0.0,0.0,,0.0,0.0,,0.0,0.0,,34.05,116.85,,36.97,135.26,,36.1,131.51,,0.0,0.0,,0.0,0.0,,0.0,0.0,
050US13179,14.0,11.0,,0.0,0.0,,0.0,,,9.93,24.95,,55.69,262.21,,55.96,,,0.93,0.73,,0.0,0.0,,0.0,,
050US13183,1.0,0.0,,0.0,,,0.0,,,29.68,77.13,,77.69,,,77.85,,,0.33,0.0,,0.0,,,0.0,,
050US13189,0.0,0.0,,0.0,0.0,,0.0,,,35.77,155.23,,38.82,167.53,,44.53,,,0.0,0.0,,0.0,0.0,,0.0,,
050US13209,3.0,0.0,0.0,2.0,0.0,,0.0,,,17.83,67.99,215.6,23.85,87.31,,63.66,,,1.0,0.0,0.0,0.67,0.0,,0.0,,
050US13229,4.0,1.0,1.0,0.0,0.0,,0.0,0.0,,18.86,51.39,165.33,39.54,108.0,,35.69,123.34,,1.0,0.25,0.25,0.0,0.0,,0.0,0.0,
050US13267,3.0,2.0,2.0,0.0,0.0,,0.0,,,16.37,49.65,148.09,48.78,170.73,,77.22,,,0.6,0.4,0.4,0.0,0.0,,0.0,,
050US13271,1.0,1.0,1.0,0.0,,,0.0,,,28.7,70.02,270.77,77.64,,,82.37,,,0.33,0.33,0.33,0.0,,,0.0,,
050US13291,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,17.24,56.34,400.75,17.24,56.34,394.64,17.24,56.34,326.02,0.83,0.17,0.17,0.83,0.17,0.17,0.83,0.17,0.17
050US13305,6.0,3.0,1.0,0.0,0.0,,0.0,,,17.72,44.36,145.08,58.37,219.4,,69.32,,,1.0,0.5,0.17,0.0,0.0,,0.0,,
050US13319,3.0,0.0,,1.0,0.0,,1.0,0.0,,23.85,110.71,,33.95,164.08,,34.16,169.25,,1.0,0.0,,0.33,0.0,,0.33,0.0,
050US15007,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US16015,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,88.06,219.8,616.48,102.47,261.07,,88.2,221.86,616.48,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
050US16023,0.0,0.0,,,,,0.0,0.0,0.0,100.86,398.11,,,,,100.86,472.34,1381.78,0.0,0.0,,,,,0.0,0.0,0.0
050US16025,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,68.63,232.83,686.85,138.28,,,65.57,201.41,686.85,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
050US16027,29.0,22.0,17.0,25.0,12.0,,29.0,22.0,13.0,5.72,18.03,53.62,15.53,51.05,,6.9,20.06,58.31,1.0,0.76,0.59,0.86,0.41,,1.0,0.76,0.45
050US16037,0.0,0.0,0.0,,,,1.0,1.0,1.0,234.64,990.97,2771.19,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0
050US16039,4.0,2.0,,0.0,,,4.0,2.0,,19.88,60.3,,65.99,,,19.88,60.3,,0.8,0.4,,0.0,,,0.8,0.4,
050US16043,2.0,1.0,1.0,,,,1.0,0.0,0.0,21.88,108.71,329.43,,,,37.03,170.08,537.23,0.67,0.33,0.33,,,,0.33,0.0,0.0
050US16061,0.0,0.0,,,,,1.0,1.0,1.0,62.43,214.38,,,,,43.47,129.0,364.41,0.0,0.0,,,,,0.33,0.33,0.33
050US16063,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,98.12,183.43,544.73,1.0,1.0,1.0,,,,0.0,0.0,0.0
050US16085,3.0,2.0,2.0,,,,2.0,1.0,1.0,5.76,18.83,55.37,,,,25.87,96.93,288.66,1.0,0.67,0.67,,,,0.67,0.33,0.33
050US19175,0.0,0.0,,0.0,,,0.0,,,75.66,297.93,,101.64,,,49.67,,,0.0,0.0,,0.0,,,0.0,,
050US20053,0.0,,,,,,0.0,0.0,,58.42,,,,,,61.18,333.62,,0.0,,,,,,0.0,0.0,
050US20095,1.0,1.0,1.0,0.0,,,0.0,,,24.41,78.22,215.07,71.65,,,62.51,,,0.33,0.33,0.33,0.0,,,0.0,,
050US20135,0.0,,,,,,0.0,,,84.89,,,,,,86.12,,,0.0,,,,,,0.0,,
050US20199,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,68.86,324.06,945.16,135.25,,,62.29,215.02,1075.42,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
050US48011,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,48.23,214.66,641.63,50.67,246.9,,52.58,261.83,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
050US48025,0.0,,,0.0,,,0.0,,,44.37,,,69.75,,,78.17,,,0.0,,,0.0,,,0.0,,
050US48035,2.0,0.0,,0.0,,,0.0,,,36.98,142.19,,63.45,,,58.62,,,0.29,0.0,,0.0,,,0.0,,
050US48053,7.0,3.0,3.0,0.0,,,0.0,,,11.94,36.6,107.19,63.7,,,57.11,,,0.88,0.38,0.38,0.0,,,0.0,,
050US48055,2.0,0.0,,1.0,,,5.0,0.0,,33.19,157.82,,40.7,,,29.01,111.96,,0.25,0.0,,0.12,,,0.62,0.0,
050US48083,0.0,0.0,,0.0,,,0.0,0.0,,50.68,238.83,,70.86,,,53.08,250.45,,0.0,0.0,,0.0,,,0.0,0.0,
050US29057,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,,12.03,38.38,103.64,58.44,243.21,,54.69,212.66,,1.0,0.5,0.5,0.0,0.0,,0.0,0.0,
050US29143,1.0,0.0,,0.0,,,2.0,0.0,,38.7,172.08,,63.0,,,32.0,100.13,,0.17,0.0,,0.0,,,0.33,0.0,
050US29157,0.0,0.0,,0.0,,,5.0,2.0,2.0,44.48,234.86,,50.55,,,9.59,27.39,80.93,0.0,0.0,,0.0,,,1.0,0.4,0.4
050US29189,199.0,189.0,106.0,178.0,34.0,,199.0,145.0,,4.59,11.42,32.62,18.25,65.3,,9.01,26.21,,1.0,0.95,0.53,0.89,0.17,,1.0,0.73,
050US29199,0.0,,,0.0,,,0.0,0.0,,73.59,,,98.66,,,40.65,159.38,,0.0,,,0.0,,,0.0,0.0,
050US29207,0.0,0.0,,0.0,0.0,,6.0,2.0,2.0,44.82,200.78,,45.11,204.7,,18.64,58.19,189.23,0.0,0.0,,0.0,0.0,,0.75,0.25,0.25
050US30015,0.0,0.0,0.0,,,,0.0,0.0,,92.46,265.59,1102.24,,,,92.6,312.32,,0.0,0.0,0.0,,,,0.0,0.0,
050US30023,3.0,3.0,3.0,,,,3.0,0.0,0.0,0.0,0.0,0.0,,,,28.51,246.78,622.31,1.0,1.0,1.0,,,,1.0,0.0,0.0
050US30029,18.0,6.0,,17.0,5.0,,17.0,5.0,,15.38,63.12,,18.67,76.57,,18.67,76.57,,0.95,0.32,,0.89,0.26,,0.89,0.26,
050US30039,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,84.83,390.21,831.54,104.2,587.88,,100.92,582.55,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
050US30057,1.0,1.0,1.0,0.0,,,0.0,0.0,,49.35,185.44,410.1,111.99,,,87.74,360.19,,0.33,0.33,0.33,0.0,,,0.0,0.0,
050US30071,1.0,1.0,1.0,,,,0.0,,,0.0,0.0,0.0,,,,105.43,,,1.0,1.0,1.0,,,,0.0,,
050US30077,0.0,0.0,0.0,0.0,,,0.0,0.0,,50.02,332.68,806.08,104.86,,,54.42,402.38,,0.0,0.0,0.0,0.0,,,0.0,0.0,
050US30085,2.0,2.0,2.0,,,,0.0,,,26.65,85.94,257.16,,,,92.6,,,0.67,0.67,0.67,,,,0.0,,
050US30087,1.0,1.0,,,,,1.0,,,54.47,220.89,,,,,79.47,,,0.25,0.25,,,,,0.25,,
050US30105,0.0,,,,,,2.0,1.0,1.0,81.63,,,,,,20.0,66.18,195.22,0.0,,,,,,0.67,0.33,0.33
050US31091,0.0,,,,,,0.0,,,85.98,,,,,,125.04,,,0.0,,,,,,0.0,,
050US53065,11.0,8.0,7.0,,,,2.0,,,11.93,33.29,94.84,,,,74.59,,,0.92,0.67,0.58,,,,0.17,,
050US21189,2.0,1.0,1.0,0.0,0.0,,2.0,1.0,1.0,8.22,23.32,66.64,71.36,276.85,,8.22,23.32,66.64,1.0,0.5,0.5,0.0,0.0,,1.0,0.5,0.5
050US21195,19.0,11.0,11.0,12.0,3.0,,16.0,5.0,,8.69,33.36,96.84,24.66,106.99,,17.23,75.36,,1.0,0.58,0.58,0.63,0.16,,0.84,0.26,
050US21217,5.0,4.0,3.0,0.0,,,5.0,3.0,1.0,5.25,20.78,62.54,74.59,,,9.57,35.85,106.9,1.0,0.8,0.6,0.0,,,1.0,0.6,0.2
050US21237,2.0,2.0,2.0,0.0,,,2.0,1.0,1.0,0.0,0.0,0.0,50.94,,,5.58,33.26,99.42,1.0,1.0,1.0,0.0,,,1.0,0.5,0.5
050US21239,8.0,5.0,5.0,7.0,0.0,,8.0,4.0,2.0,6.2,21.57,64.52,23.71,113.7,,10.56,38.21,111.81,1.0,0.62,0.62,0.88,0.0,,1.0,0.5,0.25
050US22001,12.0,3.0,1.0,0.0,,,6.0,0.0,,15.08,48.47,141.03,44.58,,,35.17,135.96,,1.0,0.25,0.08,0.0,,,0.5,0.0,
050US22009,9.0,2.0,2.0,0.0,,,1.0,0.0,,15.72,54.36,161.31,68.32,,,46.7,179.09,,1.0,0.22,0.22,0.0,,,0.11,0.0,
050US22011,7.0,5.0,2.0,0.0,,,5.0,4.0,,10.26,35.22,104.64,63.32,,,17.56,72.41,,1.0,0.71,0.29,0.0,,,0.71,0.57,
050US22029,4.0,1.0,1.0,0.0,,,0.0,,,18.6,73.0,215.48,101.87,,,85.64,,,0.8,0.2,0.2,0.0,,,0.0,,
050US22031,1.0,0.0,,0.0,,,0.0,,,41.69,183.12,,48.77,,,49.91,,,0.14,0.0,,0.0,,,0.0,,
050US22033,91.0,74.0,28.0,78.0,3.0,,88.0,56.0,,7.04,19.29,55.7,21.41,79.02,,10.12,31.21,,0.99,0.8,0.3,0.85,0.03,,0.96,0.61,
050US22047,5.0,2.0,1.0,1.0,0.0,,3.0,0.0,,17.6,63.59,258.92,43.73,179.25,,34.51,168.19,,0.71,0.29,0.14,0.14,0.0,,0.43,0.0,
050US22071,177.0,175.0,146.0,176.0,129.0,,177.0,166.0,91.0,2.98,6.82,20.62,9.26,28.0,,5.29,13.12,38.98,1.0,0.99,0.82,0.99,0.73,,1.0,0.94,0.51
050US22081,0.0,0.0,,0.0,,,0.0,,,53.23,197.99,,72.33,,,64.26,,,0.0,0.0,,0.0,,,0.0,,
050US22099,11.0,6.0,3.0,10.0,,,10.0,0.0,,9.61,29.83,84.33,23.15,,,21.9,86.22,,1.0,0.55,0.27,0.91,,,0.91,0.0,
050US22119,8.0,5.0,,0.0,,,7.0,,,19.25,63.96,,52.73,,,23.59,,,0.73,0.45,,0.0,,,0.64,,
050US23013,11.0,7.0,6.0,10.0,3.0,,10.0,5.0,3.0,7.51,30.45,86.76,19.75,59.69,,17.66,49.28,128.35,1.0,0.64,0.55,0.91,0.27,,0.91,0.45,0.27
050US23015,9.0,5.0,4.0,2.0,,,9.0,1.0,,10.98,46.63,153.34,43.89,,,20.43,89.16,,0.9,0.5,0.4,0.2,,,0.9,0.1,
050US24003,105.0,30.0,56.0,101.0,43.0,,105.0,76.0,27.0,4.48,46.3,32.3,12.1,42.76,,8.2,22.0,63.9,1.0,0.29,0.53,0.96,0.41,,1.0,0.72,0.26
050US18103,10.0,6.0,3.0,0.0,0.0,,10.0,6.0,4.0,9.94,30.4,88.62,52.43,188.61,,11.15,34.41,103.74,1.0,0.6,0.3,0.0,0.0,,1.0,0.6,0.4
050US18129,5.0,1.0,1.0,5.0,0.0,,5.0,0.0,,22.28,72.85,215.86,26.88,120.71,,26.88,120.71,,0.71,0.14,0.14,0.71,0.0,,0.71,0.0,
050US18147,2.0,0.0,,2.0,0.0,,3.0,0.0,,29.24,105.51,,33.44,148.65,,26.16,82.46,,0.4,0.0,,0.4,0.0,,0.6,0.0,
050US19001,0.0,,,0.0,,,0.0,0.0,,59.69,,,72.12,,,60.66,226.39,,0.0,,,0.0,,,0.0,0.0,
050US19045,11.0,7.0,4.0,1.0,,,10.0,7.0,,11.42,39.98,131.88,46.46,,,14.59,59.16,,0.92,0.58,0.33,0.08,,,0.83,0.58,
050US19083,6.0,3.0,2.0,0.0,,,1.0,0.0,,11.29,43.79,121.53,87.69,,,45.5,193.51,,1.0,0.5,0.33,0.0,,,0.17,0.0,
050US19111,11.0,3.0,,0.0,,,0.0,0.0,,18.66,93.04,,74.83,,,43.58,189.28,,1.0,0.27,,0.0,,,0.0,0.0,
050US31167,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,18.9,115.17,243.66,93.71,,,19.37,124.04,266.08,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0
050US34003,179.0,179.0,131.0,179.0,83.0,,179.0,155.0,34.0,2.64,7.13,19.55,9.68,32.02,,6.46,19.26,53.34,1.0,1.0,0.73,1.0,0.46,,1.0,0.87,0.19
050US34007,127.0,126.0,95.0,127.0,51.0,,127.0,122.0,59.0,2.87,7.34,20.27,10.46,37.77,,4.44,12.82,36.21,1.0,0.99,0.75,1.0,0.4,,1.0,0.96,0.46
050US34013,210.0,210.0,206.0,210.0,174.0,,210.0,206.0,128.0,1.52,3.52,9.32,6.26,20.07,,3.95,10.61,28.9,1.0,1.0,0.98,1.0,0.83,,1.0,0.98,0.61
050US34023,175.0,174.0,130.0,174.0,60.0,,175.0,150.0,61.0,3.01,6.96,19.12,12.07,39.47,,6.32,17.22,48.72,1.0,0.99,0.74,0.99,0.34,,1.0,0.86,0.35
050US34041,23.0,19.0,12.0,15.0,7.0,,23.0,7.0,4.0,6.22,17.3,48.02,21.47,80.77,,14.82,45.37,130.68,1.0,0.83,0.52,0.65,0.3,,1.0,0.3,0.17
050US35007,3.0,2.0,2.0,,,,2.0,1.0,1.0,3.32,28.08,77.0,,,,30.38,133.71,386.73,1.0,0.67,0.67,,,,0.67,0.33,0.33
050US35011,0.0,0.0,0.0,,,,0.0,0.0,0.0,78.47,447.84,1115.99,,,,90.43,447.84,1115.99,0.0,0.0,0.0,,,,0.0,0.0,0.0
050US35051,3.0,2.0,1.0,,,,0.0,,,21.74,66.02,150.51,,,,94.7,,,0.75,0.5,0.25,,,,0.0,,
