HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP
050US22089,13.0,5.0,2.0,7.0,0.0,,13.0,3.0,1.0,11.98,33.63,98.57,30.4,126.27,,15.04,52.85,373.41,1.0,0.38,0.15,0.54,0.0,,1.0,0.23,0.08
050US22093,4.0,0.0,,2.0,0.0,,3.0,0.0,,30.31,112.77,,37.83,148.02,,33.0,128.44,,0.57,0.0,,0.29,0.0,,0.43,0.0,
050US20187,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,116.63,509.41,,76.05,341.19,,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,
050US23009,15.0,7.0,7.0,0.0,,,6.0,1.0,,16.65,56.91,154.84,66.99,,,33.73,119.92,,0.83,0.39,0.39,0.0,,,0.33,0.06,
050US27049,7.0,3.0,,1.0,,,4.0,0.0,,20.76,78.87,,51.89,,,33.35,143.42,,0.7,0.3,,0.1,,,0.4,0.0,
050US13129,4.0,0.0,,9.0,2.0,1.0,3.0,0.0,,31.89,126.48,,13.61,43.07,229.18,35.1,148.38,,0.44,0.0,,1.0,0.22,0.11,0.33,0.0,
050US29007,6.0,5.0,,0.0,,,6.0,4.0,,12.2,40.85,,56.28,,,13.58,44.26,,0.86,0.71,,0.0,,,0.86,0.57,
050US42015,13.0,6.0,,0.0,,,8.0,4.0,,16.95,55.71,,71.49,,,26.2,88.75,,0.93,0.43,,0.0,,,0.57,0.29,
050US46029,0.0,,,,,,,,,65.63,,,,,,,,,0.0,,,,,,,,
050US28097,0.0,0.0,,,,,0.0,0.0,,37.49,168.81,,,,,53.37,246.12,,0.0,0.0,,,,,0.0,0.0,
050US38009,0.0,0.0,,,,,0.0,0.0,,50.29,262.07,,,,,50.29,262.07,,0.0,0.0,,,,,0.0,0.0,
050US38011,0.0,,,,,,0.0,,,117.63,,,,,,93.36,,,0.0,,,,,,0.0,,
050US29215,1.0,1.0,1.0,0.0,,,2.0,1.0,1.0,27.39,105.36,303.93,72.31,,,23.28,89.75,255.81,0.25,0.25,0.25,0.0,,,0.5,0.25,0.25
050US29219,3.0,0.0,,0.0,,,4.0,1.0,1.0,27.73,96.03,,51.34,,,15.38,48.28,140.27,0.6,0.0,,0.0,,,0.8,0.2,0.2
050US18045,2.0,0.0,,0.0,,,2.0,0.0,,33.87,124.54,,62.35,,,35.61,136.69,,0.4,0.0,,0.0,,,0.4,0.0,
050US27065,4.0,2.0,2.0,0.0,,,4.0,2.0,2.0,11.84,30.83,91.7,81.26,,,11.84,30.83,91.7,1.0,0.5,0.5,0.0,,,1.0,0.5,0.5
050US21035,9.0,5.0,1.0,0.0,,,4.0,0.0,,9.9,34.03,100.28,65.43,,,30.6,150.96,,1.0,0.56,0.11,0.0,,,0.44,0.0,
050US21053,0.0,0.0,,0.0,,,0.0,0.0,,41.04,170.39,,57.14,,,48.18,335.97,,0.0,0.0,,0.0,,,0.0,0.0,
050US28111,0.0,0.0,,0.0,,,0.0,0.0,,36.83,152.06,,107.33,,,42.01,167.59,,0.0,0.0,,0.0,,,0.0,0.0,
050US29045,0.0,0.0,,0.0,,,3.0,1.0,1.0,50.23,227.81,,59.1,,,9.79,37.2,119.11,0.0,0.0,,0.0,,,1.0,0.33,0.33
050US29073,0.0,0.0,,0.0,,,3.0,2.0,,48.64,181.07,,104.75,,,19.06,80.0,,0.0,0.0,,0.0,,,0.6,0.4,
050US54077,6.0,2.0,2.0,1.0,0.0,,4.0,1.0,1.0,18.32,52.22,151.91,44.44,157.29,,27.9,80.44,251.19,0.75,0.25,0.25,0.12,0.0,,0.5,0.12,0.12
050US35041,5.0,3.0,3.0,,,,0.0,,,8.71,26.91,75.05,,,,152.45,,,1.0,0.6,0.6,,,,0.0,,
050US44005,23.0,18.0,11.0,23.0,18.0,8.0,23.0,18.0,8.0,5.7,16.63,47.9,7.72,22.3,76.69,7.72,22.3,76.69,1.0,0.78,0.48,1.0,0.78,0.35,1.0,0.78,0.35
050US37073,1.0,3.0,0.0,0.0,0.0,,0.0,3.0,,34.69,0.0,1110.7,46.63,163.2,,40.06,21.34,,0.33,1.0,0.0,0.0,0.0,,0.0,1.0,
050US38013,0.0,0.0,0.0,,,,0.0,,,88.67,317.94,790.25,,,,129.61,,,0.0,0.0,0.0,,,,0.0,,
050US19051,0.0,0.0,,0.0,,,0.0,0.0,,37.36,142.89,,100.56,,,39.1,150.39,,0.0,0.0,,0.0,,,0.0,0.0,
050US05035,19.0,13.0,,3.0,,,18.0,11.0,,10.17,32.37,,37.75,,,11.8,40.51,,0.95,0.65,,0.15,,,0.9,0.55,
